reviewID,sentenceID,review,category,polarity
252,252:2,Still trying to learn how to use it.,LAPTOP#USABILITY,neutral
19,19:0,it is the worst computer dell ever made.,LAPTOP#GENERAL,negative
19,19:1,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative
19,19:2,breaks easily.,LAPTOP#QUALITY,negative
19,19:3,only good thing is the graphics quality.,GRAPHICS#QUALITY,positive
165,165:0,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#DESIGN_FEATURES,positive
165,165:2,No Viruses!,LAPTOP#QUALITY,positive
165,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#OPERATION_PERFORMANCE,positive
165,165:4,I am loyal to Apple.,COMPANY#GENERAL,positive
165,165:8,I am very Happy!,LAPTOP#GENERAL,positive
111,111:0,This just keeps having it's hard drive replaced!,HARD_DISC#QUALITY,negative
111,111:1,Acer won't replace the laptop.,SUPPORT#QUALITY,negative
111,111:2,the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY#GENERAL,negative
111,111:3,This thing is a lemon.,LAPTOP#QUALITY,negative
292,292:0,This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive
292,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,LAPTOP#USABILITY,positive
292,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",BATTERY#OPERATION_PERFORMANCE,positive
292,292:3,It does run a little warm but that is a negligible concern.,LAPTOP#QUALITY,neutral
359,359:2,I have had nothing but problems since the day I took it out of the box!,LAPTOP#GENERAL,negative
359,359:3,My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL,negative
359,359:4,It would not let me connect to my Wifi system where I lived.,LAPTOP#CONNECTIVITY,negative
359,359:5,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,SUPPORT#QUALITY,negative
359,359:6,"Then just the other day, my left ""mouse"" button snapped!",MOUSE#QUALITY,negative
359,359:7,"Being only 2 months old, I am not a happy camper!",LAPTOP#QUALITY,negative
359,359:8,Buyer Beware.,LAPTOP#GENERAL,negative
359,359:9,"this one, in my opinion, might be a lemon!",LAPTOP#QUALITY,negative
95,95:0,It rarely works and when it does it's incredibly slow.,LAPTOP#QUALITY,negative
95,95:1,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP#QUALITY,negative
95,95:2,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative
360,360:0,Like the price and operation.,LAPTOP#PRICE,positive
360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",LAPTOP#USABILITY,negative
360,360:2,"But, for the cost this is a winner.",LAPTOP#GENERAL,positive
66,66:0,I absolutely love my mac!,LAPTOP#GENERAL,positive
66,66:1,I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive
384,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,LAPTOP#GENERAL,positive
384,384:1,Apparently they are defective since they are not securely attached.,PORTS#QUALITY,negative
384,384:2,I can barely use any usb devices because they will not stay connected properly.,LAPTOP#CONNECTIVITY,negative
384,384:3,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT#QUALITY,negative
384,384:4,I think I might rather suffer for something that is simple to fix in my opinion.,SUPPORT#QUALITY,negative
54,54:0,I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL,negative
54,54:1,I spent alot of money on this product and its been a nightmare.,LAPTOP#PRICE,negative
54,54:2,And having to deal with the company has been a even worse nightmare.,SUPPORT#QUALITY,negative
54,54:4,They sent it back with a huge crack in it and it still didn't work.,SUPPORT#QUALITY,negative
54,54:5,And that was the fourth time ive sent it to them to get fixed.,SUPPORT#QUALITY,negative
54,54:6,Its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT#QUALITY,negative
54,54:7,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,COMPANY#GENERAL,negative
176,176:0,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,LAPTOP#GENERAL,positive
176,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",DISPLAY#GENERAL,positive
176,176:2,"A little pricey but it is well, well worth it.",LAPTOP#PRICE,negative
176,176:4,It is amazing.,LAPTOP#GENERAL,positive
59,59:0,In the first moth of owning this computer its hardrive failed which had to be replaced.,HARD_DISC#QUALITY,negative
59,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#QUALITY,negative
59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#QUALITY,negative
59,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#GENERAL,negative
170,170:0,Has a 5-6 hour battery life.,BATTERY#OPERATION_PERFORMANCE,positive
170,170:2,It is easy to use and lightweight.,LAPTOP#USABILITY,positive
170,170:3,Was very much worth the price i paid.,LAPTOP#GENERAL,positive
90,90:0,This netbook went bad on me after 3 days.,LAPTOP#QUALITY,negative
90,90:1,There is a blank lighted screen when I start and that is all.,DISPLAY#OPERATION_PERFORMANCE,negative
220,220:1,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#QUALITY,negative
220,220:2,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,DISPLAY#QUALITY,negative
220,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#QUALITY,negative
278,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#PORTABILITY,positive
135,135:0,The So called laptop Runs to Slow and I hate it!,LAPTOP#OPERATION_PERFORMANCE,negative
135,135:1,Do not  buy it!,LAPTOP#GENERAL,negative
135,135:2,It is the worst laptop ever,LAPTOP#GENERAL,negative
159,159:0,"The image is great, and the soud is excelent.",DISPLAY#QUALITY,positive
159,159:1,i love ths notebook.,LAPTOP#GENERAL,positive
57,57:0,I love the glass touchpad.,MOUSE#DESIGN_FEATURES,positive
57,57:1,Easy learning curve.,LAPTOP#USABILITY,positive
57,57:2,Also the display is exceptional!,DISPLAY#GENERAL,positive
76,76:0,I have loved this since i took it out of the box.,LAPTOP#GENERAL,positive
76,76:1,The battery is really long.,BATTERY#OPERATION_PERFORMANCE,positive
76,76:2,"the features are great, the only thing it needs is better speakers.",LAPTOP#DESIGN_FEATURES,positive
28,28:0,Small and light weight.,LAPTOP#DESIGN_FEATURES,positive
28,28:1,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
28,28:2,Keyboard good sized and wasy to use.,KEYBOARD#DESIGN_FEATURES,positive
28,28:3,I like it!,LAPTOP#GENERAL,positive
267,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#GENERAL,positive
132,132:0,"Needless to say, not to happy with the product.",LAPTOP#GENERAL,negative
167,167:0,This is a great machine!,LAPTOP#GENERAL,positive
167,167:1,"The design is awesome, quality is unprecedented.",LAPTOP#DESIGN_FEATURES,positive
169,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#QUALITY,positive
197,197:0,It is by far one of the greatest investments I have ever made.,LAPTOP#GENERAL,positive
284,284:1,"Am very glad I bought it, great netbook, low price.",LAPTOP#GENERAL,positive
299,299:0,Very good quality and well made.,LAPTOP#QUALITY,positive
299,299:1,Great pick for portability and affordability.,LAPTOP#PORTABILITY,positive
299,299:2,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#DESIGN_FEATURES,positive
321,321:0,The only problem is a lack of screen resolutions!,DISPLAY#QUALITY,negative
325,325:0,"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#PRICE,positive
325,325:1,"I dislike the weight and size, cubersome.",LAPTOP#PORTABILITY,negative
325,325:2,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#QUALITY,negative
325,325:3,"Overall, it's ok.",LAPTOP#GENERAL,neutral
326,326:0,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",LAPTOP#DESIGN_FEATURES,negative
326,326:1,This laptop is very large and barely fits in any carrying cases.,LAPTOP#DESIGN_FEATURES,negative
326,326:2,Peformance is good for the price.,LAPTOP#OPERATION_PERFORMANCE,positive
326,326:3,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#PORTABILITY,negative
8,8:0,Had to have this computer repaired twice in the first 5 months after purchasing it.,LAPTOP#QUALITY,negative
8,8:1,Not good for a person who gets online daily.,LAPTOP#MISCELLANEOUS,negative
8,8:2,May be better for the occasional web surfer.,LAPTOP#MISCELLANEOUS,neutral
83,83:0,"I just got this laptop for college, and so far I am very happy with it.",LAPTOP#GENERAL,positive
83,83:2,It is so much easier to use,LAPTOP#USABILITY,positive
81,81:0,"Good keyboard, long battery life, largest hard drive and windows 7.",KEYBOARD#GENERAL,positive
81,81:1,And Toshiba is a quality supplier.,COMPANY#GENERAL,positive
80,80:0,I love this little one.,LAPTOP#GENERAL,positive
80,80:1,The keyboard has a wonderful nature feel.,KEYBOARD#QUALITY,positive
44,44:0,great battery life.,BATTERY#OPERATION_PERFORMANCE,positive
44,44:1,Keyboard is reasonable size.,KEYBOARD#DESIGN_FEATURES,positive
44,44:2,Small screen somewhat limiting but great for travel.,DISPLAY#DESIGN_FEATURES,negative
44,44:3,Charger seems large for this class of computer.,POWER_SUPPLY#DESIGN_FEATURES,negative
200,200:0,"Great Laptop for the price, works well with action pack games.",LAPTOP#GENERAL,positive
200,200:1,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#DESIGN_FEATURES,negative
200,200:2,but other then that I would give this product a 4 in hafe stars.,LAPTOP#GENERAL,positive
206,206:0,Good for every day computing and web browsing.,LAPTOP#MISCELLANEOUS,positive
177,177:0,A great computer for light home use and business use.,LAPTOP#MISCELLANEOUS,positive
177,177:1,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,LAPTOP#MISCELLANEOUS,neutral
177,177:2,"Crisp screen, great battery life, and plenty of storage.",DISPLAY#QUALITY,positive
177,177:3,Very happy.,LAPTOP#GENERAL,positive
276,276:2,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,LAPTOP#GENERAL,positive
276,276:4,I would recomend this acer to parents and grandparents it can really help them in school.,LAPTOP#MISCELLANEOUS,positive
191,191:0,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,LAPTOP#MISCELLANEOUS,negative
191,191:1,"IT WANT TAKE IT, IT KEEP SAYING ERROR.",LAPTOP#MISCELLANEOUS,negative
191,191:2,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",LAPTOP#GENERAL,positive
237,237:0,It's fast and has excellent battery life.,LAPTOP#OPERATION_PERFORMANCE,positive
237,237:1,The screen shows great colors.,DISPLAY#QUALITY,positive
247,247:0,I was surprised with the performance and quality of this HP Laptop.,LAPTOP#OPERATION_PERFORMANCE,positive
247,247:1,the speed is fine.,LAPTOP#OPERATION_PERFORMANCE,positive
247,247:3,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",DISPLAY#DESIGN_FEATURES,positive
247,247:4,Love it.,LAPTOP#GENERAL,positive
254,254:0,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",LAPTOP#GENERAL,positive
216,216:0,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,BATTERY#OPERATION_PERFORMANCE,negative
242,242:0,This computer is the ideal college companion.,LAPTOP#MISCELLANEOUS,positive
242,242:1,It's software and speed enable it to do amazing things.,LAPTOP#OPERATION_PERFORMANCE,positive
338,338:0,I am not happy at all with the product I purchased.,LAPTOP#GENERAL,negative
338,338:1,"A cheaper price should not equal a ""cheap"" product.",LAPTOP#PRICE,neutral
338,338:2,It was over rated!,LAPTOP#GENERAL,negative
364,364:0,The Toshiba laptop was a great purchase.,LAPTOP#GENERAL,positive
364,364:1,"The price was very good, and the product is top quality.",LAPTOP#PRICE,positive
364,364:2,"The delivery was fast, and I would not hesitate to purchase this laptop again.",SHIPPING#QUALITY,positive
362,362:1,It has easy to use features and all the speed and power I could ask for.,LAPTOP#USABILITY,positive
362,362:2,True quality at a great price!,LAPTOP#QUALITY,positive
357,357:1,I am enjoying it and the quality it provides is great!,LAPTOP#GENERAL,positive
357,357:2,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!",COMPANY#GENERAL,positive
330,330:1,"The screen graphics and clarity, and sharpness are great.",DISPLAY#QUALITY,positive
330,330:2,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,LAPTOP#GENERAL,positive
322,322:0,I like the laptop overall.,LAPTOP#GENERAL,positive
322,322:1,The only thing i can say is that the touch pad doesnt work like it should all the time.,MOUSE#OPERATION_PERFORMANCE,negative
322,322:2,Sometimes you really have to tap the pad to get it to work,MOUSE#OPERATION_PERFORMANCE,negative
354,354:0,This is a great little computer for the price.,LAPTOP#GENERAL,positive
354,354:1,"Simple to use, and great graphics.",LAPTOP#USABILITY,positive
354,354:2,It has everything I would need for a home computer.,LAPTOP#MISCELLANEOUS,positive
354,354:3,I'm very impressed.,LAPTOP#GENERAL,positive
301,301:0,It was secure and easy to navigate.,LAPTOP#QUALITY,positive
301,301:1,It is everything that I would want in a computer.,LAPTOP#GENERAL,positive
301,301:2,"Besides the great look, it is a great machine.",LAPTOP#DESIGN_FEATURES,positive
301,301:4,Once again apple stands alone at the top of the charts.,COMPANY#GENERAL,positive
369,369:0,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",LAPTOP#GENERAL,positive
369,369:1,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",LAPTOP#USABILITY,positive
369,369:2,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",LAPTOP#CONNECTIVITY,positive
369,369:3,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",LAPTOP#DESIGN_FEATURES,positive
369,369:4,I am very pleased with my purchase!,LAPTOP#GENERAL,positive
371,371:0,This laptop serves all my needs.,LAPTOP#GENERAL,positive
371,371:1,Screen size is perfect for portable use in any environment.,DISPLAY#DESIGN_FEATURES,positive
371,371:2,Price and purpose is awesome!,LAPTOP#PRICE,positive
373,373:0,I have been very pleased with the performance of this laptop.,LAPTOP#OPERATION_PERFORMANCE,positive
373,373:1,"The battery life seems to be very good, and have had no issues with it.",BATTERY#OPERATION_PERFORMANCE,positive
373,373:2,Great product.,LAPTOP#GENERAL,positive
382,382:0,The laptop was very easy to set up.,LAPTOP#USABILITY,positive
382,382:2,Everything was so easy.,LAPTOP#USABILITY,positive
385,385:3,They were able to set-up with labtops themselves within a few minutes.,LAPTOP#USABILITY,positive
385,385:4,It works fine with our wireless and they've had not problems.,LAPTOP#CONNECTIVITY,positive
385,385:5,It's a great product for a great price!,LAPTOP#GENERAL,positive
4,4:0,"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive
4,4:1,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive
160,160:1,The service I received from Toshiba went above and beyond the call of duty.,SUPPORT#QUALITY,positive
160,160:2,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",LAPTOP#OPERATION_PERFORMANCE,positive
160,160:3,It is extremely portable and easily connects to WIFI at the library and elsewhere.,LAPTOP#PORTABILITY,positive
160,160:4,Just what the doctor ordered.,LAPTOP#GENERAL,positive
185,185:1,I cannot be happier with the service or product.,SUPPORT#QUALITY,positive
64,64:0,power supply went bad after 2 weeks --,POWER_SUPPLY#QUALITY,negative
64,64:1,after much effort and 10 days ASUS replaced it,SUPPORT#QUALITY,negative
64,64:2,The WiFi is very weak.,LAPTOP#CONNECTIVITY,negative
64,64:4,Summary: Spend your money elsewhere,LAPTOP#GENERAL,negative
78,78:0,This is a nicely sized laptop with lots of processing power and long battery life.,LAPTOP#DESIGN_FEATURES,positive
78,78:1,Love it so far.,LAPTOP#GENERAL,positive
270,270:0,The Toshiba Net book operates very well.,LAPTOP#OPERATION_PERFORMANCE,positive
270,270:1,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,OS#MISCELLANEOUS,negative
214,214:0,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.",LAPTOP#GENERAL,positive
214,214:1,"The touchpad is extremely sensitive, which is the only drawback.",MOUSE#OPERATION_PERFORMANCE,negative
214,214:2,"Otherwise, I love it!",LAPTOP#GENERAL,positive
350,350:1,I wasn't really sure I wanted to spend that kind of money!,LAPTOP#PRICE,negative
350,350:2,It Was a great deal after all.,LAPTOP#GENERAL,positive
350,350:3,I LOVE it!,LAPTOP#GENERAL,positive
350,350:4,I should have bought one a long time ago.,LAPTOP#GENERAL,positive
350,350:5,Not enough time for me to give it 5 stars!,LAPTOP#GENERAL,neutral
294,294:0,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",LAPTOP#GENERAL,positive
294,294:1,I have only had PCs with Windows before so this takes a little getting use to.,OS#USABILITY,neutral
294,294:2,The real stand out on this computer is the feel of the keyboard and it's speed.,KEYBOARD#QUALITY,positive
294,294:3,"It is fast booting up , shutting down, and connection with the internet.",LAPTOP#OPERATION_PERFORMANCE,positive
294,294:4,The one thing I wish it had was a detailed hardcopy manuel.,LAPTOP#MISCELLANEOUS,negative
294,294:5,"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",LAPTOP#MISCELLANEOUS,neutral
239,239:0,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",LAPTOP#MISCELLANEOUS,positive
239,239:1,It's priced very reasonable and works very well right out of the box.,LAPTOP#PRICE,positive
239,239:4,"Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.",LAPTOP#GENERAL,positive
239,239:6,the screen/video resolution won't increase to a higher resolution then 1024 x 60,DISPLAY#QUALITY,negative
239,239:7,"That being said, it still runs video in full screen decently.",DISPLAY#OPERATION_PERFORMANCE,neutral
239,239:8,"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",MULTIMEDIA_DEVICES#QUALITY,neutral
239,239:9,"Bottom line, I doubt you'd be overly disappointed if you invest in this machine.",LAPTOP#GENERAL,positive
85,85:9,"Yes, I thought the expese was a little much, but I now realize you get what you pay for.",LAPTOP#PRICE,neutral
85,85:10,"I love my Apple, it is quick and easy to use.",LAPTOP#GENERAL,positive
85,85:11,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",SUPPORT#QUALITY,positive
85,85:12,I can't say enough of how satisfied I am with their product and help aftermarket.,LAPTOP#GENERAL,positive
85,85:13,Money and time well spent!,LAPTOP#GENERAL,positive
85,85:14,Highly recommended!,LAPTOP#GENERAL,positive
84,84:1,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",LAPTOP#PRICE,positive
84,84:2,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",LAPTOP#MISCELLANEOUS,positive
84,84:4,Speakers doesn't sound that great.,MULTIMEDIA_DEVICES#QUALITY,negative
193,193:1,"Love the speed, especially!",LAPTOP#OPERATION_PERFORMANCE,positive
193,193:2,So glad I decided to upgrade!,LAPTOP#GENERAL,positive
332,332:0,"I've owned this labtop for less then two months, already the mouse button has broke.",MOUSE#QUALITY,negative
