,id,review,opinion,label,predict,score
56,436868:3,"calling the place hampton chutney co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",more,negative,negative,0.0
57,445960:0,"this is such a lovely, peaceful place to eat outside.",peaceful,positive,positive,0.25
58,445960:1,the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,beautiful,positive,positive,0.625
59,445960:4,"this is a great place to take out-of-towners, and perfect for watching the sunset.",great|great,positive,positive,0.5
60,475298:3,the location is perfect.,perfect,positive,positive,0.75
61,475512:2,"well, this place is so ghetto its not even funny.",funny|funny|funny,negative,negative,-1.5
62,475512:3,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,great|great,negative,positive,0.5
63,485966:1,the place was quiet and delightful.,quiet,positive,negative,-0.625
64,490565:3,"but the best part about ls is the late night atmosphere, delightfully free of the bts.",free,positive,negative,-0.375
65,490565:4,"you can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty, mmmm!) in a great homey setting with great music.",delish|delish|delish|delish,positive,negative,0.0
66,493013:1,"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.",good|reasonable,positive,positive,0.625
67,493013:6,in summer-eat outside on a terrace (another great feature of suan)!!!,great,positive,positive,0.25
68,496132:1,the setting is casual and romantic.,casual,positive,negative,-0.25
69,498657:4,"the wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for chinatown) alternative.",typical|dim,negative,positive,0.75
70,505535:0,this little place has a cute interior decor and affordable city prices.,little|interior,positive,negative,-0.375
71,511290:4,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,correct|excellent|excellent,positive,positive,2.625
72,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",confortable|perfecttheyre|confortable|perfecttheyre|great,positive,positive,0.25
73,519425:4,the place itself is beautiful the bar scene seems to be happening.,beautiful,positive,positive,0.625
74,535171:1,not the typical nyc gimmick theme restaurant.,typical,positive,negative,-0.5
75,541532:0,cozy romantic atomosphere with only around 15 tables at most.,romantic,positive,negative,0.0
76,561054:1,"when you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",high,positive,positive,0.125
77,626269:2,the design and atmosphere is just as good.,good|good,positive,positive,1.5
78,632121:1,the jukebox plays everything from italian opera to the strokes.,italian|italian|italian,positive,negative,0.0
79,680390:0,"toons has recently been redone, so it's now a very attractive space.",attractive|attractive,positive,positive,0.75
80,709294:1,"we recently decided to try this location, and to our delight, they have outdoor seating, perfect since i had my yorkie with me.",outdoor|outdoor,positive,negative,0.0
81,717570:1,the decor is very simple but comfortable.,simple,positive,negative,-0.625
82,735448:1,"whoever the jazz duo was, they were on point.",|,positive,negative,0.0
83,737999:3,atmosphere is nice and relaxed too...,nice|nice,positive,positive,1.5
84,744478:1,"fabulous decor - makes you feel like you're in a trendy manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a manhattanite, or spend most of your time in manhattan, rice avenue will make you feel at home.....very soho/village/upper west side minus the expensive prices and pretentious clientele.....all on roosevelt avenue!",trendy|fabulous|sohovillageupper|fabulous|sohovillageupper|fabulous,positive,negative,-0.25
85,757762:0,baluchi's has solid food and a nice decor at reasonable prices.,nice,positive,negative,-0.375
86,875139:0,"love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",nice|nice,positive,positive,1.5
87,955711:2,love the atmosphere - felt like i was in paris.,|,positive,negative,0.0
88,EVPK#10:1,i was visiting new york city with a friend and we discovered this really warm and inviting restaurant.,warm|warm,positive,negative,0.0
89,Z#3:1,"the space kind of feels like an alice in wonderland setting, without it trying to be that.",,negative,negative,0.0
90,TR#3:0,great place to relax and enjoy your dinner,great|great,positive,positive,0.5
91,TR#3:1,there is something about their atmosphere that makes me come back nearly every week.,|,positive,negative,0.0
92,Y#6:3,"in the summer months, the back garden area is really nice.",nice|nice,positive,positive,1.5
93,TM#3:3,"the food was good, the place was clean and affordable.",clean,positive,positive,0.5
94,TR#1:3,i highly recommend this beautiful place.,beautiful,positive,positive,0.625
95,TR#8:6,nice view of river and nyc.,nice,positive,positive,0.75
96,TR#2:7,"oh speaking of bathroom , the mens bathroom was disgusting.",|||,negative,negative,0.0
97,Z#9:0,"short and sweet – seating is great:it's romantic,cozy and private.",,positive,negative,0.0
98,Z#9:1,the boths are not as small as some of the reviews make them out to look they're perfect for 2 people.,perfect,positive,positive,0.75
99,CLF#5:5,we were drawn into the belly dancing show that captivated the crowd.,,positive,negative,0.0
100,BzG#2:2,the atmosphere is relaxed and casual.,casual,positive,negative,-0.25
101,Z#5:1,mazing interior.,,negative,negative,0.0
102,Z#5:4,"the atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.",nice|nice|crazy,negative,positive,1.0
103,TFS#5:8,"yes, the place is classy and beautiful, but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while.",classy,positive,positive,0.375
104,CLF#3:11,the place is beautiful!,beautiful,positive,positive,0.625
105,BG#5:4,"i have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which i would expect at a upscale indian restaurant but this place doesn't have an upscale feel.",upscale,negative,positive,0.5
106,CLF#7:0,gorgeous place ideal for a romantic dinner,gorgeous,positive,positive,0.75
