,id,review,target,label,predict,terms
74,1147211:2,The waitress was very patient with us and the food is phenomenal!,"waitress,food","SERVICE,FOOD",SERVICE|FOOD,waitress|food
75,1147211:3,"Service was prompt, friendly and great.",Service,SERVICE,SERVICE,service
76,1147211:4,Slightly on the pricey side but worth it!,"NULL,NULL",PRICES,AMBIENCE,side
77,1153034:0,Great pizza and fantastic service.,"pizza,service","FOOD,SERVICE",FOOD|SERVICE,pizza|service
78,1153034:1,"There was a small wait, but shorter than I expected.",wait,SERVICE,SERVICE,wait
79,1153034:2,Located at the end of a magnificent block.,block,AMBIENCE,AMBIENCE,block
80,1154550:0,This is the best sushi in new york city - hands down.,sushi,FOOD,FOOD|AMBIENCE|FOOD,sushi|city|hands
81,1154550:1,The place is small and cramped but the food is fantastic.,"place,food","AMBIENCE,FOOD",AMBIENCE|FOOD,place|food
82,1154550:2,Get the tuna of gari.,tuna of gari,FOOD,FOOD|FOOD,tuna|gari
83,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","sushi,thai food,Planet Thailand","FOOD,FOOD",AMBIENCE|FOOD|FOOD|FOOD,planet|thailand|sushi|food
84,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,FOOD,FOOD|FOOD,variety|menu
85,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","atmosphere,NULL","AMBIENCE,PRICES",AMBIENCE|PRICES,atmosphere|prices
86,1162037:3,It's all about the food !!,food,FOOD,FOOD,food
87,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,FOOD,FOOD|FOOD|FOOD|FOOD|AMBIENCE,menu|choices|dumplings|appetizer|section
88,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","rolls,rolls,sashimi","FOOD,FOOD,FOOD",FOOD|FOOD,rolls|sashimi
89,1175958:1,"Try the crunchy tuna, it is to die for.",crunchy tuna,FOOD,FOOD,tuna
90,1189674:0,First went here to enjoy their garden terrace.,garden terrace,AMBIENCE,FOOD|FOOD|AMBIENCE,first|garden|terrace
91,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","food,service","FOOD,SERVICE",FOOD|SERVICE,food|service
92,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD,FOOD|FOOD|FOOD,steak|tartare|table
93,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","open kitchen,restaurant","AMBIENCE,AMBIENCE",FOOD|FOOD|FOOD|AMBIENCE|AMBIENCE,nights|restaurant|kitchen|part|charm
94,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","wine selection,Gigondas,house champagne","FOOD,FOOD,PRICES",FOOD|FOOD|FOOD|PRICES|FOOD|FOOD|PRICES,wine|selection|gigondas|price|house|champagne|value
95,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","NULL,vibe,French food","AMBIENCE,AMBIENCE,FOOD",FOOD|FOOD|FOOD|AMBIENCE,weekends|vibe|food|area
96,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","crust,pizza","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,pizza|pizza|toppings|crust|tastes|bread
97,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","neighborhood,food","AMBIENCE,FOOD",SERVICE|AMBIENCE|AMBIENCE|AMBIENCE|FOOD,reviewer|lonk|saul|neighborhood|food
98,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"setting,service,NULL","AMBIENCE,SERVICE",AMBIENCE|AMBIENCE|SERVICE,occasion|setting|service
99,1205520:2,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,FOOD,FOOD|FOOD|AMBIENCE,spicy|scallop|roll
100,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!","Moules,lobster ravioli","FOOD,FOOD",FOOD|FOOD|FOOD,moules|lobster|ravioli
101,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',SERVICE,FOOD|SERVICE,mother|maitre
102,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"dessert,dessert","FOOD,PRICES",FOOD|FOOD,tiny|dessert
103,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"drinks,wine selection","FOOD,PRICES",FOOD|FOOD|PRICES,drinks|wine|selection
104,1221938:1,Try their chef's specials-- they are to die for.,chef's specials,FOOD,FOOD|FOOD,chef|specials
105,1221938:2,"Service is not exactly five star, but thats not really a big deal.",Service,SERVICE,SERVICE|AMBIENCE|PRICES,service|star|deal
106,1221938:3,Downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE,AMBIENCE|AMBIENCE,lounge|attraction
107,1225162:0,"Raga's is a romantic, cozy restaurant.",Raga's,AMBIENCE,AMBIENCE|AMBIENCE,raga|restaurant
108,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,"exotic food,exotic food","FOOD,FOOD",FOOD|FOOD|FOOD,food|delight|combinations
109,1225162:2,It is also extremely well priced.,,PRICES,,
110,1225162:3,The staff is incredibly helpful and attentive.,staff,SERVICE,SERVICE,staff
111,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,"bar,beers,wines","FOOD,FOOD,PRICES",FOOD|FOOD,beers|wines
112,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,SERVICE,SERVICE|SERVICE|AMBIENCE|FOOD|FOOD|FOOD,waitress|table|bathroom|dinner|orders|toilet
113,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","service,food,NULL","SERVICE,FOOD",FOOD|SERVICE|FOOD|FOOD|FOOD|FOOD,rude|service|medicore|food|tons|restaurants
114,1230993:1,I loved everythig about it-especially the shows and actors.,"NULL,shows,actors","AMBIENCE,AMBIENCE",FOOD|AMBIENCE|AMBIENCE,everythig|shows|actors
115,1230993:2,Our server was very helpful and friendly.,server,SERVICE,SERVICE,server
116,1230993:4,The food was good too.,food,FOOD,FOOD,food
117,1232468:0,The tuna and wasabe potatoes are excellent.,"tuna,wasabe potatoes","FOOD,FOOD",FOOD|FOOD|FOOD,tuna|wasabe|potatoes
118,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,AMBIENCE,AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,atmosphere|sidewalk|world|feet|avenue|evening
119,1232468:3,Service was prompt and courteous.,Service,SERVICE,SERVICE,service
120,1241906:0,"Great service, great food.","service,food","SERVICE,FOOD",SERVICE|FOOD,service|food
121,1241906:1,Prices are in line.,,PRICES,PRICES|PRICES,prices|line
122,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","pizza,fresh mozzarella","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,pizza|mozzarella|cheese|pizzaria
123,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,FOOD,FOOD|FOOD|FOOD|FOOD|FOOD,complaints|appetizer|selection|mozzarella|menu
124,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"Wait staff,pie","SERVICE,FOOD",SERVICE|PRICES,staff|business
125,1256373:0,By far the best salad I have had in a fast food restaurant.,salad,FOOD,FOOD|FOOD|FOOD,salad|food|restaurant
126,1256373:1,fine dining restaurant quality.,dining,FOOD,FOOD|FOOD|PRICES,dining|restaurant|quality
127,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","chicken pot pie,cheeseburger,cheeseburger,service","FOOD,FOOD,FOOD,SERVICE",FOOD|FOOD|FOOD|SERVICE,chicken|excpetiona|cheeseburger|service
128,1269216:1,The staff is no nonsense.,staff,SERVICE,SERVICE|AMBIENCE,staff|nonsense
129,1269216:2,The food options rule.,food,FOOD,FOOD|PRICES|FOOD,food|options|rule
130,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,FOOD,FOOD|FOOD,while|bagels
131,1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",Uni Hand roll,FOOD,FOOD|PRICES,roll|heaven
132,1275154:6,The sake menu should not be overlooked!,sake menu,FOOD,FOOD|FOOD,sake|menu
133,1275154:8,Try the lobster teriyaki and the rose special roll.,"lobster teriyaki,rose special roll","FOOD,FOOD",FOOD|FOOD|FOOD,lobster|teriyaki|roll
134,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",Service,SERVICE,SERVICE,service
135,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","Food,pork belly","FOOD,FOOD",FOOD|PRICES|FOOD|FOOD|FOOD|FOOD,food|budget|selection|pork|belly|experience
136,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"Wine list selection,wine-by-the-glass","FOOD,FOOD",FOOD|SERVICE|FOOD|AMBIENCE,wine|list|selection|wine-by-the-glass
137,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"Traditional French decour,hall","AMBIENCE,AMBIENCE",FOOD|AMBIENCE|AMBIENCE|AMBIENCE|FOOD,decour|hall|restaurant|voices|conversation
138,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",Service,SERVICE,SERVICE|SERVICE|SERVICE,service|mediorce|waiter
139,1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",Seating,SERVICE,SERVICE|FOOD|AMBIENCE,seating|restaurant|evening
140,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","Food,raw vegatables in side orders","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD,food|freshmess|vegatables|side|orders
141,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","decor,semi-private boths","AMBIENCE,AMBIENCE",AMBIENCE|AMBIENCE|AMBIENCE|FOOD|AMBIENCE|AMBIENCE,decor|boths|side|dining|hall|date
142,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","live jazz band,atmosphere","AMBIENCE,AMBIENCE",AMBIENCE|FOOD|AMBIENCE|AMBIENCE|FOOD|FOOD|FOOD,time|jazz|band|atmosphere|lobster|cobb|salad
143,1286916:3,It's simply the best meal in NYC.,meal,FOOD,FOOD,meal
144,1287538:2,The restaurant is cute but not upscale.,restaurant,AMBIENCE,AMBIENCE|AMBIENCE,restaurant|upscale
145,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"food,balance of herbs and tomatoes","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,food|diamond|food|homemade|balance|herbs|tomatoes
146,1289424:3,The server was really cool and served us our food and drinks with a smile.,server,SERVICE,SERVICE|FOOD|FOOD|AMBIENCE,server|food|drinks|smile
147,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,"decor,hidden bathrooms","AMBIENCE,AMBIENCE",AMBIENCE|AMBIENCE|AMBIENCE|FOOD,place|decor|bathrooms|laugh
148,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","beers,food,pumkin tortelini","FOOD,FOOD,FOOD",FOOD|SERVICE|FOOD|FOOD|FOOD|FOOD|FOOD,beers|guest|husband|food|dish|pumkin|tortelini
149,1297844:2,The bagel was huge.,bagel,FOOD,FOOD,bagel
150,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel,FOOD,SERVICE|FOOD|FOOD|FOOD,workers|bagel|cream|cheese
151,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,"food,service","FOOD,SERVICE",FOOD|FOOD|FOOD|FOOD|FOOD|SERVICE,frist|time|cafe|bart|food|service
152,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,"lobster roll,lobster","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,lobster|roll|mayo|lobster
153,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.","pizza,santa fe chopped salad,fish and chips","FOOD,FOOD,FOOD",SERVICE|FOOD|FOOD|FOOD|FOOD|FOOD,guests|pizza|santa|salad|fish|chips
154,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","food,ambience,service","FOOD,AMBIENCE,SERVICE",FOOD|FOOD|FOOD|AMBIENCE|SERVICE,cafe|bart|food|ambience|service
155,1303888:0,All the staff is absolutely professional!! ,staff,SERVICE,SERVICE,staff
156,1303984:1,My chow fun and chow see was really bland and oily.,chow fun and chow see,FOOD,FOOD|FOOD|FOOD,chow|chow|oily
157,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,"scallion pancakes,fried dumplings","FOOD,FOOD",FOOD|FOOD|FOOD,scallion|pancakes|dumplings
158,1308557:0,The service was the only thing good about this restaurant.,"service,restaurant",SERVICE,SERVICE|AMBIENCE,service|restaurant
159,1308557:1,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.","NULL,sushi,tuna,rolls","AMBIENCE,FOOD,FOOD,FOOD",FOOD|FOOD|AMBIENCE|FOOD|FOOD|FOOD,inside|sushi|average|tuna|rolls|flavor
160,1310217:1,Their pad penang is delicious and everything else is fantastic.,"pad penang,NULL","FOOD,FOOD",FOOD,penang
161,1310217:2,The price is reasonable although the service is poor.,"NULL,service","PRICES,SERVICE",PRICES|SERVICE,price|service
162,1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,"fresh restaurant,food",FOOD,FOOD,restaurant
163,1318537:4,Hats off to the chef.,chef,FOOD,AMBIENCE|FOOD,hats|chef
164,1328078:3,"the salads are delicious, both refreshing and very spicy.",salads,FOOD,FOOD,salads
165,1328078:4,We had Pam's special fried fish and it was amazing.,Pam's special fried fish,FOOD,FOOD,fish
166,1335154:1,"Great vibe, lots of people.",vibe,AMBIENCE,FOOD|FOOD|FOOD,vibe|lots|people
167,1335154:4,"I didn't complain, I liked the atmosphere so much.",atmosphere,AMBIENCE,AMBIENCE,atmosphere
168,1335656:2,"Ambience is so cute and quaint, good for business although we were there on vacation.","Ambience,NULL",AMBIENCE,AMBIENCE|PRICES|FOOD,ambience|business|vacation
169,1335656:3,Salads were fantastic.,Salads,FOOD,FOOD,salads
170,1335656:4,Although we were looking for regular lettuce and some walnuts the salads we got were great.,salads,FOOD,FOOD|FOOD|FOOD,lettuce|walnuts|salads
171,1335656:5,Ingredients are organic which is a real plus for me.,Ingredients,FOOD,FOOD,ingredients
172,1338124:0,"This is some really good, inexpensive sushi.","sushi,sushi","FOOD,PRICES",FOOD,sushi
173,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,"spicy Tuna roll,spicy Tuna roll,spicy Tuna roll","FOOD,FOOD,PRICES",FOOD|FOOD|PRICES|PRICES|PRICES,spicy|tuna|roll|price|range
174,1338124:3,The Yellowtail was particularly good as well.,Yellowtail,FOOD,FOOD,yellowtail
175,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","all you can eat deal,all you can eat deal","FOOD,PRICES",FOOD|FOOD|FOOD|FOOD|FOOD,reservations|deal|choices|food|menu
176,1340075:1,"They have it all -- great price, food, and service.","NULL,NULL,food,service","PRICES,FOOD,SERVICE",PRICES|FOOD|SERVICE,price|food|service
177,1340075:2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"atmosphere,waiters","AMBIENCE,SERVICE",AMBIENCE|SERVICE,atmosphere|waiters
