,0,aspect,prediction
144,i was in search of a new item to take it 's place as my new mp3 player / harddrive . ,,|item!new|search!new|player!item|place!new|mp3!new|harddrive!new
145,"for an early christmas gift , i got a zen xtra 40 gb player . ",,|gift!early
146,"i refused to go for an ipod , i am not going to spend all that money just for the apple name and because it is "" trendy "" to have that player . ",,ipod!refused|player!trendy
147,this was the closest alternative and best buy for this type . ,,alternative!best|type!alternative
148,after receiving my zen xtra 40gb mp3 player .. . ,,|player!40gb|zen!40gb|xtra!40gb|mp3!40gb
149,i will just say this : ,,
150,i will never go back to my archos again ! ! ,,
151,"so easy to set up , had some problems with my archos . ",set up!+,
152,stayed up all night trying to figure out that thing . ,,
153,"just easily drag and drop files into the nomad explorer and from there you easily alter id tags and sort your music according to your liking , by artist , song title , genre , etc. ",nomad explorer!+,
154,"not only is it functional and runs super smooth & fast , but it is also eye candy . ",player!+,|candy!functional
155,very sleek & stylish as well as the screen options and visuals it has . ,design!+,
156,"the leather case it comes with is pretty nice , similar to a pda style case and does hold and protect it perfectly . ",leather case!+,case!nice|leather!nice|pda!nice|style!nice
157,all the buttons & neccessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand . ,button!+,
158,the sound quality is also nice ... after i hooked up my sony headphones instead of those factory earbuds it comes with . ,sound quality!+,quality!nice
159,"lots of sound options , has an equalizer almost like winamp with the options . ",sound option!+,|winamp!sound
160,navigation is so smooth and finding files is a cinch . ,navigation!+,navigation!smooth
161,also navigating while playing music is a plus unlike my previous player . ,navigation!+,|player!previous
162,it was impossible to do so before . ,,
163,"oh , and the screen saver feature is pretty sweet ^ _ ^ ",screen saver!+,feature!sweet|screen!sweet|saver!sweet
164,"another plus in my book , no file limits ! ",file limit!+,file!limits|book!file
165,"i was limited to 999 files in a playlist with archos ' os , now i can have as many as i want . ",,
166,i have over 2000 files in my playlist at the moment and the random does a nice job mixing it up . ,playlist!+,job!nice
167,i am quite happy having over 10 gigs of music stored on this baby as well as a few gigs of media files in the data folder . ,storage!+,|music!few|folder!few
168,now i can transport files to friends house with ease . ,,
169,"when plugged in , it does n't lag the computer like the archos did ... unless you are doing a massive transfer of data in one load . ",,computer!lag|transfer!massive|load!transfer
170,"after playing with this little device , i do n't know why i would look at an ipod with the same space when it costs $ 500 and i got mine for a little more than half that price ! ",,|device!little|ipod!same|space!same|half!little|price!half
171,i really have no complaints over this unit . ,player!+,unit!complaints
172,i really do recommend this to anyone in need of a new player . ,player!+,|player!new|need!new
173,"in fact , my boyfriend is now going to invest into one of these suckers as well ... now he realizes that this is the best choice over his current archos and the ipod he was eyeing . ",,choice!best|ipod!current
174,getting the program to install properly has been a living hell experience . ,installation!-,
175,the cd just has too many problems with win xp . ,,xp!win|cd!problems
176,i am going to have to try an online download and see if that works . ,,
177,"also , the instruction manual is very bad . ",manual!-,manual!bad|instruction!bad
178,i have no complaints with this mp3 player . ,player!+,
179,getting files onto it is quick and painless . ,file transfer!+,
180,then sorting the files is easy as pie . ,sorting!+,
181,and it holds sooooo much music and audio files . ,storage!+,|music!much|audio!music
182,my music demands are pretty intense and this handles those demands without problems . ,player!+,music!intense
183,"also , the sound is wonderful ... my only gripe were those aweful earphones that this came with . ",sound!+,sound!wonderful|gripe!aweful
184,"come on, at $ 300 they could at least put in a good pair of earphones . ",,pair!good
185,sheesh ! ! ,,
186,the battery is nice . ,battery!+,battery!nice
187,i listened to it for several days before needing to recharge them . ,,
188,the lcd screen was very large and readable . ,screen!+,|screen!large|lcd!large
189,thank you ! ,,
190,my last mp3 player 's screen drove me nuts . ,,|player!last|screen!last|mp3!last
191,a great buy . ,,buy!great
192,"compared to everything else in this category , this is most definately the best bang for the buck . ",player!+,bang!best|everything!best|buck!best|category!bang
193,"i think the whole zen line has been fairly innovative and reasonably priced , but it 's not really appropriate to compare the pricing of the zen line to the ipods ( although , the ipod is still way over priced ) . ",,line!innovative|zen!innovative|way!appropriate|pricing!innovative|ipod!appropriate
194,you 're talking totally different hardware . ,,|hardware!different
195,all of the zens use a standard notebook drive . ,,|drive!standard|notebook!standard
196,this puts the zen in line with players like the rca jukebox and the whole line of archos players ( the newer ones are a bit better than the original archos jukeboxes ... but i popped out the drive in my 20 gig jukebox recorder and put in a 60 gig drive and use it exclusively as a powered portable usb 2.0 drive ). ,,line!better|jukebox!better|drive!portable|recorder!portable|gig!portable|usb!portable
197,"the ipod uses a smaller ( and more expensive ) drive ( 1.8 "" ) . ",,drive!expensive|ipod!drive
198,"the devices competing with the ipod are the iriver ihp 120 , the rio karma , and the philips hdd100 . ",,
199,i should point out that the new rio karma is now down to about $ 280 and is reviewed readily as being as good as ( and better in some areas ) the ipod . ,,ipod!better|ipod!good|karma!new|rio!new
200,the 20 gig ipod still goes for just under $ 400 . ,,
201,that 's a huge difference ... especially in this price range . ,,|difference!huge|range!huge
202,i can 't believe people continue to pay those prices . ,,
203,advertising pays off i guess .. . ,,
204,i doubt anyone has ever seen an add or commercial for any other mp3 player . ,,|player!other|mp3!other
205,i gave the zen 5 stars because it 's excellent for the class that it is in and it 's not really appropriate to rate it based on players in a different class . ,zen!+,|class!different
206,"my personal favorite is the karma ( i currently own a karma , a zen usb 2.0 , a philips hdd100 , and an upgraded 60 gig archos jukebox recorder ). ",,karma!favorite|usb!upgraded|recorder!upgraded|favorite!own|gig!usb|zen!own|jukebox!usb
207,"i guess that 's why you so often see "" ipodders "" bashing every other player out there ( very often not knowing anything about them the whole "" i spent $ 120 more for something not any better and so should you ... so i can feel better "" thing . ",,player!bashing|anything!bashing|something!better|something!whole|thing!something
208,i originally purchase a 30 gb nomad zen xtra as a portable mp3 player . ,,player!portable|mp3!portable
209,"after fiddling around with it for a while , i notice a few dissapointments : ",,
210,transfering - i could not get my songs to completely transfer via usb 1.1 or 2.0 . ,transfer!-,
211,"it would only transfer 30 or so songs , and then come up with an error . ",transfer!-,
212,"having 4000 or so mp3s , i never got more than 500 transfered . ",,
213,"scroll button - the scroll wheel was a nice idea to keep less clutter , but the button would sometimes get stuck or keep scrolling . ",scroll wheel!-,idea!nice|button!nice|wheel!nice|scroll!idea
214,size - bigger than the ipod ,size!-,
215,"software - music match jukebox is n't the greatest , the search funtion is n't fast even when accessing it with the hotkey shortcut . ",software!-,software!greatest|jukebox!greatest|funtion!fast|music!software|match!software
216,"after i went through the transer issue , i returned the zen xtra and purchased the 40 gig ipod . ",,
217,song transfers were not an issue . ,,song!issue
218,i transfered all 16 gigs in 15 minutes without any errors via firewire . ,,
219,"the navigion on it can be a little quirky , but still operates better than the zen 's did . ",,|navigion!quirky
220,"the ipod is also an attractable piece , being lightweight and small . ",,|piece!attractable|ipod!attractable
221,"the casing scratches a little easy , but the glove cases work great to protect against this . ",,
222,"sound quality was the same between the two , but the zen did have more sound adjustments with the normal eax features . ",sound quality!+,|quality!same|eax!normal
223,i chose to keep the ipod and am very happy with the purchase . ,,
224,"granted it is a little more than the zen , it is well worth it . ",,|zen!little
225,itunes is a versatile program and i have n't had any issues with the ipod itself . ,,program!versatile|program!issues
226,i love this player . ,player!+,player!love
227,its great . ,,
228,"all i have to say is that i did freeze on me once , but it has n't done it since . ",player!-,
229,i love this player and would probably go with creative labs again . ,player!+,player!love
230,"the software was great , as long as you have an adminstrative user account ( windows xp ) . ",software!+,software!great|xp!great
231,i got every song i had downloaded to the player within a day or so . ,,
232,"it only took about 30 minutes to download everything , and that was about 950 songs . ",,
233,"anyway , this player is a great deal and i really love it . ",player!+,deal!love|player!love
234,"first , the cons ... a tad bulky ... not the most asthetic looking player ... and does n't support a folder stucture . ",size!-,player!bulky|tad!cons|stucture!support|folder!support
235,the pro ... ,,
236,way less expensive than the ipod . ,price!+,
237,my opinions : ,,
238,"personally , i do n't understand all the complaints about the interface .. . ",,
239,i find it pretty easy to use ... and unlike the remote interface for the audigy 2 nx ( on the pc ) .. . ,interface!+,interface!easy|nx!remote
240,it actually gives the option to clear the previous playlist when i want to play another list . ,,playlist!clear|option!playlist
241,"meaning i do n't have to manually clear the list , and then load the new list . ",,list!clear
242,the cons are n't really a big deal to me ... except one con that does annoy me is the way it stores files ... no folder structure ... and it 's based on the title of the songs ... many of my songs where seperated into folders ( on the pc ) ... and a few had same titles ... so i had to change the titles to make sure that i did n't have any that might be the same as another . ,folder structure!-,deal!cons|way!cons|structure!cons|folder!deal|title!structure
243,and man ... i had to work to put my chinese songs on the player ... because i had the actual chinese names of the songs as the title .. ,chinese name!-,man!work|title!work|player!work
244,"and since the current language selection was english ( even though i think only the menu supports chinese , and not the track info ) ... all it saw were "" ? "" s and even though the songs had different names in chinese .. ",,menu!supports|info!supports|selection!english|language!english
245,"if it had the same number of "" ? "" s then it would ask if you want to overwrite another song that just had the same number of "" ? "" s. . . ",,|number!same
246,"buyer beware ! sort your songs and adjust the titles accordingly ( maybe this applies to other players too , and not just the nomad , i do n't know ) . ",,
247,i would 've still bought this drive even if i knew about this issue beforehand . ,,
248,not counting the time i spent editing the songs ( i suppose i should 've done it anyway on my pc ) the transfer was pretty painless . ,transfer!+,transfer!painless|pc!transfer
249,"once you start sending files , it 'll continue until it 's done or it hits a song that has the same title as another song ... at which point you can skip , skip all , replace , replace all , or cancel . ",,|title!same|song!same|point!song
250,"and go from there ... if you chose one of the "" all "" options , then you do n't need to do anything until it 's done . ",,
251,"in two transfer batches ( first was english songs , then foreign languages ) , it did n't come up with any errors ( aside the duplicate name i mentioned ). ",,
252,so i do n't know what the previous review that could n't do more than 30 songs is talking about . ,,|review!previous
253,"of course , unlike that person i will mention that i upgraded the firmware to 1.23 . 00. but i did transfer files before the upgrade without problem too . ",,firmware!upgraded|person!upgraded
254,you should update the firmware before upgrading the drivers if you decide you need the newer drivers for the pc. ,,
255,"the mediasource itself was flaky ... crashing my explorer twice within the first hour ( the crash did n't require a reboot ) ... but after another reboot , it has n't crashed since . ",,mediasource!flaky|explorer!flaky|hour!first|hour!flaky|crash!hour|reboot!crash
256,did i mention i 've already dropped it once ? ,,
257,that was n't pretty . ,,
258,there 's a dent on the upper-back-right and lower-back-right corners ... not too obvious unless you 're up close . ,,|dent!obvious
259,"hehe , my bad . ",,hehe!bad
260,that 's all for now . ,,
261,"bought the 30gb xtra a couple of weeks ago , and so far it has been excellent . ",xtra!+,|xtra!30gb|couple!xtra
262,"i still have over 19gb left , and already have over 200 cd 's on it . ",storage!+,|left!cd
263,i 'll have to borrow cd 's to rip from friends to even come close to filling the thing . ,,
264,"i 'm not sure why people have problems with either the interface of the nomad , or the software that comes with the unit . ",,
265,"both are very easy to learn & use , and intuitive enough for even a novice . ",interface!+,
266,"besides user error ( surprise , surprise ) , it 's hard to imagine people having trouble with either . ",,surprise!error|surprise!error|user!surprise
267,"ripping & transferring tunes is basic , and pretty fast ( even on a 1.1 usb ) . ",transfer!+,
268,"people also have complained about the case not having a window , but that 's not really a big deal to me either -- the case is sturdy and offers very good protection . ",case!+,deal!sturdy|case!sturdy
269,it 's easy enough to pop it open to see what song you 're listening to . ,case!+,
270,"the sound quality is excellent ( and i 'm fussy with that stuff ) , the unit looks cool , screen is bright and easy to read , and the replaceable battery means a major advantage over the ipod ( besides the price , but everyone knows that ) . ",sound quality!+|battery!+,quality!excellent|stuff!excellent|screen!bright|unit!cool|battery!replaceable|battery!advantage|advantage!battery
271,"you of course have some good customization options with the unit as well ( sound presets , navigating options , playlists , etc ) . ",option!+,customization!good|unit!good
272,"i just put it on "" shuffle "" , sit back , and enjoy the eclectic mix that almost 3,000 tunes offer ! ",,mix!enjoy
273,the only thing i 'm concerned about is the quality / longevity of the buttons on the thing . ,button!-,|thing!only|longevity!only
274,"my "" fast forward "" button works , but it takes a little extra pressure on it to make it go . ",button!-,|pressure!little
275,"not an urgent issue , as it still works .. . ",,
276,all other buttons are pretty sensitive to touch and work well . ,button!+,
277,i 'll have to see if this becomes a problem down the road . ,,
278,"but i 've already emailed creative tech support about it , and gotten timely responses - they will fix it for me if necessary .. . ",support!+,
279,we 'll see if i need them to . ,,
280,"sure , it 's a little bigger than the ipod , but not by much . ",size!-,|ipod!sure
281,this is not the unit you should use if you go jogging anyway . ,,
282,"it still fits in the palm of your hand , and it 's not heavy . ",size!+,
283,"i use mine at the office , in the car ( with a cassette adapter ) , and will be taking it on a flight back east for the holiday . ",,|flight!east|holiday!flight
284,yes . ,,
285,get better headphones . ,,
286,"rip your tunes at 192kb if you like , alhthough 128kb sounds just dandy , and you 'll get more tunes stored on it . ",,
287,"bottom line ... great product , unbeatable price . ",product!+,product!great|line!great|price!unbeatable|price!great
288,i got mine for $ 160 less than the ipod 30gb ( got an extra $ 30 off for applying for an amazon visa ... thanks amazon ! ) ,,
289,"basic shipping was a bit slow , but that 's okay . ",,shipping!slow|bit!shipping
290,"i got it now , and i 'm diggin ' it . ",,
291,"awful , awful , awful . ",,
292,"unlike my 3 other mp3 players , this thing will only work properly if you have id3 tags on all of your tracks . ",id3 tag!-,thing!work|mp3!other
293,"if you do n't have tags , it 'll lump all of your tracks into the same directory and they cannot be searched via artist or album as the zen does not recognize folders . ",id3 tag!-,|directory!same
294,"it 's a shame , but mine is going back . ",,
295,bummer as it has great sound quality . ,,quality!great|bummer!quality
296,i just received my 40gb zen xtra yesterday and i 'm extremely pleased with it . ,player!+,|xtra!40gb|zen!40gb|yesterday!xtra
297,my brother bought an ipod this past summer and my dad bought the original zen around the same time .. ,,|summer!past|zen!original|brother!zen|time!same|ipod!brother|dad!brother
298,just before we all spent a couple weeks in an rv together . ,,
299,the ipod is a neat piece of machinery but after screwing around with both of them i think the zen products are the way to go . ,,piece!neat|ipod!neat|machinery!neat
300,so i requested and received a zen xtra as a christmas gift . ,,
301,the setup and transfer process was cake for me . ,setup!2|transfer!+,
302,i just used the explorer program to move my songs to my player . ,,
303,i did have to put a little work into renaming some duplicate file names to get all my music on my zen xtra but it was n't a big problem . ,transfer!-,
