,index,sentence,lambda,raw_aspect,sentiment,aspect,target
10,10,great job canon ! ,"seq(great_JJ_P_1,job+canon_NN_N_0)",[],[],[],
11,11,yep . ,yep_NN_N_0,[],[],[],
12,12,"this is my first digital camera , and what a ' toy ' it is ! ","is_VB_N_0(CC(is_VB_N_0(toy_NN_N_0,it_PRP_N_0),seq(first_JJ_N_0,digital+camera_NN_N_0)))",[],[],[],camera[+2]
13,13,"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . ","CC(say_VB_N_0(it_PRP_N_0(\X.spent_VB_N_0(X),single+cent_NN_P_1,i_FW_N_0,g3_NN_N_0),i_FW_N_0),CC(buying_VB_N_0(digital+camera_NN_P_1,months_NNS_P_1(\X.spend_VB_N_0(X)),buy_VB_N_0(everything_NN_P_1,i_FW_N_0),i_FW_N_0,seq(software+engineer_NN_N_0,details_NNS_P_1)),i_LS_N_0))","['single+cent_NN_P_1', 'digital+camera_NN_P_1', 'everything_NN_P_1']","[1, 1, 1]","['single cent', 'digital camera', 'everything']",
14,14,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ","CC(gives_VB_N_0(pictures_NNS_N_0,CC(brilliance_NN_P_1,touch_NN_N_0),CC(alsmost_NN_N_0,full+manual+control_NN_N_0)),is_VB_N_0(CC(CC(4+megapixel_NN_N_0,slrlike+camera_NN_N_0),CC(canon+powershot+series_NN_N_0,flagship_NN_N_0)),seq(little_JJ_N_0,overview+powershot+g3_NN_N_0)))",['brilliance_NN_P_1'],[1],['brilliance'],picture[+2]
15,15,"whether you are a novice or an expert , its ease of use and functionality goes together . ","are_VB_N_0(CC(expert_NN_N_0,novice_NN_N_0),you_PRP_N_0,CC(functionality_NN_N_0,use_NN_N_0,ease_NN_P_1))",['ease_NN_P_1'],[1],['ease'],use[+1]
16,16,"+ you can have different kind of lens if you want + flashes , etc. ","etc_FW_N_0(want_VB_N_0(flashes_NNS_N_0),you_PRP_N_0,have_VB_N_0(CC(lens_NN_N_0,different+kind_NN_N_0)),you_PRP_N_0)",[],[],[],
17,17,"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) . ","CC(recording_VB_N_0(movies_NNS_N_0,record_VB_N_0(CC(video_NN_N_0,minutes_NNS_N_0),you_PRP_N_0)),need_VB_N_0(store_VB_N_0(CC(quality_NN_N_0,images_NNS_N_0),bigger+storage_NN_N_0),you_PRP_N_0))",[],[],[],
18,18,i am using kingston 512mb cf which works great and is very fast . ,"am_VB_N_0(using_VB_N_0(seq(great_JJ_P_1,kingston+512mb+cf_NN_N_0)),i_FW_N_0)",[],[],[],
19,19,"a good choice could be cf type ii , microdrives that can store around 1 gb of images . ","be_VB_N_0(store_VB_N_0(CC(images_NNS_N_0,gb_NN_N_0),type_NN_N_0(seq(ii_LS_N_0,microdrives_NNS_N_0))),good+choice_NN_N_0)",[],[],[],
20,20,some things that i did n't like ( but hey . nothing is perfect ). ,"NSS(CC(\X.hey_VB_N_0(X),\X.like_VB_P_1(X),things_NNS_N_0,i_FW_N_0),seq(perfect_JJ_P_1,nothing_NN_N_0))",[],[],[],
21,21,* main dial is not backlit . ,"seq(backlit_JJ_N_0,main+dial_NN_N_0)",[],[],[],dial[-1]
22,22,* lens visible in optical viewfinder . ,lens_NN_N_0,[],[],[],viewfinder[-2]
23,23,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . ,"CC(twist_VB_Ne_2(you_PRP_N_0),CC(viewfinder_NN_P_1,fans_NNS_P_1,\X.thats_VB_N_0(X)))",['viewfinder_NN_P_1'],[1],['viewfinder'],
24,24,overall i 'm happy with my toy . ,"seq(happy_JJ_P_1,toy_NN_N_0,i_FW_N_0)",[],[],[],camera[+2][p]
25,25,i did extensive research comparing different 4 and 5 megapixel cameras . ,"did_VB_N_0(comparing_VB_N_0(CC(CC(megapixel_NN_N_0,cameras_NNS_N_0)),extensive+research_NN_N_0),i_LS_N_0)",[],[],[],
26,26,"a couple of online camera review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution sample images to compare amongst the models . ","CC(provided_VB_N_0(compare_VB_N_0(models_NNS_N_0,resolution_NN_N_0(CC(sample_NN_N_0,images_NNS_N_0),great+number_NN_N_0))),provided_VB_N_0(made_VB_N_0(camera_NN_N_0,seq(couple_NN_N_0,reviews_NNS_N_0))),they_PRP_N_0,couple_NN_P_2)",['couple_NN_P_2'],[1],['couple'],
27,27,"following my research , i decided on the g3 . ","g3_NN_N_0(\X.decided_VB_N_0(X),following_VB_N_0(research_NN_N_0),i_FW_N_0)",[],[],[],
28,28,"in a word , "" awesome "" is how i would describe this camera . ","word_NN_N_0(is_VB_N_0(describe_VB_N_0(camera_NN_N_0,i_FW_N_0),awesome_JJ_P_1))",[],[],[],camera[+3]
29,29,"i won't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers . ","CC(offers_VB_N_0(features_NNS_P_1,flexibility_NN_P_1(CC(camera_NN_P_1,automation_NN_P_1),quality_NN_P_1,speed_NN_P_1,picture_NN_P_1),i_FW_N_0),wonot_FW_N_0(CC(reviews_NNS_N_0,great+depth_NN_N_0,\X.go_VB_N_0(X),online+sites_NN_N_0(CC(stevesdigicams_NNS_N_0,dpreviews_NNS_N_0)),details_NNS_N_0(\X.go_VB_N_0(X))),i_FW_N_0))","['flexibility_NN_P_1', 'camera_NN_P_1', 'automation_NN_P_1', 'quality_NN_P_1', 'speed_NN_P_1', 'picture_NN_P_1']","[1, 1, 1, 1, 1, 1]","['flexibility', 'camera', 'automation', 'quality', 'speed', 'picture']","speed[+2],picture quality[+2],function[+2]"
30,30,"with the automatic settings , i really have n't taken a bad picture yet . ","taken_VB_N_0(bad+picture_NN_N_0,i_FW_N_0)",[],[],[],auto setting[+2]
31,31,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . ","CC(panoramic+stitch+mode_NN_N_0(seq(guides_NNS_N_0,you_PRP_N_0,it_PRP_N_0)))",[],[],[],
32,32,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ","am_VB_N_0(g3_NN_N_0(put_VB_N_0(enormous+quality_NN_N_0),camera+canon_NN_N_0,awe_NN_P_1),i_FW_N_0)",['awe_NN_P_1'],[1],['awe'],camera[+3]
33,33,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ","have_VB_N_0(budget_NN_N_0,you_PRP_N_0,CC(buy_VB_N_0(camera_NN_N_0),walk_VB_N_0(run_NN_N_0)),guarantee_VB_P_1(be_VB_N_0(\X.disappointed_VB_Ne_1(X),you_PRP_N_0),i_FW_N_0))",[],[],[],
34,34,i bought my canon g3 about a month ago and i have to say i am very satisfied . ,"CC(have_VB_N_0(say_VB_N_0(seq(canon+g3_NN_P_2,i_FW_N_0)),i_FW_N_0))",['canon+g3_NN_P_2'],[1],['canon g3'],canon g3[+3]
35,35,i have taken hundreds of photos with it and i continue to be amazed by their quality . ,"CC(continue_VB_N_0(be_VB_N_0(quality_NN_N_0(\X.amazed_VB_P_1(X))),i_FW_N_0),have_VB_N_0(taken_VB_N_0(seq(it_PRP_N_0,photos_NNS_N_0,hundreds_NNS_N_0)),i_LS_N_0))",[],[],[],photo quality[+2]
36,36,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds . ","CC(using_VB_N_0(CC(shutter_NN_N_0,speeds_NNS_N_0),hold_VB_N_0(g3_NN_P_1),it_PRP_N_0))",['g3_NN_P_1'],[1],['g3'],feature[+2]
37,37,flaws ? ,flaws_NNS_Ne_1,[],[],[],
38,38,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . ","CC(use_VB_N_0(lcd_NN_N_0,seq(time_NN_N_0,lens_NN_N_0),i_FW_N_0,is_VB_N_0(me_PRP_N_0(\X.bother_VB_Ne_1(X),lens_NN_N_0))))",[],[],[],viewfinder[-1]
39,39,still i am a little suprised that canon did not correct this design flaw before releasing the camera . ,"releasing_VB_N_0(camera_NN_N_0,correct_VB_P_1(design+flaw_NN_N_0),canon_NN_N_0,i_FW_N_0)",[],[],[],
40,40,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ","minor+disappointment_NN_N_0(recommend_VB_P_1(canon+g3+anyone_NN_N_0,i_FW_N_0))",[],[],[],camera[+2]
41,41,i have only had this camera for one full day and i have to say that it is wonderful . ,"CC(have_VB_N_0(say_VB_N_0(seq(camera_NN_P_1,it_PRP_N_0)),i_FW_N_0))",['camera_NN_P_1'],[1],['camera'],camera[+2]
42,42,the photo quality is amazing and i know i 'm going to have fun with all the features . ,"CC(know_VB_N_0(am_VB_N_0(going_VB_N_0(features_NNS_N_0(have_VB_N_0(fun_NN_P_1))),i_FW_N_0),i_FW_N_0),seq(amazing_JJ_P_1,photo+quality_NN_N_0))",['fun_NN_P_1'],[1],['fun'],photo quality[+3]
43,43,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) . ","ve_FW_N_0(have_VB_N_0(know_VB_N_0(CC(symbols_NNS_N_0,things_NNS_N_0),i_FW_N_0,used_VB_N_0(seq(features_NNS_N_0,cameras_NNS_N_0))),i_FW_N_0),i_LS_N_0)",[],[],[],
44,44,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display panel on top , but that does n't stop me from loving this camera . ","CC(stop_VB_N_0(me_PRP_N_0,loving_VB_P_1(camera_NN_N_0)),am_VB_N_0(ve_FW_N_0(been_VB_N_0(having_VB_N_0(trouble_NN_P_1)),i_FW_N_0,time_NN_N_0,concentrate_VB_N_0(one+screen_NN_N_0),people_NNS_N_0),i_LS_N_0))",['trouble_NN_P_1'],[1],['trouble'],
45,45,"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . ) ","NSS(rated_VB_N_0(it_PRP_N_0,reason_NN_N_0,i_FW_N_0),t_NN_N_0(get_VB_N_0(know_VB_N_0(eyesight_NN_N_0(adjust_VB_N_0(CC(viewfinder_NN_N_0,focus_NN_N_0)),\X.is_VB_N_0(\X.is_VB_N_0(X,it_PRP_N_0),X,diopter+adjustment_NN_N_0)),you_PRP_N_0,accurate+adjustment_NN_N_0)),you_PRP_N_0,\X.turn_VB_N_0(X),CC(hard_JJ_Ne_1,small_JJ_N_0)))",[],[],[],darn diopter adjustment dial[-1]
46,46,i am going to have so much fun with this camera and when i learn more i will post a more accurate review . ,"CC(post_VB_N_0(seq(fun_NN_P_1,review_NN_N_0),i_FW_N_0))",['fun_NN_P_1'],[1],['fun'],
47,47,positives ,positives_NNS_P_1,[],[],[],
48,48,"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings . ","CC(auto_NN_P_1,progam_NN_P_1,CC(exposure_NN_P_1,settings_NNS_P_1),gives_VB_N_0(you_PRP_N_0,latitude_NN_P_1,CC(exposure+control_NN_N_0,programming_NN_N_0,1+slr_NN_N_0)))","['auto_NN_P_1', 'progam_NN_P_1', 'exposure_NN_P_1', 'latitude_NN_P_1']","[1, 1, 1, 1]","['auto', 'progam', 'exposure', 'latitude']","exposure control[+2],auto setting[+2]"
49,49,excellent range of metering options as well . ,"metering_VB_N_0(options_NNS_N_0,excellent+range_NN_N_0)",[],[],[],metering option[+2]
50,50,it 's great to switch to spot metering and actually see it working on the lcd screen . ,"switch_VB_N_0(CC(see_VB_N_0(it_PRP_N_0,working_VB_N_0(lcd+screen_NN_P_1)),spot_VB_N_0(metering_NN_P_1)),it_PRP_N_0)","['lcd+screen_NN_P_1', 'metering_NN_P_1']","[1, 1]","['lcd screen', 'metering']",spot metering[+1]
51,51,2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ) ,"camera_NN_P_1(CC(target+market_NN_P_1,target+market_NN_P_1))","['camera_NN_P_1', 'target+market_NN_P_1', 'target+market_NN_P_1']","[1, 1, 1]","['camera', 'target market', 'target market']",4mp[+1]
52,52,3 ) 4x zoom is nice ,"CC(3+4x_NN_P_1,zoom_NN_P_1)","['3+4x_NN_P_1', 'zoom_NN_P_1']","[1, 1]","['3 4x', 'zoom']",zoom[+1]
53,53,"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd screen before you take the picture , not two weeks later when you get the film developed . ","4_LS_N_0(is_VB_N_0(get_VB_N_0(developed_VB_N_0(film_NN_N_0),you_PRP_N_0,weeks_NNS_N_0(take_VB_N_0(picture_NN_N_0)),you_PRP_N_0,see_VB_N_0(lcd+screen_NN_N_0(CC(exposure_NN_N_0,settings_NNS_N_0),results_NNS_N_0)),you_PRP_N_0),seq(digital_JJ_N_0,great+thing_NN_N_0)))",[],[],[],
54,54,5 ) its focusing system is also very flexible . ,"seq(flexible_JJ_P_2,focusing+system_NN_N_0)",[],[],[],focus[+2]
55,55,"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus . ","CC(has_VB_N_0(seq(focus+range_NN_N_0,manual+focus+mode_NN_P_2),it_PRP_N_0))",['manual+focus+mode_NN_P_2'],[1],['manual focus mode'],focus[+2]
56,56,negatives ,negatives_NNS_Ne_1,[],[],[],
57,57,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line ) ","CC(uses_VB_N_0(heavy+battery_NN_N_0),CC(aps_NNS_N_0,slr_NN_N_0,minolta_NN_N_0(s1_NN_N_0(\X.vectis_VB_N_0(X))),same+size_NN_Ne_1))",['same+size_NN_Ne_1'],[0],['same size'],"size[-2][u],weight[-2][u]"
58,58,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ) ,"ll_VB_N_0(pointandshoot+lens_NN_P_2(\X.find_VB_N_0(X)),you_PRP_N_0)",['pointandshoot+lens_NN_P_2'],[1],['pointandshoot lens'],design[-2][u]
59,59,4 ) the viewfinder is borderuer lcd scoying . ,"4_LS_N_0(is_VB_N_0(borderuer_NN_N_0(lcd_NN_N_0(\X.scoying_VB_N_0(X))),viewfinder_NN_N_0))",[],[],[],viewfinder[-2]
60,60,the camera has a wonderful set of features . ,"has_VB_N_0(CC(features_NNS_N_0,wonderful+set_NN_N_0),camera_NN_N_0)",[],[],[],"feature[+2], "
61,61,the lcd screen pulls out and rotates in any direction for easy pictures . ,"CC(direction_NN_P_1(\X.rotates_VB_N_0(X)),\X.pulls_VB_N_0(X),lcd+screen_NN_N_0)",['direction_NN_P_1'],[1],['direction'],lcd[+2]
62,62,you can even take a picture of yourself while looking at the lcd . ,"looking_VB_N_0(lcd_NN_N_0,take_VB_N_0(seq(yourself_PRP_N_0,picture_NN_N_0)),you_PRP_N_0)",[],[],[],
63,63,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,"CC(CC(pictures_NNS_N_0,pictures_NNS_Ne_1,is_VB_N_0(seq(digital+zoom_NN_P_2,addition_NN_N_0))),seq(great_JJ_P_1,optical+zoom_NN_N_0))",['digital+zoom_NN_P_2'],[1],['digital zoom'],"optical zoom[+2],digital zoom[+1]"
64,64,the highest optical zoom pictures are perfect . ,"CC(zoom_NN_P_1,pictures_NNS_P_1)",['zoom_NN_P_1'],[1],['zoom'],picture[+3]
65,65,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased . ","seen_VB_N_0(digital+pictures_NN_P_2(seq(fringing_NN_P_2,etc_FW_N_0),seq(usual_JJ_N_0,problems_NNS_P_2)),i_LS_N_0)","['digital+pictures_NN_P_2', 'fringing_NN_P_2']","[1, 1]","['digital pictures', 'fringing']",picture[+3]
66,66,"the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use . ","CC(canon+computer+software_NN_P_1(\X.use_VB_N_0(X)),canon+computer+software_NN_P_2)","['canon+computer+software_NN_P_1', 'canon+computer+software_NN_P_2']","[1, 1]","['canon computer software', 'canon computer software']",software[+2]
67,67,the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,"are_VB_N_0(CC(CC(CC(lcd_NN_N_0,views_NNS_N_0),viewfinder_NN_N_0(obstructs_VB_Ne_1(view_NN_N_0)),seq(itself_PRP_N_0,lens_NN_N_0),it_PRP_N_0),it_PRP_N_0(CC(\X.come_VB_N_0(X),lens+cap_NN_N_0))),camera_NN_N_0(\X.have_VB_N_0(X),seq(minor_JJ_N_0,issues_NNS_N_0),i_FW_N_0))",[],[],[],"lens cap[-1],viewfinder[-1]"
68,68,the menus are easy to navigate and the buttons are easy to use . ,"CC(buttons_NNS_P_1,menus_NNS_P_1)",[],[],[],"menu[+1],button[+1]"
69,69,it is a fantastic camera and well worth the price . ,"is_VB_N_0(CC(price_NN_N_0,fantastic+camera_NN_N_0),it_PRP_N_0)",[],[],[],camera[+3]
70,70,recent price drops have made the g3 the best bargain in digital cameras currently available . ,"CC(price_NN_P_1,drops_NNS_P_1)",['price_NN_P_1'],[1],['price'],camera[+3]
71,71,advanced photobugs will find more creative control than imaginable . ,"seq(advanced_JJ_P_1,photobugs_NNS_P_1)",[],[],[],control[+2]
72,72,newbies will find the full auto setting will give them perfect pictures right out of the box . ,"find_VB_N_0(full+auto+setting_NN_P_1,newbies_NNS_N_0)",['full+auto+setting_NN_P_1'],[1],['full auto setting'],auto setting[+2]
73,73,4 megapixels is enough for anybody and the photo quality is awesome . ,"CC(seq(megapixels_NNS_P_1,photo+quality_NN_N_0))",[],[],[],photo quality[+3]
74,74,do n't get fooled by the 5 megapixel marketing hype . ,get_VB_N_0(megapixel+marketing+hype_NN_N_0(\X.fooled_VB_Ne_1(X))),[],[],[],
75,75,"unless you want to print murals , you do n't need it . ","want_VB_N_0(print_VB_N_0(murals_NNS_N_0),you_PRP_N_0,need_VB_N_0(it_PRP_N_0,you_PRP_N_0))",[],[],[],
76,76,those used to 35mm cameras will find the g3 very comfortable and friendly to use . ,"will_NNS_N_0(the_VB_N_0(very_NN_N_0(CC(35mm+cameras_NN_N_0),35mm+cameras_NN_N_0)))",[],[],[],use[+2][u]
77,77,"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference . ","make_VB_N_0(CC(moderate+price+difference_NN_N_0,huge+step_NN_N_0),looking_VB_N_0(CC(shoot_NN_N_0,point_NN_N_0),anyone_NN_N_0))",[],[],[],
78,78,the extended zoom range and faster lense put it at the top of it 's class . ,"put_VB_N_0(it_PRP_N_0,CC(it+class_NN_N_0,top_NN_P_1),CC(faster+lense_NN_N_0,extended+zoom+range_NN_N_0))",['top_NN_P_1'],[1],['top'],"zoom[+2],lense[+2]"
79,79,i expect the g3 will please me for years to come . ,"expect_VB_N_0(come_VB_N_0(years_NNS_N_0,please_VB_N_0(me_PRP_N_0),g3_NN_N_0),i_LS_N_0)",[],[],[],
80,80,i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! ,"potential+buyer_NN_N_0(recommend_VB_P_1(powershot+g3_NN_N_0),i_LS_N_0)",[],[],[],camera[+3]
81,81,"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing . ","charge_NN_P_1(CC(seq(software_NN_P_1,casing_NN_P_1,it_PRP_N_0,software_NN_P_1,it_PRP_N_0)),use_VB_N_0(battery_NN_P_1(\X.lasts_VB_N_0(X))),controls_NNS_P_1,it_PRP_N_0)","['charge_NN_P_1', 'software_NN_P_1', 'casing_NN_P_1', 'software_NN_P_1', 'battery_NN_P_1']","[1, 1, 1, 1, 1]","['charge', 'software', 'casing', 'software', 'battery']","picture[+3], control[+2], battery[+2], software[+2]"
82,82,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode . ,"CC(am_VB_N_0(amazed_VB_P_1(have_VB_N_0(using_VB_N_0(auto+mode_NN_N_0,\X.took_VB_N_0(X)),CC(photos_NNS_N_0,quality_NN_N_0),i_FW_N_0))),began_VB_N_0(taking_VB_N_0(pics_NNS_N_0)),i_LS_N_0)",[],[],[],"photo quality[+2], auto mode[+2]"
83,83,absolutely breathtaking . ,breathtaking_JJ_P_1(absolutely_RB_I_N_0),[],[],[],
84,84,i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out . ,"CC(was_VB_N_0(convinced_VB_N_0(CC(CC(trying_VB_N_0(it_PRP_N_0),hands_NNS_N_0(holding_VB_N_0(it_PRP_N_0))),visiting_VB_N_0(store_NN_N_0),buy_VB_N_0(g3_NN_N_0)))),was_VB_N_0(considering_VB_N_0(olympus+camedia+c5050_NN_N_0)),i_LS_N_0)",[],[],[],
85,85,"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 . ","CC(was_VB_N_0(battery+life_NN_N_0,other+camera_NN_N_0,sold_VB_N_0(me_PRP_N_0,g3_NN_N_0,features_NNS_N_0)),is_VB_N_0(CC(userinterface_NN_P_1,bit+clumsylooking_NN_N_0),olympus_NN_N_0))",['userinterface_NN_P_1'],[1],['userinterface'],
86,86,"i would recommend a larger compact-flash card , at least 128 mb . ",mb_NN_N_0,[],[],[],
87,87,i bought a 512 mb card by simpletech and it works great with my canon . ,"CC(seq(canon_NN_N_0,512+mb+card_NN_P_1,it_PRP_N_0))",['512+mb+card_NN_P_1'],[1],['512 mb card'],
88,88,what else can you say about a camera that works for both of you ? ,"you_PRP_N_0(you_PRP_N_0(\X.works_VB_P_1(X),camera_NN_N_0,\X.say_VB_N_0(X)))",[],[],[],
89,89,"i make photographs at work , and so wanted a camera good enough to compare with what i use professionally . ","CC(wanted_VB_N_0(compare_VB_N_0(\X.use_NN_P_1(X,i_FW_N_0),camera_NN_N_0)),work_NN_P_1(make_VB_N_0(photographs_NNS_N_0)),i_LS_N_0)","['use_NN_P_1', 'work_NN_P_1']","[1, 1]","['use', 'work']",
90,90,"at the same time , i wanted my wife to not be intimidated by knobs and buttons . ","same+time_NN_N_0(wanted_VB_N_0(wife_NN_N_0,be_VB_N_0(CC(buttons_NNS_N_0,knobs_NNS_N_0,\X.intimidated_VB_N_0(X))),i_FW_N_0))",[],[],[],
91,91,"i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife . ","CC(handed_VB_N_0(it_PRP_N_0,wife_NN_N_0),recieved_VB_N_0(inserted_VB_N_0(charged_VB_N_0(battery_NN_N_0,larger+cf+card_NN_N_0),camera_NN_N_0)),i_LS_N_0)",[],[],[],
92,92,"i showed her how to turn it on , where the lens zoom lever is , and she loves it ! ","CC(loves_VB_P_1(it_PRP_N_0,she_PRP_N_0),showed_VB_N_0(is_VB_N_0(CC(lens_NN_N_0,zoom+lever_NN_N_0),turn_VB_N_0(it_PRP_N_0)),i_LS_N_0))",[],[],[],
