,0,aspect,prediction
77,"i took great care of the screen , till i realized that the part that might get scratched is part of the cover . ",,part|cover|care|screen
78,i can replace that if the scratch is unbearable to look at . ,,scratch
79,the volume level of the phone is not all that good . ,volume,
80,"some of the higher pitched rings are very easy to hear , but not easy to listen to . ",ring,
81,the more subtle tones that were included with the phone are hard to hear at times . ,tone,
82,the vibration is not top . ,vibration,vibration
83,"it is a teeny phone , so it is hard to put a big mechanism in . ",,phone|mechanism
84,"i do n't use the vibration , because it is often easier to hear it vibrate then to feel it . ",,vibration
85,vibration was not even listed as a feature when i purchased this . ,,
86,so it was no loss . ,,
87,overall this has been my favorite phone that i have owned . ,phone,phone
88,"great battery life , perfect size , but a tid bit quieter than i would like . ",battery life,life|battery|bit
89,i do hope that they offer more faceplate options . ,,
90,i am bored with the silver look . ,look,
91,it has a nice color screen . ,color screen,screen|color
92,it is small . ,size,
93,"radio is awsome , but it does n't work unless you have the earpice in . ",radio|radio,radio
94,"that is a major minus , but its not that bad . ",,|minus
95,t-mobile was a pretty good server . ,t-mobile,server|t-mobile
96,it has 2 games . ,,
97,they are not wowable good . ,game,
98,you have to buy better ones . ,,
99,it also does n't have voice activated dialing . big minus ! ! ,voice dialing,
100,"this is a very nice phone , but there is no warranty on it . ",phone,phone|warranty
101,nokia will not cover phones bought from amazon . ,,
102,we got two phones for the t-mobile family plan ( indeed very easy to switch to the family plan ) and one came with a broken headphone ( can hear but cannot be heard ) and one died today after less than two weeks of use . ,phone,headphone|plan|today
103,i 'll see how much help i can get from amazon and report back . ,,|help|amazon
104,i upgraded to a 6610 at my local t-mobile store . ,,
105,"when i got it home , i discovered that the menu options for sending messages via either text or email simply were n't there : ",message,
106,it defaulted to unchangeable email . ,,
107,"so i spent half an hour on the phone with tech support , only to have the online tech person pull one off the shelf and tell me he had the same problem . ",,problem|shelf
108,"i returned to the store , whereupon the clerk insisted that he could make it work ; he could n't . ",,clerk|whereupon
109,"he spent another half hour on the phone with tech support , to no avail . ",,
110,"so i had to give up and return it , having lost about 4 hours . ",,
111,"while i had the phone , the positive features were : good sound quality and an excellent fm phone and earpiece . ",sound quality|fm|earpiece,quality|quality
112,"negative : impossibly tiny and difficult to operate , barely visible , power button . ",size|operate|button,|power
113,poor visibility on the keys . ,key,visibility
114,you have to tilt the phone around to catch the light on them . ,,
115,the title says it all ... ,,
116,"the two biggest things is the excellent working speakerphone "" unlike the nokia 3650 "" and the superb reception nokia is known for in the gsm phones they make ... ",speakerphone|reception,nokia|reception|speakerphone|nokia
117,only con i can think of is no camera ... . ,camera,
118,no big deal for the size . . ,,
119,this phone is a winner ... ,phone,phone
120,"anything this phone does , it does perfectly . ",phone,|anything
121,"the speakerphone , the radio , all features work perfectly . ",speakerphone,
122,the speakerphone : ,,
123,this phone has a very cool and useful feature -- the speakerphone . ,speakerphone,feature|speakerphone
124,as said before this works perfectly . ,speakerphone,
125,you can adjust the volume to be heard anywhere or so that it does n't make that big of a disturbance . ,volume,volume
126,the person on the other end of the call can hear you perfectly . ,speakerphone,|person|call
127,you can be up to about 3 feet away from it and it will still work perfectly . ,speakerphone,
128,"only one complaint about the speakerphone , you can only activate the speakerphone feature once the person you are calling answers the phone , not while it is ringing . ",speakerphone,|complaint
129,the radio : ,,
130,this phone is one of the few phones that have an fm radio tuner built in . ,radio,
131,"this radio receives fairly decent reception but not nearly as good as a normal radio , but as long as the stations are coming in clearly the phone 's radio should work perfectly . ",radio,radio|phone|reception
132,tri-band : ,,
133,"one highly beneficial feature of this phone ( at least to me ) is that it can be used anywhere in the world except a few countries that do not use gsm , a few in asia . ",feature,feature|phone
134,i bought this phone for my trip to south africa and it worked almost perfectly . ,phone,phone|trip
135,the only problem i had was a small glitch with t-mobile . ,t-mobile,problem
136,anywhere i went in south africa this phone received full bar reception . ,reception,|bar
137,"if it worked like that in south africa , i imagine it would just work without a hitch in europe . ",,hitch
138,sold in other parts of the world : ,,
139,another benefit of this phone is that it is truly an international phone ; the 6610 is sold in almost everywhere in the world . ,phone,phone
140,this means that there is a good chance that this phone will not break easily like typical american phones . ,phone,phone|chance
141,"or on the rare occasion it does you can bring it into any t-mobile store , which are located in many countries in europe . ",,|europe
142,i cannot stress enough how big of a benefit it is to have a european phone and a european company providing your cell phone service . ,,benefit|company|company
143,able to use service in another country : ,,|country
144,"if you decide to go to another country for an extended period of time , you can just buy a sim card from a service provider in that country . ",,|provider
145,you would then have a phone number in that country and not have to pay for international roaming in that country . ,,|roaming
146,size and weight : ,,|weight
147,"when you put this phone in your pocket you forget it is there ; it is unbelievably small and oh , so light . ",size,phone|pocket
148,"this is a benefit for many reasons ; one being just for appearance , your pants wo n't be bulging with this phone in your pocket . ",size,phone
149,battery life : ,,
150,the battery life on this phone is surreal . ,battery life,life|battery
151,"it lasts , truly , 7 days on standby . ",,
152,i 've used the speakerphone for almost two hours once and the battery did not even go down one single bar . ,battery,
153,it is amazing that the battery lasts so long when the phone is so small and light . ,battery,
154,"this phone has many other features , ir , ; just to name one , the features above i view as the most beneficial . ",phone,|ir|view
155,"the phone has a few minor inconveniences , but only because it lacks those features , bluetooth and high spend internet , but there are very few problems with things that you expected this phone to do . ",bluetooth,bluetooth
156,"overall , i highly recommend this phone . ",phone,phone
157,it is a perfect phone in such a small and appealing package . ,phone,phone|package
158,i love the pros and cons reviews so here ya go : ,,
159,pros : ,,
160,size - extremely small and convenient will fit in your pocket and not bother you . ,size,
161,"sound - excellent polyphonic ringing tones are very nice ( check cons ) it also doubles as a radio , which is a nice feature when you are bored . ",ringing tone,feature|radio|ringing
162,speakerphone - loud and clear has some nice extra features like currency converter and a stopwatch . ,speakerphone,speakerphone|converter|stopwatch
163,"surfing the web on it is nice as well , i just wish there were more wap pages available . ",web,wap
164,cons : ,,
165,"ring tones only come with crazy songs and annoying rings , there is only one ring that sounds close to a regular ring . ",ring tone,ring
166,the screen is easily scratched but if you have the warranty you should be able to swap it out . ,screen,
167,games kind of stink and you cant download them you have to get the link cable to get additional games . ,game,
168,nice little phone ... light compact . . ,phone,phone
169,great features . . ,,
170,buttons do seem a little sticky tho .. and the hands free kits ' connector might be a problem .. ,button,tho
171,"perhaps there is a tone of irony in the title of my review , but i actually mean it in earnest . ",,tone
172,after having had my heart broken by a sexy piece of hardware that simply would n't perform . ,,heart|hardware
173,"i replaced it with this not-quite-so-dazzling , but definitely more functional device . ",,|device
174,"although the nokia 6610 is a little short on the features department , it is an outstanding piece of hardware for doing what it was primarily meant to do : to be a wireless telephone . ",wireless telephone,piece|hardware|telephone
175,the reception and sound quality are top-notch . ,reception,quality|reception
176,"i can routinely talk on the phone in my house in the suburbs , which is an unaccustomed luxury , even with t-mobile service . ",,phone|luxury
177,i like the size and weight of this little critter . ,size,|weight|critter
178,"i am able to carry it close to my body , in places where other phones are not so easily concealed . ",size,
179,"the keys are close together , and the layout is a bit funky in relation to standard rectangular layout keypads , but it 's not too weird . ",layout,layout|bit|relation
180,"the fact that the "" 0 "" key is the space key for text input is a bit confusing , as many phones use the "" # "" key instead . ",key,fact|bit|space|input
181,but that 's not an insurmoutable obstacle . ,,
182,"the screen is bright , easy to see in the daylight , with nice colors . ",screen,screen|daylight
183,it receives very nice mms pictures from other gsm phones . ,picture,|gsm
184,there are some features in the user interface that i find a little inconvenient . ,user interface,
185,"the menu options appear one at a time , taking up the whole screen , and one has to scroll down one by one , or have memorized where they are in the menu order , to select them by using the number keypad . ",menu option,
186,thumbs down on that one . ,,
187,the vibrate setting is loud ! ,vibrate setting,setting
188,"so loud , really , that it does n't work terribly well as a silent ringer option . ",vibrate setting,option|ringer
189,"but , then again , the ringer can be so loud that i heard it ringing inside my office , when i was already out on the street .. . ",ringer,ringer
190,"which was a good thing , because i realized i had forgotten my phone ... ",,
191,other things that i miss are voice-activated dialing and a standard 2.5 mm headset jack . ,voice dialing,dialing|mm
192,"i 'd like a camera phone , but i 'd rather have a phone than a toy that takes pictures but makes no calls ... ",,|toy
193,pros : ,,
194,"- light , compact design ",weight|design,design|light
195,"- solid , high-quality construction ",construction,construction
196,- well-backlit keypad ,keypad,keypad
197,- outstanding signal reception ,reception,reception|signal
198,- excellent sound quality ,sound quality,quality
199,"- bright , visible screen ",screen,screen
200,- speakerphone ,speakerphone,
201,- very long-lasting battery life ,battery life,life|battery
202,cons : ,,
203,- some features in the user interface ,user interface,
204,- no voice activated dialing ( what were they thinking ,voice dialing,
205,- no option for caller-id pictures or individualized ringtones . ,picture|ringtone,
206,- no propietary headset jack ,headset jack,
207,this bumpy is wicked groovy . ,,
208,i thought it would be haggard but when i be gotted this junky i was mad happy and stuff . ,,haggard|thought
209,this junky is super duper rad. it be my fav c-phone and stuff . ,,rad|duper|junky
210,so go and buy dis sucka beefo it all be gone an stuffff . ,,
211,aight den bumpy ? ,,den|aight
212,word ... peace in the east bruvah . ,,
213,one of the best cell phones i have ever used to-date . ,phone,cell
214,i like the speakphone function a lot . ,speakerphone,
215,it allows me to place the phone on the table while talking and working on my computer or other jobs . ,,|table|computer
216,i am very pleased with its quality and durability . ,quality,|durability
217,i like the automatic key lock function . ,key lock,|lock
218,the phone is very light weight . ,weight,
219,the screen is bright and ring tones are unlimited . ,screen|ring tone,ring|screen
220,the fm radio is cool . ,fm radio,radio|fm
221,most of our emplyees use this model phone . ,,
222,best regards sadoun satellite sales ,,
223,"while going for a cellphone , i was fully determined to buy a nokia only as it is the best in cellphones . ",nokia,cellphone
224,"after much survey of all the present handsets and recommendations from friends , i bought this nokia 6610 . ",,|survey|survey
225,and really this is the best phone one could have . ,phone,phone
226,it has all the features one would need in a cellphone . ,feature,
227,"it is lightweight , sleek and attractive . ",weight,
228,"this phone is very user-friendly , easy to manipulate &#38; very convenient to scroll in menu etc . ",phone|menu,phone
229,the time taken in shifting from one menu option to other is in microseconds only . ,,
230,it has fm radio option and i can listen to music anytime . ,radio,
231,"its speakerphone option allows us to do long talks conveniently , lying on bed &#38; phone lying by your pillowside . ",speakerphone,option
232,it comes equipped with lot of wallpapers and polyphonic sweet tunes . ,wallpaper,
233,only if we could get one camera in it . . ,camera,
234,it did have scored over all other competitors .... ,,
235,i am enjoying my phone a lot .... ,phone,phone|lot
236,"like some other reviewers , i recieved this phone using t-mobiles upgrade program . ",,
237,"i had been comparing the 3650 , 3560 and the 3595 but could n't settle ... then along came the 6610 , which was perfect for me . ",,
238,pros : ,,
239,small size . ,size,
240,i love the fact i can carry it in my shirt or pants pocket and forget about it . ,size,fact
241,just make sure the keys are locked . ,,
242,color screen is good . ,color screen,screen|color
243,it has lots of features such as the calendar which works like my outlook calendar . ,calendar,
244,the keys are laid out normal so there is no guessing . ,key,
245,"navigating through the menus is super easy , especially if you have owned a previous model nokia phone . ",menu,
246,"battery life is very good , i use it every day and i have to charge it every 5 or 6 days or so . ",battery life,life|battery
247,cons : ,,
248,not many . ,,
249,"the volume key can be hard to press , but i think this may be by design rather than a flaw , perhaps to keep you from pressing it accidentally when you are in a call . ",volume key,key|volume|flaw|press
250,pc cable is too expensive ... $ 50 for a usb cable ? ,pc cable,cable|pc|usb
251,please ! ,,
252,is this how nokia subsidizes their free pc software ? ,,nokia|pc|software
253,first of all i have been a big nokia fan and have been upgrading my cell phones about once a year ( right after the release contract is over ) . ,,|fan
254,my last phone was a samsung s105 which imo is superior and cheaper to this phone . ,,imo|s105
255,below is how i evaulate this phone with other t-mobile phones which i have borrowed from parents / friends : ,,
256,sound quality : ,,
257,the most important thing for me is sound quality . ,,thing|quality
258,nokias have always had good sound quality and this is no exception . ,sound quality,quality|exception
259,"i think the sound quality of this phone is slightly better than my samsung phone , the motorolla t720 series , and the sony ericsson t610 series . ",,quality|phone|motorolla
260,the loud speaker function on the 6610 is great because you do n't need to put your phone right next to your ear to talk . ,loud phone,phone|function|speaker|ear
261,overall design : ,,
262,i like my phones to be small so i can fit it in my pockets . ,size,
263,of all these phones the motorolla and the sony ericsson phones are the smallest . ,,
264,the 6610 is the actually the longest but they are all very small . ,,
265,as much as i like nokia phones the flip phones imo are much better because a ) you wont scratch your screens / keys b ) you dont need to lock your phone all the time to prevent accidently hitting the keys . ,,imo|b|need
266,ease of use : ,,
267,how easy is it for me to get to a certain menu ? ,,
268,the samsung phones has a customize function so that you can assign certain functions to directional buttons ( like assign alarm clock to the left directional key ) . ,,function
269,that is a very nice feature . ,,feature
270,"the 6610 is still easier to use than the other two phones ( t610 , t720i ) . ",,
271,"the sony ericsson phone ( t610 ) has the most whistles and bells , but is also the hardest to use . ",,
272,battery : ,,
273,"the nokia , samsung and the sony phones can all last for 3 days provided you do n't talk too much . ",,|samsung|sony
274,the motorolla phone have a horrible battery which lasts about a day ( although i heard that the motorolla t722i has a much longer battery life ) . ,,battery|t722i
275,features : ,,
276,the t610 has the most functionality hands down . ,,
277,personally i found the integrated digital camera of the t610 to be very nice . ,,camera|t610
278,my girlfriend is paranoid when i am not around her and i just take a pic and send it to her on the spot so she can regain her sanity . ,,girlfriend
279,"the t610 can also compose music , a feature which most wo n't use . ",,
280,the 6610 has the radio function which is utterly useless . ,radio,function|radio
281,"it also has a stock tracking app built in ( also useless ) and a somewhat useful application which converts all types of metrics ( currency , length , area , etc ) . ",application,application
282,"the s105 ( samsung ) has a beautiful big display ( 65,000 colors ) , and i can 't say much about the motorolla . ",,t|display
283,"all these phones have color screens , polymorphic tones , and are internet ready . ",,
284,"in music tones department the 6610 has 20 chords ( thats number of different instruments which it can play ) i think , the samsung i think have 15 , i donno about the other phones but i feel the t610 has the best sounding ring tones . ",,number|department
285,regarding pc software support nokia suite does not work with some versions of xp as i tried to connect my phone via infrared port on my laptop . ,software,suite|port
286,i called nokia tech support and they blamed microsoft . ,,|tech
287,oh well .. ,,
288,overall this is a slightly better than average phone . ,phone,
289,both the samsung and the sony phones offer a lot more features than this 6610 . ,,
290,personally i like the samsung phones better because i found myself liking the flip phones so much more . ,,
291,i think there is a good chance i will try to get a samsung flip camera phone next year . ,,chance|year
292,if t-mobile does not offer such a phone most likely i will get the t610 . ,,
293,"they are all free if you get a new account anyway , but stick to t-mobile if you are going to use your phone overseas because t-mobile actually allows you to unlock your simm cards so that you can buy simm cards cheap from other nations and plug into your phone when you are doing some international travelling . ",,simm|simm|account
294,this is the best phone i have seen . ,phone,phone
295,i bought 2 of these phones 2 months ago for myself and my girlfriend . ,,
296,we got a familyplan from t-mobile which saves us tons . ,,
297,the phones are awesome . ,phone,
298,"we hardly ever have to charge them , get great reception ( live in chicago ) , and the customization and applications are awesome . ",battery life|application,customization|reception
299,here 's a hint : go to nokia.com and get their pc suite and a connection cable if you dont have irda or bluetooth . ,,|irda
300,"you can do * so * much more with the pc suite , i.e. free ringtones from midi files , free graphics from any picture on your computer , and if you know how to program jme you can even make your own apps / games . ",pc suite,suite|picture
301,"the phone 's sound quality is great ( turn up the volume if its too quiet , people , this thing will get loud ) i dont have any complaints about this phone and the only thing that i miss from my 8290 is voice dialing . ",sound quality,dialing|quality|phone
302,i bought this slick phone and i am very happy with it . ,phone,phone
303,"nice and small and excellent when it comes to downloading games , graphics and ringtones from www.crazycellphone.com ",size,
304,i just purchased this phone and i think this is the coolest phone i ever had . ,phone,phone
305,the features are really cool like the radio . ,radio,
306,the first night i got this phone i put it next to me when i went to bed just to listen to my favorite music station and the handset itself doesnt weight anything its too light and feel so comfy with it . ,radio,station|music|handset|night
307,"technology wise , i think this is awesome plus the speaker makes it even great ! ! ! ! i love this phone ! ! ! ",speaker,technology
308,why i do n't can this product without a plan ? ,,
309,i 'm live in brazil and i need very to buy this product without a plan to use in here in other operators . ,,
310,i 'm pay in auto-debit in my account . ,,
311,"please , if anyone want sell to me this cell phone in my conditions , i 'm wait very happy . ",,|wait
312,thanks ! ,,
313,"i thought this was the ultimate phone when it comes to basic features , but i was dissapointed when i saw that it was only a gsm comaptible phone . ",phone,phone|gsm
314,"as i travel quite a lot , i 'd want something with gsm as well as cdma tri-band . ",,|tri-band|cdma
315,"for a specific location , i still think its a great phone . ",phone,phone|location
316,i think that it is a were good mobile phone and i may buy it . ,,phone
317,"this really is a great little phone ; its got nice features , a beatiful screen , great ergonomics , and its tiny ! ",phone,screen|phone
318,"i waited a few years between phones , mostly because ( like most i think ) i didnt really need one . ",,
319,"this phone won me over , and a big seller was the size ; it fits nicely into any pocket without falling out . ",size,size|phone|seller
320,"the downside though , may be a big one for you . ",,|one
321,its quiet . ,volume,
322,really quiet . ,,
323,grandma in church quiet . ,,
324,"i 've gotten used to it ( holding it in just the right realation to the ear , ducking into quieter places in bars ) but when others borrow it they 're shocked i can use it . ",,|ear|realation
325,"so , i recomend it , but not for those that have any hearing troubles , or for those that like to talk a lot in crowded public places ( which is annoying , by the way . ) ",,lot
326,i bought this phone when it first came out in the summer . ,,
327,"prior to my switch to t-mobile , sprint was my service provider . ",,
328,"to say the least , i was horribly dissatisified with my service with sprint , which was why t-mobile was so fantastically refreshing . ",,t-mobile
329,"my past two phones were all flip phones , and i was beginning to tire of them . ",,
330,"nokia was my first nonflip phone , and i 'm glad i decided to go with them . ",nokia,phone
331,"first of all , my calls were loud and clear , unlike with sprint . ",volume,
332,i could make phone calls from locations i previously could not ( like my apartment ) . ,reception,
333,"the phone is small , light , and very attractive . ",size,
334,the battery life is amazing . ,battery life,life|battery
335,"the color screen is a plus , as are the polyphonic ringtones . ",color screen,|plus
336,"i 'm not one who uses web browsing , so this phone easily met and surpassed my needs . ",phone,
337,i highly recommend this phone to anyone . ,phone,phone|anyone
338,i 've yet to be dissappointed . ,,
339,"nokia 6610 ( sound quality ) the phone is great with very cool features &#38; options , but comparing to my older motorola phone , it gets a failing grade in speaker quality . ",,grade|quality|phone
340,"i do here a constant high-pitched distorted sound , not to mention the volume does not seem to be loud enough . ",sound,sound
341,"it 's going back today , &#38; being replaced with the new samsung x105 . ",,|x105
342,you do take your chances with this phone . ,,
343,"i considered this phone ( nokia 6610 ) , mainly because of my sister and the features . ",,
344,"it is a great phone , if you are traveling all over the world , packed with wonderful features . ",phone|feature,phone
345,"truly , i am quite impressed . . ! ! ",,
346,"this is a very light phone - a little less than 3 oz , with long battery life ( not as long as the new polymer technology ) . ",weight,|oz|polymer
347,"on an average , you would charge it once a week . ",,
348,"the hands-free speakerphone is quite powerful ( like the motorola phone , i used to own ) . ",speakerphone,speakerphone
349,i simply love this feature . ,speakerphone,feature
350,in addition it comes with a sleek and powerful headset . ,headset,headset
351,the built in fm radio is excellent for people traveling by public transport . ,radio,|transport
352,"if you buy the stereo headset , you will enjoy it much more . ",,
353,the pc sync feature is superb that comes with nokia pc suite software ( with data cable or infrared port or bluetooth ) . ,pc sync,feature|pc|port|sync
354,"no more hazzles of keying in all data , using the small phone keypad . ",,
355,"just maintain them ( phonebook , calendar and to-do list ) in ms outlook or lotus notes and transfer data back and forth . ",,|calendar|to-do
356,"additionally , it has more fun stuff like more tones , wallpapers , screensaver , stop clock , alarm , java applications ( chess , currency converter etc. ) ",tone,
357,"the mobile text messaging , chat , picture sharing etc. other nicities , that you would enjoy . ",message,|messaging|text|chat|sharing
358,"the mms technology is very well integrated with this phone , which you will enjoy . ",mms,technology
359,the built-in camera they offer these days is more of kids stuff . ,,|stuff
360,"if you have a good digital camera , there is no reason to consider the camera capabilities of a mobile phone . ",,camera
361,"however , if you are keen , you can attach a camera to this phone . ",,camera
362,"i have not yet discovered the internet features yet , which i will be doing soon . ",,
363,"i felt that i should write this comment asap , as i am quite excited in using its features . ",,comment
364,"i can recommend this phone to anyone , anytime . ",phone,phone|anyone
365,"after using the bulky 3650 for three weeks , i searched for a smaller alternative . ",,
366,i was immediately interested in the 6610 . ,,
367,i have used this phone for two months now . ,,
368,"not only is it the perfect size ( not too small , not too large ) , it also has all the features a high-tech phone user would want . ",size,
369,"if you can live without an integrated camera , you wo n't miss much more . ",,camera
370,"in true nokia style , the phone is simple to use and despite its delicate appearance , this little guy is as durable as other nokias i have owned . ",use,appearance|style|guy
371,the phone book is very user-friendly and the speakerphone is excellent . ,phone book,speakerphone|book|phone
372,"even better , with the optional headset you can listen to music over the integrated radio . ",radio,radio
373,if there are any drawbacks to this phone here they are . ,,
374,"although i find it more convenient to use 1-touch dialing , this phone does not have voice dialing . ",voice dialing,phone
375,"the keypad is a decent size , but the power on/off key is small and difficult to press . ",key,size|keypad|power
376,"however , the battery life is good enough you should n't be overly concerned with turning this phone off . ",battery life,life|battery
377,in my opinion the worst issue on this phone is the side-mounted volume control . ,volume control,control|opinion|issue
378,it requires significant force to operate which can be scary on such a small phone . ,,force
379,"one other issue is that the headphone jack is unique to nokia , so standard headphones will not work . ",headphone jack,jack
380,overall this is the best phone i have ever owned . ,phone,phone
381,any disadvantages are easily outweighed by its advantages . ,,
382,nokia does not disappoint in this model . ,phone,nokia
383,go for it ! ,,
384,"i could n't be happier with t-mobile either , i switched from cingular . ",,
385,one complaint ... the screen is too easily scratched ! ,screen,
386,but there are faceplates to replace it i guess ... ,,
387,almost there . ,,
388,i got this phone in t-mobile 's current customer retention program for very little money and no contract renewal . ,,|money|renewal
389,"i was getting so sick of my old motorola l7089 , but was waiting for the right phone to come along . ",,phone|l7089
390,this is almost it but not quite but the price was right . ,,price
391,that said this phone does what it does extremely well - way better than anything motorola can produce . ,,phone|way
