,id,review,term,label,pred_1,pred_2,pred_3,pred_4,pred_5
10,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place|really|make|decor,"AMBIENCE,AMBIENCE,AMBIENCE",AMBIENCE|FOOD|AMBIENCE|AMBIENCE,AMBIENCE|PRICES|PRICES|AMBIENCE,AMBIENCE|AMBIENCE|PRICES|AMBIENCE,AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE
11,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!",sake|list|haze|request,"FOOD,SERVICE",FOOD|SERVICE|FOOD|PRICES,FOOD|SERVICE|AMBIENCE|SERVICE,FOOD|SERVICE|AMBIENCE|SERVICE,FOOD|SERVICE|FOOD|SERVICE,FOOD|PRICES|FOOD|PRICES
12,1053543:3,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",great|good,"FOOD,FOOD",FOOD|FOOD,AMBIENCE|PRICES,AMBIENCE|FOOD,AMBIENCE|FOOD,AMBIENCE|AMBIENCE
13,1053543:4,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,service|great,SERVICE,SERVICE|PRICES,SERVICE|AMBIENCE,SERVICE|AMBIENCE,SERVICE|AMBIENCE,SERVICE|AMBIENCE
14,1055910:2,food-awesome.,food,FOOD,FOOD,,,,FOOD
15,1055910:3,service- friendly and attentive.,service|friendly,SERVICE,SERVICE|SERVICE,SERVICE|AMBIENCE,SERVICE|AMBIENCE,SERVICE|SERVICE,SERVICE|AMBIENCE
16,1055910:4,ambiance- relaxed and stylish.,ambiance,AMBIENCE,FOOD,AMBIENCE,AMBIENCE,AMBIENCE,AMBIENCE
17,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",like|make|wait,SERVICE,FOOD|FOOD|SERVICE,AMBIENCE|PRICES|SERVICE,AMBIENCE|PRICES|SERVICE,AMBIENCE|AMBIENCE|SERVICE,AMBIENCE|AMBIENCE|SERVICE
18,1062641:2,food is great.,great|food,FOOD,FOOD|FOOD,AMBIENCE|FOOD,AMBIENCE|FOOD,AMBIENCE|FOOD,AMBIENCE|FOOD
19,1064477:0,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",restaurant,FOOD,FOOD,SERVICE,FOOD,SERVICE,FOOD
20,1064477:3,the rice to fish ration was also good--they didn't try to overpack the rice.,good,FOOD,FOOD,,,,AMBIENCE
21,1064477:4,we took advanatage of the half price sushi deal on saturday so it was well worth it.,price|well|worth,"FOOD,PRICES",PRICES|PRICES|PRICES,PRICES|AMBIENCE|PRICES,PRICES|PRICES|PRICES,PRICES|AMBIENCE|PRICES,PRICES|AMBIENCE|PRICES
22,1074868:4,the food was well prepared and the service impecable.,service|food|well,"FOOD,SERVICE",SERVICE|FOOD|FOOD,SERVICE|FOOD|AMBIENCE,SERVICE|FOOD|PRICES,SERVICE|FOOD|AMBIENCE,SERVICE|FOOD|AMBIENCE
23,1086415:3,"i am not a vegetarian but, almost all the dishes were great.",great|dish,FOOD,FOOD|FOOD,AMBIENCE|FOOD,AMBIENCE|FOOD,AMBIENCE|FOOD,AMBIENCE|FOOD
24,1086478:0,"the food here is rather good, but only if you like to wait for it.",good|food|like|wait,"FOOD,SERVICE",FOOD|FOOD|FOOD|SERVICE,PRICES|FOOD|AMBIENCE|SERVICE,FOOD|FOOD|AMBIENCE|SERVICE,FOOD|FOOD|AMBIENCE|SERVICE,AMBIENCE|FOOD|AMBIENCE|SERVICE
25,1086478:1,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",like,"FOOD,FOOD,FOOD,FOOD,FOOD",FOOD,AMBIENCE,AMBIENCE,AMBIENCE,AMBIENCE
26,1086478:2,"the service varys from day to day- sometimes they're very nice, and sometimes not.",service|nice,SERVICE,SERVICE|FOOD,SERVICE|AMBIENCE,SERVICE|AMBIENCE,SERVICE|AMBIENCE,SERVICE|AMBIENCE
27,1086478:3,"the kitchen however, is almost always slow.",always,SERVICE,AMBIENCE,SERVICE,AMBIENCE,SERVICE,AMBIENCE
28,1086478:4,"also, specify if you like your food spicy- its rather bland if you don't.",food|like,FOOD,FOOD|FOOD,FOOD|AMBIENCE,FOOD|AMBIENCE,FOOD|AMBIENCE,FOOD|AMBIENCE
29,1086478:5,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",nice|best|would,AMBIENCE,AMBIENCE|AMBIENCE|FOOD,AMBIENCE|PRICES|PRICES,AMBIENCE|PRICES|PRICES,AMBIENCE|AMBIENCE|SERVICE,AMBIENCE|AMBIENCE|PRICES
30,1090587:1,if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,river|weehawken|idea|top|view|chart|house,AMBIENCE,AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,AMBIENCE|AMBIENCE|PRICES|SERVICE|AMBIENCE|PRICES|AMBIENCE,FOOD||AMBIENCE|SERVICE|AMBIENCE|PRICES|AMBIENCE,FOOD||AMBIENCE|SERVICE|AMBIENCE|PRICES|AMBIENCE,AMBIENCE|FOOD|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE
31,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service|great|great|great|price|food|reasonable,"SERVICE,FOOD,PRICES",SERVICE|FOOD|FOOD|FOOD|PRICES|FOOD|PRICES,SERVICE|AMBIENCE|AMBIENCE|AMBIENCE|PRICES|FOOD|PRICES,SERVICE|AMBIENCE|AMBIENCE|AMBIENCE|PRICES|FOOD|PRICES,SERVICE|AMBIENCE|AMBIENCE|AMBIENCE|PRICES|FOOD|PRICES,SERVICE|AMBIENCE|AMBIENCE|AMBIENCE|PRICES|FOOD|PRICES
32,1090587:3,the lava cake dessert was incredible and i recommend it.,lava|cake|dessert,FOOD,FOOD|FOOD|FOOD,AMBIENCE|FOOD|FOOD,FOOD|FOOD|FOOD,FOOD|FOOD|FOOD,FOOD|FOOD|FOOD
33,1102681:0,"once you step into cosette, you're miraculously in a small, off-the-beaten path parisian bistro.",cosette|path|bistro,AMBIENCE,FOOD|AMBIENCE|AMBIENCE,FOOD|AMBIENCE|FOOD,|AMBIENCE|FOOD,|AMBIENCE|SERVICE,AMBIENCE|AMBIENCE|FOOD
34,1102681:1,"this tiny restaurant is as cozy as it gets, with that certain parisian flair.",restaurant,AMBIENCE,AMBIENCE,SERVICE,FOOD,SERVICE,FOOD
35,1118167:2,the pizza was delivered cold and the cheese wasn't even fully melted!,pizza|even,"FOOD,FOOD",FOOD|FOOD,FOOD|PRICES,FOOD|FOOD,FOOD|AMBIENCE,FOOD|AMBIENCE
36,1119578:1,the pizza is overpriced and soggy.,price|pizza,"FOOD,PRICES",FOOD|FOOD,PRICES|FOOD,PRICES|FOOD,PRICES|FOOD,PRICES|FOOD
37,1119578:2,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",good|pizza|even|make,"FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,PRICES|FOOD|PRICES|PRICES,FOOD|FOOD|FOOD|PRICES,FOOD|FOOD|AMBIENCE|AMBIENCE,AMBIENCE|FOOD|AMBIENCE|AMBIENCE
38,1123262:0,i think i've had some the best meals of my life at minnow.,best,FOOD,FOOD,PRICES,PRICES,AMBIENCE,AMBIENCE
39,1123262:1,"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",great|good|food|wine|menu|always,"FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,AMBIENCE|PRICES|FOOD|FOOD|FOOD|SERVICE,AMBIENCE|FOOD|FOOD|FOOD|FOOD|AMBIENCE,AMBIENCE|FOOD|FOOD|FOOD|FOOD|SERVICE,AMBIENCE|AMBIENCE|FOOD|FOOD|FOOD|AMBIENCE
40,1123262:2,the combination of super-fresh ingredients in the dishes are unusual but really delicious.,really|dish|delicious,FOOD,FOOD|FOOD|FOOD,PRICES|FOOD|FOOD,AMBIENCE|FOOD|FOOD,AMBIENCE|FOOD|FOOD,AMBIENCE|FOOD|FOOD
41,1125006:1,best pastrami i ever had and great portion without being ridiculous.,great|best,"FOOD,FOOD",FOOD|FOOD,AMBIENCE|PRICES,AMBIENCE|PRICES,AMBIENCE|AMBIENCE,AMBIENCE|AMBIENCE
42,1125006:3,my wife had the fried shrimp which are huge and loved it.,wife|shrimp,"FOOD,FOOD",FOOD|FOOD,SERVICE|FOOD,FOOD|FOOD,FOOD|FOOD,SERVICE|FOOD
43,1125284:2,"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.",even|food|staff|menu|special|wait,"FOOD,FOOD,SERVICE",FOOD|FOOD|SERVICE|FOOD|FOOD|SERVICE,PRICES|FOOD|SERVICE|FOOD|FOOD|SERVICE,FOOD|FOOD|SERVICE|FOOD|FOOD|SERVICE,AMBIENCE|FOOD|SERVICE|FOOD|PRICES|SERVICE,AMBIENCE|FOOD|SERVICE|FOOD|PRICES|SERVICE
44,1126814:0,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.",good|well|atmosphere|special,"AMBIENCE,FOOD,AMBIENCE,FOOD",FOOD|FOOD|AMBIENCE|FOOD,PRICES|AMBIENCE|AMBIENCE|FOOD,FOOD|PRICES|AMBIENCE|FOOD,FOOD|AMBIENCE|AMBIENCE|PRICES,AMBIENCE|AMBIENCE|AMBIENCE|PRICES
45,1126814:1,"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",friendly|staff|well|always|always|never,SERVICE,SERVICE|SERVICE|FOOD|FOOD|FOOD|AMBIENCE,AMBIENCE|SERVICE|AMBIENCE|SERVICE|SERVICE|PRICES,AMBIENCE|SERVICE|PRICES|AMBIENCE|AMBIENCE|AMBIENCE,SERVICE|SERVICE|AMBIENCE|SERVICE|SERVICE|AMBIENCE,AMBIENCE|SERVICE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE
46,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",service|great|food|decor|delicious,"SERVICE,AMBIENCE,FOOD,FOOD",SERVICE|FOOD|FOOD|AMBIENCE|FOOD,SERVICE|AMBIENCE|FOOD|AMBIENCE|FOOD,SERVICE|AMBIENCE|FOOD|AMBIENCE|FOOD,SERVICE|AMBIENCE|FOOD|AMBIENCE|FOOD,SERVICE|AMBIENCE|FOOD|AMBIENCE|FOOD
47,1131595:2,the hostess is rude to the point of being offensive.,rude,SERVICE,FOOD,SERVICE,SERVICE,SERVICE,SERVICE
48,1138996:1,"we have been to this place many times, and always have great food, wine, and service.",place|service|great|food|wine|always,"FOOD,FOOD,SERVICE",AMBIENCE|SERVICE|FOOD|FOOD|FOOD|FOOD,AMBIENCE|SERVICE|AMBIENCE|FOOD|FOOD|SERVICE,AMBIENCE|SERVICE|AMBIENCE|FOOD|FOOD|AMBIENCE,AMBIENCE|SERVICE|AMBIENCE|FOOD|FOOD|SERVICE,AMBIENCE|SERVICE|AMBIENCE|FOOD|FOOD|AMBIENCE
49,1138996:2,"we were worried we would have trouble getting in, but somehow managed to have a short wait.",would|wait,SERVICE,SERVICE|AMBIENCE,PRICES|SERVICE,PRICES|SERVICE,SERVICE|SERVICE,PRICES|SERVICE
50,1138996:3,as always we had a great glass of wine while we waited.,great|wine|always|wait,FOOD,FOOD|FOOD|FOOD|AMBIENCE,AMBIENCE|FOOD|SERVICE|SERVICE,AMBIENCE|FOOD|AMBIENCE|SERVICE,AMBIENCE|FOOD|SERVICE|SERVICE,AMBIENCE|FOOD|AMBIENCE|SERVICE
51,1138996:4,"when we sat, we got great and fast service.",service|great,SERVICE,SERVICE|PRICES,SERVICE|AMBIENCE,SERVICE|AMBIENCE,SERVICE|AMBIENCE,SERVICE|AMBIENCE
52,1138996:5,the people that work there are always so friendly you forget you are in new york sometimes.,friendly|always,SERVICE,SERVICE|AMBIENCE,AMBIENCE|SERVICE,AMBIENCE|AMBIENCE,SERVICE|SERVICE,AMBIENCE|AMBIENCE
53,1145510:1,the pizza is yummy and i like the atmoshpere.,pizza|like,"FOOD,AMBIENCE",FOOD|FOOD,FOOD|AMBIENCE,FOOD|AMBIENCE,FOOD|AMBIENCE,FOOD|AMBIENCE
54,1145510:3,"a large is $20, and toppings are about $3 each.",toppings|$20|$3,"PRICES,PRICES",FOOD|PRICES|PRICES,FOOD|PRICES|PRICES,FOOD|PRICES|PRICES,PRICES|PRICES|PRICES,FOOD|PRICES|PRICES
55,1147082:0,i went there for lunch and it was not as good as i expected from the reviews i read.,good,FOOD,FOOD,PRICES,FOOD,FOOD,AMBIENCE
56,1147211:2,the waitress was very patient with us and the food is phenomenal!,food|wait,"SERVICE,FOOD",FOOD|SERVICE,FOOD|FOOD,FOOD|SERVICE,FOOD|SERVICE,FOOD|SERVICE
57,1147211:3,"service was prompt, friendly and great.",service|great|friendly,SERVICE,SERVICE|AMBIENCE|SERVICE,SERVICE|AMBIENCE|AMBIENCE,SERVICE|AMBIENCE|AMBIENCE,SERVICE|AMBIENCE|SERVICE,SERVICE|AMBIENCE|AMBIENCE
58,1153034:0,great pizza and fantastic service.,service|great|pizza,"FOOD,SERVICE",SERVICE|FOOD|FOOD,SERVICE|AMBIENCE|FOOD,SERVICE|AMBIENCE|FOOD,SERVICE|AMBIENCE|FOOD,SERVICE|AMBIENCE|FOOD
59,1153034:2,located at the end of a magnificent block.,end|block,AMBIENCE,AMBIENCE|AMBIENCE,PRICES|AMBIENCE,PRICES|AMBIENCE,AMBIENCE|AMBIENCE,AMBIENCE|AMBIENCE
60,1154550:0,this is the best sushi in new york city - hands down.,best,FOOD,FOOD,PRICES,PRICES,AMBIENCE,AMBIENCE
61,1162037:0,"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .",great|food|always,"FOOD,FOOD",FOOD|FOOD|FOOD,AMBIENCE|FOOD|SERVICE,AMBIENCE|FOOD|AMBIENCE,AMBIENCE|FOOD|SERVICE,AMBIENCE|FOOD|AMBIENCE
62,1162037:1,"with the great variety on the menu , i eat here often and never get bored .",great|menu|never,FOOD,FOOD|FOOD|FOOD,AMBIENCE|FOOD|SERVICE,AMBIENCE|FOOD|FOOD,AMBIENCE|FOOD|AMBIENCE,AMBIENCE|FOOD|AMBIENCE
63,1162037:2,"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .",great|price|atmosphere,"AMBIENCE,PRICES",PRICES|PRICES|AMBIENCE,PRICES|PRICES|AMBIENCE,PRICES|PRICES|AMBIENCE,PRICES|PRICES|AMBIENCE,AMBIENCE|PRICES|AMBIENCE
64,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",good,"FOOD,FOOD,FOOD",FOOD,PRICES,FOOD,FOOD,AMBIENCE
65,1189674:0,first went here to enjoy their garden terrace.,garden|terrace,AMBIENCE,FOOD|AMBIENCE,AMBIENCE|AMBIENCE,FOOD|AMBIENCE,FOOD|FOOD,FOOD|AMBIENCE
66,1189674:2,"the steak tartare is a great bet, they fix it for you at the table.",great,FOOD,FOOD,AMBIENCE,AMBIENCE,AMBIENCE,AMBIENCE
67,1189674:3,"admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,"AMBIENCE,AMBIENCE",FOOD,SERVICE,FOOD,SERVICE,FOOD
68,1189674:4,"great wine selection, gigondas is worth the price, and the house champagne is a great value.",great|great|price|wine|worth,"FOOD,FOOD,PRICES",FOOD|FOOD|PRICES|FOOD|PRICES,AMBIENCE|AMBIENCE|PRICES|FOOD|PRICES,AMBIENCE|AMBIENCE|PRICES|FOOD|PRICES,AMBIENCE|AMBIENCE|PRICES|FOOD|PRICES,AMBIENCE|AMBIENCE|PRICES|FOOD|PRICES
69,1189674:5,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",good|food|best,"AMBIENCE,AMBIENCE,FOOD",FOOD|FOOD|FOOD,PRICES|FOOD|PRICES,FOOD|FOOD|PRICES,FOOD|FOOD|AMBIENCE,AMBIENCE|FOOD|AMBIENCE
70,1199292:0,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza|pizza|like|best,"FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,FOOD|FOOD|AMBIENCE|PRICES,FOOD|FOOD|AMBIENCE|PRICES,FOOD|FOOD|AMBIENCE|AMBIENCE,FOOD|FOOD|AMBIENCE|AMBIENCE
71,1199480:2,i'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service|nice|special,"AMBIENCE,SERVICE",SERVICE|FOOD|FOOD,SERVICE|AMBIENCE|SERVICE,SERVICE|AMBIENCE|FOOD,SERVICE|AMBIENCE|FOOD,SERVICE|AMBIENCE|PRICES
72,1205520:2,make sure you have the spicy scallop roll.. .,make,FOOD,FOOD,PRICES,PRICES,AMBIENCE,AMBIENCE
73,1212346:1,"took my mom for mother's day, and the maitre d' was pretty rude.",rude,SERVICE,AMBIENCE,SERVICE,SERVICE,SERVICE,SERVICE
74,1212346:4,tiny dessert was $8.00...just plain overpriced for what it is.,price|$8.00,"FOOD,PRICES",FOOD|PRICES,PRICES|PRICES,PRICES|PRICES,PRICES|PRICES,PRICES|PRICES
75,1221938:0,the drinks are always welll made and wine selection is fairly priced.,price|wine|well|always,"FOOD,PRICES",PRICES|FOOD|FOOD|FOOD,PRICES|FOOD||SERVICE,PRICES|FOOD|PRICES|AMBIENCE,PRICES|FOOD|AMBIENCE|SERVICE,PRICES|FOOD|AMBIENCE|AMBIENCE
76,1221938:1,try their chef's specials-- they are to die for.,special,FOOD,FOOD,FOOD,FOOD,PRICES,PRICES
77,1221938:3,downstairs lounge is always a good attraction,good|always,AMBIENCE,FOOD|AMBIENCE,PRICES|SERVICE,FOOD|AMBIENCE,FOOD|SERVICE,AMBIENCE|AMBIENCE
78,1225162:0,"raga's is a romantic, cozy restaurant.",restaurant,AMBIENCE,AMBIENCE,SERVICE,FOOD,SERVICE,FOOD
79,1225162:4,the bar is very well stocked with interesting beers and well priced wines.,price|wine|well|well,"FOOD,FOOD,PRICES",PRICES|FOOD|AMBIENCE|AMBIENCE,PRICES|FOOD|AMBIENCE|AMBIENCE,PRICES|FOOD|PRICES|PRICES,PRICES|FOOD|AMBIENCE|AMBIENCE,PRICES|FOOD|AMBIENCE|AMBIENCE
80,1227999:1,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",dinner|wait,SERVICE,FOOD|SERVICE,FOOD|FOOD,FOOD|SERVICE,FOOD|SERVICE,FOOD|SERVICE
81,1227999:4,"rude service, medicore food...there are tons of restaurants in ny...stay away from this one",service|rude|food|restaurant,"SERVICE,FOOD",SERVICE|FOOD|FOOD|FOOD,SERVICE|SERVICE||FOOD,SERVICE|SERVICE||FOOD,SERVICE|SERVICE||FOOD,SERVICE|SERVICE|FOOD|FOOD
82,1230993:1,i loved everythig about it-especially the shows and actors.,special,"AMBIENCE,AMBIENCE",AMBIENCE,,,,PRICES
83,1230993:2,our server was very helpful and friendly.,friendly,SERVICE,AMBIENCE,AMBIENCE,AMBIENCE,SERVICE,AMBIENCE
84,1230993:4,the food was good too.,good|food,FOOD,FOOD|FOOD,PRICES|FOOD,FOOD|FOOD,FOOD|FOOD,AMBIENCE|FOOD
85,1232468:0,the tuna and wasabe potatoes are excellent.,tuna|wasabe|potatoes,"FOOD,FOOD",FOOD|FOOD|FOOD,FOOD||FOOD,FOOD||FOOD,FOOD||FOOD,FOOD|FOOD|FOOD
86,1241906:0,"great service, great food.",service|great|great|food,"SERVICE,FOOD",SERVICE|FOOD|FOOD|FOOD,SERVICE|AMBIENCE|AMBIENCE|FOOD,SERVICE|AMBIENCE|AMBIENCE|FOOD,SERVICE|AMBIENCE|AMBIENCE|FOOD,SERVICE|AMBIENCE|AMBIENCE|FOOD
87,1253117:2,"two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",nice|menu|would,FOOD,FOOD|FOOD|FOOD,AMBIENCE|FOOD|PRICES,AMBIENCE|FOOD|PRICES,AMBIENCE|FOOD|SERVICE,AMBIENCE|FOOD|PRICES
88,1253117:5,wait staff is blantently unappreciative of your business but its the best pie on the uws!,staff|best|wait,"SERVICE,FOOD",SERVICE|FOOD|SERVICE,SERVICE|PRICES|SERVICE,SERVICE|PRICES|SERVICE,SERVICE|AMBIENCE|SERVICE,SERVICE|AMBIENCE|SERVICE
89,1256373:0,by far the best salad i have had in a fast food restaurant.,food|restaurant|best|salad,FOOD,FOOD|FOOD|FOOD|FOOD,FOOD|SERVICE|PRICES|FOOD,FOOD|FOOD|PRICES|FOOD,FOOD|SERVICE|AMBIENCE|FOOD,FOOD|FOOD|AMBIENCE|FOOD
90,1256373:1,fine dining restaurant quality.,restaurant,FOOD,FOOD,SERVICE,FOOD,SERVICE,FOOD
91,1269216:3,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else.,would|would,FOOD,FOOD|FOOD,PRICES|PRICES,PRICES|PRICES,SERVICE|SERVICE,PRICES|PRICES
92,1275154:4,"he served me an uni hand roll, which i never had before, and let me tell you...it was heaven!",never,FOOD,FOOD,SERVICE,FOOD,AMBIENCE,AMBIENCE
93,1275154:8,try the lobster teriyaki and the rose special roll.,special,"FOOD,FOOD",FOOD,SERVICE,FOOD,FOOD,PRICES
94,1280166:1,"service was very good - prompt, attentive and non-intrusive.",service|good,SERVICE,SERVICE|AMBIENCE,SERVICE|PRICES,SERVICE|FOOD,SERVICE|FOOD,SERVICE|AMBIENCE
95,1280166:2,"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",good|though|food|well,"FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,PRICES|PRICES|FOOD|AMBIENCE,FOOD|FOOD|FOOD|PRICES,FOOD|AMBIENCE|FOOD|AMBIENCE,AMBIENCE|AMBIENCE|FOOD|AMBIENCE
96,1280166:3,wine list selection is good and wine-by-the-glass was generously filled to the top.,good|wine|wine,"FOOD,FOOD",FOOD|FOOD|FOOD,PRICES|FOOD|FOOD,FOOD|FOOD|FOOD,FOOD|FOOD|FOOD,AMBIENCE|FOOD|FOOD
97,1280166:4,traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,though|restaurant,"AMBIENCE,AMBIENCE",AMBIENCE|FOOD,PRICES|SERVICE,FOOD|FOOD,AMBIENCE|SERVICE,AMBIENCE|FOOD
98,1280179:2,"seating is always prompt, though the restaurant does fill up in the evening.",though|restaurant|always,SERVICE,AMBIENCE|FOOD|FOOD,PRICES|SERVICE|SERVICE,FOOD|FOOD|AMBIENCE,AMBIENCE|SERVICE|SERVICE,AMBIENCE|FOOD|AMBIENCE
99,1280179:3,"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.",good|though|food,"FOOD,FOOD",FOOD|FOOD|FOOD,PRICES|PRICES|FOOD,FOOD|FOOD|FOOD,FOOD|AMBIENCE|FOOD,AMBIENCE|AMBIENCE|FOOD
100,1286916:3,it's simply the best meal in nyc.,best,FOOD,FOOD,PRICES,PRICES,AMBIENCE,AMBIENCE
101,1289424:3,the server was really cool and served us our food and drinks with a smile.,food|really,SERVICE,FOOD|AMBIENCE,FOOD|PRICES,FOOD|AMBIENCE,FOOD|AMBIENCE,FOOD|AMBIENCE
102,1289424:4,the place's decor and hidden bathrooms made for a good laugh.,place|good|decor,"AMBIENCE,AMBIENCE",AMBIENCE|FOOD|AMBIENCE,AMBIENCE|PRICES|AMBIENCE,AMBIENCE|FOOD|AMBIENCE,AMBIENCE|FOOD|AMBIENCE,AMBIENCE|AMBIENCE|AMBIENCE
103,1297844:4,the workers there also absolutely load the bagel with cream cheese (gets a little messy).,workers|bagel|cream|cheese,FOOD,SERVICE|FOOD|FOOD|FOOD,SERVICE|FOOD|FOOD|FOOD,SERVICE|FOOD|FOOD|FOOD,PRICES|FOOD|FOOD|FOOD,SERVICE|FOOD|FOOD|FOOD
104,1300636:2,i have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,lobster|roll|mayo|lobster,"FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,FOOD|FOOD|FOOD|FOOD,FOOD|PRICES|FOOD|FOOD,FOOD|FOOD|FOOD|FOOD,FOOD|FOOD|FOOD|FOOD
105,1303984:1,my chow fun and chow see was really bland and oily.,really,FOOD,FOOD,PRICES,AMBIENCE,AMBIENCE,AMBIENCE
106,1308557:0,the service was the only thing good about this restaurant.,service|good|restaurant,SERVICE,SERVICE|AMBIENCE|AMBIENCE,SERVICE|PRICES|SERVICE,SERVICE|FOOD|FOOD,SERVICE|FOOD|SERVICE,SERVICE|AMBIENCE|FOOD
