,review,target,dp,dp_clause
50,"so far i 've played regular dvd 's , backup-dvd-r 's , mp3-cd 's , and regular cd 's . ",,|dvd!regular|backup-dvd-r!regular|mp3-cd!dvd|cd!dvd,|dvd!regular|backup-dvd-r!regular|cd!regular|mp3-cd!regular|mp3-cd!dvd|cd!dvd
51,"i have not yet tried the photo-show-capability , but i 'm thinking that will probably work well too , based on the success with the above mentioned disks . ",,,photo-show-capability!work
52,"the comments i 've read about having problems with this dvd-player all seem to stem from pushing the incorrect buttons on the dvd-remote.for-instance , pushing the button to play pal ( european type ) movies , when an ntsc ( usa-type ) movie-disk is in the disk-tray . ",,,dvd-remote!incorrect
53,"i can 't speak to its long-term reliability , as i 've only had the apex-ad2600 for a little over a week at this point . ",,|reliability!long-term,reliability!only
54,bottom line for me is that for the price i do n't think you can go wrong at all by purchasing this dvd-player . ,,|line!bottom,price!wrong|line!bottom
55,the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used . ,progressive scan!+,option!progressive|control!remote|button!remote,control!remote|button!remote|option!progressive
56,"i also own an "" apex-ad 1201 "" dvd-player and have had no problems with it since i purchased it almost 1 1/2 years ago . ",,|dvd-player!apex-ad,dvd-player!problems
57,"mine was 2 weeks old and i chucked it in the trash , where it belongs . ",player!-,,trash!trash
58,you can get a pretty good progressive scan sony or toshiba now for 68 bucks just about anywhere . ,,sony!progressive|toshiba!sony,|sony!progressive|toshiba!sony
59,this is the best dvd-player i 've purchased . ,player!+,dvd-player!best,
60,"i 've owned a panasonic and sony dvd and this one outperforms in function and image-quality and most of all , access-speed . ",,|dvd!panasonic,dvd!panasonic
61,i have sent my ad2600 back to apex because it wo n't play certain disney and other dvd movies ( no disc-message ) . ,play!-|dvd!-|no disc!-,|disney!other|dvd!disney,disney!other|dvd!other|dvd!disney
62,they sent me a new ad2600 with the same problem . ,,|ad2600!new|problem!new,ad2600!new|problem!new
63,i call-apex-customer service and they told me that there is a known problem with the model playing disney and other movies and that it is not there problem so i 'm stuck with a new dvd-player that wo n't play my kids disney movies . ,,|dvd-player!new|disney!other|model!disney,disney!other|model!disney
64,i bought this dvd-player mainly because my old sharp dvd-player could not play most of the dvds from the store that i rent from and i had to watch them using my pc 's dvd-rom player . ,,dvd-player!sharp|player!dvd-rom|pc!dvd-rom,|player!dvd-rom|pc!dvd-rom
65,"it plays basically every media i 've tested so far , even an old vcd that i ripped years ago and the rental dvd that could n't be played on my old $ 200 sharp player ! ",media!+,player!sharp|vcd!old|dvd!rental,vcd!old|dvd!old|player!old|player!vcd
66,hope the unit lasts as i 've only had it for 3 days . ,,,unit!only
67,and the slim form-factor together with the mirror-like front-panel sure makes the player-look-cool and pricey ! ,look!+,|form-factor!slim|front-panel!slim,form-factor!slim|front-panel!slim
68,"one bad thing though , i find the remote-control a bit flimsy and i predict it will most probably ' die ' before the player does . ",remote control!-,thing!bad|remote-control!flimsy|bit!remote-control,player!die|thing!bad|remote-control!flimsy|bit!remote-control
69,"amazon.com promptly refunded my money for the first one , because a replacement was not available ( thanks amazon.com ! ",,money!refunded|replacement!available,replacement!available|money!refunded
70,"i have tried several times to contact apex digital through their on-line support-site and their telephone-line , but they wo n't answer my emails and their telephone-line is always busy . ",on-line support!-,|apex!digital|support-site!apex|telephone-line!support-site,telephone-line!busy|apex!digital|support-site!telephone-line
71,i will never buy another apex digital product ! ,,|product!digital|apex!digital,product!digital|apex!digital
72,for the most part this is a good dvd-player . ,player!+,dvd-player!good|part!good,
73,it is connected to an old television-set via composite video and analog-audio outputs . ,,|television-set!old,television-set!old
74,i searched on the internet and found one tip which solved our problem : press-i/p-button on the remote control . ,,tip!problem|control!remote|press-i/p-button!remote,control!remote|tip!problem|press-i/p-button!remote
75,it makes the dvd-player to switch between interlace mode and progressive scan mode . ,,mode!progressive|mode!progressive,dvd-player!dvd-player|mode!progressive|mode!progressive
76,obviously there is no composite video-output and different analog-audio signals at progressive scan mode . ,,mode!progressive|video-output!progressive|analog-audio!different,video-output!progressive|mode!progressive|mode!composite|analog-audio!video-output
77,i think most of you people complaining about no video is due to you hitting the wrong button either the p/n = pal / ntsc or the i/p is set to progressive scan . ,,button!wrong|p/n!=|ntsc!p/n|i/p!ntsc,button!wrong|p/n!button|ntsc!p/n|i/p!ntsc
78,"i tried calling the support-number for a week , several times a day , and always got a busy signal . ",support!-,|signal!busy|day!several|week!support-number,signal!busy|week!several|day!several
79,"it only read the dvds 10 % of the time , otherwise i would get a no disc-screen . ",dvd!-|read!-|no disc!-,,disc-screen!only
80,i got this dvd-player as a gift and had to send it back . ,,|gift!dvd-player,gift!dvd-player
81,"progressive scan player for a relatively low price ( although the better known manufacturers like toshiba , pioneer , and panasonic are now offering lower-priced progressive scan players as well ) . ",progressive scan player!+,player!progressive|price!progressive|toshiba!known|pioneer!toshiba|panasonic!toshiba,pioneer!known|player!progressive|price!progressive|toshiba!known|toshiba!pioneer|panasonic!pioneer
82,"also , i have not had trouble reading svcds that i created and vbr-mp3 cds ( my old apex-ad-1200 had trouble with these ) . ",read!+|svcd!+|vbr mp3 cd!+,apex-ad-1200!trouble|trouble!apex-ad-1200,apex-ad-1200!old|apex-ad-1200!trouble|trouble!apex-ad-1200
83,"i 've had this player for several months and it reads most discs , but it would not recognize several discs that were clean and read on other players ( from friends season 2 ) . ",disc!-|recognize!-,,season!other
84,"my other gripe is the incredibly crappy remote , which is worse than other , cheaper apex units . ",remote!-,gripe!crappy|apex!cheaper,apex!other|gripe!remote
85,ok this is our first dvd-player so what do i know . ,,|dvd-player!first|ok!first,
86,"i checked out the amazon reviews and i 'm pleased to say mine worked , works , fine right out of the box . ",player!+,,right!worked|box!worked
87,i like the auto-fit-feature = you can stretch widescreen dvd 's to normal . ,auto fit!+,|auto-fit-feature!=|dvd!widescreen,|dvd!widescreen
88,lot 's of other features that i need to find out about . ,,|lot!other,lot!other
89,things that i 'd prefer different - there 's a red light that shines when it 's turned off ! ,,,light!red
90,when i 1st tried it i found that it had no problem playing the more expensive dvd - r media disc 's that other players would play but to my surprise was able to play cheep media that i had burned that i could n't get to work before in anything but the dvd-burner itself that i had made the disc with . ,format!+,dvd!expensive|problem!dvd,disc!expensive|dvd!expensive|problem!dvd|dvd-burner!disc|anything!dvd-burner
91,i 've tried several dvd 's and even new ones do the same thing . ,,|dvd!several|dvd!new|thing!dvd,dvd!several|dvd!new|thing!same|thing!dvd
92,i 've tried someone elses and the same thing happens . ,,|thing!same|someone!thing,thing!same|someone!thing
93,"i 've attempted to connect this unit to several different tvs , using a multitude of connection methods , and i still can 't get a video-signal from the machine . ",player!-,,t!several
94,"i 've called the service-number and if it 's not busy , it rings forever then eventually dumps you . ",,,service-number!busy
95,3/4 way through the first disk we played on it ( naturally on 31 days after purchase ) the dvd-player froze . ,player!-,|disk!first|way!first,disk!first|way!first
96,"this product sucks , the customer-service from apex sucks . ",player!-,product!sucks|apex!sucks,apex!sucks|product!sucks
97,"when the player was working it was great ,but . ",player!-,,player!great
98,"remote : you can stand it on end ( harder to lose ) , and it 's far better designed than the 1100s . ",remote!+,,end!lose
99,"i 'd have given it 5 stars , but i 'm waiting to see if this one holds up to more frequent use than the last one : ",,,|use!frequent
100,"with progressive scan , i expect it to play-play play - and give my old pioneer a rest . ",,|pioneer!old|rest!pioneer,pioneer!old|rest!pioneer
101,"first of all , i bought this dvd as a christmas present for my girlfriend and i am somewhat disappointed . ",dvd!-,|christmas!present|girlfriend!christmas,christmas!present|girlfriend!christmas
102,"unlike some of the other people who received a "" lemon "" , my dvd-player came in perfect working condition . ",player!+,condition!perfect,condition!perfect|condition!dvd-player
103,"as a whole , the dvd-player has a sleek design and works fine . ",design!+,design!sleek|fine!works|dvd-player!design,design!sleek|design!dvd-player|fine!works|dvd-player!design
104,what disappointed me is the fact that it does not seem to read certain dvds . ,dvd!-,,fact!certain
105,"for example , i tried playing my new "" pirates of the carribean "" extra features dvd , but this dvd-player can not read it . ",read!-,|dvd!extra|dvd!new|carribean!extra,dvd-player!dvd-player|dvd!new|carribean!extra
106,i had apex regular ( non-progressive ) dvd-player for two years . ,,|dvd-player!regular|apex!regular,
107,"i think , apex is the best dvd-player you can get for the price . ",dvd player!+,dvd-player!best|apex!best,apex!dvd-player
108,i bought this to replace an expensive ( $ 300 + ) onkyo dvd-player that quit after only 3 years ! ,,dvd-player!expensive|onkyo!expensive,
109,this has so many capabilities that you 'll always have room for new technologies as they evolve . ,player!+,|room!new,room!new
110,"i use this with a home-theater-system and it 's amazing how it sounds , the picture-clarity is unmatched ! ",sound!+,picture-clarity!unmatched,home-theater-system!unmatched|picture-clarity!unmatched
111,so much packed in a small case and very affordable ! ,case!+,|case!small,case!small
112,unit worked great for 3 weeks then video output failed . ,player!-,unit!worked|output!failed,output!failed|unit!worked
113,i got one of these to serve as a second dvd-player in my house . ,,|dvd-player!second|house!second,
114,"basic usage is easy , but the remote has a lot of buttons that i have n't used . ",usage!+,usage!easy|lot!remote,lot!remote|usage!easy
115,"the picture is clear , bright and sharp and the sound is good . ",picture!+,picture!clear|sound!good,picture!bright|sound!good
116,"the catch is that , while it plays movies just fine , it has refused to read second discs with the movie "" extras "" on them on the two occaisions when i tried to do that . ",read!-|disc!-,,catch!fine
117,"had this been my only dvd-player , though , it would have been a real problem . ",,|dvd-player!only|problem!only,
118,received apex-dvd and the picture was great when set up with s connector . ,picture!+,,picture!great
119,so far the dvd works so i hope it does n't break down like the reviews i 've read . ,dvd!+,dvd!works,hope!break|dvd!works
120,video output stopped workin . ,video output!-,|output!video,output!video
121,"i might have gotten a lemon , but this is not the first report of video output-failure on this machine . ",,|report!first|output-failure!first|machine!report,report!first|output-failure!first|machine!first|machine!report
122,"i am returning it , and again in the market for a multiformat dvd , svcd , vcd , mp3 , etc. player . ",,|dvd!multiformat|market!multiformat|svcd!dvd|vcd!multiformat|mp3!dvd|player!multiformat,|dvd!multiformat|market!multiformat|svcd!multiformat|svcd!dvd|vcd!multiformat|vcd!dvd|mp3!multiformat|mp3!dvd|player!multiformat
123,i bought the apex ad-2600 dvd-player for the family for christmas . ,,|dvd-player!ad-2600|apex!ad-2600|family!dvd-player,family!dvd-player
124,"the unit seems to play all formats that i have put in it ( jpeg , kodak-pic 's and dvd-r ) i have read other reviews and some good and soom not so good , but my feeling at this time is "" two thumbs up "" ! ",unit!+|format!+,soom!good,unit!other|soom!good
125,( i guess only time will tell ? ) ,,|time!only,time!only
126,p.s the remote control does seem to get confused at times and doesnt respond but it may be just operator-error ? ,remote!-,|control!remote,control!remote
127,the second one was the 2500 which i think is better than the 2600 because it has more features such as karoake which i do use sometimes for parties . ,,|one!second,one!second
128,"well , within 45 days the video output quit working ( both rca & optic ) . ",video output!-,|output!video|working!output,output!video|working!output
129,"when we tried to hook up the first one , it was broken - the motor would not eject discs or close the door . ",player!-|motor!-|disc!-,,hook!first
130,"when i tried to install the second dvd-player in my brothers house , that one didn "" t-work either ! ",player!-,|dvd-player!second|house!second,
131,imagine my shock - and absolute instant-disdain for any products made by apex . ,apex!-,instant-disdain!shock|shock!instant-disdain,|instant-disdain!shock|shock!instant-disdain
132,the 2nd dvd-player had a faulty power-supply which caused to occasionally not turn on . ,power supply!-,power-supply!faulty|dvd-player!2nd,power-supply!faulty|power-supply!dvd-player|dvd-player!power-supply
133,"what can i say , i bought the ad600 2 years ago and it was probly the best dvd-player ever , quality-design , stable , plus it uses a standard ide-interface so you can use an old dvd-drive from your computer if the player dies . ",,dvd-player!best|quality-design!best|player!dies|ad600!dvd-player|ide-interface!quality-design,player!dies|quality-design!stable|dvd-player!stable|ide-interface!standard|computer!dvd-drive|ad600!dvd-player
134,it really does n't make any cents $ $ to build a great reputation then destroy it from lack a research and testing in one season . ,,research!lack|testing!lack|season!lack,reputation!destroy|testing!lack|research!lack|season!lack|research!testing|lack!testing
135,they refunded my $ $ $ so fast and paid for the shipping back . ,,,shipping!refunded
136,"for the price , it 's a very nice dvd-player . ",dvd player!+,dvd-player!nice|price!nice,
137,"the front door is miss aligned on my unit and you have to manually life it up just so slightly for the door to close , a very annoying thing after ahwile . ",door!-,door!miss|ahwile!annoying|thing!annoying,thing!annoying|ahwile!annoying|door!miss
138,it does play a wide range of formats as advertised which is very nice . ,format!+,|range!wide,range!nice
139,recommended to anyone looking to purchase a low priced dvd-player and not expecting any bells or whistles from a brand-name one like sony . ,,|dvd-player!low|sony!brand-name,|sony!brand-name
140,i only wanted something to play dvds on but this machine has all these other features that i probably will never use but it 's nice to know that there 're there . ,feature!+,,machine!other
141,i applied a $ 25 amazon-gift-voucher i got for christmas so i only ended up paying $ 29 for this machine . ,,,amazon-gift-voucher!only
142,even if i had paid full price i would have considered this a good deal . ,,deal!good,deal!good|price!full
143,"i pulled out our old non-progressive scan toshiba , hooked it back-up and the "" finding nemo "" dvd works fine . ",,dvd!works|nemo!works|fine!works,dvd!works|fine!works|nemo!works|fine!dvd
144,i can 't-rate it one star only because when it does work it 's pretty good . ,player!-,star!good,star!only
145,"i purchased the ad 2600 from another company last month and was very satisfied with my purchase , until last night . ",,|month!last|night!month,month!last|night!last|night!month
146,i even went as far as calling the technical support-number on the disc . ,,|support-number!technical|disc!technical,support-number!technical|disc!technical
147,the person i talked to suggested i take the dvd-player back and swap it out with another . ,,,person!dvd-player
148,"the other company is currently "" out of stock "" so i ordered another from amazon and will be taking the original back to the competitor-today . ",,|company!other,company!other
149,if problem occurs again i will repost my new rating . ,,|rating!new,rating!new
150,"somewhat disappointed that i could not "" hook up "" to my sony multi brand remote commander . ",,|commander!remote|hook!remote|sony!remote|brand!remote,commander!remote|sony!remote|hook!remote|brand!remote
151,"you have to ask yourself , "" how much money is dissapointment worth ? "" ",,money!worth|worth!much,|money!worth|worth!much
152,"1 ) frame freezes and the family yells , "" dad ! somethings wrong with the dvd player ! come quick ! "" ",freeze!-|player!-,,frame!freezes
153,"2 ) the remote works , but then it does not work , and you are left standing there thinking you are doing something wrong . ",remote!-,something!wrong,something!wrong|something!works
154,3 ) you must press the play-button and hold it for a couple of seconds otherwise it will not work and you will think the whole unit is broken . ,,|unit!whole,unit!whole
155,"4 ) it did play my jpeg photos but wow , trying to figure it out was really something ! ",,,something!wow
156,5 ) this apex-model 2600 will not work with my universal remote control . ,universal remote control!-,|control!remote,apex-model!work|control!universal
157,"you will be told goldstar codes work , and you will be told zenith codes will work , and radio-shack will give you apex codes but they will not work . ",,goldstar!work|zenith!work,zenith!work|goldstar!work
158,finally you will read a post somewhere that all codes are useless for the apex 2600 . ,code!-,,post!useless
159,"one still works fine , the other quit after one day . ",player!-,fine!works|day!works,day!works|fine!works|fine!other
160,owner 's manual has substandard troubleshooting guide . ,manual!+,manual!substandard|owner!substandard|guide!substandard,manual!substandard|owner!substandard|guide!substandard|guide!manual
161,"to get back to the menu of the dvd you have to press "" menu "" on the remote while the dvd is playing . ",,,dvd!remote
162,"if the dvd is stopped , it will display "" playback only "" . ",,,dvd!only
163,"little inconveinent , but unlike other players i only paid 40 $ . ",,|inconveinent!little|inconveinent!other,inconveinent!little|inconveinent!other
164,"of course , i was hesitant given the price , but i 've been extremely impressed since receiving it , and bought a second one as a christmas present for my parents . ",player!+,|christmas!present,christmas!present
165,"when i hooked it up it only produced sound - a cd played fine , but with a dvd i only got the audio - no picture ! ",picture!-,|dvd!sound|sound!dvd,cd!fine|dvd!sound|sound!dvd
166,as i travelled internationally and did n't want to haul it back on a plane with me it was an expensive addition to the recycling bin . ,,addition!expensive|plane!expensive|bin!expensive,addition!expensive|bin!expensive|plane!expensive
167,had to buy my dad a different dvd-player locally ( panasonic ) which worked just fine . ,,|dvd-player!different|dad!different,
168,"seemed like a good deal , but this pos frequently cannot recognize dvds and music cds -- takes a long time loading and then concludes , "" no disc "" . ",dvd!-|no disc!-,deal!good|time!long,time!long|deal!good
169,"granted , i have only used this dvd-player for about 2 hours setting it up for my mom for christmas , but that was long enough for me to find problems with this dvd-player . ",dvd player!-,,dvd-player!long
170,the remote is flimsy-feeling and awkward to use . ,remote!-,|flimsy-feeling!remote,flimsy-feeling!remote
171,"i think for about $ 40 more , you can probably find a much better dvd-player than this though . ",,dvd-player!better,
172,"after less than 24 hours it turned out to be a huge disappointment , for myself and for my parents , for whom it was a gift . ",player!-,,gift!disappointment
173,"there were a few attractive features , such as the small size and the layout of the remote . ",size!+,size!attractive|layout!small,size!small|size!attractive|layout!small|layout!size
174,"all in all , trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd-vcr-combo player to make up for blazing crappiness of this very embarassing gift . ",player!-,deal!great|player!nicer|gift!embarassing|crappiness!embarassing,player!nicer|deal!great|gift!embarassing|crappiness!embarassing
175,i looked into buying an inexpensive dvd-player that had more than the standard set of features and this item seemed to be the best in that category . ,player!+,dvd-player!inexpensive|set!standard|item!set,set!best|item!set
176,"still , i was willing to overlook those things as this unit looks sleek and has a myriad of features ! ",look!+,,unit!sleek
177,so i pop-in my first dvd and start to watch . ,,|dvd!first,dvd!first
178,my next thought was that the dvd must be damaged . ,,|thought!next,thought!next
179,upon inspection i did find a small scratch on the surface and figured that to be the cause . ,,inspection!scratch,|inspection!scratch
180,i decided to check one more thing though and plugged in my 3-year - old unit again just to see . ,,|unit!3-year,unit!old
181,i then played it through my ps2 and there was no problem there either . ,,,ps2!problem
182,"i am even a bit-technology oriented , so i thought it would be a breeze to set this up . ",,,bit-technology!breeze|breeze!bit-technology
183,"i hope that amazon will let me trade it for a different , more trusted brand of dvd-player . ",,brand!trusted|dvd-player!trusted,brand!trusted|brand!different|dvd-player!different
184,this is probably one of the few dvd players at $ 40 that can play almost everything you throw at it . ,dvd player!+,|dvd!few,dvd!few
185,"remote buttons are small and closely spaced , especially with the menu buttons . ",remote button!-,|menu!small,menu!small
186,this is wonderful to have for your first dvd-player . ,player!+,|dvd-player!first,
187,i brought it for my sister in college and she loves it ! ,player!+,,sister!loves
188,i bought the apex-ad-2600 because of the ability to play jpegs and it seemed like it was the most bang for the buck . ,,,apex-ad-2600!like|ability!apex-ad-2600
189,"it does not only have difficulty playing jpegs , it even has trouble properly playing dvd movies . ",jpeg!-,,difficulty!difficulty
190,"i read in consumer reports that apex is a reliable brand , but with my experience and reading the other reviews , i think i will be doing a little more homework before considering another apex-product . ",apex!-,brand!reliable|apex!reliable|experience!reliable,homework!little|brand!reliable|apex!reliable|experience!reliable|experience!brand
191,"i am returning mine for a replacement , but if i receive another ad-2600 with the same or similar problems i will not only return it for a refund , but never buy another apex-product in the future . ",,,ad-2600!ad-2600
192,"i guess that i can not complain since it does not actually claim to play vcd / svcd formats , but others say they can . ",,guess!complain|vcd!svcd,|guess!complain|vcd!svcd
193,"also , it was only $ 39.99 ( after rebate ) with free shipping and no tax so overall it is a decent player . ",player!+,shipping!free|tax!free|player!decent,shipping!free|rebate!free|player!decent|tax!free|tax!shipping
194,mixed bag i guess but the price was right . ,price!+,guess!right|bag!right|price!right,guess!right|bag!right|price!right|price!guess
195,this is the third apex-product i 've bought and they continue to impress for the price . ,price!+,,apex-product!impress
196,"i paid twenty dollars more than the current price , and even then it was a steal . ",,|price!current,price!current
197,i tried as bunch of different formats to see if it would play and it did . ,format!+,|bunch!different,bunch!different
198,silverish color really adds a special touch . ,color!+,|color!silverish|touch!color,|color!silverish|touch!special|touch!color
199,"if it can fit in the drive-bay , this dvd-player will play it . ",,,drive-bay!dvd-player
