,id,review,target,category,term,polarity
87,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD,bet|tartare|steak,positive
88,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","open kitchen,restaurant","AMBIENCE,AMBIENCE",restaurant|kitchen|part,"positive,negative"
89,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","wine selection,Gigondas,house champagne","FOOD,FOOD,PRICES",selection|wine|value|price|champagne|house,"positive,positive,positive"
90,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","NULL,vibe,French food","AMBIENCE,AMBIENCE,FOOD",vibe|food|bit,"neutral,positive,positive"
91,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","crust,pizza","FOOD,FOOD",bread|tastes|pizza|pizza|toppings|nyc,"positive,positive"
92,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","neighborhood,food","AMBIENCE,FOOD",neighborhood|food,"positive,positive"
93,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"setting,service,NULL","AMBIENCE,SERVICE",setting|service|occasion,"positive,positive,positive"
94,1205520:2,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,FOOD,|roll|scallop,positive
95,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!","Moules,lobster ravioli","FOOD,FOOD",moules|ravioli|lobster,"positive,negative"
96,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',SERVICE,d'|maitre,negative
97,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"dessert,dessert","FOOD,PRICES",|dessert,"negative,negative"
98,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"drinks,wine selection","FOOD,PRICES",|drinks,"positive,positive"
99,1221938:1,Try their chef's specials-- they are to die for.,chef's specials,FOOD,chef|specials,positive
100,1221938:3,Downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE,lounge,positive
101,1225162:0,"Raga's is a romantic, cozy restaurant.",Raga's,AMBIENCE,restaurant,positive
102,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,"exotic food,exotic food","FOOD,FOOD",combinations|delight|food,"positive,positive"
103,1225162:3,The staff is incredibly helpful and attentive.,staff,SERVICE,staff,positive
104,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,"bar,beers,wines","FOOD,FOOD,PRICES",beers|wines,"positive,positive,positive"
105,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,SERVICE,waitress|table|bathroom|dinner|orders|toilet,negative
106,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","service,food,NULL","SERVICE,FOOD",service|food,"negative,neutral,negative"
107,1230993:1,I loved everythig about it-especially the shows and actors.,"NULL,shows,actors","AMBIENCE,AMBIENCE",everythig,"positive,positive,positive"
108,1230993:2,Our server was very helpful and friendly.,server,SERVICE,server,positive
109,1230993:4,The food was good too.,food,FOOD,food,positive
110,1232468:0,The tuna and wasabe potatoes are excellent.,"tuna,wasabe potatoes","FOOD,FOOD",potatoes|tuna|wasabe,"positive,positive"
111,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,AMBIENCE,atmosphere|avenue,positive
112,1232468:3,Service was prompt and courteous.,Service,SERVICE,service,positive
113,1241906:0,"Great service, great food.","service,food","SERVICE,FOOD",service|food,"positive,positive"
114,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","pizza,fresh mozzarella","FOOD,FOOD",pizza|mozzarella|cheese|pizzaria,"positive,positive"
115,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,FOOD,selection|appetizer|complaints,negative
116,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"Wait staff,pie","SERVICE,FOOD",pie|uws|staff|business,"negative,positive"
117,1256373:0,By far the best salad I have had in a fast food restaurant.,salad,FOOD,salad|food|restaurant,positive
118,1256373:1,fine dining restaurant quality.,dining,FOOD,quality|dining|restaurant,positive
119,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","chicken pot pie,cheeseburger,cheeseburger,service","FOOD,FOOD,FOOD,SERVICE",|cheeseburger|excpetiona|chicken|pot|service,"positive,positive,positive,positive"
120,1269216:1,The staff is no nonsense.,staff,SERVICE,staff,positive
121,1269216:2,The food options rule.,food,FOOD,food|options|rule,positive
122,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,FOOD,bagels,positive
123,1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",Uni Hand roll,FOOD,|roll|heaven,positive
124,1275154:6,The sake menu should not be overlooked!,sake menu,FOOD,sake|menu,positive
125,1275154:8,Try the lobster teriyaki and the rose special roll.,"lobster teriyaki,rose special roll","FOOD,FOOD",|roll|teriyaki,"positive,positive"
126,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",Service,SERVICE,service,positive
127,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","Food,pork belly","FOOD,FOOD",food|experience|fat,"positive,negative"
128,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"Wine list selection,wine-by-the-glass","FOOD,FOOD",selection|wine|list,"positive,positive"
129,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"Traditional French decour,hall","AMBIENCE,AMBIENCE",decour|hall|restaurant,"positive,negative"
130,1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",Seating,SERVICE,seating,positive
131,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","Food,raw vegatables in side orders","FOOD,FOOD",food,"positive,negative"
132,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","decor,semi-private boths","AMBIENCE,AMBIENCE",decor|boths|side|side|hall,"positive,positive"
133,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","live jazz band,atmosphere","AMBIENCE,AMBIENCE",|band|atmosphere|jazz,"positive,positive"
134,1286916:3,It's simply the best meal in NYC.,meal,FOOD,meal|nyc,positive
135,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"food,balance of herbs and tomatoes","FOOD,FOOD",food|diamond|balance|herbs|tomatoes|homemade,"positive,positive"
136,1289424:3,The server was really cool and served us our food and drinks with a smile.,server,SERVICE,server,positive
137,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,"decor,hidden bathrooms","AMBIENCE,AMBIENCE",laugh|bathrooms|decor,"positive,positive"
138,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","beers,food,pumkin tortelini","FOOD,FOOD,FOOD",husband|tortelini|beers|food|dish,"positive,positive,positive"
139,1297844:2,The bagel was huge.,bagel,FOOD,|bagel,positive
140,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel,FOOD,workers|bagel|cream|cheese,negative
141,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,"food,service","FOOD,SERVICE",frist|cafe|st.|food|service,"positive,positive"
142,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,"lobster roll,lobster","FOOD,FOOD",roll|lobster|mayo|mayo,"positive,positive"
143,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.","pizza,santa fe chopped salad,fish and chips","FOOD,FOOD,FOOD",guests|salad|pizza|fish|chips|fe,"positive,positive,positive"
144,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","food,ambience,service","FOOD,AMBIENCE,SERVICE",cafe|st.|service|food,"positive,positive,positive"
145,1303888:0,All the staff is absolutely professional!! ,staff,SERVICE,|staff,positive
146,1303984:1,My chow fun and chow see was really bland and oily.,chow fun and chow see,FOOD,chow|fun|chow|oily,negative
147,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,"scallion pancakes,fried dumplings","FOOD,FOOD",dumplings|pancakes,"neutral,neutral"
148,1308557:0,The service was the only thing good about this restaurant.,"service,restaurant",SERVICE,service|restaurant,"positive,negative"
149,1308557:1,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.","NULL,sushi,tuna,rolls","AMBIENCE,FOOD,FOOD,FOOD",|sushi|tuna|average|rolls|inside|flavor,"negative,negative,negative,negative"
150,1310217:1,Their pad penang is delicious and everything else is fantastic.,"pad penang,NULL","FOOD,FOOD",penang|pad,"positive,positive"
151,1310217:2,The price is reasonable although the service is poor.,"NULL,service","PRICES,SERVICE",price|service,"positive,negative"
152,1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,"fresh restaurant,food",FOOD,restaurant|food|course,"positive,positive"
153,1318537:4,Hats off to the chef.,chef,FOOD,hats|chef,positive
154,1328078:3,"the salads are delicious, both refreshing and very spicy.",salads,FOOD,salads,positive
155,1328078:4,We had Pam's special fried fish and it was amazing.,Pam's special fried fish,FOOD,fish|pam,positive
156,1335154:1,"Great vibe, lots of people.",vibe,AMBIENCE,vibe|lots,positive
157,1335154:4,"I didn't complain, I liked the atmosphere so much.",atmosphere,AMBIENCE,atmosphere,positive
158,1335656:2,"Ambience is so cute and quaint, good for business although we were there on vacation.","Ambience,NULL",AMBIENCE,ambience,"positive,positive"
159,1335656:3,Salads were fantastic.,Salads,FOOD,salads,positive
160,1335656:4,Although we were looking for regular lettuce and some walnuts the salads we got were great.,salads,FOOD,salads,positive
161,1335656:5,Ingredients are organic which is a real plus for me.,Ingredients,FOOD,|ingredients,positive
162,1338124:0,"This is some really good, inexpensive sushi.","sushi,sushi","FOOD,PRICES",sushi,"positive,positive"
163,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,"spicy Tuna roll,spicy Tuna roll,spicy Tuna roll","FOOD,FOOD,PRICES",|roll|spicy|tuna,"positive,positive,positive"
164,1338124:3,The Yellowtail was particularly good as well.,Yellowtail,FOOD,yellowtail,positive
165,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","all you can eat deal,all you can eat deal","FOOD,PRICES",choices|food,"negative,negative"
166,1340075:1,"They have it all -- great price, food, and service.","NULL,NULL,food,service","PRICES,FOOD,SERVICE",price|food|service,"positive,positive,positive,positive"
167,1340075:2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"atmosphere,waiters","AMBIENCE,SERVICE",atmosphere,"negative,positive"
168,1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","NULL,congee,noodles,rice dishes","PRICES,PRICES,PRICES,PRICES",price,"positive,positive,positive,positive"
169,1340075:5,The takeout is great too since they give high quality tupperware as well.,takeout,SERVICE,takeout|tupperware|quality,positive
170,1341354:1,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,"Caesar Salad,arugula and goat cheese","FOOD,FOOD",salad|caesar,"positive,positive"
171,1341354:2,We both opted for a pasta dish and they were served timely and fresh.,"NULL,pasta dish","SERVICE,FOOD",pasta|dish,"positive,positive"
172,1341354:3,"We concluded with tiramisu chocolate cake, both were delicious.","tiramisu,chocolate cake","FOOD,FOOD",tiramisu|chocolate|cake,"positive,positive"
173,1347423:1,"The staff was accomodating, the food was absolutely delicious and the place is lovely.","staff,food,place","SERVICE,FOOD,AMBIENCE",food|place,"positive,positive,positive"
174,1347423:2,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,Manager,SERVICE,visit|manager,positive
175,1349391:0,sometimes i get good food and ok service.,"food,service","FOOD,SERVICE",food|service,"positive,neutral"
176,1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.","food,service,service,good","FOOD,SERVICE,SERVICE,FOOD",food|service,"negative,negative,negative,positive"
177,1352948:0,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,"dishes,wine,NULL,atmosphere","FOOD,FOOD,SERVICE,AMBIENCE",|dishes|wine|atmosphere,"positive,positive,positive,positive"
178,1353599:0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,"pizza,place","FOOD,AMBIENCE",place|pizza|pizza,"positive,positive"
179,1353599:1,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,"raddichio,NULL","FOOD,FOOD",mine|goat|cheese|panchetta|raddichio|kind,"negative,positive"
180,1353599:2,My friend got the mushroom pizza which tasted better.,mushroom pizza,FOOD,friend|mushroom|pizza,positive
181,1353599:3,The sangria was pretty tasty and good on a hot muggy day.,sangria,FOOD,sangria,positive
182,1357554:0,I started out with a Bombay beer which was big enough for two.,Bombay beer,FOOD,beer,positive
183,1357554:3,"Service was slow, but the people were friendly.","Service,people","SERVICE,SERVICE",service|people,"negative,positive"
184,1357554:4,It's a nice place to relax and have conversation.,place,AMBIENCE,place,positive
185,1367358:1,The food is authentic Italian - delicious!,food,FOOD,food,positive
186,1367358:2,"Pizza is terrific, as is homemade pasta.","Pizza,homemade pasta","FOOD,FOOD",pizza,"positive,positive"
187,1367358:3,"Ambience is delightful, service impeccable.","Ambience,service","AMBIENCE,SERVICE",ambience,"positive,positive"
188,1380450:0,I'm still mad that i had to pay for lousy food.,food,FOOD,food,negative
189,1380450:1,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,"hanger steak,tuna","FOOD,FOOD",|tuna|rubber|hanger,"negative,negative"
190,1380450:2,Service was also horrible and the ambience is not that great.,"Service,ambience","SERVICE,AMBIENCE",service|ambience,"negative,negative"
191,1387314:1,This is my first time writing a review for a restaurant because the food and service was excellent.,"food,service","FOOD,SERVICE",food|service,"positive,positive"
192,1387314:2,The filet mignon dish was superb!,filet mignon dish,FOOD,dish|mignon,positive
193,1387314:4,It's a small cute restaurant.,restaurant,AMBIENCE,restaurant,positive
194,1390357:2,"I like the ambience, it's very dark and original.",ambience,AMBIENCE,ambience,positive
195,1390357:4,The sushi is amazing!!! ,sushi,FOOD,sushi,positive
196,1394712:0,Very affordable and excellent ambient!,"ambient,NULL","AMBIENCE,PRICES",,"positive,positive"
197,1394712:1,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,beef and noodle soup dishes,FOOD,|section|menu,negative
198,1394712:3,We won't go to this place again for a good meal.,meal,FOOD,meal,negative
199,1394712:4,"However, I think this place is a good hang out spot.",place,AMBIENCE,place|spot,positive
200,1395421:1,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,"Pizza,wine,service,backyard dining area","FOOD,FOOD,SERVICE,AMBIENCE",|service|pizza|wine|wine|area|backyard|dining|place,"positive,positive,positive,positive"
201,1398844:0,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",place,AMBIENCE,place,negative
202,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","tables,menu,wine list","AMBIENCE,FOOD,PRICES",|menu|restaurant,"negative,neutral,negative"
203,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,"wines,wines","FOOD,PRICES",|wines,"negative,negative"
204,1398844:4,Service is not what one would expect from a joint in this price category.,Service,SERVICE,service|joint|price|category,negative
205,1398844:6,Somehow working the italian charm with constant mille grazie does not constitute proper service.,service,SERVICE,service|grazie,negative
206,1398844:7,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","food,Teodora",FOOD,factor|food,"positive,negative"
207,1404042:1,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,"meals,rosemary or orange flavoring","FOOD,FOOD",rosemary|flavoring|orange,"negative,negative"
208,1404042:2,Fish was overdone.,Fish,FOOD,fish,negative
209,1404042:3,"Cute place, nice wait staff but would never go there again.","wait staff,place,place","SERVICE,AMBIENCE",place|staff|wait,"positive,positive,negative"
