,Review,Kategori,Polarity,Restaurant,preprocessed_sentence_lemma,preprocessed_sentence,aspect_prediction,opinion_term_prediction,entity_prediction
18,"Because of this I actively tell people not to go to this restaurant, don't waste your money on a place that tricks customers",Price,negative,Sakana Midplaza,actively tell people go restaurant donot waste money place trick customer,"because of this i actively tell people not to go to this restaurant , do not waste your money on a place that tricks customers","[['people', 'restaurant', 'money', 'place', 'trick', 'customer']]",[['waste']],['AMBIENCE']
19, The service was quick and attentive,Service,positive,Sakana Midplaza,service quick attentive,the service was quick and attentive,[['service']],"[['quick', 'attentive']]",['SERVICE']
20,"The food here is average, but pretty good for Jakarta",Food,positive,Sakana Midplaza,food average pretty good jakarta,"the food here is average , but pretty good for jakarta","[['food', 'jakarta']]","[['average', 'pretty', 'good']]",['FOOD']
21,This resto is good for teriyaki,Food,positive,Sakana Midplaza,resto good teriyaki,this resto is good for teriyaki,[['resto']],[['good']],['FOOD']
22,The price is worthy for your taste,Price,positive,Sakana Midplaza,price worthy taste,the price is worthy for your taste,[['price']],[['worthy']],['PRICE']
23,Taste need to be improved but overall the service and also ambience is good,"Service, Ambience","positive, positive",Sakana Midplaza,taste need improve overall service also ambience good,taste need to be improved but overall the service and also ambience is good,[['ambience']],[['good']],['AMBIENCE']
24,"Environment was okay, food taste not bad","Ambience, Food","positive, positive",Sakana Midplaza,environment okay food taste bad,"environment was okay , food taste not bad","[['environment', 'food', 'taste']]","[['okay', 'bad']]",['FOOD']
25,Nice menu of japanese cuisine … I love the fried eel menu & japanese salad,Food,positive,Sakana Midplaza,nice menu japanese cuisine love fried eel menu japanese salad,nice menu of japanese cuisine … i love the fried eel menu japanese salad,"[['menu', 'cuisine', 'eel', 'salad']]","[['nice', 'japanese', 'love', 'fried']]",['FOOD']
26,The satay was great,Food,positive,Sakana Midplaza,satay great,the satay was great,[['satay']],[['great']],['FOOD']
27,Nice Ambiance and good food,"Ambience, Food","positive, positive",Sakana Midplaza,nice ambiance good food,nice ambiance and good food,"[['ambiance'], ['food']]","[['nice'], ['good']]","['AMBIENCE', 'FOOD']"
28,The restaurant has very unique interior and really represents Japanese style dining,Ambience,positive,Sakana Midplaza,restaurant unique interior really represent japanese style dining,the restaurant has very unique interior and really represents japanese style dining,"[['restaurant', 'interior', 'style', 'dining']]","[['unique', 'japanese']]",['AMBIENCE']
29,So delicious and so many food from local until western,Food,positive,Café Gran Via,delicious many food local western,so delicious and so many food from local until western,[['food']],"[['delicious', 'many', 'local', 'western']]",['FOOD']
30,Excellent Service,Service,positive,Café Gran Via,excellent service,excellent service,[['service']],[['excellent']],['SERVICE']
31, Must say the service was best in it's class,Service,positive,Café Gran Via,must say service best class,must say the service was best in it is class,"[['service', 'class']]",[['best']],['SERVICE']
32,Loved the food it was so delicious | Nicely Presented,Food,positive,Café Gran Via,love food delicious nicely present,loved the food it was so delicious nicely presented,[['food']],"[['love', 'delicious', 'nicely']]",['FOOD']
33,I really loved the Ambience of this Place,Ambience,positive,Café Gran Via,really love ambience place,i really loved the ambience of this place,"[['ambience', 'place']]",[['love']],['AMBIENCE']
34,"When I consider it's food, ambience and location, combined with options for breakfast-lunch-dinner meetings, than Café Gran Via fits as one of my top priority choice for many years.","Food, Ambience","positive, positive",Café Gran Via,consider food ambience location combine option breakfast lunch dinner meeting café gran via fit one top priority choice many year,"when i consider it is food , ambience and location , combined with options for breakfast-lunch-dinner meetings , than café gran via fits as one of my top priority choice for many years .","[['food', 'ambience', 'location', 'option', 'meeting', 'caf', 'gran', 'fit', 'priority', 'choice', 'year']]","[['breakfast-lunch-dinner', 'top', 'many']]",['AMBIENCE']
35,"Good place and good service Thank you for service elsa and all staff , good food, good ambience, good service","Ambience, Service, Food","positive, positive,  positive",Café Gran Via,good place good service thank service elsa staff good food good ambience good service,"good place and good service thank you for service elsa and all staff , good food , good ambience , good service","[['place'], ['service'], ['elsa'], ['staff'], ['food'], ['ambience']]","[['good'], ['good'], ['thank'], ['good'], ['good'], ['good']]","['AMBIENCE', 'SERVICE', 'AMBIENCE', 'SERVICE', 'FOOD', 'AMBIENCE']"
36,excellent food and friendly service,"Food, Service","positive, positive",Café Gran Via,excellent food friendly service,excellent food and friendly service,"[['food'], ['service']]","[['excellent'], ['friendly']]","['FOOD', 'SERVICE']"
37,Happy with food and good service here,"Food, Service","positive, positive",Café Gran Via,happy food good service,happy with food and good service here,"[['food'], ['service']]","[['happy'], ['good']]","['FOOD', 'SERVICE']"
38,It was good food and good ambience! Thanks cafe gran via! The server Agung is fast response and good service,"Food, Ambience, Service","positive, positive,  positive",Café Gran Via,good food good ambience thanks cafe gran via server agung fast response good service,it was good food and good ambience thanks cafe gran via the server agung is fast response and good service,"[['food', 'ambience', 'thanks', 'cafe', 'gran', 'server', 'agung', 'response', 'service'], ['cafe', 'gran', 'server', 'agung', 'response', 'service']]","[['good', 'fast'], ['fast', 'good']]","['SERVICE', 'SERVICE']"
39,"Chinese (steamed fish and sesame chicken), mongolian (bbq) and the chicken and tom yum soup are recommended",Food,positive,Café Gran Via,chinese steamed fish sesame chicken mongolian bbq chicken tom yum soup recommend,"chinese ( steamed fish and sesame chicken ) , mongolian ( bbq ) and the chicken and tom yum soup are recommended","[['fish', 'chicken', 'bbq', 'tom', 'yum', 'soup']]","[['chinese', 'steamed', 'mongolian', 'recommend']]",['FOOD']
40,"Staffs hospitality were excellent especially Kardini, Firzy, Rinda, Aldi & Gunawan",Service,positive,Café Gran Via,staff hospitality excellent especially kardini firzy rinda aldi gunawan,"staffs hospitality were excellent especially kardini , firzy , rinda , aldi gunawan","[['staff', 'hospitality', 'firzy', 'rinda', 'aldi', 'gunawan']]",[['excellent']],['SERVICE']
41,The Indonesian food are very delicious,Food,positive,Café Gran Via,indonesian food delicious,the indonesian food are very delicious,[['food']],"[['indonesian', 'delicious']]",['FOOD']
42, With all the foods and the place of the restaurant was looks so cozy too,Ambience,positive,Café Gran Via,food place restaurant look cozy,with all the foods and the place of the restaurant was looks so cozy too,"[['food', 'place', 'restaurant']]",[['cozy']],['AMBIENCE']
43,"service good thank you rinda,kiki,adis ,amin ,muty,abdlrahman gusdur,citra, ilyas",Service,positive,Café Gran Via,service good thank rinda kiki adis amin muty abdlrahman gusdur citra ilyas,"service good thank you rinda , kiki , adis , amin , muty , abdlrahman gusdur , citra , ilyas","[['service', 'rinda', 'kiki', 'adis', 'amin', 'muty', 'abdlrahman', 'gusdur', 'citra', 'ilyas']]","[['good', 'thank']]",['SERVICE']
44,"Good Food , Good Ambience, Good Service for mr. kardini, miss. Rinda , Mr. Dadang, Mr.Agung, mr permadi and aldy","Food, Ambience, Service","positive, positive,  positive",Café Gran Via,good food good ambience good service mr kardini miss rinda mr dadang mr agung mr permadi aldy,"good food , good ambience , good service for mr. kardini , miss . rinda , mr. dadang , mr.agung , mr permadi and aldy","[['food', 'ambience', 'service', 'mr.', 'kardini']]","[['good', 'miss']]",['FOOD']
45,"All the food is great The place and ambience are very comfortable , service very good thank you rinda,kiki,agung ,ilyas , aldy,amin","Food, Ambience, Service","positive, positive,  positive",Café Gran Via,food great place ambience comfortable service good thank rinda kiki agung ilyas aldy amin,"all the food is great the place and ambience are very comfortable , service very good thank you rinda , kiki , agung , ilyas , aldy , amin","[['food'], ['place', 'ambience', 'service']]","[['great', 'comfortable', 'good'], ['comfortable', 'good']]","['FOOD', 'AMBIENCE']"
46,"Thanks to Rinda, Kardini, Ilyas, Gusdur, Dadang, Mr Iqbal for the great service",Service,positive,Café Gran Via,thanks rinda kardini ilyas gusdur dadang mr iqbal great service,"thanks to rinda , kardini , ilyas , gusdur , dadang , mr iqbal for the great service","[['thanks', 'rinda', 'kardini', 'ilyas', 'gusdur', 'dadang', 'mr', 'iqbal', 'service']]",[['great']],['SERVICE']
47,"Good food, good restaurant",Food,positive,Café Gran Via,good food good restaurant,"good food , good restaurant","[['food'], ['restaurant']]","[['good'], ['good']]","['FOOD', 'AMBIENCE']"
48,"I had dinner with my husband, overall the menu hare is good especially for the dessert",Food,positive,Café Gran Via,dinner husband overall menu hare good especially dessert,"i had dinner with my husband , overall the menu hare is good especially for the dessert","[['dinner', 'husband', 'menu', 'hare', 'dessert'], ['menu', 'hare']]","[['good'], ['good']]","['FOOD', 'FOOD']"
49,The food is perfect as usual,Food,positive,Café Gran Via,food perfect usual,the food is perfect as usual,[['food']],"[['perfect', 'usual']]",['FOOD']
50,"Thank you for the excellent service from the team (Elsa, Amri, Masruhan, Kardini, Muty, Citra, Dadang, Ridwan, Kiki, Adis, Rinda) and thank you for surprising us with a complimentary birthday cake (along with my granddaughter's favorite song), she really loved it!",Service,positive,Café Gran Via,thank excellent service team elsa amri masruhan kardini muty citra dadang ridwan kiki adis rinda thank surprising us complimentary birthday cake along granddaughter favorite song really love,"thank you for the excellent service from the team ( elsa , amri , masruhan , kardini , muty , citra , dadang , ridwan , kiki , adis , rinda ) and thank you for surprising us with a complimentary birthday cake ( along with my granddaughter is favorite song ) , she really loved it",[['song']],"[['thank', 'favorite', 'love', 'excellent', 'surprising', 'complimentary']]",['AMBIENCE']
51,"Great atmosphere, delicious food, cozy ambiance, and excellent services of kardini, adisti, rinda, agung and citra","Ambience, Service, Food","positive, positive,  positive",Café Gran Via,great atmosphere delicious food cozy ambiance excellent service kardini adisti rinda agung citra,"great atmosphere , delicious food , cozy ambiance , and excellent services of kardini , adisti , rinda , agung and citra","[['atmosphere', 'food', 'ambiance', 'service', 'kardini', 'adisti', 'rinda', 'agung', 'citra']]","[['great', 'delicious', 'cozy', 'excellent']]",['SERVICE']
52,"Thansk to kardini rinda elsa gunawan anisa agung firzy dadang dan Pak ikbal good service, good food, cozy","Service, Food","positive, positive",Café Gran Via,thansk kardini rinda elsa gunawan anisa agung firzy dadang dan pak ikbal good service good food cozy,"thansk to kardini rinda elsa gunawan anisa agung firzy dadang dan pak ikbal good service , good food , cozy","[['thansk', 'kardini', 'rinda', 'elsa', 'gunawan', 'anisa', 'agung', 'firzy', 'dadang', 'dan', 'pak', 'ikbal', 'service', 'food']]","[['good', 'good', 'cozy']]",['SERVICE']
53,"To Rinda kardini anisah Dadang Amin firzy Agung dan pak ikbal , Great food , good food ,awesome atmosphere.","Food, Ambience","positive, positive",Café Gran Via,rinda kardini anisah dadang amin firzy agung dan pak ikbal great food good food awesome atmosphere,"to rinda kardini anisah dadang amin firzy agung dan pak ikbal , great food , good food , awesome atmosphere .","[['kardini', 'anisah', 'dadang', 'amin', 'firzy', 'agung', 'dan', 'pak', 'ikbal', 'food', 'atmosphere']]","[['great', 'good', 'awesome']]",['FOOD']
54,"Al Nafoura is the one of best middle east restaurant in Jakrata, food was very good, ambience was cool and friendly staff","Food, Ambience, Service","positive, positive,  positive",Al Nafoura Lebanese Restaurant,al nafoura one best middle east restaurant jakrata food good ambience cool friendly staff,"al nafoura is the one of best middle east restaurant in jakrata , food was very good , ambience was cool and friendly staff","[['al', 'nafoura', 'restaurant', 'jakrata', 'food', 'ambience', 'staff'], ['restaurant', 'jakrata', 'food', 'ambience', 'staff'], ['food']]","[['best', 'middle', 'east', 'good', 'cool', 'friendly'], ['middle', 'east', 'good', 'cool', 'friendly'], ['good']]","['AMBIENCE', 'AMBIENCE', 'FOOD']"
55,"Genuine, Great food, lot of verity, nice interior, good music and Bailey dancers overall great place for enjoying dinner with friend and family","Food, Ambience","positive, positive",Al Nafoura Lebanese Restaurant,genuine great food lot verity nice interior good music bailey dancer overall great place enjoy dinner friend family,"genuine , great food , lot of verity , nice interior , good music and bailey dancers overall great place for enjoying dinner with friend and family","[['food', 'lot', 'verity', 'interior', 'music', 'bailey', 'dancer', 'place', 'dinner', 'friend', 'family']]","[['genuine', 'great', 'nice', 'good', 'overall', 'great', 'enjoy']]",['AMBIENCE']
56,Very good service,Service,positive,Al Nafoura Lebanese Restaurant,good service,very good service,[['service']],[['good']],['SERVICE']
57,Great food and very good stuff i advice all Arabe come enjoying the food and the place,Food,positive,Al Nafoura Lebanese Restaurant,great food good stuff advice arabe come enjoy food place,great food and very good stuff i advice all arabe come enjoying the food and the place,"[['food', 'stuff', 'advice', 'arabe', 'place']]","[['great', 'good', 'enjoy']]",['AMBIENCE']
58,Alnafoura restaurant is the best resto in jakarta cozzy place,Ambience,positive,Al Nafoura Lebanese Restaurant,alnafoura restaurant best resto jakarta cozzy place,alnafoura restaurant is the best resto in jakarta cozzy place,"[['alnafoura', 'restaurant', 'resto', 'jakarta', 'cozzy', 'place']]",[['best']],['AMBIENCE']
59,Ambience is very good,Ambience,positive,Al Nafoura Lebanese Restaurant,ambience good,ambience is very good,[['ambience']],[['good']],['AMBIENCE']
60,I like their sea food soup,Food,positive,Al Nafoura Lebanese Restaurant,like sea food soup,i like their sea food soup,"[['sea', 'food', 'soup']]",[['like']],['FOOD']
61, Staff is friendly,Service,positive,Al Nafoura Lebanese Restaurant,staff friendly,staff is friendly,[['staff']],[['friendly']],['SERVICE']
62,The decor of the restaurant is good.,Ambience,positive,Al Nafoura Lebanese Restaurant,decor restaurant good,the decor of the restaurant is good .,"[['decor', 'restaurant']]",[['good']],['AMBIENCE']
63," Good service is noted for the low quantity offered to some appetizers for the price, such as the Pope Ghanoug, for example, the good seasoning",Service,positive,Al Nafoura Lebanese Restaurant,good service note low quantity offer appetizer price pope ghanoug example good seasoning,"good service is noted for the low quantity offered to some appetizers for the price , such as the pope ghanoug , for example , the good seasoning",[['service']],[['good']],['SERVICE']
64,"The bread is served fresh, in the case, the cheese is good, the meat plate is less than the average quality, the sandwich is good, the pastries are great, The Ottoman high prices are open for dinner from 6.30 pm",Food,positive,Al Nafoura Lebanese Restaurant,bread serve fresh case cheese good meat plate less average quality sandwich good pastry great ottoman high price open dinner pm,"the bread is served fresh , in the case , the cheese is good , the meat plate is less than the average quality , the sandwich is good , the pastries are great , the ottoman high prices are open for dinner from NUM.NUM pm","[['bread'], ['cheese'], ['meat', 'plate'], ['sandwich'], ['pastry'], ['ottoman', 'price']]","[['fresh', 'good', 'less', 'average', 'great', 'high', 'open'], ['good'], ['less', 'average'], ['good'], ['great'], ['high', 'open']]","['FOOD', 'FOOD', 'FOOD', 'FOOD', 'AMBIENCE', 'PRICE']"
65,Very nice ambience and set up in the middle of Jakarta.,Ambience,positive,Al Nafoura Lebanese Restaurant,nice ambience set middle jakarta,very nice ambience and set up in the middle of jakarta .,[['ambience']],[['nice']],['AMBIENCE']
66,We went to Al Nafoura restaurant for break-fasting and it was a wonderful meal from start to finish,Food,positive,Al Nafoura Lebanese Restaurant,go al nafoura restaurant break fasting wonderful meal start finish,we went to al nafoura restaurant for break-fasting and it was a wonderful meal from start to finish,"[['meal', 'start'], ['meal', 'start']]","[['wonderful', 'break-fasting'], ['wonderful']]","['FOOD', 'FOOD']"
67,Amazing Atmosphere for families,Ambience,positive,Al Nafoura Lebanese Restaurant,amazing atmosphere family,amazing atmosphere for families,"[['atmosphere', 'family']]",[['amazing']],['AMBIENCE']
68,fantastic service,Service,positive,Al Nafoura Lebanese Restaurant,fantastic service,fantastic service,[['service']],[['fantastic']],['SERVICE']
69,Very good dining and service.. Must Visit when you come to jakarta.. nice place and atmosphere in central west of Jakarta..,"Food, Ambience, Service","positive, positive,  positive",Collage All Day Dining,good dining service must visit come jakarta nice place atmosphere central west jakarta,very good dining and service.. must visit when you come to jakarta.. nice place and atmosphere in central west of jakarta..,"[['dining', 'service']]",[['good']],['SERVICE']
70,"The food is good and served a variius kind of food, the staff is friendly too, the place also good for event such as birthday , celebration etc","Food, Ambience, Service","positive, positive,  positive",Collage All Day Dining,food good serve variius kind food staff friendly place also good event birthday celebration etc,"the food is good and served a variius kind of food , the staff is friendly too , the place also good for event such as birthday , celebration etc","[['food', 'variius', 'kind', 'staff', 'place'], ['variius', 'kind', 'food', 'staff', 'place']]","[['good', 'friendly', 'such'], ['friendly', 'good', 'celebration']]","['AMBIENCE', 'AMBIENCE']"
71,Delicious food and great restaurant ambience,"Food, Ambience","positive, positive",Collage All Day Dining,delicious food great restaurant ambience,delicious food and great restaurant ambience,"[['food', 'restaurant', 'ambience']]","[['delicious', 'great']]",['AMBIENCE']
72,"Great place for events, even just simply having brunch and dinner",Ambience,positive,Collage All Day Dining,great place event even simply brunch dinner,"great place for events , even just simply having brunch and dinner","[['place', 'event', 'brunch', 'dinner']]",[['great']],['AMBIENCE']
73,Service was TOP NOTCH! ,Service,positive,Collage All Day Dining,service top notch,service was top notch,"[['service', 'notch']]",[['top']],['SERVICE']
74,food were fabulous,Food,positive,Collage All Day Dining,food fabulous,food were fabulous,[['food']],[['fabulous']],['FOOD']
75,friendly staffs and good food specially dimsum..love it,"Service, Food","positive, positive",Collage All Day Dining,friendly staff good food specially dimsum love,friendly staffs and good food specially dimsum..love it,"[['staff', 'food', 'dimsum']]","[['friendly', 'good']]",['SERVICE']
76,The pricing is too expensive for this menu selection,Price,negative,Collage All Day Dining,pricing expensive menu selection,the pricing is too expensive for this menu selection,[['pricing']],[['expensive']],['PRICE']
77,Not suitable to my taste,Food,negative,Collage All Day Dining,suitable taste,not suitable to my taste,[['taste']],[['suitable']],['FOOD']
78,The ambience is totally amaze me,Ambience,positive,Collage All Day Dining,ambience totally amaze,the ambience is totally amaze me,[['ambience']],[['amaze']],['AMBIENCE']
79, The chocolate lava cake was the best,Food,positive,Collage All Day Dining,chocolate lava cake best,the chocolate lava cake was the best,"[['chocolate', 'lava', 'cake']]",[['best']],['FOOD']
80,"Friendly Staff, so many menu variation with delicious food, and thank you for mba Hana for her service with a warm smile. ","Service, Food","positive, positive",Collage All Day Dining,friendly staff many menu variation delicious food thank mba hana service warm smile,"friendly staff , so many menu variation with delicious food , and thank you for mba hana for her service with a warm smile .","[['staff', 'menu', 'variation', 'food', 'mba', 'hana', 'service']]","[['friendly', 'many', 'delicious', 'thank', 'warm', 'smile']]",['SERVICE']
81,Overall.. it's a good place.,Ambience,positive,Collage All Day Dining,overall good place,overall.. it is a good place .,[],[],[]
82,NiCE FOOD & GOOD SERVICE,"Food, Service","positive, positive",Collage All Day Dining,nice food good service,nice food good service,"[['food'], ['service']]","[['nice'], ['good']]","['FOOD', 'SERVICE']"
83,"However, the quality is subpar as they don't really specialize in one food type",Food,negative,Collage All Day Dining,however quality subpar donot really specialize one food type,"however , the quality is subpar as they do not really specialize in one food type",[['quality']],[['subpar']],['PRICE']
84,The organization of the food is also messy and unstructured,Food,negative,Collage All Day Dining,organization food also messy unstructured,the organization of the food is also messy and unstructured,"[['organization', 'food']]","[['messy', 'unstructured']]",['FOOD']
85,Thanks for the lovely and enthusiastic service,Service,positive,Signatures Restaurant,thanks lovely enthusiastic service,thanks for the lovely and enthusiastic service,"[['thanks'], ['service']]","[['lovely'], ['enthusiastic']]","['AMBIENCE', 'SERVICE']"
86,"Fantastic atmosphere, Delicious food with so many choice of menu,  the staff and service are so warm such as a lovely family","Ambience, Food, Service","positive, positive",Signatures Restaurant,fantastic atmosphere delicious food many choice menu staff service warm lovely family,"fantastic atmosphere , delicious food with so many choice of menu , the staff and service are so warm such as a lovely family",[['food']],"[['fantastic', 'delicious', 'warm', 'lovely', 'many']]",['FOOD']
87,"The food was great, the atmosphere is nice","Food, Ambience","positive, positive",Signatures Restaurant,food great atmosphere nice,"the food was great , the atmosphere is nice","[['food'], ['atmosphere']]","[['great', 'nice'], ['nice']]","['FOOD', 'AMBIENCE']"
88," I was surprised, because this is a five star hotel, how could they serve this kind of not good quality of food",Food,negative,Signatures Restaurant,surprise five star hotel could serve kind good quality food,"i was surprised , because this is a five star hotel , how could they serve this kind of not good quality of food","[['star', 'hotel', 'kind', 'quality', 'food']]",[['good']],['FOOD']
89,The service of the buffet restaurant was also not good,Service,negative,Signatures Restaurant,service buffet restaurant also good,the service of the buffet restaurant was also not good,"[['service', 'buffet', 'restaurant']]",[['good']],['SERVICE']
90,"I love the lamb ouzi, the chicken shawarma was also very delicious",Food,positive,Signatures Restaurant,love lamb ouzi chicken shawarma also delicious,"i love the lamb ouzi , the chicken shawarma was also very delicious","[['lamb', 'ouzi', 'chicken', 'shawarma']]","[['love', 'delicious']]",['FOOD']
91,The japanese sushi & sashimi were superb,Food,positive,Signatures Restaurant,japanese sushi sashimi superb,the japanese sushi sashimi were superb,"[['sushi', 'sashimi']]","[['japanese', 'superb']]",['FOOD']
92,"The services, i just have three words for the waiter.. excellent as always special thanks to Kevin and Haryanto",Service,positive,Signatures Restaurant,service three word waiter excellent always special thanks kevin haryanto,"the services , i just have three words for the waiter.. excellent as always special thanks to kevin and haryanto",[],[],[]
93,The food is very good,Food,positive,Signatures Restaurant,food good,the food is very good,[['food']],[['good']],['FOOD']
94,the service is good i love the japanese food,Service,positive,Signatures Restaurant,service good love japanese food,the service is good i love the japanese food,"[['service'], ['food']]","[['good', 'love', 'japanese'], ['love', 'japanese']]","['SERVICE', 'FOOD']"
95,"sashimi and sushi are delicious in here, the playground area is fun, the fried rice is nice, lapis surabaya is delicious","Food, Ambience","positive, positive",Signatures Restaurant,sashimi sushi delicious playground area fun fry rice nice lapis surabaya delicious,"sashimi and sushi are delicious in here , the playground area is fun , the fried rice is nice , lapis surabaya is delicious","[['sashimi', 'sushi'], ['playground', 'area'], ['rice'], ['lapis', 'surabaya']]","[['delicious', 'fun', 'fried', 'nice', 'lapis'], ['fun'], ['fried', 'nice'], ['delicious']]","['FOOD', 'SERVICE', 'FOOD', 'FOOD']"
96,"But on this last trip yesterday, I felt the food quality has gone down badly",Food,negative,Signatures Restaurant,last trip yesterday felt food quality go badly,"but on this last trip yesterday , i felt the food quality has gone down badly","[['food', 'quality'], ['food', 'quality']]","[['badly', 'last'], ['badly']]","['FOOD', 'FOOD']"
97,"Nice place, friendly staff, good foods","Ambience, Service, Food","positive, positive,  positive",Signatures Restaurant,nice place friendly staff good food,"nice place , friendly staff , good foods","[['place'], ['staff'], ['food']]","[['nice'], ['friendly'], ['good']]","['AMBIENCE', 'SERVICE', 'FOOD']"
98,The foods were tasty,Food,positive,Signatures Restaurant,food tasty,the foods were tasty,[['food']],[['tasty']],['FOOD']
99,The services were Excellent by waiter Kevin And Bernita,Service,positive,Signatures Restaurant,service excellent waiter kevin bernita,the services were excellent by waiter kevin and bernita,[['service']],[['excellent']],['SERVICE']
100,"I like variant smoothies, pork bacon so crispy, raisin bread my favorite ",Food,positive,Signatures Restaurant,like variant smoothy pork bacon crispy raisin bread favorite,"i like variant smoothies , pork bacon so crispy , raisin bread my favorite","[['smoothy', 'pork', 'bacon', 'raisin', 'bread']]","[['like', 'variant', 'crispy', 'favorite']]",['FOOD']
101,the food was good.,Food,positive,Signatures Restaurant,food good,the food was good .,[['food']],[['good']],['FOOD']
102,the variety of Indonesian’s food a lot and tasty! ,Food,positive,Signatures Restaurant,variety indonesian food lot tasty,the variety of indonesian is food a lot and tasty,"[['indonesian', 'food', 'lot']]","[['variety', 'tasty']]",['FOOD']
103,Staffs also kind and friendly,Service,positive,Signatures Restaurant,staff also kind friendly,staffs also kind and friendly,[['staff']],[['friendly']],['SERVICE']
104,The ambience is nice with lots of pictures of Indonesian politicians and heroes.,Ambience,positive,Signatures Restaurant,ambience nice lot picture indonesian politician hero,the ambience is nice with lots of pictures of indonesian politicians and heroes .,[['ambience']],"[['nice', 'indonesian']]",['AMBIENCE']
105,"Food variety is medium, taste is also medium",Food,positive,Signatures Restaurant,food variety medium taste also medium,"food variety is medium , taste is also medium",[['food']],[['variety']],['FOOD']
106,"Price-wise, it is affordable.",Price,positive,Signatures Restaurant,price wise affordable,"price-wise , it is affordable .",[],[],[]
107,"This place have a nice vibe, unlike many other hotel buffet restaurant, signature restaurant focus on Indonesian culinary dishes",Ambience,positive,Signatures Restaurant,place nice vibe unlike many hotel buffet restaurant signature restaurant focus indonesian culinary dish,"this place have a nice vibe , unlike many other hotel buffet restaurant , signature restaurant focus on indonesian culinary dishes","[['place', 'vibe', 'hotel', 'buffet', 'restaurant', 'signature', 'focus', 'dish']]","[['nice', 'many', 'indonesian', 'culinary']]",['AMBIENCE']
108,I personally like their crazy fried rice and indonesian chicken porridge,Food,positive,Signatures Restaurant,personally like crazy fry rice indonesian chicken porridge,i personally like their crazy fried rice and indonesian chicken porridge,"[['rice'], ['chicken'], ['porridge']]","[['like'], ['crazy'], ['indonesian']]","['FOOD', 'FOOD', 'FOOD']"
109,"Great breakfast, worth the money","Food, Price","positive, positive",Signatures Restaurant,great breakfast worth money,"great breakfast , worth the money","[['breakfast'], ['money']]","[['great'], ['worth']]","['FOOD', 'PRICE']"
