,Unnamed: 0,reviewID,sentenceID,review,category,polarity,entity,preprocessed_sentence,type_sentence,preprocessed_sentence_lemma,aspect_prediction,opinion_term_prediction,entity_prediction
12,13,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
13,14,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
14,15,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
15,16,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
16,17,TR#2,TR#2:2,The high prices you're going to pay is for the view not for the food.,VALUE#PRICES,negative,VALUE,the high prices you 're going to pay is for the view not for the food .,complex_sentence,high price go pay view food,[['price']],[['high']],['VALUE']
17,18,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
18,19,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
19,20,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
20,21,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
21,22,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
22,23,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
23,24,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
24,25,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
25,26,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
26,27,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
27,28,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
28,29,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
29,30,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
30,31,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
31,32,TM#7,TM#7:0,Bad food and high prices,"FOOD#QUALITY,VALUE#PRICES","negative,negative","FOOD,VALUE",bad food and high prices,phrase,bad food high price,"[['food'], ['price']]","[['bad'], ['high']]","['FOOD', 'VALUE']"
32,33,NP#3,NP#3:6,Prices are fair across the board for both food and bev.,"VALUE#PRICES,VALUE#PRICES","positive,positive","VALUE,VALUE",prices are fair across the board for both food and bev .,simple_sentence,price fair across board food bev,[['price']],[['fair']],['VALUE']
33,34,TR#5,TR#5:6,"Price is high but the food is good, so I would come back again.","FOOD#QUALITY,VALUE#PRICES","positive,negative","FOOD,VALUE","price is high but the food is good , so i would come back again .",compound_sentence,price high food good would come back,"[['price'], ['food']]","[['high'], ['good']]","['VALUE', 'FOOD']"
34,35,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
35,36,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
36,37,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
37,38,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
38,39,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
39,40,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
40,41,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
41,42,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
42,43,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
43,44,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
44,45,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
45,46,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
46,47,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
47,48,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
48,49,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
49,50,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
50,51,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
51,52,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
52,53,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
53,54,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
54,55,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
55,56,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
56,57,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
57,58,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
58,59,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
59,60,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
60,61,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
61,62,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
62,63,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
63,64,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
64,65,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
65,66,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
66,67,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
67,68,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
68,69,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
69,70,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
70,71,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
71,72,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
72,73,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
73,74,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
74,75,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
75,76,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
76,77,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
77,78,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
78,79,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
79,80,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
80,81,BzG#2,BzG#2:1,"The food is not flavorful, not plentiful and not reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","negative,negative,negative","FOOD,FOOD,VALUE","the food is not flavorful , not plentiful and not reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['food'], ['price']]","[['flavorful'], ['reasonably']]","['FOOD', 'VALUE']"
81,82,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
82,83,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
83,84,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['price'], ['food']]","[['reasonably'], ['flavorful', 'plentiful']]","['VALUE', 'FOOD']"
84,85,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
85,86,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
86,87,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['price'], ['food']]","[['reasonably'], ['flavorful', 'plentiful']]","['VALUE', 'FOOD']"
87,88,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
88,89,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
89,90,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['price'], ['food']]","[['reasonably'], ['flavorful', 'plentiful']]","['VALUE', 'FOOD']"
90,91,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
91,92,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
92,93,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['price'], ['food']]","[['reasonably'], ['flavorful', 'plentiful']]","['VALUE', 'FOOD']"
93,94,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
94,95,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
95,96,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['price'], ['food']]","[['reasonably'], ['flavorful', 'plentiful']]","['VALUE', 'FOOD']"
96,97,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
97,98,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
98,99,BzG#2,BzG#2:1,"The food is flavorful, plentiful and reasonably price.","FOOD#QUALITY,FOOD#STYLE_OPTIONS,VALUE#PRICES","positive,positive,positive","FOOD,FOOD,VALUE","the food is flavorful , plentiful and reasonably price .",compound_sentence,food flavorful plentiful reasonably price,"[['price'], ['food']]","[['reasonably'], ['flavorful', 'plentiful']]","['VALUE', 'FOOD']"
99,100,BzG#2,BzG#2:2,The atmosphere is relaxed and casual.,AMBIENCE#GENERAL,positive,AMBIENCE,the atmosphere is relaxed and casual .,simple_sentence,atmosphere relax casual,"[['atmosphere', 'casual']]",[['relax']],['AMBIENCE']
100,101,BzG#2,BzG#2:0,"Great place, great value.","AMBIENCE#GENERAL,VALUE#PRICES","positive,positive","AMBIENCE,VALUE","great place , great value .",phrase,great place great value,"[['place'], ['value']]","[['great'], ['great']]","['AMBIENCE', 'VALUE']"
