,0,aspect,prediction
21,"the backlight on the phone goes off way too quickly ( dangerous when you 're driving at night ) , and there 's no way to change this -- ",backlight!-,way!dangerous|backlight!dangerous
22,i checked with nokia . ,,
23,"the buttons on the phone are small , even for my small fingertips , but you get used to them rather quickly . ",button!-,phone!small
24,"the menu options are uncreative , as you can 't see a full screen of menu items to pick from ; you have to scroll up and down to find what you 're looking for ( yes , this is minor , but not when you 're trying to keep your eye on the road ! ) . ",menu options!-,screen!full|menu!uncreative|t!screen
25,more downside to this phone ? ,,
26,the volume . ,volume!-,
27,oh my goodness -- ,,
28,i have excellent hearing but the volume-level on this phone is especially quiet . ,volume!-,volume-level!quiet|phone!quiet|hearing!excellent
29,forget talking on it in public -- you just can 't hear the other person ! ,,person!other|t!person
30,"on the up-side , the phone has amazing battery-life . ",battery life!+,up-side!battery-life|phone!battery-life|battery-life!phone
31,"i do like this phone overall ( would give it a 3.5 ) , but unforutnately , i am returning it . ",phone!+,|phone!overall
32,i was surprised by t-mobile 's service . ,,service!t-mobile
33,"i assumed they had exceptional service , but their reception in my area ( los angeles ) is horrendous . ",t-mobile reception!-,reception!horrendous|service!exceptional|area!horrendous
34,reason ? ,,
35,they piggy-back on cingular 's service . ,,service!cingular
36,"also , their t-zones , although cheap ( $ 4.99 / mo. ) never works . ",t-zone!-,mo.!cheap
37,"since i received the phone , i spent countless hours on the phone with customer-service reps who promised t-zones would work "" in 24 hours "" . ",customer service!-,|phone!customer-service
38,"i must have heard this about a dozen times over the span of 2 weeks , when t-zones never worked . ",t-zone!-,
39,24 hours ? ,,
40,by what time standards -- martian ? ,,
41,"apparently , t-mobile is heavily back-logged and can 't keep up with demands . ",t-mobile!-,t-mobile!back-logged|t!t-mobile
42,"also , they 'd forgotten to add "" wap "" capability to my service ( duh ) , so that took another 4-5 days of figuring out . ",,service!capability
43,"in all fairness , customer reps are very nice , and they ( most of them ) try hard to answer your questions . ",customer rep!+,customer!nice
44,"but they do have this annoying habit of asking you if they 've answered all your questions , even if they did n't , to which they always seem to expect a "" yes "" answer from you . ",,habit!annoying
45,"i realize this is for quality-assurance purposes , but i should have the right to say when my questions have not been answered ( i.e. me : ",,
46,""" when will my t-zones work ? "" , csr : ",,
47,""" i 'm not sure "" . ) . ",,
48,"umm , well , thanks for nothing . ",,umm!well|nothing!umm
49,"this one csr insisted on trying to get me to say that he 'd answered all my questions ( same interaction as i just described ) , and well .. . ",,interaction!same
50,that was annoying . ,,
51,"t-mobile is trying very hard , and again -- they do have pretty good csr 's . ",csr!+,t-mobile!hard|csr!good
52,"however , the calls constantly drop in my area and i experince mega-static , to the point where i 'd have to dial numbers 6-7 times to get a clear line . ",call!-,line!clear
53,and no t-zones . ,,
54,so what 's the point ? ,,
55,"i 'm staying with sprint , and though i fear that their csr is n't nearly as good as t-mobile 's , the clarity of their reception is exceptional . ",sprint!+,clarity!exceptional|reception!exceptional|csr!good|t-mobile!good
56,i 've bought the very expensive sanyo 5500/vm4500 -- which i love -- and i 'm okay with my services . ,,sanyo!expensive|love!expensive
57,guess all that glitters is not gold . ,,
58,it was worth a shot -- too bad it did n't work out . ,,shot!bad
59,hope-someone else has better luck ! ,,hope-someone!else|hope-someone!luck|luck!hope-someone
60,i bought one of these phones in kuwait to use with the mtc prepaid telephone-service-ez because i would be able to use it when i return to the states with t-mobile . ,,return!able|telephone-service-ez!able|mtc!prepaid
61,recently i accidently washed my telephone with my laundry through two complete 18 minute-wash cycles of a washing machine . ,,machine!complete
62,"disgusted with myself after i found the phone in the bottom of the washing machine , i was about to throw it away when one of my fellow soldiers asked if he could dry it out for me in an effort to revive the phone . ",,phone!revive|bottom!revive|effort!phone
63,two days later the phone was returned to me in complete working order . ,,order!complete
64,"while i like the performance of the phone in every regard , i would buy another one solely upon the apparent indestructibility of it . ",phone performance!+,
65,i highly recommend a nokia 6610 . ,nokia!+,nokia!recommend
66,"i 've had an assortment of cell phones over the years ( motorola , sony-ericsson , nokia-etc. ) and in my opinion , nokia has the best menus and promps hands down . ",,|motorola!nokia-etc|assortment!motorola
67,no other color-phone has the combination of features that the 6610 offers . ,feature!+,color-phone!other|combination!color-phone
68,"from the speakerphone that can be used up to 15 feet away with clarity , to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone . ",speakerphone!+,touch!personal|phone!nifty|phone!touch
69,"whether you 're taking a brisk jog , waiting for a bus or just having lunch at the park , you 'll be glad you had the fm-radio . ",radio!+,jog!brisk
70,"wish it were a flip phone , but thats not a deal-breaker ! ",,phone!flip|deal-breaker!flip|wish!flip
71,i have had this phone for about 5 months . ,,
72,i treat the battery well and it has lasted . ,battery!+,|battery!well
73,"at my heaviest usage , i must recharge after 3 days . ",,
74,it lasts about 5 days otherwise and has lasted up to 10 when i was making very few calls . ,,
75,signal-strength will affect the battery-life . ,,signal-strength!battery-life|battery-life!signal-strength
76,frequent signal searches eat up battery-power . ,,signal!frequent
77,"i took great care of the screen , till i realized that the part that might get scratched is part of the cover . ",,part!scratched|care!great|screen!great|cover!part
78,i can replace that if the scratch is unbearable to look at . ,,scratch!unbearable
79,the volume-level of the phone is not all that good . ,volume!-,volume-level!good
80,"some of the higher pitched rings are very easy to hear , but not easy to listen to . ",ring!-,
81,the more subtle tones that were included with the phone are hard to hear at times . ,tone!-,
82,the vibration is not top . ,vibration!-,vibration!top
83,"it is a teeny phone , so it is hard to put a big mechanism in . ",,mechanism!big|mechanism!hard|phone!teeny
84,"i do n't use the vibration , because it is often easier to hear it vibrate then to feel it . ",,
85,vibration was not even listed as a feature when i purchased this . ,,feature!vibration
86,so it was no loss . ,,
87,overall this has been my favorite phone that i have owned . ,phone!+,phone!overall
88,"great battery-life , perfect size , but a tid-bit quieter than i would like . ",battery life!+,size!great|tid-bit!great
89,i do hope that they offer more faceplate options . ,,
90,i am bored with the silver-look . ,look!-,
91,it has a nice color-screen . ,color screen!+,color-screen!nice
92,it is small . ,size!+,
93,"radio is awsome , but it does n't work unless you have the earpice in . ",radio!+|radio!-,radio!awsome
94,"that is a major minus , but its not that bad . ",,minus!major|minus!bad
95,t-mobile was a pretty good server . ,t-mobile!+,server!t-mobile|t-mobile!good
96,it has 2 games . ,,
97,they are not wowable good . ,game!-,
98,you have to buy better ones . ,,
99,it also does n't have voice activated dialing . big minus ! ! ,voice dialing!-,
100,"this is a very nice phone , but there is no warranty on it . ",phone!+,phone!nice|warranty!phone
101,nokia will not cover phones bought from amazon . ,,
102,we got two phones for the t-mobile-family-plan ( indeed very easy to switch to the family-plan ) and one came with a broken headphone ( can hear but cannot be heard ) and one died today after less than two weeks of use . ,phone!-,headphone!broken
103,i 'll see how much help i can get from amazon and report back . ,,help!much|amazon!help|report!help
104,i upgraded to a 6610 at my local t-mobile store . ,,store!local
105,"when i got it home , i discovered that the menu options for sending messages via either text or email simply were n't there : ",message!-,
106,it defaulted to unchangeable email . ,,email!unchangeable
107,"so i spent half an hour on the phone with tech-support , only to have the online tech-person pull one off the shelf and tell me he had the same problem . ",,tech-person!online|shelf!tech-person
108,"i returned to the store , whereupon the clerk insisted that he could make it work ; he could n't . ",,|whereupon!clerk|store!whereupon
109,"he spent another half hour on the phone with tech-support , to no avail . ",,hour!half|phone!hour|tech-support!hour|avail!hour
110,"so i had to give up and return it , having lost about 4 hours . ",,
111,"while i had the phone , the positive features were : good sound quality and an excellent fm-phone and earpiece . ",sound quality!+|fm!+|earpiece!+,quality!good|quality!positive|fm-phone!excellent|fm-phone!good|fm-phone!quality|earpiece!quality
112,"negative : impossibly tiny and difficult to operate , barely visible , power-button . ",size!-|operate!-|button!-,power-button!tiny|power-button!negative
113,poor visibility on the keys . ,key!-,visibility!poor
114,you have to tilt the phone around to catch the light on them . ,,
115,the title says it all ... ,,
116,"the two biggest things is the excellent working speakerphone "" unlike the nokia 3650 "" and the superb reception-nokia is known for in the gsm phones they make ... ",speakerphone!+|reception!+,reception-nokia!superb|nokia!superb|speakerphone!excellent|speakerphone!nokia|speakerphone!nokia
117,only con i can think of is no camera ... . ,camera!-,
118,no big deal for the size . . ,,deal!big|size!big
119,this phone is a winner ... ,phone!+,phone!winner
120,"anything this phone does , it does perfectly . ",phone!+,|anything!perfectly|phone!perfectly|phone!anything
121,"the speakerphone , the radio , all features work perfectly . ",speakerphone!+,
122,the speakerphone : ,,
123,this phone has a very cool and useful feature -- the speakerphone . ,speakerphone!+,feature!cool|speakerphone!cool|phone!feature
124,as said before this works perfectly . ,speakerphone!+,
125,you can adjust the volume to be heard anywhere or so that it does n't make that big of a disturbance . ,volume!+,
126,the person on the other end of the call can hear you perfectly . ,speakerphone!+,end!other|person!other|call!other
127,you can be up to about 3 feet away from it and it will still work perfectly . ,speakerphone!+,
128,"only one complaint about the speakerphone , you can only activate the speakerphone-feature once the person you are calling answers the phone , not while it is ringing . ",speakerphone!-,complaint!only|speakerphone-feature!complaint|speakerphone-feature!complaint
129,the radio : ,,
130,this phone is one of the few phones that have an fm-radio-tuner built in . ,radio!+,
131,"this radio receives fairly decent reception but not nearly as good as a normal radio , but as long as the stations are coming in clearly the phone 's radio should work perfectly . ",radio!+,radio!clearly|phone!clearly|reception!decent|radio!good
132,tri-band : ,,
133,"one highly beneficial feature of this phone ( at least to me ) is that it can be used anywhere in the world except a few countries that do not use gsm , a few in asia . ",feature,gsm!few|feature!beneficial|phone!beneficial
134,i bought this phone for my trip to south africa and it worked almost perfectly . ,phone!+,
135,the only problem i had was a small glitch with t-mobile . ,t-mobile!-,problem!glitch
136,anywhere i went in south africa this phone received full bar-reception . ,reception!+,bar-reception!full|phone!bar-reception
137,"if it worked like that in south africa , i imagine it would just work without a hitch in europe . ",,
138,sold in other parts of the world : ,,world!other
139,another benefit of this phone is that it is truly an international phone ; the 6610 is sold in almost everywhere in the world . ,phone!+,phone!international|benefit!international|benefit!phone
140,this means that there is a good chance that this phone will not break easily like typical american phones . ,phone!+,phone!break|chance!good
141,"or on the rare occasion it does you can bring it into any t-mobile store , which are located in many countries in europe . ",,store!t-mobile|europe!many|occasion!rare
142,i cannot stress enough how big of a benefit it is to have a european phone and a european company providing your cell-phone-service . ,,phone!european|company!european|benefit!stress
143,able to use service in another country : ,,service!able|country!able|country!service
144,"if you decide to go to another country for an extended period of time , you can just buy a sim-card from a service-provider in that country . ",,period!extended|time!extended
145,you would then have a phone-number in that country and not have to pay for international roaming in that country . ,,roaming!international
146,size and weight : ,,
147,"when you put this phone in your pocket you forget it is there ; it is unbelievably small and oh , so light . ",size!+,
148,"this is a benefit for many reasons ; one being just for appearance , your pants wo n't be bulging with this phone in your pocket . ",size!+,benefit!many|phone!benefit|phone!benefit
149,battery-life : ,,
150,the battery-life on this phone is surreal . ,battery life!+,battery-life!surreal|phone!surreal
151,"it lasts , truly , 7 days on standby . ",,
152,i 've used the speakerphone for almost two hours once and the battery did not even go down one single bar . ,battery!+,bar!single
153,it is amazing that the battery lasts so long when the phone is so small and light . ,battery!+,phone!small|battery!long
154,"this phone has many other features , ir , ; just to name one , the features above i view as the most beneficial . ",phone!+,view!many|ir!many
155,"the phone has a few minor inconveniences , but only because it lacks those features , bluetooth and high spend internet , but there are very few problems with things that you expected this phone to do . ",bluetooth!-,phone!minor|bluetooth!lacks|internet!high
156,"overall , i highly recommend this phone . ",phone!+,phone!recommend
157,it is a perfect phone in such a small and appealing package . ,phone!+,phone!perfect|package!perfect
158,i love the pros and cons reviews so here ya go : ,,
159,pros : ,,
160,size - extremely small and convenient will fit in your pocket and not bother you . ,size!+,size!small|pocket!small|pocket!size
161,"sound - excellent polyphonic ringing tones are very nice ( check cons ) it also doubles as a radio , which is a nice feature when you are bored . ",ringing tone!+,ringing!cons|feature!nice|check!nice|sound!feature|radio!nice
162,speakerphone - loud and clear has some nice extra features like currency-converter and a stopwatch . ,speakerphone!+,speakerphone!loud|currency-converter!nice|stopwatch!currency-converter
163,"surfing the web on it is nice as well , i just wish there were more wap pages available . ",web!+,wap!available|web!nice
164,cons : ,,
165,"ring tones only come with crazy songs and annoying rings , there is only one ring that sounds close to a regular ring . ",ring tone!-,ring!regular|ring!only
166,the screen is easily scratched but if you have the warranty you should be able to swap it out . ,screen!-,screen!scratched
167,games kind of stink and you cant download them you have to get the link-cable to get additional games . ,game!-,
168,nice little phone ... light compact . . ,phone!+,phone!nice
169,great features . . ,,
170,buttons do seem a little sticky tho .. and the hands free kits ' connector might be a problem .. ,button!-,tho!little
171,"perhaps there is a tone of irony in the title of my review , but i actually mean it in earnest . ",,
172,after having had my heart broken by a sexy piece of hardware that simply would n't perform . ,,heart!broken|hardware!sexy|piece!sexy|piece!heart
173,"i replaced it with this not-quite-so-dazzling , but definitely more functional device . ",,device!not-quite-so-dazzling
174,"although the nokia 6610 is a little short on the features department , it is an outstanding piece of hardware for doing what it was primarily meant to do : to be a wireless telephone . ",wireless telephone!+,telephone!wireless|nokia!short|piece!outstanding|hardware!outstanding
175,the reception and sound quality are top-notch . ,reception!+,quality!top-notch|reception!top-notch
176,"i can routinely talk on the phone in my house in the suburbs , which is an unaccustomed luxury , even with t-mobile service . ",,service!t-mobile|luxury!t-mobile
177,i like the size and weight of this little critter . ,size!+,critter!little|size!little|weight!size
178,"i am able to carry it close to my body , in places where other phones are not so easily concealed . ",size!+,
179,"the keys are close together , and the layout is a bit funky in relation to standard rectangular layout keypads , but it 's not too weird . ",layout!-,layout!funky|relation!standard|bit!layout
180,"the fact that the "" 0 "" key is the space-key for text-input is a bit confusing , as many phones use the "" # "" key instead . ",key!-,bit!confusing|fact!confusing|space-key!key|text-input!key
181,but that 's not an insurmoutable obstacle . ,,
182,"the screen is bright , easy to see in the daylight , with nice colors . ",screen!+,screen!bright|daylight!bright
183,it receives very nice mms pictures from other gsm phones . ,picture!+,gsm!other
184,there are some features in the user-interface that i find a little inconvenient . ,user interface!-,
185,"the menu options appear one at a time , taking up the whole screen , and one has to scroll down one by one , or have memorized where they are in the menu-order , to select them by using the number-keypad . ",menu option!-,screen!whole
186,thumbs down on that one . ,,
187,the vibrate setting is loud ! ,vibrate setting!-,setting!loud
188,"so loud , really , that it does n't work terribly well as a silent ringer-option . ",vibrate setting!-,ringer-option!silent|ringer-option!loud
189,"but , then again , the ringer can be so loud that i heard it ringing inside my office , when i was already out on the street .. . ",ringer!+,ringer!loud
190,"which was a good thing , because i realized i had forgotten my phone ... ",,thing!good|thing!good
191,other things that i miss are voice-activated dialing and a standard 2.5 mm-headset-jack . ,voice dialing!-,dialing!voice-activated|dialing!other|mm-headset-jack!standard|mm-headset-jack!voice-activated|mm-headset-jack!dialing
192,"i 'd like a camera-phone , but i 'd rather have a phone than a toy that takes pictures but makes no calls ... ",,|camera-phone!like
193,pros : ,,
194,"- light , compact design ",weight!+|design!+,design!compact|light!compact
195,"- solid , high-quality construction ",construction!+,construction!solid
196,- well-backlit keypad ,keypad!+,keypad!well-backlit
197,- outstanding signal-reception ,reception!+,signal-reception!outstanding
198,- excellent sound quality ,sound quality!+,quality!excellent
199,"- bright , visible screen ",screen!+,screen!bright
200,- speakerphone ,speakerphone!+,
201,- very long-lasting battery-life ,battery life!+,
202,cons : ,,
203,- some features in the user-interface ,user interface!-,
204,- no voice activated dialing ( what were they thinking ,voice dialing!-,
205,- no option for caller-id pictures or individualized ringtones . ,picture!-|ringtone!-,
206,- no propietary headset-jack ,headset jack!-,
207,this bumpy is wicked groovy . ,,
208,i thought it would be haggard but when i be gotted this junky i was mad happy and stuff . ,,
209,this junky is super duper-rad. it be my fav c-phone and stuff . ,,duper-rad!junky|junky!super
210,so go and buy dis sucka beefo it all be gone an stuffff . ,,
211,aight-den bumpy ? ,,
212,word ... peace in the east bruvah . ,,word!peace|peace!east|bruvah!east|bruvah!word
213,one of the best cell phones i have ever used to-date . ,phone!+,cell!best
214,i like the speakphone-function a lot . ,speakerphone!+,
215,it allows me to place the phone on the table while talking and working on my computer or other jobs . ,,computer!other
216,i am very pleased with its quality and durability . ,quality!+,
217,i like the automatic key lock-function . ,key lock!+,lock-function!automatic
218,the phone is very light weight . ,weight!+,weight!light|phone!light
219,the screen is bright and ring tones are unlimited . ,screen!+|ring tone!+,ring!unlimited|screen!bright
220,the fm-radio is cool . ,fm radio!+,fm-radio!cool
221,most of our emplyees use this model-phone . ,,
222,best regards sadoun-satellite sales ,,
223,"while going for a cellphone , i was fully determined to buy a nokia only as it is the best in cellphones . ",nokia!+,
224,"after much survey of all the present handsets and recommendations from friends , i bought this nokia 6610 . ",,survey!much|survey!present
225,and really this is the best phone one could have . ,phone!+,phone!best
226,it has all the features one would need in a cellphone . ,feature!+,
227,"it is lightweight , sleek and attractive . ",weight!+,
228,"this phone is very user-friendly , easy to manipulate &#38; very convenient to scroll in menu-etc . ",phone!+|menu!+,phone!user-friendly|menu-etc!convenient
229,the time taken in shifting from one menu-option to other is in microseconds only . ,,time!only
230,it has fm-radio-option and i can listen to music anytime . ,radio!+,
231,"its speakerphone-option allows us to do long talks conveniently , lying on bed &#38; phone lying by your pillowside . ",speakerphone!+,|speakerphone-option!lying
232,it comes equipped with lot of wallpapers and polyphonic sweet tunes . ,wallpaper!+,
233,only if we could get one camera in it . . ,camera!-,|camera!only
234,it did have scored over all other competitors .... ,,
235,i am enjoying my phone a lot .... ,phone!+,phone!enjoying|lot!enjoying
236,"like some other reviewers , i recieved this phone using t-mobiles upgrade program . ",,
237,"i had been comparing the 3650 , 3560 and the 3595 but could n't settle ... then along came the 6610 , which was perfect for me . ",,
238,pros : ,,
239,small size . ,size!+,size!small
240,i love the fact i can carry it in my shirt or pants pocket and forget about it . ,size!+,fact!love
241,just make sure the keys are locked . ,,
242,color-screen is good . ,color screen!+,color-screen!good
243,it has lots of features such as the calendar which works like my outlook-calendar . ,calendar!+,
244,the keys are laid out normal so there is no guessing . ,key!+,
245,"navigating through the menus is super easy , especially if you have owned a previous model-nokia-phone . ",menu!+,model-nokia-phone!previous
246,"battery-life is very good , i use it every day and i have to charge it every 5 or 6 days or so . ",battery life!+,battery-life!good
247,cons : ,,
248,not many . ,,
249,"the volume-key can be hard to press , but i think this may be by design rather than a flaw , perhaps to keep you from pressing it accidentally when you are in a call . ",volume key!-,volume-key!hard|design!hard|press!volume-key|flaw!design
250,pc-cable is too expensive ... $ 50 for a usb-cable ? ,pc cable!-,pc-cable!expensive
251,please ! ,,
252,is this how nokia subsidizes their free pc-software ? ,,nokia!subsidizes|pc-software!subsidizes|pc-software!nokia
253,first of all i have been a big nokia-fan and have been upgrading my cell phones about once a year ( right after the release-contract is over ) . ,,
254,my last phone was a samsung s105 which imo is superior and cheaper to this phone . ,,imo!superior|phone!last|s105!last
255,below is how i evaulate this phone with other t-mobile phones which i have borrowed from parents / friends : ,,|phone!other
256,sound quality : ,,quality!sound
257,the most important thing for me is sound quality . ,,thing!important|quality!important
258,nokias have always had good sound quality and this is no exception . ,sound quality!+,quality!good|exception!quality
259,"i think the sound quality of this phone is slightly better than my samsung phone , the motorolla-t720-series , and the sony-ericsson-t610 series . ",,quality!better|phone!better|series!sony-ericsson-t610|series!samsung|series!phone
260,the loud speaker-function on the 6610 is great because you do n't need to put your phone-right next to your ear to talk . ,loud phone!+,speaker-function!great
261,overall design : ,,design!overall
262,i like my phones to be small so i can fit it in my pockets . ,size!+,
263,of all these phones the motorolla and the sony-ericsson phones are the smallest . ,,|motorolla!sony-ericsson
264,the 6610 is the actually the longest but they are all very small . ,,
265,as much as i like nokia phones the flip phones imo are much better because a ) you wont scratch your screens / keys b ) you dont need to lock your phone all the time to prevent accidently hitting the keys . ,,need!dont|imo!better|b!dont|scratch!need
266,ease of use : ,,
267,how easy is it for me to get to a certain menu ? ,,menu!certain
268,the samsung phones has a customize-function so that you can assign certain functions to directional buttons ( like assign alarm-clock to the left directional key ) . ,,alarm-clock!like|key!like|key!alarm-clock
269,that is a very nice feature . ,,feature!nice
270,"the 6610 is still easier to use than the other two phones ( t610 , t720i ) . ",,|t610!other
271,"the sony-ericsson-phone ( t610 ) has the most whistles and bells , but is also the hardest to use . ",,
272,battery : ,,
273,"the nokia , samsung and the sony phones can all last for 3 days provided you do n't talk too much . ",,samsung!last|nokia!last|sony!nokia
274,the motorolla-phone have a horrible battery which lasts about a day ( although i heard that the motorolla-t722i has a much longer battery-life ) . ,,motorolla-t722i!battery-life|battery!horrible|motorolla-phone!battery
275,features : ,,
276,the t610 has the most functionality hands down . ,,
277,personally i found the integrated digital camera of the t610 to be very nice . ,,camera!integrated|t610!integrated
278,my girlfriend is paranoid when i am not around her and i just take a pic and send it to her on the spot so she can regain her sanity . ,,girlfriend!paranoid
279,"the t610 can also compose music , a feature which most wo n't use . ",,
280,the 6610 has the radio-function which is utterly useless . ,radio!-,
281,"it also has a stock-tracking-app built in ( also useless ) and a somewhat useful application which converts all types of metrics ( currency , length , area , etc ) . ",application!-,application!useful
282,"the s105 ( samsung ) has a beautiful big display ( 65,000 colors ) , and i can 't say much about the motorolla . ",,display!big|t!beautiful|t!samsung|s105!display
283,"all these phones have color screens , polymorphic tones , and are internet ready . ",,
284,"in music tones department the 6610 has 20 chords ( thats number of different instruments which it can play ) i think , the samsung i think have 15 , i donno about the other phones but i feel the t610 has the best sounding ring tones . ",,number!different|department!other
285,regarding pc-software-support nokia-suite does not work with some versions of xp as i tried to connect my phone via infrared port on my laptop . ,software!-,port!infrared|nokia-suite!pc-software-support|nokia-suite!work
286,i called nokia tech-support and they blamed microsoft . ,,
287,oh well .. ,,
288,overall this is a slightly better than average phone . ,phone!+,phone!average
289,both the samsung and the sony phones offer a lot more features than this 6610 . ,,
290,personally i like the samsung phones better because i found myself liking the flip phones so much more . ,,
291,i think there is a good chance i will try to get a samsung flip camera-phone next year . ,,camera-phone!samsung|chance!good|year!next|year!camera-phone
292,if t-mobile does not offer such a phone most likely i will get the t610 . ,,phone!t-mobile|t610!likely|t-mobile!phone
293,"they are all free if you get a new account anyway , but stick to t-mobile if you are going to use your phone overseas because t-mobile actually allows you to unlock your simm cards so that you can buy simm cards cheap from other nations and plug into your phone when you are doing some international travelling . ",,simm!cheap|account!new
294,this is the best phone i have seen . ,phone!+,phone!best
295,i bought 2 of these phones 2 months ago for myself and my girlfriend . ,,
296,we got a familyplan from t-mobile which saves us tons . ,,
297,the phones are awesome . ,phone!+,
298,"we hardly ever have to charge them , get great reception ( live in chicago ) , and the customization and applications are awesome . ",battery life!+|application!+,reception!live|customization!awesome
299,here 's a hint : go to nokia.com and get their pc-suite and a connection-cable if you dont have irda or bluetooth . ,,|irda!dont|bluetooth!irda
300,"you can do * so * much more with the pc-suite , i.e. free ringtones from midi files , free graphics from any picture on your computer , and if you know how to program jme you can even make your own apps / games . ",pc suite!+,picture!free|pc-suite!much
301,"the phone 's sound quality is great ( turn up the volume if its too quiet , people , this thing will get loud ) i dont have any complaints about this phone and the only thing that i miss from my 8290 is voice-dialing . ",sound quality!+,dont!voice-dialing|thing!loud|quality!great|phone!great|thing!only|volume!great
302,i bought this slick phone and i am very happy with it . ,phone!+,phone!happy
303,"nice and small and excellent when it comes to downloading games , graphics and ringtones from www.crazycellphone.com ",size!+,
304,i just purchased this phone and i think this is the coolest phone i ever had . ,phone!+,phone!coolest
305,the features are really cool like the radio . ,radio!+,
306,the first night i got this phone i put it next to me when i went to bed just to listen to my favorite music-station and the handset itself doesnt weight-anything its too light and feel so comfy with it . ,radio!+,music-station!favorite|handset!favorite|night!first|phone!next|phone!night
307,"technology wise , i think this is awesome plus the speaker makes it even great ! ! ! ! i love this phone ! ! ! ",speaker!+,technology!wise|technology!great
308,why i do n't can this product without a plan ? ,,
309,i 'm live in brazil and i need very to buy this product without a plan to use in here in other operators . ,,
310,i 'm pay in auto-debit in my account . ,,
311,"please , if anyone want sell to me this cell-phone in my conditions , i 'm wait very happy . ",,|wait!happy
312,thanks ! ,,
313,"i thought this was the ultimate phone when it comes to basic features , but i was dissapointed when i saw that it was only a gsm comaptible phone . ",phone!+,phone!only|gsm!only|phone!ultimate
314,"as i travel quite a lot , i 'd want something with gsm as well as cdma-tri-band . ",,
315,"for a specific location , i still think its a great phone . ",phone!+,location!specific|phone!great
316,i think that it is a were good mobile phone and i may buy it . ,,phone!good
317,"this really is a great little phone ; its got nice features , a beatiful screen , great ergonomics , and its tiny ! ",phone!+,screen!beatiful|screen!nice|phone!little
318,"i waited a few years between phones , mostly because ( like most i think ) i didnt really need one . ",,
319,"this phone won me over , and a big seller was the size ; it fits nicely into any pocket without falling out . ",size!+,pocket!nicely|seller!big|size!big|phone!won
320,"the downside though , may be a big one for you . ",,one!downside|downside!big
321,its quiet . ,volume!-,
322,really quiet . ,,
323,grandma in church-quiet . ,,
