,0,id,review,category,target,term,polarity
22,"the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.",1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","AMBIENCE,FOOD,PRICES","tables,menu,wine list",|menu!typical|restaurant!menu,"negative,neutral,negative"
23,slightly above average wines start at $70+ with only one selection listed at $30+.,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,"FOOD,PRICES","wines,wines",|wines!average,"negative,negative"
24,the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"PRICES,FOOD,PRICES,SERVICE","food,prixe fixe tasting menu,prixe fixe tasting menu,NULL",food!greatest|menu!greatest|price!good|price!greatest|allergies!food|prixe!food|fixe!food|tasting!food,"negative,positive,positive,positive"
25,drinks way over priced.,1459569:2,Drinks way over priced.,PRICES,Drinks,,negative
26,prices too high for this cramped and unappealing resturant.,1471273:3,Prices too high for this cramped and unappealing resturant.,"PRICES,AMBIENCE","resturant,resturant",resturant!cramped|prices!high,"negative,negative"
27,the prices were cheap compared to the quality of service and food.,1490757:2,The prices were CHEAP compared to the quality of service and food.,"PRICES,SERVICE,FOOD","NULL,service,food",prices!cheap|quality!prices,"positive,positive,positive"
28,"i have known about this secret for the last 13 years, emilio(the godfather) has continued to serve food and wine for the gods at mortal prices.",1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","FOOD,FOOD,PRICES,PRICES","food,wine,food,wine",|prices!mortal|gods!mortal|years!last|secret!last,"positive,positive,positive,positive"
29,"i found the food, service and value exceptional everytime i have been there.",1538149:0,"I found the food, service and value exceptional everytime I have been there.","FOOD,SERVICE,PRICES","food,service,NULL",everytime!exceptional|food!exceptional|service!food|value!food,"positive,positive,positive"
30,"this place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","PRICES,FOOD,SERVICE","place,food,service",place!pricey|food!worth,"negative,positive,negative"
31,i ate here a week ago and found most dishes average at best and too expensive.,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,"FOOD,PRICES","dishes,dishes",|dishes!average,"negative,negative"
32,"try the pad thai, it's fabulous and their prices are so cheap!",1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!","FOOD,PRICES","Pad Thai,NULL",prices!cheap,"positive,positive"
33,"just because it's cheap does not mean the portions are small or the food is nasty, it is great!",1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!","FOOD,FOOD,PRICES","portions,food,NULL",food!nasty|portions!small,"positive,positive,positive"
34,"also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","FOOD,PRICES","sandwiches,sandwiches",,"negative,negative"
35,they have authentic indian at amazin prices.,1615322:2,They have authentic Indian at amazin prices.,"FOOD,PRICES","Indian,Indian",prices!authentic,"positive,positive"
36,the only fallback on this restaurant is the prices.,1632445:4,The only fallback on this restaurant is the prices.,PRICES,restaurant,|fallback!only|prices!only|restaurant!prices,negative
37,"even though its good seafood, the prices are too high.",1632445:5,"Even though its good seafood, the prices are too high.","FOOD,PRICES","seafood,seafood",seafood!good|prices!high,"positive,negative"
38,the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"FOOD,FOOD,PRICES","lobster sandwich,lobster sandwich,lobster sandwich",,"positive,negative,negative"
39,the food is so cheap and the waiters are nice.,1649025:2,The food is so cheap and the waiters are nice.,"PRICES,SERVICE","food,waiters",food!cheap|waiters!nice,"positive,positive"
40,cheese plate is a varied delight and great bargain at $10.,1655504:1,Cheese plate is a varied delight and great bargain at $10.,"FOOD,FOOD,PRICES","Cheese plate,Cheese plate,Cheese plate",plate!delight|cheese!delight|bargain!plate|delight!bargain,"positive,positive,positive"
41,wine list is extensive without being over-priced.,1655504:4,Wine list is extensive without being over-priced.,"FOOD,PRICES","Wine list,Wine list",|list!extensive|wine!extensive,"positive,positive"
42,"the food was very good, a great deal, and the place its self was great.",1655521:2,"The food was very good, a great deal, and the place its self was great.","FOOD,PRICES,AMBIENCE","food,food,place",food!good|deal!great|place!food|self!great,"positive,positive,positive"
43,"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","AMBIENCE,PRICES,FOOD","ambience,NULL,food",ambience!fun|prices!great|fun!prices|food!tasty|top!fun|fact!food,"positive,positive,positive"
44,the food is great and reasonably priced.,1671113:1,The food is great and reasonably priced.,"FOOD,PRICES","food,food",food!great,"positive,positive"
45,this is a wonderful place on all stand points especially value ofr money.,1727363:1,This is a wonderful place on all stand points especially value ofr money.,PRICES,"place,place",place!wonderful|points!wonderful,"positive,positive"
46,all of the pizzas are terrific and the price is even better!,1748813:1,All of the pizzas are terrific and the price is even better!,"FOOD,PRICES","pizzas,pizzas",price!better|pizzas!terrific,"positive,positive"
47,i expected quite a bit more from such an expensive menu.,404464:3,I expected quite a bit more from such an expensive menu.,"PRICES,FOOD","menu,menu",menu!expensive,"negative,negative"
48,authentic taiwanese food that's cheap... what more could you ask for?,426930:0,Authentic Taiwanese food that's cheap... what more could you ask for?,"FOOD,PRICES","Taiwanese food,Taiwanese food",food!authentic,"positive,positive"
49,"the sandwiches are dry, tasteless and way overpriced.",436868:2,"The sandwiches are dry, tasteless and way overpriced.","FOOD,PRICES","sandwiches,sandwiches",|sandwiches!dry,"negative,negative"
50,this place is not worth the prices.,454704:2,This place is not worth the prices.,PRICES,"place,place",place!worth|prices!place,"negative,negative"
51,food is great and inexpensive.,475298:2,Food is great and inexpensive.,"FOOD,PRICES","Food,Food",food!great,"positive,positive"
52,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,475512:3,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"PRICES,AMBIENCE","bottle minimun,music",music!blasted|isnt!music,"negative,negative"
53,the food is reliable and the price is moderate.,483111:1,The food is reliable and the price is moderate.,"FOOD,PRICES","food,NULL",food!reliable|price!moderate,"positive,neutral"
54,"you can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty, mmmm!) in a great homey setting with great music.",490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.","FOOD,FOOD,PRICES,FOOD,AMBIENCE,AMBIENCE","martini,martini,martini,Vanilla Shanty,setting,music",shanty!recommend|vanilla!recommend|setting!great|music!great|mmmm!shanty,"positive,positive,positive,positive,positive,positive"
55,"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.",493013:1,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.","AMBIENCE,PRICES","location,Suan",location!good|college!near|hutner!near|fact!location|prices!reasonable,"positive,positive"
56,"the rest of the dim sum, though pricey by chinatown standards, is worth it.",498657:2,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.","PRICES,FOOD","dim sum,dim sum",rest!worth|sum!worth,"negative,positive"
57,this little place has a cute interior decor and affordable city prices.,505535:0,this little place has a cute interior decor and affordable city prices.,"AMBIENCE,PRICES","interior decor,place",decor!cute|prices!cute|place!little|city!affordable,"positive,positive"
58,spreads and toppings are great - though a bit pricey.,507937:2,Spreads and toppings are great - though a bit pricey.,"FOOD,FOOD,PRICES,PRICES","Spreads,toppings,Spreads,toppings",spreads!great|toppings!great,"positive,positive,negative,negative"
59,"great food, great prices, great service.",512294:0,"Great food, great prices, great service.","FOOD,PRICES,SERVICE","food,NULL,service",food!great|prices!great|service!great|service!great,"positive,positive,positive"
60,"if you are looking for a good quality, cheap eats - this is the place.",512294:1,"If you are looking for a good quality, cheap eats - this is the place.","FOOD,PRICES","eats,eats",quality!good|place!cheap,"positive,positive"
61,the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,527109:3,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,"FOOD,PRICES","wine list,meal",|list!extensive|wine!extensive,"positive,positive"
62,"still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","PRICES,FOOD","NULL,measures of liquers",measures!quibbles|liquers!pour-your-own|quibbles!off-set|bill!off-set,"neutral,positive"
63,"however, if you want great food at a great price and don't mind the decor, you can't beat this place.",558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.","FOOD,AMBIENCE,PRICES","food,decor,food",food!great|price!great|place!beat,"positive,neutral,positive"
64,this little place definitely exceeded my expectations and you sure get a lot of food for your money.,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,"FOOD,PRICES","food,place,food",place!exceeded|expectations!exceeded,"positive,positive,positive"
65,the food is great and they have a good selecion of wines at reasonable prices.,584025:2,The food is great and they have a good selecion of wines at reasonable prices.,"FOOD,FOOD,PRICES","food,selecion of wines,selecion of wines",food!great|wines!good|selecion!good|prices!selecion,"positive,positive,positive"
66,ravioli was good...but i have to say that i found everything a bit overpriced.,620892:3,Ravioli was good...but I have to say that I found everything a bit overpriced.,"FOOD,PRICES","Ravioli,NULL",ravioli!good|everything!overpriced|bit!everything,"positive,negative"
67,"food was just average...if they lowered the prices just a bit, it would be a bigger draw.",620892:6,"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.","FOOD,PRICES","Food,Food",|food!average|draw!food,"neutral,negative"
68,this place is a great bargain.,624715:0,This place is a great bargain.,PRICES,place,place!bargain,positive
69,"just straight up cheap, good food.",624715:4,"Just straight up cheap, good food.","FOOD,PRICES","food,food",food!good,"positive,positive"
70,bottles of wine are cheap and good.,626269:3,bottles of wine are cheap and good.,"PRICES,FOOD","bottles of wine,bottles of wine",bottles!cheap|wine!cheap,"positive,positive"
71,the drinks are amazing and half off till 8pm.,657129:3,the drinks are amazing and half off till 8pm.,"FOOD,PRICES","drinks,drinks",drinks!amazing|half!drinks,"positive,positive"
72,great food and the prices are very reasonable.,720418:4,Great food and the prices are very reasonable.,"FOOD,PRICES","food,NULL",food!reasonable|prices!reasonable,"positive,positive"
73,simply some good tasting chinese food at incredible prices...,720620:5,Simply some good tasting Chinese food at incredible prices...,"FOOD,PRICES","Chinese food,Chinese food",food!good|tasting!good|prices!incredible|prices!good,"positive,positive"
74,"good music, great food, speedy service affordable prices.",735448:2,"good music, great food, speedy service affordable prices.","AMBIENCE,FOOD,SERVICE,PRICES","music,food,service,NULL",music!good|food!good|prices!speedy|prices!good|service!speedy,"positive,positive,positive,positive"
75,price and quality of fish alone will keep us from making a return visit.,740923:2,Price and quality of fish alone will keep us from making a return visit.,"PRICES,FOOD","fish,fish,NULL",,"negative,negative,negative"
76,"fabulous decor - makes you feel like you're in a trendy manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a manhattanite, or spend most of your time in manhattan, rice avenue will make you feel at home.....very soho/village/upper west side minus the expensive prices and pretentious clientele.....all on roosevelt avenue!",744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!","AMBIENCE,FOOD,PRICES,SERVICE,AMBIENCE,AMBIENCE,PRICES","decor,food,food,staff,Rice Avenue,Rice Avenue,Rice Avenue",decor!fabulous|manhattan!trendy|restaurant!trendy|food!trendy|staff!restaurant|manhattanite!restaurant|side!soho/village/upper|west!soho/village/upper|prices!side|avenue!restaurant|clientele!pretentious|clientele!soho/village/upper,"positive,positive,positive,positive,positive,positive,positive"
77,"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",746254:4,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.","PRICES,SERVICE,SERVICE,SERVICE","food,wait-staff,service,management",restaurants!good|uws!good|food!overpriced|wait-staff!overpriced|service!clumsy|diner!clumsy|management!diner,"negative,negative,negative,negative"
78,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,751493:0,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,"SERVICE,PRICES,FOOD","service,food,food",side!pricey|service!new|food!side,"negative,negative,negative"
79,the food is okay and the prices here are mediocre.,754495:2,The food is okay and the prices here are mediocre.,"FOOD,PRICES","food,NULL",prices!mediocre|food!okay,"neutral,neutral"
80,baluchi's has solid food and a nice decor at reasonable prices.,757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,"FOOD,AMBIENCE,PRICES","food,decor,Baluchi's",food!solid|decor!solid|prices!reasonable|prices!nice|baluchi!food,"positive,positive,positive"
81,$20 for all you can eat sushi cannot be beaten.,758263:3,$20 for all you can eat sushi cannot be beaten.,PRICES,all you can eat sushi,,positive
82,it was totally overpriced- fish and chips was about $15.... ,BFC#4:2,It was totally overpriced- fish and chips was about $15.... ,"PRICES,PRICES","NULL,fish and chips",,"negative,negative"
83,"i paid just about $60 for a good meal, though :)",Z#3:2,"I paid just about $60 for a good meal, though :)","FOOD,PRICES","meal,meal",meal!good,"positive,positive"
84,excellent food for great prices,TM#7:0,Excellent food for great prices,"FOOD,PRICES","food,food",food!excellent|prices!excellent,"positive,positive"
85,"im not necessarily fanatical about this place, but it was a fun time for low pirces.",RL#3:1,"im not necessarily fanatical about this place, but it was a fun time for low pirces.",PRICES,"place,place",im!fanatical|time!fanatical|place!im|fun!im|pirces!im,"positive,positive"
86,overpriced japanese food with mediocre service,Y#5:0,overpriced japanese food with mediocre service,"PRICES,SERVICE","japanese food,service",food!overpriced|service!overpriced,"negative,neutral"
87,"not because you are ""the four seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",TFS#8:0,"Not because you are ""The Four Seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",PRICES,The Four Seasons,|dinner!romatic,negative
88,i do not think dinner in manhattan should cost $400.00 where i am not swept off my feet.,TFS#8:2,I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.,PRICES,dinner,,negative
89,and $11 for a plate of bland guacamole?,P#10:3,And $11 for a plate of bland guacamole?,"FOOD,PRICES","guacamole,guacamole",guacamole!bland|plate!bland,"negative,negative"
90,"the food was good, the place was clean and affordable.",TM#3:3,"The food was good, the place was clean and affordable.","FOOD,AMBIENCE,PRICES","food,place,place",food!good|place!clean,"positive,positive,positive"
91,we were offered water for the table but were not told the voss bottles of water were $8 a piece.,TR#8:4,We were offered water for the table but were not told the Voss bottles of water were $8 a piece.,PRICES,Voss bottles of water,,negative
92,"overall, decent food at a good price, with friendly people.",P#9:9,"Overall, decent food at a good price, with friendly people.","FOOD,PRICES,SERVICE","food,food,people",food!decent|price!decent|people!friendly|people!decent,"neutral,positive,positive"
93,the high prices you're going to pay is for the view not for the food.,TR#2:2,The high prices you're going to pay is for the view not for the food.,"AMBIENCE,FOOD,PRICES","view,food,NULL",|prices!high|view!prices,"neutral,negative,negative"
94,not what i would expect for the price and prestige of this location.,TFS#10:8,Not what I would expect for the price and prestige of this location.,"SERVICE,PRICES","NULL,location,location",,"negative,neutral,neutral"
95,so what you really end up paying for is the restaurant not the food.,Z#9:6,So what you really end up paying for is the restaurant not the food.,"PRICES,AMBIENCE,FOOD","restaurant,restaurant,food",,"negative,neutral,negative"
96,prices are fair across the board for both food and bev.,NP#3:6,Prices are fair across the board for both food and bev.,"PRICES,PRICES","food,bev",prices!fair|board!prices,"positive,positive"
97,"great place, great value.",BzG#2:0,"Great place, great value.",PRICES,"place,place",place!great|value!great,"positive,positive"
98,"the food is flavorful, plentiful and reasonably priced.",BzG#2:1,"The food is flavorful, plentiful and reasonably priced.","FOOD,FOOD,PRICES","food,food,food",|food!flavorful,"positive,positive,positive"
99,helpful service and average price per dish $10.,TM#5:3,Helpful service and average price per dish $10.,"SERVICE,PRICES","service,dish",service!helpful|price!helpful|dish!helpful,"positive,positive"
100,the martinis are amazing and very fairly priced.,TVU#6:3,The martinis are amazing and very fairly priced.,"FOOD,PRICES","martinis,martinis",martinis!amazing,"positive,positive"
101,but $500 for a dinner for two that didn't include wine?,TFS#5:2,But $500 for a dinner for two that didn't include Wine?,PRICES,dinner for two,,negative
102,what you are paying for is the environment and the name.,TFS#5:7,What you are paying for is the environment and the name.,"AMBIENCE,PRICES","environment,NULL,NULL",,"neutral,neutral,negative"
103,"yes, the place is classy and beautiful, but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while.",TFS#5:8,"Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.","AMBIENCE,PRICES","place,place",place!classy|joe!common|whealthy!common,"positive,negative"
104,"i read reviews that called the restaurant too expensive and i thought to myself, but may be it is worth it.",TFS#5:21,"I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.",PRICES,"restaurant,restaurant",restaurant!expensive,"negative,negative"
105,"the four seasons has history and it is a sort of landmark of new york city restaurants, but trust me, they will charge you through the nose just so that you can say ""i've been to the four seasons restaurant"".",TFS#5:23,"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"".",PRICES,"The Four Seasons,The Four Seasons",|restaurants!new|landmark!new|city!new,"neutral,negative"
106,"service was just ok, it is not what you'd expect for $500.",TFS#5:30,"Service was just ok, it is not what you'd expect for $500.","SERVICE,PRICES","Service,NULL",|service!ok,"negative,negative"
107,i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,CLF#3:4,I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,PRICES,"Casa La Femme,Casa La Femme",,"negative,negative"
108,"however, our $14 drinks were were horrible!",CLF#3:13,"However, our $14 drinks were were horrible!","FOOD,PRICES","drinks,drinks",drinks!horrible,"negative,negative"
109,i would not expect this for a $55 dinner.,CLF#3:23,I would not expect this for a $55 dinner.,"FOOD,PRICES","dinner,dinner",,"negative,negative"
110,"by the time we left our wallets were empy and so were our stomachs and we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!",CLF#3:28,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!","FOOD,PRICES","food,NULL,NULL",show!missed|food!enjoy|wallets!empy|experience!good|dancers!food|belly!food,"negative,negative,negative"
111,if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible!,CLF#3:29,If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible!,"FOOD,PRICES","meal,NULL",|bill!inedible|portion!bill,"negative,negative"
112,"i have never left a restaurant feeling as if i was abused, and wasted my hard earned money.",CLF#3:30,"I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.",PRICES,"restaurant,restaurant",money!wasted,"negative,negative"
113,"all in all the food was good - a little on the expensive side, but fresh. ",BFC#9:21,"All in all the food was good - a little on the expensive side, but fresh. ","FOOD,PRICES","food,food",side!expensive|food!good,"positive,negative"
114,"i have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which i would expect at a upscale indian restaurant but this place doesn't have an upscale feel.",BG#5:4,"I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.","PRICES,PRICES,AMBIENCE","place,place,chicken tikka masala,feel",restaurant!upscale|feel!upscale|price!feel|place!feel,"positive,negative,negative,negative"
115,"but if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for indian food",BG#5:7,"But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for Indian food","FOOD,PRICES","Indian food,place",something!complimentary|food!indian,"positive,negative"
116,the lunch buffet is expensive but is deff worth it.,BG#8:3,The lunch buffet is expensive but is deff worth it.,"PRICES,FOOD","lunch buffet,lunch buffet",buffet!expensive|lunch!expensive,"negative,positive"
117,too bad i had paid an extra $2 for the stone bowl.,DBG#7:5,Too bad I had paid an extra $2 for the stone bowl.,PRICES,stone bowl,,negative
118,"my party had the bbe $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",Z#6:5,"My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!","PRICES,FOOD","BBE $29 fixe prix menu,BBE $29 fixe prix menu",deal!wonderful|bbe!wonderful|party!bbe,"positive,positive"
119,"maybe it was the great company (i had friends visiting from philly – yes, it was not a date this time) or the super reasonable price point, but i just can’t say enough good things about this brasserie.",Z#6:13,"Maybe it was the great company (I had friends visiting from Philly – yes, it was not a date this time) or the super reasonable price point, but I just can’t say enough good things about this brasserie.",PRICES,"brasserie,brasserie",company!great|date!super|point!super|price!super|things!date|brasserie!good,"positive,positive"
120,"they are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!",CLF#6:5,"They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!","SERVICE,PRICES,PRICES,SERVICE","service,drinks,pita bread,NULL",service!horrible,"negative,negative,negative,negative"
121,"the meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.",DBG#6:7,"The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.","FOOD,FOOD,SERVICE,FOOD,PRICES,PRICES","meat,sauces,service,meal,kimchi,salad",meat!fresh|kimchi!good|sauces!great|salad!kimchi|meal!salad|service!meal,"positive,positive,positive,positive,positive,positive"
122,"price is high but the food is good, so i would come back again.",TR#5:6,"Price is high but the food is good, so I would come back again.","FOOD,PRICES","food,food,NULL",food!good|price!high,"positive,negative,positive"
123,"i took one bite from the $24 salmon, and i have never, in the 17 years i have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in flatbush farms.",FF#3:9,"I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.","FOOD,PRICES","salmon,salmon",,"negative,negative"
124,the decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 frickin hours to come!!!!,CLF#4:12,The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!,"AMBIENCE,FOOD,PRICES,SERVICE","decor,eggplant,eggplant,NULL",eggplant!cold,"neutral,negative,negative,negative"
125,only complaint is the pricing--i believe it would be more reasonable to pay a dollar less on each item listed on the menu.,BHD#4:5,Only complaint is the pricing--I believe it would be more reasonable to pay a dollar less on each item listed on the menu.,PRICES,menu,pricing!complaint,negative
