,0,id,review,category,target,term,polarity
36,"also, specify if you like your food spicy- its rather bland if you don't.",1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD,food,|food,negative
37,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE,"ambience,NULL",ambience|lunch|conversation,"positive,positive"
38,if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,AMBIENCE,view,,positive
39,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"SERVICE,FOOD,PRICES","service,food,food",service|food|price|beginning|evening,"positive,positive,positive"
40,the lava cake dessert was incredible and i recommend it.,1090587:3,The lava cake dessert was incredible and I recommend it.,FOOD,lava cake dessert,dessert|lava|cake,positive
41,"once you step into cosette, you're miraculously in a small, off-the-beaten path parisian bistro.",1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",AMBIENCE,Cosette,|bistro|path,positive
42,"this tiny restaurant is as cozy as it gets, with that certain parisian flair.",1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",AMBIENCE,restaurant,restaurant,positive
43,"the food was average to above-average; the french onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","FOOD,FOOD,FOOD,FOOD","food,French Onion soup,French Onion soup,desserts",desserts|soup|food|onion|way,"positive,negative,positive,negative"
44,"however, go for the ambience, and consider the food just a companion for a trip across the world!",1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","AMBIENCE,FOOD","ambience,food",,"positive,neutral"
45,the pizza was delivered cold and the cheese wasn't even fully melted!,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,"FOOD,FOOD","pizza,cheese",,"negative,negative"
46,the pizza is overpriced and soggy.,1119578:1,The pizza is overpriced and soggy.,"FOOD,PRICES","pizza,pizza",,"negative,negative"
47,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","FOOD,FOOD,FOOD","ingredients,pizza,crust",ingredients|pizza,"positive,negative,negative"
48,i think i've had some the best meals of my life at minnow.,1123262:0,I think I've had some the best meals of my life at minnow.,FOOD,meals,meals|life|minnow,positive
49,"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","FOOD,FOOD,FOOD","seafood,wine list,menu",seafood|wine|list|menu|surprises,"positive,positive,positive"
50,the combination of super-fresh ingredients in the dishes are unusual but really delicious.,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD,ingredients,combination|ingredients|dishes,positive
51,best pastrami i ever had and great portion without being ridiculous.,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,"FOOD,FOOD","Pastrami,portion",portion|pastrami,"positive,positive"
52,my wife had the fried shrimp which are huge and loved it.,1125006:3,My wife had the fried shrimp which are huge and loved it.,"FOOD,FOOD","fried shrimp,fried shrimp",shrimp|wife,"positive,positive"
53,"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.",1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","FOOD,FOOD,SERVICE","signs,specials menus,food,waitstaff",|signs|menus|food|waitstaff,"positive,positive,positive,positive"
54,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.",1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","AMBIENCE,FOOD,AMBIENCE,FOOD","Leon,Leon,specials,atmosphere,French bistro fare",leon|fare|bistro|village|specials|gem|atmosphere|hip,"positive,positive,positive,positive,positive"
55,"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE,staff,wife|staff,positive
56,decent wine at reasonable prices.,1126814:3,Decent wine at reasonable prices.,"FOOD,PRICES","wine,wine",wine|prices,"neutral,positive"
57,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","SERVICE,AMBIENCE,FOOD,FOOD","service,decor,food,portions",service|decor|food|portions,"positive,positive,positive,positive"
58,the hostess is rude to the point of being offensive.,1131595:2,The hostess is rude to the point of being offensive.,SERVICE,hostess,hostess|point,negative
59,the food was bland oily.,1131595:3,The food was bland oily.,FOOD,food,oily|food,negative
60,"we have been to this place many times, and always have great food, wine, and service.",1138996:1,"We have been to this place many times, and always have great food, wine, and service.","FOOD,FOOD,SERVICE","food,wine,service",food|wine|times|place|service,"positive,positive,positive"
61,"we were worried we would have trouble getting in, but somehow managed to have a short wait.",1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE,wait,wait|trouble,positive
62,as always we had a great glass of wine while we waited.,1138996:3,As always we had a great glass of wine while we waited.,FOOD,glass of wine,glass|wine,positive
63,"when we sat, we got great and fast service.",1138996:4,"When we sat, we got great and fast service.",SERVICE,service,service,positive
64,the people that work there are always so friendly you forget you are in new york sometimes.,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE,people,,positive
65,the pizza is yummy and i like the atmoshpere.,1145510:1,The pizza is yummy and I like the atmoshpere.,"FOOD,AMBIENCE","pizza,atmoshpere",|pizza,"positive,positive"
66,but the pizza is way to expensive.,1145510:2,But the pizza is way to expensive.,PRICES,pizza,,negative
67,"a large is $20, and toppings are about $3 each.",1145510:3,"A large is $20, and toppings are about $3 each.","PRICES,PRICES","NULL,toppings",,"negative,negative"
68,i went there for lunch and it was not as good as i expected from the reviews i read.,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,FOOD,lunch,,negative
69,sauce was watery and the food didn't have much flavor.,1147082:1,Sauce was watery and the food didn't have much flavor.,"FOOD,FOOD","Sauce,food",|sauce|flavor|food,"negative,negative"
70,the waitress was very patient with us and the food is phenomenal!,1147211:2,The waitress was very patient with us and the food is phenomenal!,"SERVICE,FOOD","waitress,food",waitress|food,"positive,positive"
71,"service was prompt, friendly and great.",1147211:3,"Service was prompt, friendly and great.",SERVICE,Service,service,positive
72,great pizza and fantastic service.,1153034:0,Great pizza and fantastic service.,"FOOD,SERVICE","pizza,service",pizza|service,"positive,positive"
73,"there was a small wait, but shorter than i expected.",1153034:1,"There was a small wait, but shorter than I expected.",SERVICE,wait,|wait,positive
74,located at the end of a magnificent block.,1153034:2,Located at the end of a magnificent block.,AMBIENCE,block,block|end,positive
75,this is the best sushi in new york city - hands down.,1154550:0,This is the best sushi in new york city - hands down.,FOOD,sushi,sushi|city|hands,positive
76,the place is small and cramped but the food is fantastic.,1154550:1,The place is small and cramped but the food is fantastic.,"AMBIENCE,FOOD","place,food",food|place,"negative,positive"
77,get the tuna of gari.,1154550:2,Get the tuna of gari.,FOOD,tuna of gari,,positive
78,"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .",1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","FOOD,FOOD","sushi,thai food,Planet Thailand",food,"positive,positive,positive"
79,"with the great variety on the menu , i eat here often and never get bored .",1162037:1,"With the great variety on the menu , I eat here often and never get bored .",FOOD,menu,,positive
80,"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .",1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","AMBIENCE,PRICES","atmosphere,NULL",atmosphere,"neutral,positive"
81,it's all about the food !!,1162037:3,It's all about the food !!,FOOD,food,,positive
82,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",FOOD,menu,|dumplings|lot|section,negative
83,"those rolls were big, but not good and sashimi wasn't fresh.",1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","FOOD,FOOD,FOOD","rolls,rolls,sashimi",sashimi|rolls,"neutral,negative,negative"
84,"try the crunchy tuna, it is to die for.",1175958:1,"Try the crunchy tuna, it is to die for.",FOOD,crunchy tuna,|tuna,positive
85,first went here to enjoy their garden terrace.,1189674:0,First went here to enjoy their garden terrace.,AMBIENCE,garden terrace,terrace|garden,positive
86,"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","FOOD,SERVICE","food,service",food|service,"positive,positive"
87,"the steak tartare is a great bet, they fix it for you at the table.",1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",FOOD,Steak Tartare,bet|tartare|steak,positive
88,"admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","AMBIENCE,AMBIENCE","open kitchen,restaurant",nights|restaurant|kitchen|part,"positive,negative"
89,"great wine selection, gigondas is worth the price, and the house champagne is a great value.",1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","FOOD,FOOD,PRICES","wine selection,Gigondas,house champagne",selection|wine|value|price|champagne|house,"positive,positive,positive"
90,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","AMBIENCE,AMBIENCE,FOOD","NULL,vibe,French food",vibe|food|bit,"neutral,positive,positive"
91,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","FOOD,FOOD","crust,pizza",bread|tastes|pizza|pizza|toppings|nyc,"positive,positive"
92,"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","AMBIENCE,FOOD","neighborhood,food",neighborhood|saul|food,"positive,positive"
93,i'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"AMBIENCE,SERVICE","setting,service,NULL",setting|service|occasion,"positive,positive,positive"
94,make sure you have the spicy scallop roll.. .,1205520:2,Make sure you have the Spicy Scallop roll.. .,FOOD,Spicy Scallop roll,|roll|scallop,positive
95,"moules were excellent, lobster ravioli was very salty!",1212346:0,"Moules were excellent, lobster ravioli was VERY salty!","FOOD,FOOD","Moules,lobster ravioli",moules|ravioli|lobster,"positive,negative"
96,"took my mom for mother's day, and the maitre d' was pretty rude.",1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",SERVICE,maitre d',d'|maitre,negative
97,tiny dessert was $8.00...just plain overpriced for what it is.,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"FOOD,PRICES","dessert,dessert",|dessert,"negative,negative"
98,the drinks are always welll made and wine selection is fairly priced.,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"FOOD,PRICES","drinks,wine selection",|drinks,"positive,positive"
99,try their chef's specials-- they are to die for.,1221938:1,Try their chef's specials-- they are to die for.,FOOD,chef's specials,,positive
100,downstairs lounge is always a good attraction,1221938:3,Downstairs lounge is always a good attraction,AMBIENCE,Downstairs lounge,lounge,positive
101,"raga's is a romantic, cozy restaurant.",1225162:0,"Raga's is a romantic, cozy restaurant.",AMBIENCE,Raga's,restaurant|raga,positive
102,the exotic food is beautifully presented and is a delight in delicious combinations.,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,"FOOD,FOOD","exotic food,exotic food",combinations|delight|food,"positive,positive"
103,the staff is incredibly helpful and attentive.,1225162:3,The staff is incredibly helpful and attentive.,SERVICE,staff,staff,positive
104,the bar is very well stocked with interesting beers and well priced wines.,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,"FOOD,FOOD,PRICES","bar,beers,wines",beers|wines,"positive,positive,positive"
105,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",SERVICE,waitress,,negative
106,"rude service, medicore food...there are tons of restaurants in ny...stay away from this one",1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","SERVICE,FOOD","service,food,NULL",service|food,"negative,neutral,negative"
107,i loved everythig about it-especially the shows and actors.,1230993:1,I loved everythig about it-especially the shows and actors.,"AMBIENCE,AMBIENCE","NULL,shows,actors",everythig,"positive,positive,positive"
108,our server was very helpful and friendly.,1230993:2,Our server was very helpful and friendly.,SERVICE,server,server,positive
109,the food was good too.,1230993:4,The food was good too.,FOOD,food,food,positive
110,the tuna and wasabe potatoes are excellent.,1232468:0,The tuna and wasabe potatoes are excellent.,"FOOD,FOOD","tuna,wasabe potatoes",potatoes|tuna|wasabe,"positive,positive"
111,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,AMBIENCE,outdoor atmosphere,atmosphere|evening|avenue,positive
112,service was prompt and courteous.,1232468:3,Service was prompt and courteous.,SERVICE,Service,service,positive
113,"great service, great food.",1241906:0,"Great service, great food.","SERVICE,FOOD","service,food",service|food,"positive,positive"
114,"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","FOOD,FOOD","pizza,fresh mozzarella",pizza|mozzarella|cheese|pizzaria,"positive,positive"
115,"two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",FOOD,appetizer selection,selection|appetizer|complaints,negative
116,wait staff is blantently unappreciative of your business but its the best pie on the uws!,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"SERVICE,FOOD","Wait staff,pie",pie|uws|staff|business,"negative,positive"
117,by far the best salad i have had in a fast food restaurant.,1256373:0,By far the best salad I have had in a fast food restaurant.,FOOD,salad,salad|food|restaurant,positive
118,fine dining restaurant quality.,1256373:1,fine dining restaurant quality.,FOOD,dining,quality|dining|restaurant,positive
119,"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","FOOD,FOOD,FOOD,SERVICE","chicken pot pie,cheeseburger,cheeseburger,service",|cheeseburger|excpetiona|chicken|pot|service,"positive,positive,positive,positive"
120,the staff is no nonsense.,1269216:1,The staff is no nonsense.,SERVICE,staff,staff,positive
121,the food options rule.,1269216:2,The food options rule.,FOOD,food,,positive
122,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else.,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,FOOD,bagels,bagels,positive
123,"he served me an uni hand roll, which i never had before, and let me tell you...it was heaven!",1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",FOOD,Uni Hand roll,|roll|hand|heaven,positive
124,the sake menu should not be overlooked!,1275154:6,The sake menu should not be overlooked!,FOOD,sake menu,,positive
125,try the lobster teriyaki and the rose special roll.,1275154:8,Try the lobster teriyaki and the rose special roll.,"FOOD,FOOD","lobster teriyaki,rose special roll",|roll|teriyaki,"positive,positive"
126,"service was very good - prompt, attentive and non-intrusive.",1280166:1,"Service was very good - prompt, attentive and non-intrusive.",SERVICE,Service,service,positive
127,"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","FOOD,FOOD","Food,pork belly",food|experience|fat,"positive,negative"
128,wine list selection is good and wine-by-the-glass was generously filled to the top.,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"FOOD,FOOD","Wine list selection,wine-by-the-glass",selection|wine|list,"positive,positive"
129,traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"AMBIENCE,AMBIENCE","Traditional French decour,hall",decour|hall|restaurant,"positive,negative"
130,"seating is always prompt, though the restaurant does fill up in the evening.",1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",SERVICE,Seating,seating,positive
131,"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.",1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","FOOD,FOOD","Food,raw vegatables in side orders",food,"positive,negative"
132,"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","AMBIENCE,AMBIENCE","decor,semi-private boths",decor|boths|side|side|hall,"positive,positive"
133,"the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.",1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","AMBIENCE,AMBIENCE","live jazz band,atmosphere",|time|band|atmosphere|jazz,"positive,positive"
134,it's simply the best meal in nyc.,1286916:3,It's simply the best meal in NYC.,FOOD,meal,meal|nyc,positive
135,the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"FOOD,FOOD","food,balance of herbs and tomatoes",food|diamond|balance|herbs|tomatoes|homemade,"positive,positive"
136,the server was really cool and served us our food and drinks with a smile.,1289424:3,The server was really cool and served us our food and drinks with a smile.,SERVICE,server,server,positive
137,the place's decor and hidden bathrooms made for a good laugh.,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,"AMBIENCE,AMBIENCE","decor,hidden bathrooms",laugh|bathrooms|decor,"positive,positive"
138,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.",1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","FOOD,FOOD,FOOD","beers,food,pumkin tortelini",husband|tortelini|beers|food|dish,"positive,positive,positive"
139,the bagel was huge.,1297844:2,The bagel was huge.,FOOD,bagel,|bagel,positive
140,the workers there also absolutely load the bagel with cream cheese (gets a little messy).,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,FOOD,bagel,,negative
141,this was my frist time at cafe st. bart's and i must say how delicous the food and the service was.,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,"FOOD,SERVICE","food,service",,"positive,positive"
142,i have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,"FOOD,FOOD","lobster roll,lobster",roll|lobster|mayo|mayo,"positive,positive"
143,"other guests enjoyed pizza, santa fe chopped salad and fish and chips.",1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.","FOOD,FOOD,FOOD","pizza,santa fe chopped salad,fish and chips",guests|salad|pizza|fish|chips|fe,"positive,positive,positive"
144,"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","FOOD,AMBIENCE,SERVICE","food,ambience,service",bart|cafe|st.|service|food,"positive,positive,positive"
145,all the staff is absolutely professional!! ,1303888:0,All the staff is absolutely professional!! ,SERVICE,staff,|staff,positive
146,my chow fun and chow see was really bland and oily.,1303984:1,My chow fun and chow see was really bland and oily.,FOOD,chow fun and chow see,,negative
147,the scallion pancakes and fried dumplings were nothing out of the ordinary.,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,"FOOD,FOOD","scallion pancakes,fried dumplings",dumplings|pancakes,"neutral,neutral"
148,the service was the only thing good about this restaurant.,1308557:0,The service was the only thing good about this restaurant.,SERVICE,"service,restaurant",thing|service|restaurant,"positive,negative"
