,index,sentence,lambda,raw_aspect,aspect,sentiment
10,12,"this is my first digital camera , and what a ' toy ' it is ! ","is_VB_N_0(CC(is_VB_N_0(toy_NN_N_0,it_PRP_N_0),camera_NN_N_0),\x.x)",[],[],[]
11,13,"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . ","CC(say_VB_N_0(it_PRP_N_0(\X.spent_VB_N_0(X),cent_NN_P_1,i_FW_N_0,g3_NN_N_0),i_FW_N_0),CC(\x.x,am_VB_N_0(software+engineer_NN_N_0),i_LS_N_0))",['cent_NN_P_1'],['cent'],[1]
12,14,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ","CC(gives_VB_N_0(pictures_NNS_N_0,touch_NN_N_0,seq(alsmost_NN_N_0,manual+control_NN_N_0)),is_VB_N_0(CC(seq(megapixel_NN_N_0,camera_NN_N_0),flagship_NN_N_0),\x.x))",[],[],[]
13,15,"whether you are a novice or an expert , its ease of use and functionality goes together . ","are_VB_N_0(CC(expert_NN_N_0,novice_NN_N_0),you_PRP_N_0,\x.x)",[],[],[]
14,16,"+ you can have different kind of lens if you want + flashes , etc. ","etc_FW_N_0(want_VB_N_0(flashes_NNS_N_0),you_PRP_N_0,have_VB_N_0(kind_NN_N_0),you_PRP_N_0)",[],[],[]
15,17,"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) . ","CC(recording_VB_N_0(movies_NNS_N_0,record_VB_N_0(minutes_NNS_N_0,you_PRP_N_0)),need_VB_N_0(store_VB_N_0(seq(quality_NN_N_0,images_NNS_N_0),storage_NN_N_0),you_PRP_N_0))",[],[],[]
16,18,i am using kingston 512mb cf which works great and is very fast . ,"am_VB_N_0(using_VB_N_0(kingston+512mb+cf_NN_P_1),i_FW_N_0)",['kingston+512mb+cf_NN_P_1'],['kingston 512mb cf'],[1]
17,20,some things that i did n't like ( but hey . nothing is perfect ). ,"CC(hey_VB_N_0(nothing_NN_P_1),like_VB_Ne_1(things_NNS_N_0,i_FW_N_0))",['nothing_NN_P_1'],['nothing'],[1]
18,21,* main dial is not backlit . ,dial_NN_N_0,[],[],[]
19,22,* lens visible in optical viewfinder . ,lens_NN_N_0,[],[],[]
20,23,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . ,"CC(twist_VB_Ne_2(you_PRP_N_0),use_VB_N_0(brilliant_JJ_P_1(\x.x),\X.thats_VB_N_0(X)))",[],[],[]
21,25,i did extensive research comparing different 4 and 5 megapixel cameras . ,"did_VB_N_0(comparing_VB_N_0(CC(seq(megapixel_NN_N_0,cameras_NNS_N_0),\x.x),research_NN_N_0),i_LS_N_0)",[],[],[]
22,27,"following my research , i decided on the g3 . ","g3_NN_N_0(\X.decided_VB_N_0(X),following_VB_N_0(research_NN_N_0),i_FW_N_0)",[],[],[]
23,28,"in a word , "" awesome "" is how i would describe this camera . ","word_NN_N_0(is_VB_N_0(describe_VB_N_0(camera_NN_N_0,i_FW_N_0),awesome_JJ_P_1))",[],[],[]
24,29,"i won't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers . ","CC(offers_VB_N_0(features_NNS_P_1,flexibility_NN_P_1(CC(seq(conveniences_NNS_N_0,camera_NN_N_0),automation_NN_N_0),quality_NN_N_0,speed_NN_N_0,picture_NN_N_0),i_FW_N_0),wonot_FW_N_0(seq(reviews_NNS_N_0,depth_NN_P_1,\X.go_VB_N_0(X),sites_NNS_N_0(seq(stevesdigicams_NNS_N_0,dpreviews_NNS_N_0)),details_NNS_N_0(\X.go_VB_N_0(X))),i_FW_N_0))","['flexibility_NN_P_1', 'depth_NN_P_1']","['flexibility', 'depth']","[1, 1]"
25,31,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . ","CC(stitch+mode_NN_P_1(stitching_VB_N_0(build_VB_N_0(image_NN_P_1,pictures_NNS_N_0),guides_NNS_N_0(you_PRP_N_0),it_PRP_N_0)))","['stitch+mode_NN_P_1', 'image_NN_P_1']","['stitch mode', 'image']","[1, 1]"
26,32,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ","am_VB_N_0(\x.x,i_FW_N_0)",[],[],[]
27,33,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ","have_VB_N_0(budget_NN_N_0,you_PRP_N_0,CC(buy_VB_N_0(camera_NN_N_0),walk_VB_N_0(run_NN_N_0)),guarantee_VB_P_1(be_VB_N_0(\X.disappointed_VB_Ne_1(X),you_PRP_N_0),i_FW_N_0))",[],[],[]
28,35,i have taken hundreds of photos with it and i continue to be amazed by their quality . ,"CC(continue_VB_N_0(be_VB_N_0(quality_NN_N_0(\X.amazed_VB_P_1(X))),i_FW_N_0),have_VB_N_0(taken_VB_N_0(hundreds_NNS_N_0),i_LS_N_0))",[],[],[]
29,37,flaws ? ,flaws_NNS_Ne_1,[],[],[]
30,39,still i am a little suprised that canon did not correct this design flaw before releasing the camera . ,"releasing_VB_N_0(camera_NN_N_0,correct_VB_P_1(design+flaw_NN_N_0),canon_NN_N_0,i_FW_N_0)",[],[],[]
31,40,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ","disappointment_NN_N_0(recommend_VB_P_1(seq(photography_NN_N_0,canon+g3+anyone_NN_N_0),i_FW_N_0))",[],[],[]
32,42,the photo quality is amazing and i know i 'm going to have fun with all the features . ,"CC(know_VB_N_0(am_VB_N_0(going_VB_N_0(features_NNS_N_0(have_VB_N_0(fun_NN_P_1))),i_FW_N_0),i_FW_N_0),quality_NN_P_1)","['fun_NN_P_1', 'quality_NN_P_1']","['fun', 'quality']","[1, 1]"
33,43,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) . ","ve_FW_N_0(have_VB_N_0(know_VB_N_0(seq(symbols_NNS_N_0,things_NNS_N_0),i_FW_N_0,used_VB_N_0(cameras_NNS_N_0)),i_FW_N_0,figured_VB_N_0(most_JJ_N_0)),i_LS_N_0)",[],[],[]
34,44,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display panel on top , but that does n't stop me from loving this camera . ","CC(stop_VB_N_0(me_PRP_N_0,loving_VB_P_1(camera_NN_N_0),\x.x),am_VB_N_0(\x.x,i_LS_N_0))",[],[],[]
35,46,i am going to have so much fun with this camera and when i learn more i will post a more accurate review . ,"CC(post_VB_N_0(review_NN_N_0,i_FW_N_0),am_VB_N_0(going_VB_N_0(camera_NN_N_0(have_VB_N_0(fun_NN_N_0))),i_FW_N_0))",[],[],[]
36,47,positives ,positives_NNS_P_1,[],[],[]
37,48,"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings . ","want_VB_N_0(bother_VB_Ne_1(settings_NNS_N_0),you_PRP_N_0,provide_VB_N_0(photos_NNS_P_1),CC(auto_NN_N_0,progam_NN_N_0,seq(exposure_NN_N_0,settings_NNS_N_0)),gives_VB_N_0(you_PRP_N_0,latitude_NN_P_1,CC(exposure+control_NN_N_0,programming_NN_N_0,slr_NN_N_0)))",['latitude_NN_P_1'],['latitude'],[1]
38,49,excellent range of metering options as well . ,\x.x,[],[],[]
39,50,it 's great to switch to spot metering and actually see it working on the lcd screen . ,"switch_VB_N_0(CC(see_VB_N_0(it_PRP_N_0,working_VB_N_0(lcd+screen_NN_P_1)),spot_VB_N_0(metering_NN_N_0)),it_PRP_N_0)",['lcd+screen_NN_P_1'],['lcd screen'],[1]
40,51,2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ) ,\x.x,[],[],[]
41,52,3 ) 4x zoom is nice ,"seq(4x_NN_P_1,zoom_NN_N_0)",['4x_NN_P_1'],['4x'],[1]
42,53,"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd screen before you take the picture , not two weeks later when you get the film developed . ","4_LS_N_0(is_VB_N_0(get_VB_N_0(developed_VB_N_0(film_NN_N_0),you_PRP_N_0,take_VB_N_0(picture_NN_N_0),you_PRP_N_0,see_VB_N_0(results_NNS_N_0),you_PRP_N_0),thing_NN_N_0))",[],[],[]
43,54,5 ) its focusing system is also very flexible . ,focusing_VB_N_0(system_NN_P_2),['system_NN_P_2'],['system'],[1]
44,55,"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus . ","CC(has_VB_N_0(manual+focus+mode_NN_P_2,it_PRP_N_0),push_NN_N_0(scene_NN_N_0(move_VB_N_0(focus+range_NN_N_0)),you_PRP_N_0))",['manual+focus+mode_NN_P_2'],['manual focus mode'],[1]
45,56,negatives ,negatives_NNS_Ne_1,[],[],[]
46,58,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ) ,"ergonomical_JJ_Ne_2(ll_VB_N_0(\X.find_VB_N_0(X),you_PRP_N_0))",[],[],[]
47,59,4 ) the viewfinder is borderuer lcd scoying . ,"4_LS_N_0(is_VB_N_0(borderuer_NN_N_0(lcd_NN_N_0(\X.scoying_VB_N_0(X))),viewfinder_NN_N_0))",[],[],[]
48,60,the camera has a wonderful set of features . ,"has_VB_N_0(set_NN_P_1,camera_NN_N_0)",['set_NN_P_1'],['set'],[1]
49,61,the lcd screen pulls out and rotates in any direction for easy pictures . ,"CC(seq(pictures_NNS_P_1,direction_NN_N_0,\X.rotates_VB_N_0(X)),\X.pulls_VB_N_0(X),lcd+screen_NN_N_0)",[],[],[]
50,62,you can even take a picture of yourself while looking at the lcd . ,"looking_VB_N_0(lcd_NN_N_0,take_VB_N_0(picture_NN_N_0),you_PRP_N_0)",[],[],[]
51,63,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,"CC(seq(zoom_NN_N_0,pictures_NNS_N_0,is_VB_N_0(addition_NN_P_2),seq(14x_NN_N_0,zoom_NN_N_0)),zoom_NN_P_1)","['addition_NN_P_2', 'zoom_NN_P_1']","['addition', 'zoom']","[1, 1]"
52,64,the highest optical zoom pictures are perfect . ,"seq(zoom_NN_P_1,pictures_NNS_N_0)",['zoom_NN_P_1'],['zoom'],[1]
53,66,"the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use . ",CC(canon+computer+software_NN_2),[],[],[]
54,67,the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,"are_VB_N_0(CC(CC(\x.x,viewfinder_NN_N_0(obstructs_VB_Ne_1(view_NN_N_0)),itself_PRP_N_0(lens_NN_N_0),it_PRP_N_0),it_PRP_N_0(CC(\X.come_VB_N_0(X),lens+cap_NN_0))),camera_NN_N_0(\X.have_VB_N_0(X),issues_NNS_N_0,i_FW_N_0))",[],[],[]
55,68,the menus are easy to navigate and the buttons are easy to use . ,"CC(buttons_NNS_P_1,menus_NNS_P_1)",[],[],[]
56,69,it is a fantastic camera and well worth the price . ,"is_VB_N_0(CC(\x.x,camera_NN_P_1),it_PRP_N_0)",['camera_NN_P_1'],['camera'],[1]
57,70,recent price drops have made the g3 the best bargain in digital cameras currently available . ,"have_VB_N_0(made_VB_N_0(g3_NN_N_0,seq(cameras_NNS_P_1,bargain_NN_P_1)),seq(price_NN_N_0,drops_NNS_N_0))",['bargain_NN_P_1'],['bargain'],[1]
58,71,advanced photobugs will find more creative control than imaginable . ,"find_VB_N_0(control_NN_N_0,photobugs_NNS_P_1)",[],[],[]
59,72,newbies will find the full auto setting will give them perfect pictures right out of the box . ,"find_VB_N_0(give_VB_N_0(them_PRP_N_0,\x.x,auto+setting_NN_N_0),newbies_NNS_N_0)",[],[],[]
60,73,4 megapixels is enough for anybody and the photo quality is awesome . ,"CC(quality_NN_P_1,megapixels_NNS_N_0)",['quality_NN_P_1'],['quality'],[1]
61,74,do n't get fooled by the 5 megapixel marketing hype . ,get_VB_N_0(megapixel+marketing+hype_NN_N_0(\X.fooled_VB_Ne_1(X))),[],[],[]
62,75,"unless you want to print murals , you do n't need it . ","want_VB_N_0(print_VB_N_0(murals_NNS_N_0),you_PRP_N_0,need_VB_N_0(it_PRP_N_0,you_PRP_N_0))",[],[],[]
63,77,"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference . ","make_VB_N_0(seq(price+difference_NN_N_0,step_NN_N_0),looking_VB_N_0(CC(shoot_NN_N_0,point_NN_N_0),anyone_NN_N_0))",[],[],[]
64,78,the extended zoom range and faster lense put it at the top of it 's class . ,"put_VB_N_0(it_PRP_N_0,top_NN_P_1,CC(lense_NN_P_1,zoom+range_NN_N_0))","['top_NN_P_1', 'lense_NN_P_1']","['top', 'lense']","[1, 1]"
65,79,i expect the g3 will please me for years to come . ,"expect_VB_N_0(come_VB_N_0(years_NNS_N_0,please_VB_N_0(me_PRP_N_0),g3_NN_N_0),i_LS_N_0)",[],[],[]
66,82,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode . ,"CC(am_VB_N_0(amazed_VB_P_1(have_VB_N_0(using_VB_N_0(auto+mode_NN_N_0,\X.took_VB_N_0(X)),quality_NN_N_0,i_FW_N_0))),began_VB_N_0(taking_VB_N_0(pics_NNS_N_0)),i_LS_N_0)",[],[],[]
67,83,absolutely breathtaking . ,breathtaking_JJ_P_1(absolutely_RB_I),[],[],[]
68,84,i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out . ,"CC(was_VB_N_0(convinced_VB_N_0(CC(CC(trying_VB_N_0(it_PRP_N_0),hands_NNS_N_0(holding_VB_N_0(it_PRP_N_0))),visiting_VB_N_0(store_NN_N_0),buy_VB_N_0(g3_NN_N_0)))),was_VB_N_0(considering_VB_N_0(olympus+camedia+c5050_NN_N_0)),i_LS_N_0)",[],[],[]
69,85,"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 . ","CC(was_VB_N_0(battery+life_NN_N_0,\x.x,\x.x),is_VB_N_0(CC(userinterface_NN_N_0,bit+clumsylooking_NN_N_0),olympus_NN_N_0))",[],[],[]
70,86,"i would recommend a larger compact-flash card , at least 128 mb . ","recommend_VB_P_1(card_NN_N_0,i_LS_N_0,mb_NN_N_0)",[],[],[]
71,88,what else can you say about a camera that works for both of you ? ,"you_PRP_N_0(works_VB_P_1(camera_NN_N_0,\X.say_VB_N_0(X)))",[],[],[]
72,90,"at the same time , i wanted my wife to not be intimidated by knobs and buttons . ","time_NN_N_0(wanted_VB_N_0(wife_NN_N_0,be_VB_N_0(CC(buttons_NNS_N_0,knobs_NNS_N_0,\X.intimidated_VB_N_0(X))),i_FW_N_0))",[],[],[]
73,91,"i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife . ","CC(handed_VB_N_0(it_PRP_N_0,wife_NN_N_0),recieved_VB_N_0(inserted_VB_N_0(charged_VB_N_0(battery_NN_N_0,cf+card_NN_N_0),camera_NN_N_0)),i_LS_N_0)",[],[],[]
74,92,"i showed her how to turn it on , where the lens zoom lever is , and she loves it ! ","CC(loves_VB_P_1(it_PRP_N_0,she_PRP_N_0),showed_VB_N_0(\x.x,is_VB_N_0(seq(lens_NN_N_0,zoom+lever_NN_N_0),turn_VB_N_0(it_PRP_N_0)),i_LS_N_0))",[],[],[]
75,93,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . ","CC(is_VB_N_0(\x.get_VB_N_0(x,you_PRP_N_0),\x.lcd_NN_N_0(\X.see_VB_N_0(X),x,you_PRP_N_0)),has_VB_N_0(canon_VB_N_0(colorimetry_NN_P_1),camera_NN_N_0))",['colorimetry_NN_P_1'],['colorimetry'],[1]
76,94,the prints are beautiful ! ,prints_NNS_P_1,[],[],[]
77,95,and you get about 120 images on a 256mb card at highest quality . ,"CC(quality_NN_N_0(card_NN_N_0(get_VB_N_0(\x.x)),you_PRP_N_0))",[],[],[]
78,96,"i tried out some other brands in the stores , and was disappointed by the battery life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected . ","CC(disappointed_VB_Ne_1(CC(\x.lcd_NN_N_0(is_VB_N_0(\x.get_VB_N_0(x,you_PRP_N_0),finder_NN_N_0),\X.see_VB_N_0(X),x,you_PRP_N_0),battery+life_NN_N_0)),stores_NNS_N_0(tried_VB_N_0(brands_NNS_N_0)),i_LS_N_0)",[],[],[]
79,98,this is a great camera for you ! ,"is_VB_N_0(you_PRP_N_0(camera_NN_P_1),\x.x)",['camera_NN_P_1'],['camera'],[1]
80,100,i can hand this to anyone and know they will take some great photos ! ,"CC(know_VB_N_0(take_VB_N_0(photos_NNS_P_1,they_PRP_N_0)),hand_VB_N_0(\x.x,anyone_NN_N_0),i_LS_N_0)",[],[],[]
81,101,"i love having the option to manually control the f-stop , shutter speed and even focus . ","love_NN_P_1(having_VB_N_0(CC(\X.focus_VB_N_0(X),control_VB_N_0(shutter+speed_NN_N_0),option_NN_N_0)),i_LS_N_0)",['love_NN_P_1'],['love'],[1]
82,102,"i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers . ","CC(got_VB_N_0(shots_NNS_P_1),take_VB_N_0(photos_NNS_N_0),i_LS_N_0)",[],[],[]
83,103,warning - i did read the manual ! ,"warning_VB_Ne_1(did_VB_N_0(read_VB_N_0(manual_NN_N_0),i_FW_N_0))",[],[],[]
84,104,"but if you 've used a slr 35mm camera , the controls are very intuitive ! ","CC(ve_VB_N_0(used_VB_N_0(seq(slr_NN_N_0,camera_NN_N_0)),you_PRP_N_0,\x.x))",[],[],[]
85,105,once i read the manual i was able to point and shoot without having to fumble around trying to figure out where the controls are located . ,"having_VB_N_0(fumble_VB_Ne_1(trying_VB_N_0(figure_VB_N_0(\x.x))),CC(shoot_NN_N_0,point_NN_N_0),i_FW_N_0)",[],[],[]
86,107,the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options . ,"seq(selection_NN_P_1,access_NN_P_1,\X.use_VB_N_0(X),mode_NN_N_0)","['selection_NN_P_1', 'access_NN_P_1']","['selection', 'access']","[1, 1]"
87,108,it does n't do you any good if a camera has all the features but you can 't access them quickly when you need them ! ,"CC(t_NN_N_0(need_VB_N_0(them_PRP_N_0,you_PRP_N_0,\x.x),you_PRP_N_0),has_VB_N_0(features_NNS_N_0,camera_NN_N_0,good_JJ_P_1(do_VB_N_0(you_PRP_N_0)),it_PRP_N_0))",[],[],[]
88,109,this camera also has a great feel and weight to it . ,"has_VB_N_0(it_PRP_N_0(CC(weight_NN_P_1,feel_NN_N_0)),camera_NN_N_0)",['weight_NN_P_1'],['weight'],[1]
89,111,"the more i work with it , the more i love it ! ","love_VB_P_1(it_PRP_N_0,i_FW_N_0)",[],[],[]
90,113,i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! ,"think_VB_N_0(find_VB_N_0(CC(ease_NN_P_1,quality_NN_N_0),i_FW_N_0),i_LS_N_0)",['ease_NN_P_1'],['ease'],[1]
91,115,"i do not know a whole lot about photography , but i am happy to know that this camera can always perform , even as i grow in skill and knowledge . ","CC(know_VB_N_0(CC(knowledge_NN_P_1,skill_NN_P_1,\X.grow_VB_N_0(X),i_FW_N_0,\X.perform_VB_N_0(X),camera_NN_N_0),i_FW_N_0),know_VB_N_0(seq(photography_NN_N_0,lot_NN_N_0),i_LS_N_0))","['knowledge_NN_P_1', 'skill_NN_P_1']","['knowledge', 'skill']","[1, 1]"
92,117,"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it ! ","CC(time_NN_N_0(use_VB_N_0(it_PRP_N_0,me_PRP_N_0(\x.x),auto+mode_NN_N_0(takes_VB_N_0(pictures_NNS_P_1)),it_PRP_N_0)))",[],[],[]
93,118,four megapixels is great . ,megapixels_NNS_P_1,[],[],[]
94,119,"i know there are five mp cameras out there , but this thing does just fine for me . ","CC(thing_NN_P_1,know_VB_N_0(are_VB_N_0(seq(mp_NN_N_0,cameras_NNS_N_0),\x.x),i_FW_N_0))",['thing_NN_P_1'],['thing'],[1]
95,120,"if you want , check out the canon website and they have some sample images , taken by this camera , for you to download . ","CC(you_PRP_N_0(\X.download_VB_N_0(X),have_VB_N_0(camera_NN_N_0(\X.taken_VB_N_0(X),seq(sample_NN_N_0,images_NNS_N_0))),they_PRP_N_0),want_VB_N_0(check_VB_N_0(canon+website_NN_N_0),you_PRP_N_0))",[],[],[]
96,121,"if you are looking for a very simple point and shoot camera , this is probably not what you are looking for . ","are_VB_N_0(looking_VB_N_0(CC(shoot_VB_N_0(camera_NN_N_0),point_NN_N_0)),you_PRP_N_0,is_VB_N_0(\x.are_VB_N_0(looking_VB_N_0(\x.x),x,you_PRP_N_0),\x.x))",[],[],[]
97,122,"if you are looking for an outstanding camera that can take you from simple to complex , this is it . ","are_VB_N_0(looking_VB_N_0(camera_NN_N_0),you_PRP_N_0,is_VB_N_0(it_PRP_N_0,\x.x))",[],[],[]
98,123,it is a very amazing product . ,"is_VB_N_0(product_NN_P_2,it_PRP_N_0)",['product_NN_P_2'],['product'],[1]
99,124,i highly recommend it . ,"recommend_VB_P_1(it_PRP_N_0,i_LS_N_0)",[],[],[]
100,125,just received this camera two days ago and already love the features it has . ,"CC(love_VB_P_1(has_VB_N_0(features_NNS_N_0,it_PRP_N_0)),received_VB_N_0(camera_NN_N_0),just_RB_N)",[],[],[]
101,126,takes excellent photos . ,takes_VB_N_0(photos_NNS_P_1),[],[],[]
102,127,night mode is clear as day . ,night+mode_NN_P_1,['night+mode_NN_P_1'],['night mode'],[1]
103,128,"i have not played with all the features yet , but the camera is easy to use once you get used to it . ","CC(camera_NN_P_1,played_VB_N_0(features_NNS_N_0,i_LS_N_0))",['camera_NN_P_1'],['camera'],[1]
104,129,the only drawback is the viewfinder is slightly blocked by the lens . ,"is_VB_N_0(is_VB_N_0(lens_NN_N_0(\X.blocked_VB_N_0(X)),viewfinder_NN_N_0),drawback_NN_N_0)",[],[],[]
105,130,"however , using the lcd seems to eliminate this minor problem . ","seems_VB_N_0(eliminate_VB_N_0(problem_NN_N_0),using_VB_N_0(lcd_NN_N_0))",[],[],[]
106,131,overall it is the best camera on the market . ,"is_VB_N_0(seq(market_NN_N_0,camera_NN_P_1),it_PRP_N_0)",['camera_NN_P_1'],['camera'],[1]
107,132,i give it 10 stars ! ,"give_VB_N_0(it_PRP_N_0,stars_NNS_N_0,i_LS_N_0)",[],[],[]
108,133,this camera has significantly more noise at iso 100 than the nikon 4500 . ,"iso_NN_N_0(has_VB_N_0(\x.x),camera_NN_N_0)",[],[],[]
109,134,i just bought the camera a few days ago . ,"days_NNS_N_0(bought_VB_N_0(camera_NN_N_0),i_LS_N_0)",[],[],[]
110,135,"before i "" get used to it "" , here are my first feelings : ","get_VB_N_0(used_VB_N_0(it_PRP_N_0),i_FW_N_0,are_VB_N_0(feelings_NNS_N_0))",[],[],[]
111,136,"a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) ) ","one_PRP_N_0(time_NN_N_0(eat_VB_N_0(seq(rice_NN_N_0,grain_NN_N_0))),eliminated_VB_N_0(seq(imaging_NN_P_2,doubt_NN_Ne_1),it_PRP_N_0,picture_NN_N_0(quality_NN_N_0(CC(sharpness_NN_N_0,color_NN_N_0)))))","['imaging_NN_P_2', 'doubt_NN_Ne_1']","['imaging', 'doubt']","[1, 0]"
112,138,i wish canon would work out some way for that issue . ,"wish_NN_N_0(issue_NN_Ne_1(work_VB_P_1(way_NN_N_0),canon_NN_N_0),i_LS_N_0)",['issue_NN_Ne_1'],['issue'],[0]
113,140,i bought this last week through amazon . ,"amazon_NN_N_0(bought_VB_N_0(week_NN_N_0),i_LS_N_0)",[],[],[]
114,141,got a great deal from a reputable seller . ,"got_VB_N_0(seq(seller_NN_P_1,deal_NN_P_1))","['seller_NN_P_1', 'deal_NN_P_1']","['seller', 'deal']","[1, 1]"
115,142,i love this camera . ,"seq(love_NN_P_1,camera_NN_N_0,i_LS_N_0)",['love_NN_P_1'],['love'],[1]
116,143,i am still trying to figure out the may options it has . ,"trying_VB_N_0(figure_VB_N_0(has_VB_N_0(options_NNS_N_0,it_PRP_N_0)),i_FW_N_0)",[],[],[]
117,144,took hundreds of pictures and they were great . ,took_VB_N_0(hundreds_NNS_P_1),[],[],[]
118,145,"great colors , pictures and white balance . ","CC(balance_NN_N_0,seq(colors_NNS_P_1,pictures_NNS_N_0))",[],[],[]
