,review,type,aspect,clauses
12,"it 's easy to use , and yet very feature rich . ",simple_sentence,"camera[+2][p], use[+1][u], feature[+2]","[('it easy to use', 'IC')]"
13,"in the auto mode it functions basically as a point and click , the scene modes are very easy to use and produce good results . ",compound_sentence,"auto mode[+1],scene mode[+2]","[('in the auto mode it functions basically as a point and click', 'IC'), ('the scene modes are very easy to use and produce good results', 'IC')]"
14,the manual mode is feature rich and i can 't wait to get the hang of it . ,complex_sentence,manual mode[+2],"[('mode is feature rich and i can', 'DC'), ('the hang of it', 'IC')]"
15,"the macro mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject . ",compound_sentence,"macro mode[+3],picture[+3]","[('the macro mode is exceptional', 'IC'), ('the pictures are very clear', 'IC'), ('you can take the pictures with the lens unbelievably close the subject', 'IC')]"
16,"the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it . ",phrase,battery life[+3],"[('the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it . ', 'Phrase')]"
17,"the camera comes with a lexar 16mb starter card , which stores about 10 images in fine mode at the highest resolution , i intend to buy a bigger card soon . ",complex_sentence,,"[('the camera comes with a lexar starter card', 'IC'), ('which stores about images in fine mode at the highest resolution i intend to buy a bigger card soon', 'DC')]"
18,i love photography . ,phrase,,"[('i love photography . ', 'Phrase')]"
19,i had an older camera that was simply a point and shoot camera . ,complex_sentence,,"[('that was simply a point', 'DC'), ('i had an older camera and shoot camera', 'IC')]"
20,"i needed something with more power , so i bought a nikon coolpix 4300 . ",compound_sentence,,"[('i needed something with more power', 'IC'), ('i bought a nikon coolpix', 'IC')]"
21,"i fell in love with this camera , it combines ease of use , with an immense amount of options and power . ",compound_sentence,"camera[+3], use[+1]","[('i fell in love with this camera', 'IC'), ('it combines ease of use with an immense amount of options and power', 'IC')]"
22,"you can use the scene modes , or fine tune the options , i. you can change the iso level , shutter speed , etc. ",complex_sentence,,"[('you can change the iso', 'DC'), ('you can use the scene modes or fine tune the options', 'IC')]"
23,"this camera is ideal for people who want more power , but do n't want to spend 1000s dollars on a camera . ",complex_sentence,camera[+2],"[('this camera is ideal for people', 'IC'), (""who want more power but do n't want to spend dollars on a camera"", 'DC')]"
24,i bought coolpix 4300 two months after i had bought canon powershot s400 . ,compound_sentence,,"[('i bought', 'IC'), ('coolpix two months after i had bought canon powershot s400', 'IC')]"
25,reason for two ? ,phrase,,"[('reason for two ? ', 'Phrase')]"
26,it was not easy sharing one with my teen age kid . ,simple_sentence,,"[('it was not easy sharing one with my teen age kid', 'IC')]"
27,the two cameras are very similar in functionality and pricing . ,simple_sentence,,"[('the two cameras are very similar in functionality and pricing', 'IC')]"
28,i 've had no problem with canon whatsoever . ,simple_sentence,,"[('i had no problem with canon whatsoever', 'IC')]"
29,"with nikon , although picture qualities are as good as any other 4 mp cameras , i 've had the following headaches ; ",complex_sentence,picture quality[+1],"[('with nikon i had the following headaches', 'IC'), ('although picture qualities are as good as any other mp cameras', 'DC')]"
30,1 . pictures wo n't transfer to pc directly from the camera using the included transfer cable . ,phrase,transfer[-2],"[(""1 . pictures wo n't transfer to pc directly from the camera using the included transfer cable . "", 'Phrase')]"
31,"i did everything i could , and it took many days of frustration before concluding that the only way to transfer to pc is with the card reader . ",phrase,,"[('i did everything i could , and it took many days of frustration before concluding that the only way to transfer to pc is with the card reader . ', 'Phrase')]"
32,card reader is included . ,simple_sentence,,"[('card reader is included', 'IC')]"
33,"2 . the speed is noticeably slower than canon , especially so with flashes on . ",phrase,,"[('2 . the speed is noticeably slower than canon , especially so with flashes on . ', 'Phrase')]"
34,"3 . with low battery , it twice wiped out the entire pictures in the memory chip . ",phrase,,"[('3 . with low battery , it twice wiped out the entire pictures in the memory chip . ', 'Phrase')]"
35,i used lexar 256 mb and i still use it which means nothing is wrong with lexar . ,complex_sentence,,"[('mb and i still use it which means nothing', 'DC'), ('i used lexar is wrong with lexar', 'IC')]"
36,be very careful when the battery is low and make sure to carry extra batteries . ,phrase,,"[('when the battery is low', 'DC')]"
37,"the other reviewers have clearly pointed all the good things about this camera , which i do agree . ",complex_sentence,,"[('the other reviewers have clearly pointed all the good things about this camera', 'IC'), ('which i do agree', 'DC')]"
38,"but there are certain issues might be they are to me here - all of them are minor; not major ones though , ",complex_sentence,,"[('but there are certain', 'IC'), ('issues might be they are to me here all of them are minor not major ones though', 'DC')]"
39,. this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped . ,phrase,auto mode[-2],"[("". this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped . "", 'Phrase')]"
40,would be really good if they have given an option to stop this autofocussing . ,phrase,,"[('if they have given an option to stop this autofocussing', 'DC')]"
41,". if you want to have the date ; time on the image , its only through their software "" nikon view "" which reads the images date ; time from the images meta-data . ",phrase,,"[('. if you want to have the date ; time on the image , its only through their software "" nikon view "" which reads the images date ; time from the images meta-data . ', 'Phrase')]"
42,so if you use your card reader ; copy images - you got to onceagain open them through their software to put the date ; time . ,complex_sentence,,"[('you got to onceagain open them through their software to put the date time', 'IC'), ('so if you use your card reader copy images', 'DC')]"
43,"in that too , there is n't a direct way to add date ; time - you got to say ' print images ' to a different directory in which there is an option to specify the date ; time . ",compound_complex_sentence,,"[(""in that too there is n't a direct way to add date time"", 'IC'), ('you got to say print images to a different directory', 'IC'), ('in which there is an option to specify the date time', 'DC')]"
44,. even the slightest of the shakes totally distorts your image ,phrase,image[-2],"[('. even the slightest of the shakes totally distorts your image ', 'Phrase')]"
45,. images taken indoor were n't so clear . ,phrase,indoor image[-2],"[("". images taken indoor were n't so clear . "", 'Phrase')]"
46,you got to have flash ' on ' to get it eventhough your room is well lit ,compound_complex_sentence,,"[('it eventhough', 'IC'), ('your room is well lit', 'DC'), ('you got to have flash on to get', 'IC')]"
47,. lens cap is a really annoying ,phrase,lens cap[-3],"[('. lens cap is a really annoying ', 'Phrase')]"
48,. go ; get a high speed like lexar 12x or higher cf card . ,phrase,,"[('. go ; get a high speed like lexar 12x or higher cf card . ', 'Phrase')]"
49,"else with simpler viking cf cards , it takes couple of seconds to write a picture with approximately "" fine **"" picture quality  "" image size : 1600 . ",simple_sentence,,"[('else with simpler viking cf cards it takes couple of seconds to write a picture with approximately fine picture quality image size', 'IC')]"
50,. the movie clips taken will always have some ' noise ' in it - you can 't avoid that . ,phrase,movie[-2],"[("". the movie clips taken will always have some ' noise ' in it - you can 't avoid that . "", 'Phrase')]"
51,but overall this is a good camera with a ' really good ' picture clarity ; an exceptional close-up shooting capability . ,simple_sentence,"camera[+2], picture[+2], close-up shooting[+3]","[('but overall this is a good camera with a really good picture clarity an exceptional close-up shooting capability', 'IC')]"
52,i would rate this is 4.5 stars picture quality ; image size defined above are specific to nikon coolpix . ,complex_sentence,,"[('i would rate', 'IC'), ('this is stars picture quality image size defined above are specific to nikon coolpix', 'DC')]"
53,"within a year , there are problems with my menu dial knob . ",simple_sentence,menu dial knob[-2],"[('within a year there are problems with my menu dial knob', 'IC')]"
54,it became stucked which makes it almost impossible to switch between modes . ,complex_sentence,,"[('it became stucked', 'IC'), ('which makes it almost impossible to switch between modes', 'DC')]"
55,"i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem . ",phrase,servicing[-2],"[('i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem . ', 'Phrase')]"
56,"worse of all , they claim that it 's some kind of internal damage and refuse to cover the cost via warranty ! ",complex_sentence,,"[('worse of all they claim and refuse to cover the cost via warranty', 'IC'), ('that it some kind of internal damage', 'DC')]"
57,they would n't repair my camera unless if i pay $ 100 for parts ? and labor ! ,complex_sentence,,"[(""they would n't repair my camera"", 'IC'), ('unless if i pay for parts', 'DC')]"
58,"it is a good camera in terms of the function and quality , but take your chance with it because nikon absolutely sucks when it comes to customer service . ",complex_sentence,"camera[+2],customer service[-2]","[('because nikon absolutely sucks', 'DC'), ('when it comes to customer service', 'DC'), ('it is a good camera in terms of the function and quality but take your chance with it', 'IC')]"
59,"got a "" system error "" problem 30 days after purchase . ",phrase,system error[-2],"[('got a "" system error "" problem 30 days after purchase . ', 'Phrase')]"
60,made the camera totally inoperable . ,phrase,camera[-2],"[('made the camera totally inoperable . ', 'Phrase')]"
61,"also , the lens cap design is flawed . ",simple_sentence,lens cap[-2],"[('also the lens cap design is flawed', 'IC')]"
62,you have to manually take the cap off in order to use it . ,simple_sentence,,"[('you have to manually take the cap off in order to use it', 'IC')]"
63,audio on video also lacking . ,phrase,audio[-2],"[('audio on video also lacking . ', 'Phrase')]"
64,"otherwise , it takes very good pictures ; shutter delay is n't so bad either . ",compound_sentence,"picture[+3],delay[+1]","[(""shutter delay is n't so bad either"", 'IC'), ('otherwise it takes very good pictures', 'IC')]"
65,"still , had to send it back to nikon for repair . ",phrase,,"[('still , had to send it back to nikon for repair . ', 'Phrase')]"
66,i am an amateur photographer and here is a piece of advise to all the folks who are thinking about making a move the digital world . ,complex_sentence,,"[('who are thinking about making a move', 'DC'), ('i am an amateur photographer and here is a piece of advise to all the folks the digital world', 'IC')]"
67,"nikon 4300 , i feel , is the best camera out there for the features and price . ",complex_sentence,camera[+3],"[('feel', 'DC'), ('nikon i is the best camera out there for the features and price', 'IC')]"
68,here were my requirements in a digital camera : ,phrase,,"[('here were my requirements in a digital camera : ', 'Phrase')]"
69,"1 . i had initially thought of buying a 2 or 3 megapixel camera but these are good for 4x6 "" or 5x7 "" prints and i wanted some really great 8x10 "" photos once in a while . ",phrase,,"[('1 . i had initially thought of buying a 2 or 3 megapixel camera but these are good for 4x6 "" or 5x7 "" prints and i wanted some really great 8x10 "" photos once in a while . ', 'Phrase')]"
70,2 . i did not want a very small camera as it seems to get lost in my hands and i was n't comfortable with that . ,phrase,,"[(""2 . i did not want a very small camera as it seems to get lost in my hands and i was n't comfortable with that . "", 'Phrase')]"
71,i wanted a decent sized camera with a contour for my fingers to hold it steadily . ,simple_sentence,,"[('i wanted a decent sized camera with a contour for my fingers to hold it steadily', 'IC')]"
72,"3 . i wanted a camera that had a lot of built-in settings for different types of suroundings while giving me an option to use my photography skills although , i am an amateur with an interest in photography by turning on the manual settings . ",phrase,,"[('3 . i wanted a camera that had a lot of built-in settings for different types of suroundings while giving me an option to use my photography skills although , i am an amateur with an interest in photography by turning on the manual settings . ', 'Phrase')]"
73,"4 . and , of course , i wanted a respected brand and had to stay within my budget because i had bought an expensive camcorder before but had n't used it much . ",phrase,,"[(""4 . and , of course , i wanted a respected brand and had to stay within my budget because i had bought an expensive camcorder before but had n't used it much . "", 'Phrase')]"
74,"depending on all the above requirements , i had narrowed down my search to nikon 4300 and canon powershot s400 models . ",simple_sentence,,"[('depending on all the above requirements i had narrowed down my search to nikon and canon powershot s400 models', 'IC')]"
75,"nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand name , good software that is included and previous reviews . ",complex_sentence,,"[('that is included', 'DC'), ('nikon got the final nod for its settings auto and manual along with movie modes medium compact size price brand name good software and previous reviews', 'IC')]"
76,i should say i have been very happy with my decision ever since . ,complex_sentence,,"[('i should say', 'IC'), ('i have been very happy with my decision ever since', 'DC')]"
77,the pictures are absolutely amazing - the camera captures the minutest of details . ,compound_sentence,picture[+3],"[('the pictures are absolutely amazing', 'IC'), ('the camera captures the minutest of details', 'IC')]"
78,a few things that might make it even better : ,phrase,,"[('a few things that might make it even better : ', 'Phrase')]"
79,1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance . ,phrase,indoor picture[-1],"[('1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance . ', 'Phrase')]"
80,2 . it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow . ,phrase,delay[-2][u],"[('2 . it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow . ', 'Phrase')]"
81,3 . the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture . ,phrase,picture[-2],"[('3 . the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture . ', 'Phrase')]"
82,"all the above , i think , are problems with all the digital cameras out there and so i have no major complaints . ",complex_sentence,,"[('i think', 'IC'), ('out there and so i have no major complaints', 'DC')]"
83,try to buy a tripod and that should solve some of those problems . ,phrase,,"[('try to buy a tripod and that should solve some of those problems . ', 'Phrase')]"
84,"whichever camera you buy , add upto about 200 dollars for an additional memory card i bought a 256 mb card , usb card reader , camera bag and the warranty . ",complex_sentence,,"[('you buy', 'DC'), ('i bought a mb card usb card reader camera bag and the warranty', 'IC'), ('whichever camera add upto about dollars for an additional memory card', 'DC')]"
85,"and finally , get your pictures developed at a kodak picture maker machine even though it costs you a little extra - no one can beat kodak processing in terms of clarity and brightness . ",complex_sentence,,"[('even though it costs you a little extra', 'DC'), ('no one can beat kodak processing in terms of clarity and brightness', 'IC')]"
86,hope this review has helped you in making up your mind . ,simple_sentence,,"[('hope this review has helped you in making up your mind', 'IC')]"
87,i have taken about 150 photographs so far and have absolutely loved the experience . ,simple_sentence,,"[('i have taken about photographs so far and have absolutely loved the experience', 'IC')]"
88,i am looking forward to my vegas trip for some great photographs now . ,simple_sentence,,"[('i am looking forward to my vegas trip for some great photographs now', 'IC')]"
89,"with our compact 35mm broken , and a vacation in europe at hand , i finally decided to enter the digital age . ",simple_sentence,,"[('with our compact mm broken and a vacation in europe at hand i finally decided to enter the digital age', 'IC')]"
90,"i first intended to buy the 3100 , but am really happy to invest the extra money for the 4300 . ",phrase,,"[('i first intended to buy the 3100 , but am really happy to invest the extra money for the 4300 . ', 'Phrase')]"
91,"the lense is a lot better , and the 4mb produce fantastic pictures . ",simple_sentence,,"[('the lense is a lot better and the produce fantastic pictures', 'IC')]"
92,"the possibilities with auto , manual , and the very helpful "" scene "" mode , which offers 11 optimized situational settings like portrait , landscape , beach / snow , sunset etc. , are endless . ",complex_sentence,"auto mode[+2], manual mode[+2], scene mode[+2]","[('which offers optimized situational settings like portrait landscape beach snow sunset etc.', 'DC'), ('the possibilities with auto manual and the very helpful scene mode are endless', 'IC')]"
93,the movie mode is also working great . ,simple_sentence,movie mode[+2],"[('the movie mode is also working great', 'IC')]"
94,"the 4300 comes with excellent easy to install software i use it on xp and win98 without problem , battery charger , usb and video cable . ",complex_sentence,software[+3],"[('i use it on xp and win98', 'DC'), ('the comes with excellent easy to install software without problem battery charger usb and video cable', 'IC')]"
95,"a 64mb flash card camera comes with a 16mb holds 52 pictures on "" normal "" resolution . ",complex_sentence,,"[('holds pictures on normal', 'DC'), ('a flash card camera comes with a resolution', 'IC')]"
96,"i experimented with online print ordering with the two major us brick and mortar retailers , and they both delivered great results . ",compound_sentence,print[+2],"[('i experimented with online print ordering with the two major us brick and mortar retailers', 'IC'), ('they both delivered great results', 'IC')]"
97,"even at the "" normal "" setting , a 8x10 print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a "" digital "" . ",phrase,print[+3],"[('even at the "" normal "" setting , a 8x10 print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a "" digital "" . ', 'Phrase')]"
98,"the battery life is ok , but can be somewhat short when working a lot with the monitor on . ",complex_sentence,battery life[+1],"[('when working a lot with the monitor on', 'DC'), ('the battery life is ok but can be somewhat short', 'IC')]"
99,"i therefore bought a second battery as a backup , and due to the lightingfast charging with the included charger , which by the way works on 110v as well as 220v in europe , we ran never out of "" juice "" . ",phrase,,"[('i therefore bought a second battery as a backup , and due to the lightingfast charging with the included charger , which by the way works on 110v as well as 220v in europe , we ran never out of "" juice "" . ', 'Phrase')]"
100,"i highly recommend the accessory kit , which provides you with everything else you need : ",phrase,,"[('which provides you with everything else', 'DC'), ('you need', 'DC')]"
101,"a nice camera bag , which holds camera plus all the cables and the charger . ",phrase,,"[('a nice camera bag , which holds camera plus all the cables and the charger . ', 'Phrase')]"
102,"furher it contains a card reader , a flash card folder for up to 8 cards , a lense cleaning rag , and an ac adapter , which is very helpful when working in an "" outlet environment "" . ",simple_sentence,,"[('furher it contains a card reader a flash card folder for up to cards a lense cleaning rag and an ac adapter which is very helpful when working in an outlet environment', 'IC')]"
103,"over all a fantastic very compact camera , which made us experience photography on a totally new level ! ",complex_sentence,camera[+3],"[('which made us', 'DC'), ('over all a fantastic very compact camera experience photography on a totally new level', 'IC')]"
104,"after reading all the glowing review on this camera , i went to my local camera shop to try one . ",simple_sentence,,"[('after reading all the glowing review on this camera i went to my local camera shop to try one', 'IC')]"
105,i currently own an olympus d-550 which takes wonderful outdoor pictures . ,complex_sentence,,"[('i currently own an olympus d-550', 'IC'), ('which takes wonderful outdoor pictures', 'DC')]"
106,"however , indoor pictures of subjects more than a few feet away can be blurry or grainy . ",simple_sentence,,"[('however indoor pictures of subjects more than a few feet away can be blurry or grainy', 'IC')]"
107,"anyway , in the store , i tried coolpix 4300 along with two other 4mp models minolta dimage s414 , and panasonic lumix . ",simple_sentence,,"[('anyway in the store i tried coolpix along with two other models minolta dimage s414 and panasonic lumix', 'IC')]"
108,"focusing on a display rack about 20 feet away in a brightly lit room during day time , pictures produced by this camera were blurry and in a shade of orange . ",simple_sentence,picture[-2],"[('focusing on a display rack about feet away in a brightly lit room during day time pictures produced by this camera were blurry and in a shade of orange', 'IC')]"
109,pictures produced by the minolta were orange but not blurry . ,simple_sentence,,"[('pictures produced by the minolta were orange but not blurry', 'IC')]"
110,pictures produced by the panasonic were excellent . ,simple_sentence,,"[('pictures produced by the panasonic were excellent', 'IC')]"
111,"the store clerk concluded that the blurriness may be caused by shaking the camera slightly when i press the button , which is understandable since this camera is lighter than the other two models . ",complex_sentence,,"[('the store clerk concluded', 'IC'), ('that the blurriness may be caused by shaking the camera slightly', 'DC'), ('when i press the button which is understandable since this camera is lighter than the other two models', 'DC')]"
112,"anyway , i ended up purchasing the lumix . ",simple_sentence,,"[('anyway i ended up purchasing the lumix', 'IC')]"
113,i 'm sure that this camera has all the wonderful features that others talk about . ,complex_sentence,,"[('that this camera has all the wonderful features', 'DC'), ('that others talk about', 'DC'), ('i sure', 'IC')]"
114,"however , as an average person with unsteady hands , i doubt it 'll perform well in lower light settings . ",simple_sentence,,"[('however as an average person with unsteady hands i doubt it perform well in lower light settings', 'IC')]"
115,i purchased the nikon 4300 after several weeks of searching . ,simple_sentence,,"[('i purchased the nikon after several weeks of searching', 'IC')]"
116,"the value , name , and resolution signed the lease . ",simple_sentence,,"[('the value name and resolution signed the lease', 'IC')]"
117,after nearly 800 pictures i have found that this nikon takes incredible pictures . ,complex_sentence,picture[+3],"[('that this nikon takes incredible pictures', 'DC'), ('after nearly pictures i have found', 'IC')]"
118,"the digital zoom takes as good of pictures , as the optical zoom does ! ",complex_sentence,"digital zoom[+2],optical zoom[+2]","[('the digital zoom takes as good of pictures', 'IC'), ('as the optical zoom does', 'DC')]"
119,"the inside pics , can be a bit challenging , but when you can instantly delete pics you dont like , that are not focused perfectly , or need lighting adjustments , make this camera very simple and effective . ",complex_sentence,picture[-2],"[('you dont like', 'DC'), ('the inside pics but make this camera very simple and effective', 'IC'), ('when you can instantly delete pics that are not focused perfectly or need lighting adjustments', 'DC')]"
120,"i love all of the features , and presets as well . ",simple_sentence,feature[+3],"[('i love all of the features and presets as well', 'IC')]"
121,"sunset feature takes incredible pics in the morning , and the evening ! ",simple_sentence,sunset feature[+3],"[('sunset feature takes incredible pics in the morning and the evening', 'IC')]"
122,the software you get with this camera is perfect . ,complex_sentence,software[+3],"[('you get with this camera', 'DC'), ('the software is perfect', 'IC')]"
123,"touchups , redeye , and so on are very easy to alter , and correct . ",simple_sentence,"touchup[+2], redeye[+2]","[('touchups redeye and so on are very easy to alter and correct', 'IC')]"
124,i definately recommend a large memory card . ,simple_sentence,,"[('i definately recommend a large memory card', 'IC')]"
125,"i use a 128mb card , and usually get around 70 to 100 pics 1024-1280 res. , with good resolution . ",phrase,,"[('i use a 128mb card , and usually get around 70 to 100 pics 1024-1280 res. , with good resolution . ', 'Phrase')]"
126,very large pics take 8mb each ! ,simple_sentence,,"[('very large pics take each', 'IC')]"
127,"battery life is good , although i recommend two rechargebles , or a alkaline backup , for those emergency pics you have to have . ",complex_sentence,battery life[+2],"[('battery life is good', 'IC'), ('you have to have', 'DC'), ('although i recommend two rechargebles or a alkaline backup for those emergency pics', 'DC')]"
128,"all and all , i am extremely pleased with this camera . ",simple_sentence,camera[+3],"[('all and all i am extremely pleased with this camera', 'IC')]"
129,making the step from film to digital has been a great move . ,phrase,,"[('making the step from film to digital has been a great move . ', 'Phrase')]"
130,i find myself emailing pics to everyone i know . ,compound_sentence,,"[('myself emailing pics to everyone', 'IC'), ('i find i know', 'IC')]"
131,"great camera , great investment ! ",phrase,camera[+3],"[('great camera , great investment ! ', 'Phrase')]"
132,"this is my second digital camera , though i also use one at work and have some experience with several nikon and canon models . ",complex_sentence,,"[('this is my second digital camera', 'IC'), ('though i also use one at work and have some experience with several nikon and canon models', 'DC')]"
133,"the nikon coolpix 4300 is wonderful -- easy to use , high quality , and compact in size . ",simple_sentence,"use[+1][u],quality[+2],size[+1]","[('the nikon coolpix is wonderful easy to use high quality and compact in size', 'IC')]"
134,with an extra battery and a couple of good sized memory cards you are all set for a day of picture taking while on vacation . ,simple_sentence,,"[('with an extra battery and a couple of good sized memory cards you are all set for a day of picture taking while on vacation', 'IC')]"
135,the auto setting does a great job most of the time but there are manual settings for those who want them . ,compound_complex_sentence,auto setting[+2],"[('the auto setting does a great job most of the time', 'IC'), ('there are manual settings for those', 'IC'), ('who want them', 'DC')]"
136,"if something were to happen to my nikon coolpix 4300 , i would order another just like it . ",complex_sentence,,"[('if something were to happen to my nikon coolpix', 'DC'), ('i would order another just like it', 'IC')]"
137,after much research i decided on the nikon coolpix 4300 . ,phrase,,"[('after much research i decided on the nikon coolpix 4300 . ', 'Phrase')]"
138,it has many great features and very few bad ones . ,simple_sentence,camera[+2][p],"[('it has many great features and very few bad ones', 'IC')]"
139,"it takes excellent pics and is very easy to use , if you read the manual . ",complex_sentence,"picture[+2],ease of use[+2]","[('it takes excellent pics and is very easy to use', 'IC'), ('if you read the manual', 'DC')]"
140,if you cant get great pics from this camera its because you havent read the manual . ,phrase,,"[('if you cant', 'DC'), ('because you havent read the manual', 'DC')]"
141,the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too . ,compound_complex_sentence,lcd[-1],"[('the only things i have found', 'IC'), ('that i havent liked is', 'DC'), ('that the lcd is hard to read in daylight', 'DC'), ('everyone elses is too', 'IC')]"
142,downloads are a snap and quick . ,simple_sentence,download[+2],"[('downloads are a snap and quick', 'IC')]"
143,controls easy yo use and easy to get to . ,phrase,control[+2],"[('controls easy yo use and easy to get to . ', 'Phrase')]"
144,i 'm extremely glad i bought this camera . ,complex_sentence,camera[+3],"[('i bought this camera', 'DC'), ('i extremely glad', 'IC')]"
145,really happy with this little camera . ,phrase,camera[+3],"[('really happy with this little camera . ', 'Phrase')]"
146,"it is n't big and offensive , though you would n't know it by looking at the pics it takes . ",complex_sentence,size[+2][u],"[(""it is n't big and offensive"", 'IC'), (""though you would n't know it by looking at the pics"", 'DC'), ('it takes', 'DC')]"
147,"got it for christmas , still learning a few of the settings , but i do n't take pictures every single day . ",simple_sentence,,"[(""i do n't take pictures every single day"", 'IC')]"
148,"settings for just about everything , beautiful pics and beautiful prints . ",phrase,"picture[+2],print[+2]","[('settings for just about everything , beautiful pics and beautiful prints . ', 'Phrase')]"
149,"i expected the 12x digital zoom to be grainy , but onfull size high to fine quality , the zoomed images are quite impressive . ",compound_sentence,zoomed image[+2],"[('i expected', 'IC'), ('the digital zoom to be grainy', 'IC'), ('onfull size high to fine quality the zoomed images are quite impressive', 'IC')]"
150,"did buy a 256mb compact flash , it holds a lot of pics at any resolution . ",simple_sentence,,"[('did buy a compact flash it holds a lot of pics at any resolution', 'IC')]"
151,"i only wish you could get high quality tiff images at all resolutions , but does n't seem any of the buget cameras do . ",compound_complex_sentence,,"[('i only wish', 'IC'), ('cameras do', 'IC'), (""you could get high quality tiff images at all resolutions but does n't seem any of the buget"", 'DC')]"
152,"still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! ",simple_sentence,camera[+2],"[('still at least from my perspective a great camera for the money and i a happy camper', 'IC')]"
153,this is a wonderful camera . ,simple_sentence,camera[+2],"[('this is a wonderful camera', 'IC')]"
154,my wife and i read and read and read reviews on different cameras for months . ,simple_sentence,,"[('my wife and i read and read and read reviews on different cameras for months', 'IC')]"
155,in the end this is the one that we decided upon and since have never had buyer 's remorse . ,complex_sentence,,"[('that we decided upon', 'DC'), ('in the end this is the one and', 'IC')]"
156,"4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price . ",phrase,"4mp[+2],optical zoom[+2]","[(""4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price . "", 'Phrase')]"
157,one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting . ,compound_complex_sentence,picture[+2],"[('in what i thought would be impossible', 'DC'), ('lighting conditions pitch black rooms', 'DC'), ('rooms looked', 'IC'), ('like they had ample lighting', 'DC'), ('i have taken some pictures no problem for the camera', 'IC')]"
158,this little camera has created a marriage between myself and nikon. never knew i could love a digital camera so much . ,simple_sentence,camera[+3],"[('this little camera has created a marriage between myself and nikon', 'IC')]"
