review,target,domain,aspect
3 ) 4x zoom is nice ,1,Canon_G3.txt,zoom[+1]
"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd screen before you take the picture , not two weeks later when you get the film developed . ",0,Canon_G3.txt,
5 ) its focusing system is also very flexible . ,1,Canon_G3.txt,focus[+2]
"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus . ",1,Canon_G3.txt,focus[+2]
negatives ,0,Canon_G3.txt,
"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line ) ",1,Canon_G3.txt,"size[-2][u],weight[-2][u]"
2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ) ,1,Canon_G3.txt,design[-2][u]
4 ) the viewfinder is borderuer lcd scoying . ,1,Canon_G3.txt,viewfinder[-2]
the camera has a wonderful set of features . ,1,Canon_G3.txt,"feature[+2], "
the lcd screen pulls out and rotates in any direction for easy pictures . ,1,Canon_G3.txt,lcd[+2]
you can even take a picture of yourself while looking at the lcd . ,0,Canon_G3.txt,
the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,1,Canon_G3.txt,"optical zoom[+2],digital zoom[+1]"
the highest optical zoom pictures are perfect . ,1,Canon_G3.txt,picture[+3]
"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased . ",1,Canon_G3.txt,picture[+3]
"the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use . ",1,Canon_G3.txt,software[+2]
the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,1,Canon_G3.txt,"lens cap[-1],viewfinder[-1]"
the menus are easy to navigate and the buttons are easy to use . ,1,Canon_G3.txt,"menu[+1],button[+1]"
it is a fantastic camera and well worth the price . ,1,Canon_G3.txt,camera[+3]
recent price drops have made the g3 the best bargain in digital cameras currently available . ,1,Canon_G3.txt,camera[+3]
advanced photobugs will find more creative control than imaginable . ,1,Canon_G3.txt,control[+2]
newbies will find the full auto setting will give them perfect pictures right out of the box . ,1,Canon_G3.txt,auto setting[+2]
4 megapixels is enough for anybody and the photo quality is awesome . ,1,Canon_G3.txt,photo quality[+3]
do n't get fooled by the 5 megapixel marketing hype . ,0,Canon_G3.txt,
"unless you want to print murals , you do n't need it . ",0,Canon_G3.txt,
those used to 35mm cameras will find the g3 very comfortable and friendly to use . ,1,Canon_G3.txt,use[+2][u]
"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference . ",0,Canon_G3.txt,
the extended zoom range and faster lense put it at the top of it 's class . ,1,Canon_G3.txt,"zoom[+2],lense[+2]"
i expect the g3 will please me for years to come . ,0,Canon_G3.txt,
i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! ,1,Canon_G3.txt,camera[+3]
"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing . ",1,Canon_G3.txt,"picture[+3], control[+2], battery[+2], software[+2]"
i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode . ,1,Canon_G3.txt,"photo quality[+2], auto mode[+2]"
absolutely breathtaking . ,0,Canon_G3.txt,
i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out . ,0,Canon_G3.txt,
"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 . ",0,Canon_G3.txt,
"i would recommend a larger compact-flash card , at least 128 mb . ",0,Canon_G3.txt,
i bought a 512 mb card by simpletech and it works great with my canon . ,0,Canon_G3.txt,
what else can you say about a camera that works for both of you ? ,0,Canon_G3.txt,
"i make photographs at work , and so wanted a camera good enough to compare with what i use professionally . ",0,Canon_G3.txt,
"at the same time , i wanted my wife to not be intimidated by knobs and buttons . ",0,Canon_G3.txt,
"i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife . ",0,Canon_G3.txt,
"i showed her how to turn it on , where the lens zoom lever is , and she loves it ! ",0,Canon_G3.txt,
"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . ",1,Canon_G3.txt,canera[+2]
the prints are beautiful ! ,1,Canon_G3.txt,print[+2]
and you get about 120 images on a 256mb card at highest quality . ,0,Canon_G3.txt,
"i tried out some other brands in the stores , and was disappointed by the battery life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected . ",0,Canon_G3.txt,
"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon . ",1,Canon_G3.txt,battery[+1]
this is a great camera for you ! ,1,Canon_G3.txt,camera[+2]
"the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use . ",1,Canon_G3.txt,"control[+2],auto mode[+2]"
i can hand this to anyone and know they will take some great photos ! ,0,Canon_G3.txt,
"i love having the option to manually control the f-stop , shutter speed and even focus . ",1,Canon_G3.txt,control[+2]
"i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers . ",1,Canon_G3.txt,photo[+3]
warning - i did read the manual ! ,0,Canon_G3.txt,
"but if you 've used a slr 35mm camera , the controls are very intuitive ! ",1,Canon_G3.txt,control[+2]
once i read the manual i was able to point and shoot without having to fumble around trying to figure out where the controls are located . ,0,Canon_G3.txt,
"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality . ",1,Canon_G3.txt,dial[+1]
the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options . ,1,Canon_G3.txt,manual mode[+2]
it does n't do you any good if a camera has all the features but you can 't access them quickly when you need them ! ,0,Canon_G3.txt,
this camera also has a great feel and weight to it . ,1,Canon_G3.txt,"feel[+2],weight[+2]"
"you feel like you are holding something of substance , not some cheap plastic toy . ",1,Canon_G3.txt,feel[+2]
"the more i work with it , the more i love it ! ",1,Canon_G3.txt,camera[+2][p]
i would recomend that you purchase a lexar media cf for the camera as the sandisk card that comes packaged is too small and too slow ! ,0,Canon_G3.txt,
i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! ,1,Canon_G3.txt,camera[+3][u]
"this is my first digital camera , and i am very pleased with it . ",1,Canon_G3.txt,camera[+3]
"i do not know a whole lot about photography , but i am happy to know that this camera can always perform , even as i grow in skill and knowledge . ",0,Canon_G3.txt,
"seriously , this thing has everything that a pro or expert amateur could want . ",1,Canon_G3.txt,camera[+2][u]
"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it ! ",1,Canon_G3.txt,"picture[+2], auto mode[+2]"
four megapixels is great . ,1,Canon_G3.txt,four megapixel[+1]
"i know there are five mp cameras out there , but this thing does just fine for me . ",0,Canon_G3.txt,
"if you want , check out the canon website and they have some sample images , taken by this camera , for you to download . ",0,Canon_G3.txt,
"if you are looking for a very simple point and shoot camera , this is probably not what you are looking for . ",0,Canon_G3.txt,
"if you are looking for an outstanding camera that can take you from simple to complex , this is it . ",0,Canon_G3.txt,
it is a very amazing product . ,1,Canon_G3.txt,product[+3][u]
i highly recommend it . ,1,Canon_G3.txt,camera[+3][p]
just received this camera two days ago and already love the features it has . ,1,Canon_G3.txt,feature[+2]
takes excellent photos . ,1,Canon_G3.txt,photo[+2]
night mode is clear as day . ,1,Canon_G3.txt,night mode[+2]
"i have not played with all the features yet , but the camera is easy to use once you get used to it . ",1,Canon_G3.txt,use[+1][u]
the only drawback is the viewfinder is slightly blocked by the lens . ,1,Canon_G3.txt,viewfinder[-1]
"however , using the lcd seems to eliminate this minor problem . ",0,Canon_G3.txt,
overall it is the best camera on the market . ,1,Canon_G3.txt,camera[+3]
i give it 10 stars ! ,0,Canon_G3.txt,
this camera has significantly more noise at iso 100 than the nikon 4500 . ,0,Canon_G3.txt,
i just bought the camera a few days ago . ,0,Canon_G3.txt,
"before i "" get used to it "" , here are my first feelings : ",0,Canon_G3.txt,
"a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) ) ",1,Canon_G3.txt,picture quality[+3]
"b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage . ",1,Canon_G3.txt,lens cover[-2]
i wish canon would work out some way for that issue . ,0,Canon_G3.txt,
"the zooming lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy . ",1,Canon_G3.txt,zooming lever[-2]
i bought this last week through amazon . ,0,Canon_G3.txt,
got a great deal from a reputable seller . ,0,Canon_G3.txt,
i love this camera . ,1,Canon_G3.txt,camera[+2]
i am still trying to figure out the may options it has . ,0,Canon_G3.txt,
took hundreds of pictures and they were great . ,1,Canon_G3.txt,picture[+2]
"great colors , pictures and white balance . ",1,Canon_G3.txt,"color[+2],picture[+2],white balance[+2]"
has 4x optical zoom which is higher than any other in the same price range . ,1,Canon_G3.txt,optical zoom[+1]
it is generally overpriced a little bit but you get what you are paying for . ,0,Canon_G3.txt,
"maybe it is my lack of experience , but i found shots with this camera very disappointing . ",1,Canon_G3.txt,picture[-3][u]
it was ( i sold it after a few months ) too expensive for the shots that i got . ,1,Canon_G3.txt,price[-3][u]
"sure it had all the features , but when i tried to shoot a girl 's basketball game it just wan't up to the task . ",1,Canon_G3.txt,camera[-2][u]
i do n't think i was asking too much . ,0,Canon_G3.txt,
any film zoom p and s would have given superior results with a minimal effort . ,0,Canon_G3.txt,
and with the 500 you save you could print the results for the life of the camera . ,0,Canon_G3.txt,
i found that low light situations combined with any sort of action left this camera in the dust . ,1,Canon_G3.txt,camera[-3]
i wanted it to shoot concerts as well . ,0,Canon_G3.txt,
that meant even less light and just as much action . ,0,Canon_G3.txt,
"sure , i adjusted the film speed to 400 . ",0,Canon_G3.txt,
the grain was terrible . ,1,Canon_G3.txt,grain[-3]
next time i set it at 100 and used the flash . ,0,Canon_G3.txt,
"well flash photos are never great , and there was still a lot of noise . ",1,Canon_G3.txt,"flash photo[-3],noise[-2]"
"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome . ",1,Canon_G3.txt,photo[+3]
the camera was a marvel . ,1,Canon_G3.txt,camera[+1]
getting the printer to help output them was another tale . ,0,Canon_G3.txt,
overall i think that you need to consider what you wan't to do . ,0,Canon_G3.txt,
"for simple point and shoot photography , consider a cheaper digital . ",0,Canon_G3.txt,
you do n't need the extra resolution or the cost . ,0,Canon_G3.txt,
then again a one time use camera may do just as well . ,0,Canon_G3.txt,
"if you shoot in lots of light and desire high quality , this will be your camera . ",0,Canon_G3.txt,
it is versatile and seems to be one of the best . ,1,Canon_G3.txt,camera[+3][p]
"me , i am going with a leica minilux ( the g3 was replacing mine which was stolen ) . ",0,Canon_G3.txt,
sure . ,0,Canon_G3.txt,
"it is less versatile , but i am never disappointed with the output . ",0,Canon_G3.txt,
"i am a long-time user of highly responsive film slrs and professional quality external flash equipment , just so you know my bias . ",0,Canon_G3.txt,
"i have been watching the development of digicams for years , waiting to make my first move . ",0,Canon_G3.txt,
"what i really want is a $ 1,500 digital slr with a full frame sensor that will take my nikon lenses . ",0,Canon_G3.txt,
"i figure that is at least three years off , and i am getting impatient . ",0,Canon_G3.txt,
hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations . ,0,Canon_G3.txt,
"i chose the g3 because of its reputation for very high quality , clean images . ",1,Canon_G3.txt,g3[+1]
"the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash . ",1,Canon_G3.txt,"lag time[-2],flash[-2]"
"as of this writing , technology has not solved the focus-lock lag time problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film slr . ",0,Canon_G3.txt,
"at least once youve got focus lock , the shutter release lag time for the g3 is about 1/10 of a second , which from what ive read , is better than just about anything else available . ",0,Canon_G3.txt,
what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . ,1,Canon_G3.txt,depth[+1]
"once i get focus lock , i can then wait until my restless subject ( a pet or a child ) strikes an amusing pose and then fire the shutter with some reasonable probability of getting my subject still in focus . ",0,Canon_G3.txt,
now what about the flash problem ? ,0,Canon_G3.txt,
"relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots . ",1,Canon_G3.txt,flash[-2]
"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 . ",1,Canon_G3.txt,external flash hot shoe[+1]
"i cant use my nikon external flash on a canon camera , but i can use my metz , with the proper metz module and extension cord connected between the g3 and the 60 ct-4 . ",0,Canon_G3.txt,
"for those who have this metz flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz module you need is the sca 3102 and the connector cord is the sca 3000c . ",0,Canon_G3.txt,
"in order for this to work , you have to set the camera to manual mode and set the shutter speed and f-stop yourself . ",0,Canon_G3.txt,
"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon . ",1,Canon_G3.txt,flash[+2]
"you also have to set the g3 to second shutter sync , which is what youd want to do most of the time anyhow . ",0,Canon_G3.txt,
"then just forget about all the controls you have on the metz flash head itself and the sca 3102 control panel , because they are all ignored . ",0,Canon_G3.txt,
"the g3 completely takes over controlling the duration of the metz flash , and most of the time , the exposure is spot on and when it isnt , its because youve exceeded the range of the metz flash itself . ",0,Canon_G3.txt,
"this might happen if you get too close to the subject and you are not bounce-flashing , or if you are bounce flashing and the walls are simply too far away . ",0,Canon_G3.txt,
"unfortunately , the neutral density filters for the metz flash are no longer available , so the first problem cant easily be solved . ",0,Canon_G3.txt,
the second problem is solved by more direct lighting from the metz ( with the attendant shadows unfortunately ) . ,0,Canon_G3.txt,
"but once youve got your exposure within an acceptable range , the g3 is shown to produce utterly stunning images that i can hardly get with my nikon f100 film camera . ",0,Canon_G3.txt,
"the 60 ct-4 flash head can actually be reversed 180 degrees and then tilted , enabling you to bounce the flash off the walls behind you . ",0,Canon_G3.txt,
the results are shadow-free images that look as if theyve been exposed with the gentlest natural light you could imagine . ,0,Canon_G3.txt,
"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 ! ",1,Canon_G3.txt,software[-2]
"the canon software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image-affecting settings in the camera . ",1,Canon_G3.txt,software[-2]
i believe this is enabled by a second file that comes out of the camera that stores all this information . ,0,Canon_G3.txt,
"maybe if you delete those files before you looked at them with the software , youd see the true , raw image that the camera actually produces . ",0,Canon_G3.txt,
i didnt wait to experiment . ,0,Canon_G3.txt,
"instead , i bought the adobe photoshop camera raw plug-in . ",0,Canon_G3.txt,
what this plug-in reveals is the truly stunning quality of the raw g3 hardware . ,1,Canon_G3.txt,g3[+3]
"without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image ! ",1,Canon_G3.txt,color[+3]
the adobe camera raw plug-in shows once again that hardware is miles ahead of software . ,1,Canon_G3.txt,"g3[+3],software[-2]"
what the g3 raw image software gives you is a fantasy world designed to please the uncritical . ,1,Canon_G3.txt,software[-2]
"what the photoshop plug-in gives you is reality , and then if you want fantasy , you can use photoshop to create it . ",0,Canon_G3.txt,
but at least youre starting with the most photorealistic images ive ever seen from a camera . ,1,Canon_G3.txt,image[+3]
"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits . ",1,Canon_G3.txt,raw image[+3]
"i 've had this for 3 months now , and i am pleased with my decision . ",1,Canon_G3.txt,camera[+2][p]
this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well . ,1,Canon_G3.txt,camera[+3]
my girlfriend loved using this camera so much as a point and shoot that i had to pry it out of her hands most of the time . ,0,Canon_G3.txt,
"battery life , the drawback to most digital cameras , to quote k. reeves . ",1,Canon_G3.txt,battery life[+1]
whoa . ,0,Canon_G3.txt,
"manual functionality is excellent , downloading pictures is quick and a breeze , and the quality is astounding . ",1,Canon_G3.txt,"manual function[+2],picture quality[+3]"
"i did a good month 's worth of research before buying this over other similar priced digital cameras , and this is the best buy for the buck . ",0,Canon_G3.txt,
"not perfect ( yes , the viewfinder can get obstructed in instances.but the lcd works well enough in those instances ) , not the cheapest 4.0 mp , but the best 4.0 mp . ",1,Canon_G3.txt,"viewfinder[-1],lcd[+2],camera[+3]"
"if you do n't believe me on that , check the consumer reports review as well as the many digital camera review sites out there . ",0,Canon_G3.txt,
"or save time and just do it , you won't regret it . ",0,Canon_G3.txt,
"after reading the very positive review of this camera in a leading consumer magazine , i decided to head here , to amazon , to read through the online reviews . ",0,Canon_G3.txt,
"the objections of the naysayers almost caused me to purchase a different camera , but , in the end , i figured i 'd give the g3 a try . ",0,Canon_G3.txt,
i 'm very glad i did . ,0,Canon_G3.txt,
the service from the supplier was exceptional . ,1,Canon_G3.txt,service[+3]
the camera arrived on time and in perfect condition . ,0,Canon_G3.txt,
"having used it for more than a month , i can say that it consistently produces topnotch photos . ",1,Canon_G3.txt,photo[+3]
"recently , i attended a "" flyball "" competition ",0,Canon_G3.txt,
-- an event that involves dogs running and jumping hurdles . ,0,Canon_G3.txt,
"by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced . ",1,Canon_G3.txt,photo[+3]
"the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture priority , shutter priority , and manual modes . ",1,Canon_G3.txt,"automode[+2],manual mode[+2]"
in the coastal redwood forests i was able to use these additional features along with the macro-focussing option to shoot wonderful close-up photos of the trilliums and other flowers in bloom . ,0,Canon_G3.txt,
about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder . ,1,Canon_G3.txt,viewfinder[-2]
this effect is increased when one buys and uses a telephoto doubler . ,0,Canon_G3.txt,
but who cares ? ,0,Canon_G3.txt,
i always shoot using the lcd panel . ,0,Canon_G3.txt,
i can 't write enough positive things about this great little camera ! ,1,Canon_G3.txt,camera[+3]
"being a great fan of the g2 i set out with g3 with a somewhat negative expectation , difficult as it is to improve drastically on something already as ' perfect ' as the powershot g2 . ",0,Canon_G3.txt,
but canon never fails to amaze . ,1,Canon_G3.txt,canon[+3]
some of the great gains over g2 -- ,0,Canon_G3.txt,
1 . the ability to selectively switch to raw format during record review gives you incredible more post-processing flexibility . ,1,Canon_G3.txt,raw format[+2]
"2 . battery life is over 4.5 hours , compared to about 2.5 hours for the g2 or the 2 hours for most nikons . ",1,Canon_G3.txt,battery life[+1]
3 . the remote capture and fileviewer software bundled for photo capture is mind-blowing . ,1,Canon_G3.txt,software[+2]
"looks sort of like picasa software ( google it if you dont know ) in the interface and is as easy to install and operate as g2 's , but more intuitive . ",0,Canon_G3.txt,
"4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking . ",1,Canon_G3.txt,shape[+1]
a big plus in my book . ,0,Canon_G3.txt,
"5 . the 1/200 sec , f5.6 + nd filter for highly exposed ( or very brightly lit ) environments . ",0,Canon_G3.txt,
the light auto-correction is awesome . ,1,Canon_G3.txt,light auto correction[+2]
you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right . ,1,Canon_G3.txt,picture[+2]
"6 . the g2 's "" color effect "" exposure mode has now been removed , the replacement is a selectable "" effect func "" menu option available in all exposure modes . ",0,Canon_G3.txt,
"there are six default settings ( off , vivid , sepia , neutral , low sharpening , b & w ) as well as a ' custom effect ' that allows you to control sharpening , contrast and saturation . ",0,Canon_G3.txt,
7 . a new photostich software for stiching your pics into a panoramic view . ,0,Canon_G3.txt,
i can of course buy such a tool off the shelves separately but helps if it comes with my camera . ,0,Canon_G3.txt,
"( looks quite neat too suggesting that canon may have , er , canonized it a bit ). ",0,Canon_G3.txt,
"8 . perhaps inspired by the canon 's factory white-correction settings ( which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out ) , the g3 has much sharper white offsets . ",1,Canon_G3.txt,white offset[+2]
"in english , this means that even straight out of the box , you 'll be amazed at the pics you end up taking . ",0,Canon_G3.txt,
"9 . in dim lit environs the g2 could easily outperform any other camera , and thankfully g3 maintains this rep . ",0,Canon_G3.txt,
personally i believe it even outperforms the g2 in terms of less haze and astonishingly real colors . ,0,Canon_G3.txt,
"overall , the g3 delivers what must be considered the best image quality of any current > 4 megapixel digicams , from a detail , tonal balance and color response point of view . ",1,Canon_G3.txt,g3[+3]
there 's really very little about g3 images to criticize . ,0,Canon_G3.txt,
short of the eos range from canon or the d100s from nikon ( both slrs ) .,0,Canon_G3.txt,
this is quite simply the best you can ask for . ,1,Canon_G3.txt,camera[+3][p]
i love my g2 so thought i would upgrade . ,0,Canon_G3.txt,
big mistake . ,0,Canon_G3.txt,
the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds . ,1,Canon_G3.txt,low light focus[-2]
got way too many blurry pictures . ,1,Canon_G3.txt,picture[-3]
i have returned the g3 ( actually i tried two of them ) and have my g2 ! ,0,Canon_G3.txt,
"when shopping for digital cameras i looked at the nikon cp5700 , olympus c5050 , nikon cp5000 , and the canon g3 . ",0,Canon_G3.txt,
"yes , all cameras except g3 were 5mp but i was looking for a lot more than just megapixel power . ",0,Canon_G3.txt,
"not only was i was shopping for a camera that would suit my casual and artistic photographic needs , i had to keep in mind that my fiance wanted to use this camera as well . ",0,Canon_G3.txt,
her main focus was having a camera that is easy to understand and use . ,0,Canon_G3.txt,
the nikon 's are great cameras . ,0,Canon_G3.txt,
