,sentence,lambda,raw_aspect,aspect,sentiment
10,yep . ,yep_NN_N_0,['yep_NN_N_0'],['yep'],[0]
11,"this is my first digital camera , and what a ' toy ' it is ! ","is_VB_N_0(CC(is_VB_N_0(toy_NN_N_0,it_PRP_N_0),first_JJ_N_0(seq(digital_JJ_P_1,camera_NN_N_0))),\x.x)","['toy_NN_N_0', 'camera_NN_N_0']","['toy', 'camera']","[0, 0]"
12,"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . ","CC(say_VB_N_0(software+engineer_NN_N_0(it_PRP_N_0(\X.spent_VB_P_1(X),seq(software+engineer_NN_N_0,cent_NN_N_0),i_FW_N_0),g3_NN_N_0),i_FW_N_0))","['software+engineer_NN_N_0', 'software+engineer_NN_N_0', 'cent_NN_N_0', 'g3_NN_N_0']","['software engineer', 'software engineer', 'cent', 'g3']","[0, 0, 0, 0]"
13,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ","CC(gives_VB_N_0(\x.x,touch_NN_N_0,alsmost_NN_N_0(seq(camera_NN_N_0,manual+control_NN_Ne_0))))","['touch_NN_N_0', 'alsmost_NN_N_0', 'camera_NN_N_0']","['touch', 'alsmost', 'camera']","[0, 0, 0]"
14,"whether you are a novice or an expert , its ease of use and functionality goes together . ","are_VB_N_0(CC(expert_NN_P_6,novice_NN_N_0),you_PRP_N_0,\x.x)","['expert_NN_P_6', 'novice_NN_N_0']","['expert', 'novice']","[1, 0]"
15,"+ you can have different kind of lens if you want + flashes , etc. ","etc_FW_N_0(want_VB_N_0(\x.x),you_PRP_N_0,have_VB_P_2(seq(different_JJ_P_6,kind_NN_N_0)),you_PRP_N_0)",['kind_NN_N_0'],['kind'],[0]
16,"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) . ","CC(recording_VB_N_0(\x.x,record_VB_N_0(\x.x,you_PRP_N_0)),4mp_JJ_N_0(need_VB_N_0(store_VB_N_0(high_JJ_Ne_2(quality_NN_P_4(\x.x)),seq(bigger_JJ_P_2,storage_NN_N_0)),you_PRP_N_0)))","['quality_NN_P_4', 'storage_NN_N_0']","['quality', 'storage']","[1, 0]"
17,i am using kingston 512mb cf which works great and is very fast . ,"am_VB_N_0(using_VB_N_0(seq(great_JJ_N_0,kingston+512mb+cf_NN_Ne_0)),i_FW_N_0)",[],[],[]
18,"a good choice could be cf type ii , microdrives that can store around 1 gb of images . ","be_VB_N_0(store_VB_N_0(gb_NN_N_0,cf_JJ_N_0(type_NN_N_0(ii_LS_N_0(\x.x)))),seq(good_JJ_P_8,choice_NN_N_0))","['gb_NN_N_0', 'type_NN_N_0', 'choice_NN_N_0']","['gb', 'type', 'choice']","[0, 0, 0]"
19,some things that i did n't like ( but hey . nothing is perfect ). ,"perfect_JJ_P_6(CC(hey_VB_N_0(nothing_NN_N_0),like_VB_N_0(\x.x,i_FW_N_0)))",['nothing_NN_N_0'],['nothing'],[0]
20,* main dial is not backlit . ,"backlit_JJ_N_0(seq(main_JJ_Ne_4,dial_NN_N_0))",['dial_NN_N_0'],['dial'],[0]
21,* lens visible in optical viewfinder . ,"seq(optical_JJ_N_0,viewfinder_NN_N_0,visible_JJ_P_5,lens_NN_N_0)","['viewfinder_NN_N_0', 'lens_NN_N_0']","['viewfinder', 'lens']","[0, 0]"
22,i did extensive research comparing different 4 and 5 megapixel cameras . ,"did_VB_N_0(comparing_VB_Ne_1(research_NN_P_6(CC(megapixel_NN_N_0(\x.x),\x.x))),i_LS_N_0)","['research_NN_P_6', 'megapixel_NN_N_0']","['research', 'megapixel']","[1, 0]"
23,"a couple of online camera review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution sample images to compare amongst the models . ","CC(provided_VB_N_0(compare_VB_N_0(\x.x,seq(couple_NN_N_0,number_NN_N_0))),provided_VB_N_0(couple_NN_N_0(couple_NN_N_0(\x.x))),they_PRP_N_0,couple_NN_P_4)","['couple_NN_N_0', 'number_NN_N_0', 'couple_NN_N_0', 'couple_NN_N_0', 'couple_NN_P_4']","['couple', 'number', 'couple', 'couple', 'couple']","[0, 0, 0, 0, 1]"
24,"following my research , i decided on the g3 . ","g3_NN_N_0(\X.decided_VB_N_0(X),following_VB_N_0(research_NN_N_0),i_FW_N_0)","['g3_NN_N_0', 'research_NN_N_0']","['g3', 'research']","[0, 0]"
25,"in a word , "" awesome "" is how i would describe this camera . ","word_NN_N_0(is_VB_N_0(describe_VB_N_0(camera_NN_N_0,i_FW_N_0),awesome_JJ_P_9))","['word_NN_N_0', 'camera_NN_N_0']","['word', 'camera']","[0, 0]"
26,"i won't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers . ","CC(depth_NN_P_12(offers_VB_P_2(\x.x,flexibility_NN_P_1(CC(automation_NN_P_5(\x.x,camera_NN_N_0)),quality_NN_P_4,speed_NN_N_0,picture_NN_N_0)),i_FW_N_0))","['depth_NN_P_1', 'flexibility_NN_P_1', 'automation_NN_P_5', 'camera_NN_N_0', 'quality_NN_P_4', 'speed_NN_N_0', 'picture_NN_N_0']","['depth', 'flexibility', 'automation', 'camera', 'quality', 'speed', 'picture']","[1, 1, 1, 0, 1, 0, 0]"
27,"with the automatic settings , i really have n't taken a bad picture yet . ","automatic_JJ_N_0(\x.x,taken_VB_N_0(seq(bad_JJ_Ne_12,picture_NN_N_0),i_FW_N_0))",['picture_NN_N_0'],['picture'],[0]
28,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ","am_VB_N_0(\x.x,i_FW_N_0)",[],[],[]
29,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ","have_VB_Ne_2(budget_NN_N_0,you_PRP_N_0,CC(buy_VB_N_0(camera_NN_N_0),walk_VB_N_0(run_NN_N_0)),guarantee_NN_N_0(be_VB_N_0(\X.disappointed_VB_Ne_2(X),you_PRP_N_0),i_FW_N_0))","['budget_NN_N_0', 'camera_NN_N_0', 'run_NN_N_0', 'guarantee_NN_N_0']","['budget', 'camera', 'run', 'guarantee']","[0, 0, 0, 0]"
30,i bought my canon g3 about a month ago and i have to say i am very satisfied . ,"CC(have_VB_P_2(say_VB_N_0(seq(canon+g3_NN_P_2,i_FW_N_0)),i_FW_N_0))",['canon+g3_NN_P_2'],['canon g3'],[1]
31,i have taken hundreds of photos with it and i continue to be amazed by their quality . ,"CC(continue_VB_N_0(be_VB_N_0(quality_NN_P_4(\X.amazed_VB_Ne_2(X))),i_FW_N_0),have_VB_P_2(taken_VB_N_0(\x.x),i_LS_N_0))",['quality_NN_P_4'],['quality'],[1]
32,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds . ","CC(g3_NN_N_0(g3_NN_Ne_4(g3_NN_N_0(\x.x)),is_VB_N_0(g3_NN_P_6,using_VB_N_0(g3_NN_N_0(shutter_NN_N_0(\x.x)),hold_VB_N_0(g3_NN_Ne_6)),it_PRP_N_0)))","['g3_NN_N_0', 'g3_NN_N_0', 'g3_NN_P_6', 'g3_NN_N_0', 'shutter_NN_N_0']","['g3', 'g3', 'g3', 'g3', 'shutter']","[0, 0, 1, 0, 0]"
33,flaws ? ,\x.x,[],[],[]
34,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . ","CC(use_VB_N_0(lcd_NN_N_0,lens_NN_N_0,i_FW_N_0,is_VB_N_0(lens_NN_N_0,\x.x)))","['lcd_NN_N_0', 'lens_NN_N_0', 'lens_NN_N_0']","['lcd', 'lens', 'lens']","[0, 0, 0]"
35,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ","seq(minor_JJ_N_0,disappointment_NN_Ne_8,recommend_VB_Ne_1(serious_JJ_Ne_12(seq(digital_JJ_P_1,photography_NN_N_0),canon+g3+anyone_NN_Ne_0),i_FW_N_0))",['photography_NN_N_0'],['photography'],[0]
36,i have only had this camera for one full day and i have to say that it is wonderful . ,"CC(have_VB_P_2(say_VB_N_0(seq(camera_NN_P_8,it_PRP_N_0)),i_FW_N_0))",['camera_NN_P_8'],['camera'],[1]
37,the photo quality is amazing and i know i 'm going to have fun with all the features . ,"CC(know_VB_N_0(am_VB_N_0(going_VB_N_0(have_VB_P_2(fun_NN_N_0)),i_FW_N_0),i_FW_N_0),amazing_JJ_P_9(seq(photo_NN_N_0,quality_NN_P_4)))","['fun_NN_N_0', 'photo_NN_N_0', 'quality_NN_P_4']","['fun', 'photo', 'quality']","[0, 0, 1]"
38,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) . ","ve_FW_N_0(have_VB_P_2(know_VB_N_0(\x.x,i_FW_N_0,used_VB_N_0(digital_JJ_P_1(\x.x))),i_FW_N_0,figured_VB_N_0(most_JJ_N_0)),i_LS_N_0)",[],[],[]
39,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display panel on top , but that does n't stop me from loving this camera . ","CC(stop_VB_N_0(me_PRP_N_0,loving_VB_P_5(camera_NN_N_0),\x.x),am_VB_N_0(\x.x,i_LS_N_0))",['camera_NN_N_0'],['camera'],[0]
40,"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . ) ","is_VB_N_0(\x.x,rated_VB_P_5(it_PRP_N_0,reason_NN_N_0,i_FW_N_0))",['reason_NN_N_0'],['reason'],[0]
41,i am going to have so much fun with this camera and when i learn more i will post a more accurate review . ,"CC(learn_VB_Ne_1(fun_NN_P_1,i_FW_N_0,post_VB_N_0(seq(fun_NN_N_0,review_NN_P_1),i_FW_N_0)))","['fun_NN_P_1', 'fun_NN_N_0', 'review_NN_P_1']","['fun', 'fun', 'review']","[1, 0, 1]"
42,positives ,\x.x,[],[],[]
43,"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings . ","want_VB_N_0(bother_VB_Ne_4(\x.x),you_PRP_N_0,provide_VB_N_0(slr_NN_P_10(\x.x)),CC(auto_NN_N_0,progam_NN_N_0,exposure_NN_Ne_1(\x.x)))","['slr_NN_P_1', 'auto_NN_N_0', 'progam_NN_N_0']","['slr', 'auto', 'progam']","[1, 0, 0]"
44,excellent range of metering options as well . ,\x.x,[],[],[]
45,it 's great to switch to spot metering and actually see it working on the lcd screen . ,"s_VB_N_0(great_JJ_N_0,switch_VB_N_0(CC(see_VB_N_0(it_PRP_N_0,working_VB_N_0(lcd+screen_NN_Ne_0)),spot_VB_N_0(metering_NN_N_0))),it_PRP_N_0)",['metering_NN_N_0'],['metering'],[0]
46,2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ) ,\x.x,[],[],[]
47,3 ) 4x zoom is nice ,"nice_JJ_P_9(seq(4x_NN_N_0,zoom_NN_N_0))","['4x_NN_N_0', 'zoom_NN_N_0']","['4x', 'zoom']","[0, 0]"
48,5 ) its focusing system is also very flexible . ,flexible_JJ_P_8(focusing_VB_N_0(system_NN_N_0)),['system_NN_N_0'],['system'],[0]
49,"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus . ","CC(has_VB_P_2(shooting_VB_N_0(focus+range_NN_Ne_8(\X.focus_VB_P_1(X),scene_NN_N_0),be_VB_N_0(focus+range_NN_P_4),seq(focus+range_NN_N_0,manual+focus+mode_NN_Ne_0)),it_PRP_N_0))","['scene_NN_N_0', 'focus+range_NN_P_4', 'focus+range_NN_N_0']","['scene', 'focus range', 'focus range']","[0, 1, 0]"
50,negatives ,\x.x,[],[],[]
51,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line ) ","CC(is_VB_N_0(canon_NN_N_0(elph_VB_N_0(line_NN_N_0),\X.contructed_VB_N_0(X)),it_PRP_N_0,slr_NN_Ne_18(uses_VB_Ne_2(seq(slr_NN_N_0,battery_NN_N_0)))),minolta_NN_N_0(s1_NN_N_0(\X.vectis_VB_N_0(X))),seq(same_JJ_N_0,size_NN_Ne_4,\X.s_VB_N_0(X)),bulky_JJ_N_0(\x.x),it_PRP_N_0)","['canon_NN_N_0', 'line_NN_N_0', 'slr_NN_N_0', 'battery_NN_N_0', 'minolta_NN_N_0', 's1_NN_N_0']","['canon', 'line', 'slr', 'battery', 'minolta', 's1']","[0, 0, 0, 0, 0, 0]"
52,the camera has a wonderful set of features . ,"has_VB_P_2(seq(wonderful_JJ_P_8,set_NN_N_0),camera_NN_N_0)","['set_NN_N_0', 'camera_NN_N_0']","['set', 'camera']","[0, 0]"
53,the lcd screen pulls out and rotates in any direction for easy pictures . ,"CC(lcd+screen_NN_P_6(\x.x,direction_NN_N_0,\X.rotates_VB_N_0(X)),\X.pulls_VB_N_0(X))","['lcd+screen_NN_P_6', 'direction_NN_N_0']","['lcd screen', 'direction']","[1, 0]"
54,you can even take a picture of yourself while looking at the lcd . ,"looking_VB_N_0(lcd_NN_N_0,take_VB_N_0(picture_NN_N_0),you_PRP_N_0)","['lcd_NN_N_0', 'picture_NN_N_0']","['lcd', 'picture']","[0, 0]"
55,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,"CC(seq(zoom_NN_Ne_4,zoom_NN_Ne_8,zoom_NN_Ne_2(seq(zoom_NN_P_1,zoom_NN_N_0),\x.x),is_VB_N_0(seq(zoom_NN_P_16,addition_NN_N_0)),14x_NN_N_0(seq(zoom_NN_P_1,zoom_NN_N_0))))","['zoom_NN_P_1', 'zoom_NN_N_0', 'zoom_NN_P_1', 'addition_NN_N_0', '14x_NN_N_0', 'zoom_NN_P_1', 'zoom_NN_N_0']","['zoom', 'zoom', 'zoom', 'addition', '14x', 'zoom', 'zoom']","[1, 0, 1, 0, 0, 1, 0]"
56,the highest optical zoom pictures are perfect . ,perfect_JJ_P_6(highest_JJ_Ne_2(optical_JJ_N_0(zoom_NN_N_0(\x.x)))),['zoom_NN_N_0'],['zoom'],[0]
57,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased . ","seq(pleased_JJ_P_12,i_FW_N_0,seen_VB_N_0(\x.x),i_LS_N_0)",[],[],[]
58,"the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use . ","CC(sort+upload_NN_P_12(\X.use_VB_N_0(X)),sort+upload_NN_P_18)","['sort+upload_NN_P_1', 'sort+upload_NN_P_1']","['sort upload', 'sort upload']","[1, 1]"
59,the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,"are_VB_N_0(CC(CC(\x.x,viewfinder_NN_N_0(obstructs_VB_N_0(view_NN_N_0)),seq(itself_PRP_N_0,lens_NN_N_0),it_PRP_N_0),it_PRP_N_0(CC(\X.come_VB_P_1(X),lens+cap_NN_Ne_8))),camera_NN_N_0(\X.have_VB_P_2(X),only_JJ_N_0(minor_JJ_N_0(\x.x)),i_FW_N_0))","['viewfinder_NN_N_0', 'view_NN_N_0', 'lens_NN_N_0', 'camera_NN_N_0']","['viewfinder', 'view', 'lens', 'camera']","[0, 0, 0, 0]"
60,the menus are easy to navigate and the buttons are easy to use . ,"CC(menus_NN_P_6(\X.use_VB_N_0(X),\x.x))",['menus_NN_P_6'],['menus'],[1]
61,it is a fantastic camera and well worth the price . ,"is_VB_N_0(CC(\x.x,seq(fantastic_JJ_P_4,camera_NN_N_0)),it_PRP_N_0)",['camera_NN_N_0'],['camera'],[0]
62,recent price drops have made the g3 the best bargain in digital cameras currently available . ,"have_VB_P_2(made_VB_N_0(g3_NN_N_0,available_JJ_N_0(digital_JJ_P_1(\x.x,seq(best_JJ_N_0,bargain_NN_P_5)))),recent_JJ_N_0(price_NN_N_0(\x.x)))","['g3_NN_N_0', 'bargain_NN_P_5', 'price_NN_N_0']","['g3', 'bargain', 'price']","[0, 1, 0]"
63,advanced photobugs will find more creative control than imaginable . ,"find_VB_N_0(imaginable_JJ_Ne_1(seq(creative_JJ_N_0,control_NN_N_0)),advanced_JJ_P_1(\x.x))",['control_NN_N_0'],['control'],[0]
64,newbies will find the full auto setting will give them perfect pictures right out of the box . ,"find_VB_N_0(give_VB_Ne_1(them_PRP_N_0,perfect_JJ_P_6(\x.x),seq(full_JJ_N_0,auto+setting_NN_Ne_0)),\x.x)",[],[],[]
65,4 megapixels is enough for anybody and the photo quality is awesome . ,"CC(awesome_JJ_P_9(seq(photo_NN_N_0,quality_NN_P_4)),\x.x)","['photo_NN_N_0', 'quality_NN_P_4']","['photo', 'quality']","[0, 1]"
66,do n't get fooled by the 5 megapixel marketing hype . ,get_VB_N_0(megapixel+marketing+hype_NN_Ne_0(\X.fooled_VB_P_1(X))),[],[],[]
67,"unless you want to print murals , you do n't need it . ","want_VB_N_0(print_VB_N_0(\x.x),you_PRP_N_0,need_VB_N_0(it_PRP_N_0,you_PRP_N_0))",[],[],[]
68,those used to 35mm cameras will find the g3 very comfortable and friendly to use . ,"the_VB_N_0(\x.x,seq(friendly_JJ_P_4,and_JJ_N_0,to_JJ_N_0(\x.x)),cameras_NN_N_0(\X.used_VB_N_0(X),\x.x))",['cameras_NN_N_0'],['cameras'],[0]
69,"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference . ","make_VB_N_0(seq(moderate_JJ_Ne_4,price+difference_NN_Ne_0,seq(huge_JJ_Ne_1,step_NN_N_0)),looking_VB_N_0(anyone_NN_N_0(CC(shoot_NN_P_1,point_NN_N_0))))","['step_NN_N_0', 'anyone_NN_N_0', 'shoot_NN_P_1', 'point_NN_N_0']","['step', 'anyone', 'shoot', 'point']","[0, 0, 1, 0]"
70,the extended zoom range and faster lense put it at the top of it 's class . ,"put_VB_N_0(it_PRP_N_0,top_NN_N_0,CC(seq(zoom+range_NN_N_0,lense_NN_N_0)))","['top_NN_N_0', 'zoom+range_NN_N_0', 'lense_NN_N_0']","['top', 'zoom range', 'lense']","[0, 0, 0]"
71,i expect the g3 will please me for years to come . ,"expect_VB_N_0(come_VB_P_1(\x.x,please_VB_P_6(me_PRP_N_0),g3_NN_N_0),i_LS_N_0)",['g3_NN_N_0'],['g3'],[0]
72,i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! ,"reasonable_JJ_N_0(price_NN_N_0(is_VB_N_0(\x.x,\x.x)),looking_VB_N_0(firstclass_JJ_N_0(seq(digital_JJ_N_0,camera_NN_N_0))),seq(potential_JJ_Ne_2,buyer_NN_N_0),recommend_VB_Ne_1(powershot+g3_NN_Ne_0),i_LS_N_0)","['price_NN_N_0', 'camera_NN_N_0', 'buyer_NN_N_0']","['price', 'camera', 'buyer']","[0, 0, 0]"
73,"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing . ","gives_VB_Ne_1(great_JJ_N_0(\x.x),battery_NN_N_0(charge_NN_P_1(CC(seq(battery_NN_N_0,casing_NN_N_0,it_PRP_N_0,battery_NN_P_8,it_PRP_N_0),\x.x)),\x.x),it_PRP_N_0)","['battery_NN_N_0', 'charge_NN_P_1', 'battery_NN_N_0', 'casing_NN_N_0', 'battery_NN_P_8']","['battery', 'charge', 'battery', 'casing', 'battery']","[0, 1, 0, 0, 1]"
74,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode . ,"CC(am_VB_N_0(amazed_VB_Ne_2(have_VB_P_2(using_VB_N_0(auto+mode_NN_Ne_0,\X.took_VB_N_0(X)),quality_NN_P_4,i_FW_N_0))),began_VB_N_0(taking_VB_N_0(\x.x)),i_LS_N_0)",['quality_NN_P_4'],['quality'],[1]
75,absolutely breathtaking . ,breathtaking_JJ_N_0(absolutely_RB_I),[],[],[]
76,i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out . ,"CC(was_VB_N_0(convinced_VB_P_1(CC(CC(trying_VB_N_0(it_PRP_N_0),holding_VB_N_0(it_PRP_N_0)),visiting_VB_Ne_6(store_NN_N_0),buy_VB_N_0(g3_NN_N_0)))),was_VB_N_0(considering_VB_N_0(olympus+camedia+c5050_NN_Ne_0)),i_LS_N_0)","['store_NN_N_0', 'g3_NN_N_0']","['store', 'g3']","[0, 0]"
77,"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 . ","CC(was_VB_N_0(battery+life_NN_Ne_0,\x.x,\x.x),is_VB_N_0(CC(userinterface_NN_N_0,bit+clumsylooking_NN_Ne_0),olympus_NN_N_0))","['userinterface_NN_N_0', 'olympus_NN_N_0']","['userinterface', 'olympus']","[0, 0]"
78,"i would recommend a larger compact-flash card , at least 128 mb . ","least_JJ_Ne_4(\x.x,recommend_VB_Ne_1(larger_JJ_P_2(seq(compactflash_JJ_N_0,card_NN_N_0))),i_LS_N_0,mb_NN_N_0)","['card_NN_N_0', 'mb_NN_N_0']","['card', 'mb']","[0, 0]"
79,i bought a 512 mb card by simpletech and it works great with my canon . ,"CC(seq(canon_NN_N_0,mb+card_NN_N_0,it_PRP_N_0))","['canon_NN_N_0', 'mb+card_NN_N_0']","['canon', 'mb card']","[0, 0]"
80,what else can you say about a camera that works for both of you ? ,"you_PRP_N_0(works_VB_N_0(camera_NN_N_0,\X.say_VB_N_0(X)))",['camera_NN_N_0'],['camera'],[0]
81,"at the same time , i wanted my wife to not be intimidated by knobs and buttons . ","seq(same_JJ_N_0,time_NN_N_0,wanted_VB_P_2(wife_NN_N_0,be_VB_N_0(CC(\x.x,\x.x,\X.intimidated_VB_P_1(X))),i_FW_N_0))","['time_NN_N_0', 'wife_NN_N_0']","['time', 'wife']","[0, 0]"
82,"i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife . ","CC(handed_VB_N_0(it_PRP_N_0,wife_NN_N_0),recieved_VB_N_0(inserted_VB_N_0(charged_VB_N_0(battery_NN_N_0,seq(larger_JJ_P_2,cf+card_NN_Ne_0)),camera_NN_N_0)),i_LS_N_0)","['wife_NN_N_0', 'battery_NN_N_0', 'camera_NN_N_0']","['wife', 'battery', 'camera']","[0, 0, 0]"
83,"i showed her how to turn it on , where the lens zoom lever is , and she loves it ! ","CC(loves_VB_N_0(it_PRP_N_0,she_PRP_N_0),showed_VB_N_0(\x.x,is_VB_N_0(seq(lens_NN_N_0,zoom+lever_NN_Ne_0),turn_VB_N_0(it_PRP_N_0)),i_LS_N_0))",['lens_NN_N_0'],['lens'],[0]
84,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . ","CC(is_VB_N_0(\x.get_VB_N_0(x,you_PRP_N_0),\x.lcd_NN_N_0(\X.see_VB_N_0(X),x,you_PRP_N_0)),has_VB_P_2(canon_NN_N_0(seq(great_JJ_N_0,colorimetry_NN_N_0)),camera_NN_N_0))","['lcd_NN_N_0', 'canon_NN_N_0', 'colorimetry_NN_N_0', 'camera_NN_N_0']","['lcd', 'canon', 'colorimetry', 'camera']","[0, 0, 0, 0]"
85,the prints are beautiful ! ,beautiful_JJ_P_8(\x.x),[],[],[]
