,0,1,aspect,prediction
25,more downside to this phone ? ,Phrase,,downside|downside|phone|phone|downside
26,the volume . ,Phrase,volume,volume|volume
27,oh my goodness -- ,Phrase,,goodness|goodness|goodness
28,i have excellent hearing,IC,volume,volume-level|phone|hearing
29,you just can,IC,,person
30,on the up-side the phone has amazing battery-life,IC,battery life,up-side
31,i do like this phone overall would give it a,IC,phone,phone|phone
32,i was surprised by t-mobile service,IC,,service
33,i assumed,IC,t-mobile reception,reception|service
34,reason ? ,Phrase,,reason
35,they piggy-back on cingular service,IC,,service
36,although cheap mo. never,DC,t-zone,mo.
37,who promised,DC,customer service,
38,when t-zones never worked,DC,t-zone,dozen|dozen|span|span|span
39,24 hours ? ,Phrase,,
40,by what time standards -- martian ? ,Phrase,,martian
41,t keep up with demands,IC,t-mobile,t-mobile
42,so that took another days of figuring out,DC,,service
43,customer reps are very nice,IC,customer rep,customer
44,but they do,IC,,habit
45,i realize,IC,,right|right
46,""" when will my t-zones work ? "" , csr : ",Phrase,,csr
47,i not sure,IC,,
48,"umm , well , thanks for nothing . ",Phrase,,umm|umm|umm|umm|nothing|umm
49,this one csr insisted on trying to get,IC,,interaction|interaction|interaction|interaction|interaction
50,that was annoying,IC,,
51,they do have pretty good csr,IC,csr,csr
52,however the calls constantly drop in my area and i experince mega-static to the point,IC,call,line
53,and no t-zones . ,Phrase,,
54,so what 's the point ? ,Phrase,,point|point|point|point|point
55,"i 'm staying with sprint , and though i fear that their csr is n't nearly as good as t-mobile 's , the clarity of their reception is exceptional . ",Phrase,sprint,csr|reception
56,i bought the very expensive sanyo which i love,IC,,sanyo|love
57,guess all that glitters is not gold . ,Phrase,,gold|gold|gold
58,it did n't work out,DC,,shot|shot|shot|shot|shot
59,hope-someone else has better luck,IC,,hope-someone
60,i bought one of these phones in kuwait to use with the mtc prepaid telephone-service-ez because i would be able to use it when i return to the states with t-mobile . ,Phrase,,kuwait|telephone-service-ez|telephone-service-ez|telephone-service-ez|telephone-service-ez|return|return|return|t-mobile
61,recently i accidently washed my telephone with my laundry through two complete 18 minute-wash cycles of a washing machine . ,Phrase,,telephone|laundry|laundry|machine|machine|machine
62,i found the phone in the bottom of the washing machine,IC,,phone
63,two days later the phone was returned to me in complete working order,IC,,phone|order|order|order
64,while i like the performance of the phone in every regard,DC,phone performance,indestructibility|indestructibility|indestructibility|indestructibility|indestructibility
65,i highly recommend a nokia,IC,nokia,nokia
66,i had an assortment of cell phones over the years motorola sony-ericsson nokia-etc,IC,,assortment|assortment|nokia-etc|nokia-etc
67,no other color-phone has the combination of features that the offers,IC,feature,color-phone
68,"from the speakerphone that can be used up to 15 feet away with clarity , to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone . ",Phrase,speakerphone,phone
69,you had the fm-radio,DC,radio,jog
70,it were a flip phone but thats not a deal-breaker,DC,,phone|deal-breaker
71,i have had this phone for about months,IC,,phone
72,it has lasted,IC,battery,
73,at my heaviest usage i must recharge after days,IC,,usage|usage|usage
74,when i was making very few calls,DC,,
75,signal-strength will affect the battery-life,IC,,signal-strength
76,frequent signal searches eat up battery-power,IC,,
77,i took great care of the screen,IC,,part|part|part|part|part|part|cover|cover|care|screen
78,i can replace,IC,,scratch
79,the volume-level of the phone is not all that good,IC,volume,volume-level|volume-level|phone|phone
80,some of the higher pitched rings are very easy to hear but not easy to listen to,IC,ring,
81,that were included with the phone,DC,tone,phone|phone
82,the vibration is not top,IC,vibration,vibration
83,it is a teeny phone,IC,,mechanism|phone
84,i do n't use the vibration,IC,,vibration
85,vibration was not even listed as a feature,IC,,feature|feature
86,so it was no loss,IC,,loss|loss|loss|loss
87,overall this has been my favorite phone,IC,phone,phone
88,great battery-life perfect size but a tid-bit quieter than i would like,IC,battery life,size|tid-bit
89,i do hope,IC,,
90,i am bored with the silver-look,IC,look,silver-look|silver-look
91,it has a nice color-screen,IC,color screen,color-screen
92,it is small,IC,size,
93,radio is awsome,IC,radio|radio,earpice|radio
94,that is a major minus but its not that bad,IC,,minus
95,t-mobile was a pretty good server,IC,t-mobile,server|t-mobile
96,it has games,IC,,
97,they are not wowable good,IC,game,
98,you have to buy better ones,IC,,
99,it also does n't have voice activated dialing,IC,voice dialing,dialing|dialing
100,this is a very nice phone,IC,phone,warranty|warranty|phone
101,nokia will not cover phones bought from amazon,IC,,amazon
102,one came with a broken headphone,IC,phone,use|headphone
103,how much help i can get from amazon and report back,DC,,help|amazon|amazon|amazon
104,i upgraded to a at my local t-mobile store,IC,,store
105,when i got it home,DC,message,text|text|text|text
106,it defaulted to unchangeable email,IC,,email|email
107,he had the same problem,IC,,hour|hour|hour|phone|phone|tech-support|tech-person|tech-person|shelf|shelf
108,the clerk insisted,DC,,whereupon|whereupon|whereupon
109,he spent another half hour on the phone with tech-support to no avail,IC,,hour
110,so i had to give up and return it having lost about hours,IC,,
111,while i had the phone,DC,sound quality|fm|earpiece,quality|quality
112,"negative : impossibly tiny and difficult to operate , barely visible , power-button . ",Phrase,size|operate|button,
113,poor visibility on the keys . ,Phrase,key,visibility
114,you have to tilt the phone around to catch the light on them,IC,,phone|light
115,the title says it all,IC,,title
116,unlike the nokia and the superb reception-nokia is known for in the gsm phones they make,DC,speakerphone|reception,reception-nokia|nokia
117,only con i can think of is no camera,IC,camera,camera|camera|camera
118,no big deal for the size . . ,Phrase,,deal|size
119,this phone is a winner,IC,phone,phone
120,anything this phone does,IC,phone,anything|phone
121,the speakerphone the radio all features work perfectly,IC,speakerphone,speakerphone|speakerphone|radio|radio
122,the speakerphone : ,Phrase,,speakerphone|speakerphone
123,this phone has a very cool and useful feature the speakerphone,IC,speakerphone,feature|speakerphone
124,as said before this works perfectly . ,Phrase,speakerphone,
125,you can adjust the volume to be heard anywhere or so,IC,volume,disturbance|disturbance
126,the person on the other end of the call can hear you perfectly,IC,speakerphone,end|person
127,it will still work perfectly,IC,speakerphone,
128,you are calling answers the phone,DC,speakerphone,complaint|complaint|speakerphone|speakerphone|speakerphone|speakerphone-feature|person|person
129,the radio : ,Phrase,,radio|radio
130,this phone is one of the few phones,IC,radio,fm-radio-tuner|fm-radio-tuner
131,as the stations are coming,DC,radio,radio|radio|radio|radio|reception
132,tri-band : ,Phrase,,tri-band
133,one highly beneficial feature of this phone at least to me is,IC,feature,gsm|feature|phone
134,i bought this phone for my trip to south africa,IC,phone,phone|trip|trip|trip
135,i had,DC,t-mobile,problem
136,anywhere i went,IC,reception,bar-reception
137,if it worked like that in south africa,DC,,hitch|hitch|hitch|europe
138,sold in other parts of the world : ,Phrase,,world
139,another benefit of this phone is,IC,phone,world|world|phone
140,this means,IC,phone,phone|chance
141,or on the rare occasion it does,IC,,store|europe
142,how big of a benefit it is to have a european phone and a european company providing your cell-phone-service,DC,,phone|company
143,able to use service in another country : ,Phrase,,country|country
144,if you decide to go to another country for an extended period of time,DC,,sim-card|service-provider|service-provider|service-provider|country|country
145,you would then have a phone-number in that country and not have to pay for international roaming in that country,IC,,roaming
146,size and weight : ,Phrase,,size|size|size
147,when you put this phone in your pocket,DC,size,phone|pocket|pocket
148,your pants wo n't be bulging with this phone in your pocket,IC,size,benefit
149,battery-life : ,Phrase,,battery-life
150,the battery-life on this phone is surreal,IC,battery life,battery-life|phone
151,it lasts truly days on standby,IC,,standby
152,the battery did not even go down one single bar,IC,battery,speakerphone
153,it is amazing,IC,battery,phone
154,this phone has many other features ir just to name one the features above i view as the most beneficial,IC,phone,view
155,the phone has a few minor inconveniences,IC,bluetooth,phone|phone
156,overall i highly recommend this phone,IC,phone,phone
157,it is a perfect phone in such a small and appealing package,IC,phone,phone|package
158,i love,IC,,
159,pros : ,Phrase,,
160,size - extremely small and convenient will fit in your pocket and not bother you . ,Phrase,size,size
161,it also doubles as a radio,DC,ringing tone,ringing|feature
162,speakerphone - loud and clear has some nice extra features like currency-converter and a stopwatch . ,Phrase,speakerphone,speakerphone|currency-converter
163,just wish,DC,web,wap
164,cons : ,Phrase,,
165,ring tones only come with crazy songs and annoying rings,IC,ring tone,ring|ring|ring
166,the screen is easily scratched,IC,screen,warranty
167,games kind of stink,IC,game,kind|kind
168,nice little phone ... light compact . . ,Phrase,phone,phone
169,great features . . ,Phrase,,
170,buttons do seem a little sticky tho,IC,button,tho
171,perhaps there is a tone of irony in the title of my review,IC,,earnest
172,after having had my heart broken by a sexy piece of hardware that simply would n't perform,IC,,heart|hardware
173,i replaced it with this not-quite-so-dazzling but definitely more functional device,IC,,device
174,it is an outstanding piece of hardware for doing,IC,wireless telephone,telephone|nokia|piece|hardware
175,the reception and sound quality are top-notch,IC,reception,quality|reception
176,i can routinely talk on the phone in my house in the suburbs,IC,,service|luxury
177,i like the size and weight of this little critter . ,Phrase,size,critter|size
178,i am able to carry,IC,size,body|body
179,the keys are close together,IC,layout,layout|relation
180,key is the space-key for text-input,IC,key,fact|fact|bit|bit|bit|bit|bit|space-key|text-input
181,but that not an insurmoutable obstacle,IC,,obstacle|obstacle|obstacle|obstacle|obstacle
182,the screen is bright easy to see in the daylight with nice colors,IC,screen,screen|daylight
183,it receives very nice mms pictures from other gsm phones,IC,picture,gsm
184,there are some features in the user-interface,IC,user interface,user-interface|user-interface
185,the menu options appear one at a time taking up the whole screen,IC,menu option,menu-order|menu-order|menu-order|menu-order|menu-order|menu-order|number-keypad|screen
186,thumbs down on that one,IC,,
187,the vibrate setting is loud,IC,vibrate setting,setting
188,so loud really that it does n't work terribly well as a silent ringer-option,IC,vibrate setting,ringer-option
189,that i heard it ringing inside my office,DC,ringer,ringer
190,which was a good thing,DC,,phone|thing|thing
191,that i miss,DC,voice dialing,dialing|dialing
192,i like a camera-phone,IC,,phone|phone|toy|toy|toy
193,pros : ,Phrase,,
194,"- light , compact design ",Phrase,weight|design,design|light
195,"- solid , high-quality construction ",Phrase,construction,construction
196,- well-backlit keypad ,Phrase,keypad,keypad
197,- outstanding signal-reception ,Phrase,reception,signal-reception
198,- excellent sound quality ,Phrase,sound quality,quality
199,"- bright , visible screen ",Phrase,screen,screen
200,- speakerphone ,Phrase,speakerphone,speakerphone
201,- very long-lasting battery-life ,Phrase,battery life,
202,cons : ,Phrase,,
203,- some features in the user-interface ,Phrase,user interface,user-interface|user-interface
204,no voice activated dialing,IC,voice dialing,voice
205,- no option for caller-id pictures or individualized ringtones . ,Phrase,picture|ringtone,option|option|option
206,- no propietary headset-jack ,Phrase,headset jack,headset-jack|headset-jack|headset-jack
207,this bumpy is wicked groovy,IC,,
208,it would be haggard,DC,,thought|thought
209,this junky is super duper-rad,IC,,duper-rad|junky
210,it all be gone an stuffff,DC,,stuffff
211,aight-den bumpy ? ,Phrase,,
212,word ... peace in the east bruvah . ,Phrase,,word|word|peace|bruvah|bruvah|bruvah|word
213,one of the best cell phones i have ever used to-date,IC,phone,cell
214,i like the speakphone-function a lot . ,Phrase,speakerphone,speakphone-function|speakphone-function|speakphone-function|lot
215,it allows,IC,,computer
216,i am very pleased with its quality and durability,IC,quality,quality|quality|quality|quality
217,i like the automatic key lock-function . ,Phrase,key lock,lock-function
218,the phone is very light weight,IC,weight,weight|phone
219,the screen is bright,IC,screen|ring tone,ring|screen
220,the fm-radio is cool,IC,fm radio,fm-radio
221,most of our emplyees use this model-phone,IC,,model-phone
222,best regards sadoun-satellite sales ,Phrase,,
223,i was fully determined to buy a nokia,IC,nokia,nokia
224,after much survey of all the present handsets and recommendations from friends,DC,,nokia|survey
225,and really this is the best phone,IC,phone,phone
226,it has all the features,IC,feature,cellphone|cellphone
227,it is lightweight sleek and attractive,IC,weight,
228,this phone is very user-friendly easy to manipulate very convenient to scroll in menu-etc,IC,phone|menu,phone
229,the time taken in shifting from one menu-option to other is in microseconds only,IC,,time|time|menu-option|menu-option|menu-option
230,it has fm-radio-option,IC,radio,music
231,its speakerphone-option allows,IC,speakerphone,phone|phone|pillowside|pillowside
232,it comes equipped with lot of wallpapers and polyphonic sweet tunes,IC,wallpaper,lot|lot
233,if we could get one camera in it,DC,camera,camera
234,it did have scored over all other competitors,IC,,
235,i am enjoying my phone a lot,IC,phone,phone|lot
236,like some other reviewers i recieved this phone using t-mobiles upgrade program,IC,,phone
237,then along came the,IC,,
238,pros : ,Phrase,,
239,small size . ,Phrase,size,size
240,i love the fact,IC,size,shirt|shirt|shirt|shirt|pocket|fact
241,the keys are locked,DC,,
242,color-screen is good,IC,color screen,color-screen
243,it has lots of features such as the calendar,IC,calendar,calendar|calendar
244,the keys are laid out normal,IC,key,
245,if you have owned a previous model-nokia-phone,DC,menu,model-nokia-phone
246,battery-life is very good,IC,battery life,day|battery-life
247,cons : ,Phrase,,
248,not many . ,Phrase,,
249,the volume-key can be hard to press,IC,volume key,design|design|design|design|design|design|flaw|flaw|design|volume-key
250,pc-cable is too expensive ... $ 50 for a usb-cable ? ,Phrase,pc cable,pc-cable
251,please ! ,Phrase,,
252,how nokia subsidizes their free pc-software,DC,,nokia
253,after the release-contract is over,DC,,right|right|year|year
254,my last phone was a samsung s105,IC,,imo|phone|s105
255,which i have borrowed from parents friends,DC,,
256,sound quality : ,Phrase,,quality
257,the most important thing for me is sound quality,IC,,thing|quality
258,nokias have always had good sound quality,IC,sound quality,exception|exception|exception|quality
259,"i think the sound quality of this phone is slightly better than my samsung phone , the motorolla-t720-series , and the sony-ericsson-t610 series . ",Phrase,,quality|phone
260,because you do n't need to put your phone-right next to your ear to talk,DC,loud phone,speaker-function
261,overall design : ,Phrase,,design
262,i like my phones to be small so i can fit it in my pockets,IC,size,
263,of all these phones the motorolla and the sony-ericsson phones are the smallest,IC,,motorolla|motorolla|motorolla
264,they are all very small,IC,,
265,the flip phones imo are much better because a,IC,,scratch|b|imo
266,ease of use : ,Phrase,,ease|use|ease
267,how easy is it for me to get to a certain menu ? ,Phrase,,menu
268,the samsung phones has a customize-function,IC,,key|key|key|key
269,that is a very nice feature,IC,,feature
270,the is still easier to use than the other two phones t610 t720i,IC,,
271,but is also the hardest to use,DC,,t610|t610
272,battery : ,Phrase,,battery
273,you do n't talk too much,DC,,samsung|nokia
274,the motorolla-phone have a horrible battery,IC,,motorolla-t722i|battery
275,features : ,Phrase,,
276,the t610 has the most functionality hands down,IC,,t610|functionality|functionality
277,personally i found the integrated digital camera of the t610 to be very nice,IC,,camera|t610
278,my girlfriend is paranoid,IC,,sanity|girlfriend
279,which most wo n't use,DC,,t610|music|feature
280,which is utterly useless,DC,radio,radio-function
281,which converts all types of metrics currency length area etc,DC,application,application
282,the s105 samsung has a beautiful t,IC,,display|t|t
283,all these phones have color screens polymorphic tones and are internet ready,IC,,
284,"in music tones department the 6610 has 20 chords ( thats number of different instruments which it can play ) i think , the samsung i think have 15 , i donno about the other phones but i feel the t610 has the best sounding ring tones . ",Phrase,,number
285,as i tried to connect my phone via infrared port on my laptop,DC,software,port
286,i called nokia tech-support,IC,,tech-support
287,oh well .. ,Phrase,,
288,overall this is a slightly better than average phone,IC,phone,phone
289,both the samsung and the sony phones offer a lot more features than this,IC,,samsung|samsung|samsung|samsung|lot
290,personally i like the samsung phones better because i found myself liking the flip phones so much more . ,Phrase,,
291,i think,IC,,camera-phone|chance
292,if t-mobile does not offer such a phone most likely,DC,,t610|phone
293,"they are all free if you get a new account anyway , but stick to t-mobile if you are going to use your phone overseas because t-mobile actually allows you to unlock your simm cards so that you can buy simm cards cheap from other nations and plug into your phone when you are doing some international travelling . ",Phrase,,account|simm
294,this is the best phone,IC,phone,phone
295,i bought of these phones months ago for myself and my girlfriend,IC,,girlfriend
296,we got a familyplan from t-mobile,IC,,familyplan|familyplan|t-mobile
297,the phones are awesome,IC,phone,
298,the customization and applications are awesome,IC,battery life|application,reception|customization
299,if you dont,DC,,hint|hint
300,"you can do * so * much more with the pc-suite , i.e. free ringtones from midi files , free graphics from any picture on your computer , and if you know how to program jme you can even make your own apps / games . ",Phrase,pc suite,picture
301,have any complaints about this phone and the only thing,DC,sound quality,dont|quality|phone|thing
302,i bought,IC,phone,phone
303,when it comes to downloading games graphics and ringtones from www.crazycellphone.com,DC,size,
304,i just purchased,IC,phone,phone
305,the features are really cool like the radio,IC,radio,radio|radio
306,the first night i got this phone,IC,radio,music-station|handset|night
307,i think,IC,speaker,technology
308,why i do n't,DC,,
309,i need very to buy this product without a plan to use in here in other operators,IC,,brazil
310,i pay in auto-debit in my account,IC,,pay|auto-debit|pay|account|account
311,if anyone want sell to me this cell-phone in my conditions,DC,,cell-phone|cell-phone
312,thanks ! ,Phrase,,
313,i thought,IC,phone,phone|gsm|phone
314,as i travel quite a lot i want something with gsm as well as cdma-tri-band,IC,,travel|travel|lot|lot|lot|something|gsm|gsm|gsm
315,for a specific location i still think its a great phone,IC,phone,phone
316,i think,IC,,phone
317,this really is a great little phone,IC,phone,screen|screen|phone
318,i think,DC,,
319,this phone won me over,IC,size,pocket|pocket|seller|size|phone
320,the downside though may be a big one for you,IC,,one|downside
321,its quiet . ,Phrase,volume,
322,really quiet . ,Phrase,,
323,grandma in church-quiet . ,Phrase,,grandma|grandma
324,when others borrow it,DC,,
325,so i recomend it but not for those or for those that like to talk a lot in crowded public places by the way,IC,,lot
326,i bought this phone,IC,,summer|summer
327,prior to my switch to t-mobile sprint was my service-provider,IC,,sprint|switch
328,which was,DC,,service|service|service|sprint|t-mobile
329,were all flip phones and i,DC,,tire|tire
330,nokia was my first nonflip phone,IC,nokia,phone|nokia
331,first of all my calls were loud and clear unlike with sprint,IC,volume,sprint|sprint
332,i previously could not,DC,reception,apartment|apartment
333,the phone is small light and very attractive,IC,size,phone
334,the battery-life is amazing,IC,battery life,battery-life
335,the color-screen is a plus,IC,color screen,color-screen
336,who uses web-browsing,DC,phone,phone
337,i highly recommend this phone to anyone,IC,phone,phone
338,i yet to be dissappointed,IC,,
339,nokia sound quality the phone is great with very cool features options,IC,,grade|quality|nokia
340,the volume does not seem to be loud enough,DC,sound,sound|sound|sound|sound|sound
341,it going back today being replaced with the new samsung x105,IC,,x105
342,you do take your chances with this phone,IC,,phone|phone
343,i considered this phone nokia mainly because of my sister and the features,IC,,sister
344,it is a great phone,IC,phone|feature,world|world|world|world|phone
345,truly i am quite impressed,IC,,
346,this is a very light phone a little less than oz with long battery-life not as long as the new polymer-technology,IC,weight,phone
347,on an average you would charge it once a week,IC,,week|week
348,the hands-free speakerphone is quite powerful like the motorola-phone i used to own,IC,speakerphone,speakerphone
349,i simply love this feature,IC,speakerphone,feature
350,in addition it comes with a sleek and powerful headset,IC,headset,headset
351,the built in fm-radio is excellent for people traveling by public transport,IC,radio,transport
352,if you buy the stereo-headset,DC,,
353,the pc-sync-feature is superb,IC,pc sync,port|cable|pc-sync-feature
354,"no more hazzles of keying in all data , using the small phone-keypad . ",Phrase,,phone-keypad
355,"just maintain them ( phonebook , calendar and to-do-list ) in ms outlook or lotus notes and transfer data back and forth . ",Phrase,,phonebook|phonebook|phonebook|phonebook|phonebook|phonebook|outlook|outlook|outlook|outlook
356,additionally it has more fun-stuff like more tones wallpapers screensaver stop clock alarm java applications chess currency-converter-etc,IC,tone,fun-stuff|fun-stuff|screensaver|screensaver|screensaver|screensaver|currency-converter-etc|currency-converter-etc|currency-converter-etc|currency-converter-etc|currency-converter-etc
357,that you would enjoy,DC,message,
358,the mms technology is very well integrated with this phone,IC,mms,technology|technology|phone|phone
359,they offer these days,DC,,camera
360,if you have a good digital camera,DC,,phone|camera
361,if you are keen,DC,,camera|phone|phone
362,i have not yet discovered,IC,,internet
363,i felt,IC,,comment-asap
364,i can recommend this phone to anyone anytime,IC,phone,phone
365,after using the bulky for three weeks i searched for a smaller alternative,IC,,alternative|alternative|alternative
366,i was immediately interested in the,IC,,
367,i have used this phone for two months now,IC,,phone
368,it also has all the features,IC,size,phone-user|phone-user
369,if you can live without an integrated camera,DC,,camera
370,the phone is simple to use,IC,use,appearance|phone
371,the phone-book is very user-friendly,IC,phone book,speakerphone|phone-book
372,even better with the optional headset you can listen to music over the integrated radio,IC,radio,headset
373,if there are any drawbacks to this phone here,DC,,phone|phone
374,this phone does not have voice-dialing,IC,voice dialing,phone
375,the keypad is a decent size,IC,key,key|power|size|keypad
376,you should n't be overly concerned with turning this phone off,DC,battery life,battery-life
377,in my opinion the worst issue on this phone is the side-mounted volume-control,IC,volume control,volume-control|opinion
378,it requires significant force to operate,IC,,phone|force
379,one other issue is,IC,headphone jack,headphone-jack|nokia
380,overall this is the best phone,IC,phone,phone
381,any disadvantages are easily outweighed by its advantages,IC,,
382,nokia does not disappoint in this model,IC,phone,nokia
383,go for it ! ,Phrase,,
384,i could n't be happier with t-mobile either,IC,,t-mobile
385,the screen is too easily scratched,IC,screen,screen
386,but there are faceplates to replace it i guess,IC,,guess|guess
387,almost there . ,Phrase,,
388,i got this phone in t-mobile current customer-retention-program for very little money and no contract-renewal,IC,,customer-retention-program
389,i was getting so sick of my old motorola-l7089 but was waiting for the right phone to come along,IC,,motorola-l7089
390,this is almost it,IC,,price
391,that said,IC,,phone
392,which i have to say is probably my favorite function,DC,battery life,speakerphone|fm-radio|function
393,what it lacks for me,DC,,
394,so when the quad bands start appearing i,DC,,
395,but for now this will do,IC,,
396,motorola have announced a quad-band-edge bluetooth-phone,DC,,gsm850|gsm850|gsm850
397,great phone .. . ,Phrase,phone,phone
398,great features .. . ,Phrase,feature,
399,i purchased this phone after having been an at t-subscriber with a nokia phone for over three years,IC,,phone|t-subscriber|t-subscriber|phone|phone|phone|phone
400,i did a ton of research and settled on this phone because of the small size speakerphone-option great priced calling plan and access to my corporate email,IC,size,speakerphone-option|size
401,i went to an at &#38; t-store before i bought this phone to see if it was possible to get corporate email with any of their services and they looked at me like i had three heads . ,Phrase,,email
402,they told me,IC,,network|phone
403,with the t-mobile unlimited t-zones for i can check any number of email addresses and use unlimited internet,IC,,internet
404,i have had no problems with the phone,IC,phone,phone|phone
405,friends of mine are always asking about it and wanting to use it,IC,,mine
406,one friend buy one immediately,IC,,friend
407,great phone i buy another,IC,phone,phone
408,what u see in the pictures,DC,phone|look,phone
409,bluetooth-functionality would have made the phone even better,IC,,phone
410,that come with the phone,DC,default ringtone,default
411,overall an excellent phone . ,Phrase,phone,phone
412,the service from t-mobile is very good too,IC,t-mobile,service|t-mobile
413,all a winning combination,IC,,combination
414,worth every penny ! ,Phrase,,penny
415,"great phone , easy to use , excellent network , no regrets ! ! ! ",Phrase,phone,phone|network
416,i purchased this phone for just,IC,phone,end
417,nokia and t-mobile really teamed up well on this baby,IC,phone,baby
418,which i had to cell,DC,,phone|treo
419,now my little is the most coveted item at school,IC,,item|school
420,people have paid me money just to borrow it,IC,,
421,service is great,IC,service,quality|quality|aim|quality|aim|service
422,now i can always be in contact,IC,,contact|contact|contact|contact|contact|contact
423,if you are looking for a phone in this price-range,DC,phone,patience|patience|bet
424,a great deal in general ! ,Phrase,,deal
425,i would not give up this phone for the world,IC,,phone|world|world
426,month no problems great phone i very pleased with my phone,IC,phone,month|phone
427,yes the features are numerous,IC,feature,
428,the speakerphone works better than any speakerphone,IC,speakerphone,speakerphone
429,people i talk to,IC,,speakerphone
430,when there are quieter talkers on the other end of the line,DC,sound quality,end|end
431,the included earpiece is very comfortable and easy to use,IC,earpiece,earpiece
432,i have not had any distortion problems with this phone and am more pleased with this phone,IC,phone,phone|phone|phone|phone
433,nokia has definitely won me over with this one,IC,,nokia
434,me say,IC,size|look{+1],web|web
435,the radio-feature has superb sound quality,IC,radio,quality
436,i compared this phone to others such as,IC,,phone|phone|phone
437,even though they might be smaller,DC,,alot
438,it has a classic design,IC,design,design
439,is a lot better compared to the toy-phone-design of the nokia 7210 with its cheap feel . ,Phrase,,feel|toy-phone-design
440,it is extremely light,IC,weight,
441,that are looking for camera,DC,,camera-attachement|radio|radio|style
442,the battery is alot better than most of the phones out there,IC,battery,battery
443,that i found out recently,DC,,thing|thing
444,with those small size-wap websites do,DC,,t-mobile-plan
445,"anyways there are ways to set up your 6610 to connect to csd which uses regular minutes and you are surfing the net , being able to download pics and ringtones ( not java apps , you need t-zones for that ) . ",Phrase,,csd|csd|net
446,that you get way more minutes than any other plans,DC,,reception|reception
447,if you thought about getting this phone,DC,,phone
448,this phone is great as a whole and is not like others with one or two good qualities,IC,phone,phone
449,i currrently have service with t-mobile verizon and t-mobile,IC,,verizon|service
450,the reason so many is,IC,,contractor|contractor|contractor|contractor|contractor|contractor|contractor
451,"that beside you are prob. very well aware of many of the features that this phone is known for , and one that has not yet been mentioned : using this phone as a modem for any computer with a usb 1.0 port ! ",Phrase,,prob|prob|prob|prob|prob|phone|phone|modem|modem|modem|computer|computer|computer|port|port|port|port
452,to you account,DC,,internet-access
453,the functionality is,IC,,speed|speed|speed
454,"i myself find this great for when i am at a site i can run to my truck and hook up my modem-cable ( 49.99 @ nokiausa.com or t-mobile.com ) press-dial up on my laptop ( by the way it is a mac-pb 1gz. and in a matter of seconds i can access my email , fax , and the entire web from my truck ! ",Phrase,,hook|email
455,that i have found with the internet-service,DC,internet,access|access|access|access|access
456,"i find a great amount of value in this option for any and all the people that travel buy-car and do not have access to the t-mobile "" hot-spots "" . ",Phrase,,amount|value
457,it does well in all aspects of internet-browsing,IC,browsing,internet-browsing
458,as i also leave you with this review,DC,,review|review
459,too many stuffs to get to a free phone after rebate,IC,,phone
460,if i want a family-plan,DC,,plan|plan
461,that are n't that free for two after the rebates,DC,,
462,and how can i do that ... . ,Phrase,,
463,print those coupons twice for two phones ? ,Phrase,,print|print|print
464,... ,Phrase,,
465,i saw,IC,,gripe
466,the phone does have voice dialing according to amazon t-mobile and nokia,IC,,phone|t-mobile|t-mobile
467,the phone may look large,IC,,phone|phone
468,my sister has this series of phone,IC,,radio|headset
