,reviewID,sentenceID,review,category,polarity
46,1062641,1062641:2,Food is great.,FOOD#QUALITY,positive
47,1062641,1062641:3,Service is top notch.,SERVICE#GENERAL,positive
48,1062641,1062641:4,I have been going back again and again.,RESTAURANT#GENERAL,positive
49,1064477,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD#QUALITY,positive
50,1064477,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",FOOD#QUALITY,positive
51,1064477,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,FOOD#QUALITY,positive
52,1064477,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,FOOD#STYLE_OPTIONS,positive
53,1064477,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#QUALITY,positive
54,1074868,1074868:2,Surprisingly nothing could be further from the truth.,RESTAURANT#MISCELLANEOUS,positive
55,1074868,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",RESTAURANT#MISCELLANEOUS,positive
56,1074868,1074868:4,The food was well prepared and the service impecable.,FOOD#QUALITY,positive
57,1074868,1074868:5,I'm going back.,RESTAURANT#GENERAL,positive
58,1084394,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,AMBIENCE#GENERAL,positive
59,1084394,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#QUALITY,positive
60,1084394,1084394:4,I will be going back and heartily recommend it!,RESTAURANT#GENERAL,positive
61,1086415,1086415:1,"It is terrific, as is the value.",FOOD#QUALITY,positive
62,1086415,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#STYLE_OPTIONS,positive
63,1086415,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",FOOD#QUALITY,positive
64,1086415,1086415:5,Go hungry and enjoy.,RESTAURANT#GENERAL,positive
65,1086478,1086478:0,"The food here is rather good, but only if you like to wait for it.",FOOD#QUALITY,positive
66,1086478,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,positive
67,1086478,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE#GENERAL,negative
68,1086478,1086478:3,"The kitchen however, is almost always slow.",SERVICE#GENERAL,negative
69,1086478,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD#QUALITY,negative
70,1086478,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE#GENERAL,positive
71,1090587,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,LOCATION#GENERAL,positive
72,1090587,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,SERVICE#GENERAL,positive
73,1090587,1090587:3,The lava cake dessert was incredible and I recommend it.,FOOD#QUALITY,positive
74,1102681,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",AMBIENCE#GENERAL,positive
75,1102681,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",AMBIENCE#GENERAL,positive
76,1102681,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,positive
77,1102681,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",AMBIENCE#GENERAL,positive
78,1118167,1118167:1,IT WAS HORRIBLE.,RESTAURANT#GENERAL,negative
79,1118167,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY,negative
80,1118167,1118167:3,It looked like shredded cheese partly done - still in strips.,FOOD#QUALITY,negative
81,1119578,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,RESTAURANT#GENERAL,negative
82,1119578,1119578:1,The pizza is overpriced and soggy.,FOOD#QUALITY,negative
83,1119578,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,positive
84,1119578,1119578:3,"A big disappointment, all around.",RESTAURANT#GENERAL,negative
85,1123262,1123262:0,I think I've had some the best meals of my life at minnow.,FOOD#QUALITY,positive
86,1123262,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#QUALITY,positive
87,1123262,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD#QUALITY,positive
88,1123262,1123262:3,Worth the trip from Manhattan.,RESTAURANT#GENERAL,positive
89,1125006,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,FOOD#QUALITY,positive
90,1125006,1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD#STYLE_OPTIONS,positive
91,1125284,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",RESTAURANT#GENERAL,positive
92,1125284,1125284:1,This place is the most Japanese it can ever get.,RESTAURANT#MISCELLANEOUS,positive
93,1125284,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",RESTAURANT#MISCELLANEOUS,positive
94,1125284,1125284:3,This place is worth an one-hour drive.,RESTAURANT#GENERAL,positive
95,1125284,1125284:4,"I am so coming back here again, as much as I can.",RESTAURANT#GENERAL,positive
96,1126814,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",RESTAURANT#GENERAL,positive
97,1126814,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE#GENERAL,positive
98,1126814,1126814:3,Decent wine at reasonable prices.,DRINKS#QUALITY,neutral
99,1126814,1126814:4,Have been dozens of times and never failed to enjoy the experience.,RESTAURANT#GENERAL,positive
100,1126814,1126814:5,"Our teenage kids love it, too.",RESTAURANT#GENERAL,positive
101,1126886,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",RESTAURANT#GENERAL,positive
102,1126886,1126886:1,This is by far my favorite place in the neighborhood.,RESTAURANT#GENERAL,positive
103,1126886,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",SERVICE#GENERAL,positive
104,1126886,1126886:4,I'm partial to the Gnocchi.,RESTAURANT#GENERAL,positive
105,1131595,1131595:0,This place is incredibly tiny.,AMBIENCE#GENERAL,negative
106,1131595,1131595:1,They refuse to seat parties of 3 or more on weekends.,SERVICE#GENERAL,negative
107,1131595,1131595:2,The hostess is rude to the point of being offensive.,SERVICE#GENERAL,negative
108,1131595,1131595:3,The food was bland oily.,FOOD#QUALITY,negative
109,1131595,1131595:4,I just don't understand all the hype...,RESTAURANT#GENERAL,negative
110,1138996,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",FOOD#QUALITY,positive
111,1138996,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE#GENERAL,positive
112,1138996,1138996:3,As always we had a great glass of wine while we waited.,DRINKS#QUALITY,positive
113,1138996,1138996:4,"When we sat, we got great and fast service.",SERVICE#GENERAL,positive
114,1138996,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE#GENERAL,positive
115,1138996,1138996:6,Make sure you try this place as often as you can.,RESTAURANT#GENERAL,positive
116,1145510,1145510:0,This is a fun restaurant to go to.,RESTAURANT#GENERAL,positive
117,1145510,1145510:1,The pizza is yummy and I like the atmoshpere.,FOOD#QUALITY,positive
118,1145510,1145510:2,But the pizza is way to expensive.,FOOD#PRICES,negative
119,1147082,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,FOOD#QUALITY,negative
120,1147082,1147082:1,Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,negative
121,1147082,1147082:3,I don't think I would go again.,RESTAURANT#GENERAL,negative
122,1147211,1147211:0,This place is great.,RESTAURANT#GENERAL,positive
123,1147211,1147211:1,I had a huge group for my birthday and we were well taken care of.,SERVICE#GENERAL,positive
124,1147211,1147211:2,The waitress was very patient with us and the food is phenomenal!,SERVICE#GENERAL,positive
125,1147211,1147211:3,"Service was prompt, friendly and great.",SERVICE#GENERAL,positive
126,1147211,1147211:4,Slightly on the pricey side but worth it!,RESTAURANT#PRICES,negative
127,1153034,1153034:0,Great pizza and fantastic service.,FOOD#QUALITY,positive
128,1153034,1153034:1,"There was a small wait, but shorter than I expected.",SERVICE#GENERAL,positive
129,1153034,1153034:2,Located at the end of a magnificent block.,LOCATION#GENERAL,positive
130,1153034,1153034:3,Very cozy and warm inside.....,AMBIENCE#GENERAL,positive
131,1153034,1153034:4,I will be back!,RESTAURANT#GENERAL,positive
132,1154550,1154550:0,This is the best sushi in new york city - hands down.,FOOD#QUALITY,positive
133,1154550,1154550:1,The place is small and cramped but the food is fantastic.,AMBIENCE#GENERAL,negative
134,1154550,1154550:2,Get the tuna of gari.,FOOD#QUALITY,positive
135,1162037,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,positive
136,1162037,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",FOOD#STYLE_OPTIONS,positive
137,1162037,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",AMBIENCE#GENERAL,negative
138,1162037,1162037:3,It's all about the food !!,FOOD#QUALITY,positive
139,1167434,1167434:1,first it took us a long time to find the place.,RESTAURANT#MISCELLANEOUS,negative
140,1167434,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",FOOD#STYLE_OPTIONS,negative
141,1167434,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#STYLE_OPTIONS,neutral
142,1167434,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",FOOD#QUALITY,negative
143,1175958,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,SERVICE#GENERAL,positive
144,1175958,1175958:1,"Try the crunchy tuna, it is to die for.",FOOD#QUALITY,positive
145,1175958,1175958:2,"Try everything for that matter, it is all good.",FOOD#QUALITY,positive
146,1175958,1175958:3,I have been going there since it opened and I can't get enough.,RESTAURANT#GENERAL,positive
147,1189674,1189674:0,First went here to enjoy their garden terrace.,AMBIENCE#GENERAL,positive
148,1189674,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",FOOD#QUALITY,positive
149,1189674,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",FOOD#STYLE_OPTIONS,positive
150,1189674,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL,positive
151,1189674,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#STYLE_OPTIONS,positive
152,1189674,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,neutral
153,1189674,1189674:6,"Have recommended the place to friends, always gets good response.",RESTAURANT#MISCELLANEOUS,positive
154,1199292,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY,positive
155,1199292,1199292:3,I take all my NYC guests to VT's.,RESTAURANT#MISCELLANEOUS,positive
156,1199480,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",LOCATION#GENERAL,positive
157,1199480,1199480:1,I've been there three times and have always had wonderful experiences.,RESTAURANT#GENERAL,positive
158,1199480,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,AMBIENCE#GENERAL,positive
159,1205520,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,RESTAURANT#GENERAL,positive
160,1205520,1205520:1,Even after they overcharged me the last time I was there.,SERVICE#GENERAL,negative
161,1205520,1205520:2,Make sure you have the Spicy Scallop roll.. .,FOOD#QUALITY,positive
162,1205520,1205520:3,it's delicious!,FOOD#QUALITY,positive
163,1212346,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY,positive
164,1212346,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",SERVICE#GENERAL,negative
165,1212346,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",SERVICE#GENERAL,negative
166,1212346,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,SERVICE#GENERAL,negative
167,1212346,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#QUALITY,negative
168,1221938,1221938:0,The drinks are always welll made and wine selection is fairly priced.,DRINKS#QUALITY,positive
169,1221938,1221938:1,Try their chef's specials-- they are to die for.,FOOD#QUALITY,positive
170,1221938,1221938:2,"Service is not exactly five star, but thats not really a big deal.",SERVICE#GENERAL,neutral
171,1221938,1221938:3,Downstairs lounge is always a good attraction,AMBIENCE#GENERAL,positive
172,1225162,1225162:0,"Raga's is a romantic, cozy restaurant.",AMBIENCE#GENERAL,positive
173,1225162,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#STYLE_OPTIONS,positive
174,1225162,1225162:2,It is also extremely well priced.,FOOD#PRICES,positive
175,1225162,1225162:3,The staff is incredibly helpful and attentive.,SERVICE#GENERAL,positive
176,1225162,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,DRINKS#STYLE_OPTIONS,positive
177,1225162,1225162:5,This is one of my favorite restaurants and it is not to be missed.,RESTAURANT#GENERAL,positive
178,1225162,1225162:6,Your friends will thank you for introducing them to this gem!,RESTAURANT#GENERAL,positive
179,1227999,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",RESTAURANT#GENERAL,negative
180,1227999,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",SERVICE#GENERAL,negative
181,1227999,1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",SERVICE#GENERAL,negative
182,1227999,1227999:3,Such a disappointment...,SERVICE#GENERAL,negative
183,1227999,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",SERVICE#GENERAL,negative
184,1230993,1230993:0,I had a grat time at Jekyll and Hyde!,RESTAURANT#GENERAL,positive
185,1230993,1230993:1,I loved everythig about it-especially the shows and actors.,RESTAURANT#GENERAL,positive
186,1230993,1230993:2,Our server was very helpful and friendly.,SERVICE#GENERAL,positive
187,1230993,1230993:3,I am bringing my whole family back next time.,RESTAURANT#MISCELLANEOUS,positive
188,1230993,1230993:4,The food was good too.,FOOD#QUALITY,positive
189,1232468,1232468:0,The tuna and wasabe potatoes are excellent.,FOOD#QUALITY,positive
190,1232468,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,LOCATION#GENERAL,positive
191,1232468,1232468:2,"Inside is a little cramped, but to be expected.",AMBIENCE#GENERAL,neutral
192,1232468,1232468:3,Service was prompt and courteous.,SERVICE#GENERAL,positive
193,1232468,1232468:4,This was a repeat visit and we'll definitely be back again.,RESTAURANT#GENERAL,positive
194,1241906,1241906:0,"Great service, great food.",SERVICE#GENERAL,positive
195,1241906,1241906:1,Prices are in line.,RESTAURANT#PRICES,neutral
196,1241906,1241906:3,But too far east!,LOCATION#GENERAL,negative
197,1253117,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",FOOD#QUALITY,positive
198,1253117,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",FOOD#STYLE_OPTIONS,negative
199,1253117,1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#QUALITY,negative
200,1253117,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,SERVICE#GENERAL,negative
201,1256373,1256373:0,By far the best salad I have had in a fast food restaurant.,FOOD#QUALITY,positive
202,1256373,1256373:1,fine dining restaurant quality.,FOOD#QUALITY,positive
203,1256373,1256373:2,Over 100 different choices to create your own.,FOOD#STYLE_OPTIONS,positive
204,1256373,1256373:3,A must try!,RESTAURANT#GENERAL,positive
205,1264954,1264954:0,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",RESTAURANT#GENERAL,positive
206,1264954,1264954:1,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",FOOD#QUALITY,positive
207,1264954,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,positive
208,1264954,1264954:3,"With so many poor experiences to be had in the theater district, is truly an excellent find!",RESTAURANT#GENERAL,positive
209,1264954,1264954:4,We will return many times for this oasis in mid-town.,RESTAURANT#GENERAL,positive
210,1269216,1269216:1,The staff is no nonsense.,SERVICE#GENERAL,positive
211,1269216,1269216:2,The food options rule.,FOOD#STYLE_OPTIONS,positive
212,1269216,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,FOOD#QUALITY,positive
213,1269216,1269216:4,Worth visiting the 1st Ave spot because it is the original store.,RESTAURANT#MISCELLANEOUS,positive
214,1275154,1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",FOOD#QUALITY,positive
215,1275154,1275154:6,The sake menu should not be overlooked!,DRINKS#STYLE_OPTIONS,positive
216,1275154,1275154:7,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",RESTAURANT#GENERAL,positive
217,1275154,1275154:8,Try the lobster teriyaki and the rose special roll.,FOOD#QUALITY,positive
218,1280166,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",SERVICE#GENERAL,positive
219,1280166,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",FOOD#QUALITY,positive
220,1280166,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,DRINKS#STYLE_OPTIONS,positive
221,1280166,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,AMBIENCE#GENERAL,positive
222,1280179,1280179:0,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",RESTAURANT#GENERAL,positive
223,1280179,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",SERVICE#GENERAL,neutral
224,1280179,1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",SERVICE#GENERAL,positive
225,1280179,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",FOOD#QUALITY,positive
226,1280179,1280179:4,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",SERVICE#GENERAL,neutral
227,1280179,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",AMBIENCE#GENERAL,positive
228,1286916,1286916:0,I have NEVER been disappointed in the Red Eye.,RESTAURANT#GENERAL,positive
229,1286916,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",AMBIENCE#GENERAL,positive
230,1286916,1286916:3,It's simply the best meal in NYC.,FOOD#QUALITY,positive
231,1286916,1286916:4,You cannot go wrong at the Red Eye Grill.,RESTAURANT#GENERAL,positive
232,1287538,1287538:0,"If we were to move from the upper east side, we would genuinely miss this restaurant.",RESTAURANT#GENERAL,positive
233,1287538,1287538:2,The restaurant is cute but not upscale.,RESTAURANT#GENERAL,neutral
234,1287538,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,FOOD#QUALITY,positive
235,1287538,1287538:4,I would highly recommend it.,RESTAURANT#GENERAL,positive
236,1287538,1287538:5,It's one of our favorite places to eat in NY.,RESTAURANT#GENERAL,positive
237,1289424,1289424:0,We had a great time at the Jekyll and hyde Pub last night.,RESTAURANT#GENERAL,positive
238,1289424,1289424:2,After really enjoying ourselves at the bar we sat down at a table and had dinner.,RESTAURANT#MISCELLANEOUS,positive
239,1289424,1289424:3,The server was really cool and served us our food and drinks with a smile.,SERVICE#GENERAL,positive
240,1289424,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,AMBIENCE#GENERAL,positive
241,1289424,1289424:5,I highly recommend visiting this restaurant and having dinner and drinks!,RESTAURANT#GENERAL,positive
242,1293334,1293334:0,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",RESTAURANT#MISCELLANEOUS,positive
243,1293334,1293334:1,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",RESTAURANT#GENERAL,positive
244,1293334,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",DRINKS#STYLE_OPTIONS,positive
245,1293334,1293334:3,The entertainment was great they have shows that go on through out the dinner.,AMBIENCE#GENERAL,positive
246,1293334,1293334:4,"Please take my advice, go and try this place.",RESTAURANT#GENERAL,positive
247,1293334,1293334:6,You will not be disapointed at all.,RESTAURANT#GENERAL,positive
248,1297844,1297844:1,We were not dissappointed in the least bit by this little gem.,RESTAURANT#GENERAL,positive
249,1297844,1297844:2,The bagel was huge.,FOOD#STYLE_OPTIONS,positive
250,1297844,1297844:3,They were served warm and had a soft fluffy interior.,FOOD#QUALITY,positive
251,1297844,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,FOOD#STYLE_OPTIONS,negative
252,1297844,1297844:5,I loved it and would HIGHLY RECOMMEND.,RESTAURANT#GENERAL,positive
253,1300636,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,FOOD#QUALITY,positive
254,1300636,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,FOOD#QUALITY,positive
255,1300636,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",FOOD#QUALITY,positive
256,1300636,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",FOOD#QUALITY,positive
257,1303888,1303888:0,All the staff is absolutely professional!! ,SERVICE#GENERAL,positive
258,1303888,1303888:3,"(that is A MUST, but not every restaurant can do...) ",SERVICE#GENERAL,positive
259,1303888,1303888:5,"There's nice and quiet, small but enough for 6 (or more).",AMBIENCE#GENERAL,positive
260,1303984,1303984:0,This restaurant was way overhyped.,RESTAURANT#GENERAL,negative
261,1303984,1303984:1,My chow fun and chow see was really bland and oily.,FOOD#QUALITY,negative
262,1303984,1303984:2,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,FOOD#QUALITY,negative
