,index,sentence,lambda,raw_aspect,sentiment,aspect,target
10,10,great job canon ! ,job+canon_NN_P_1,['job+canon_NN_P_1'],[1],['job canon'],
11,11,yep . ,yep_NN_N_0,[],[],[],
12,12,"this is my first digital camera , and what a ' toy ' it is ! ","is_VB_N_0(CC(is_VB_N_0(toy_NN_N_0,it_PRP_N_0),camera_NN_N_0),\X.X)",[],[],[],camera[+2]
13,13,"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . ","CC(say_VB_N_0(it_PRP_N_0(\X.spent_VB_N_0(X),cent_NN_P_1,i_FW_N_0,g3_NN_N_0),i_FW_N_0),CC(\X.X,am_VB_N_0(software+engineer_NN_N_0),i_LS_N_0))",['cent_NN_P_1'],[1],['cent'],
14,14,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ","CC(gives_VB_N_0(pictures_NNS_N_0,touch_NN_N_0,seq(alsmost_NN_N_0,manual+control_NN_N_0)),is_VB_N_0(CC(seq(megapixel_NN_N_0,camera_NN_N_0),flagship_NN_N_0),\X.X))",[],[],[],picture[+2]
15,15,"whether you are a novice or an expert , its ease of use and functionality goes together . ","are_VB_N_0(CC(expert_NN_N_0,novice_NN_N_0),you_PRP_N_0,\X.X)",[],[],[],use[+1]
16,16,"+ you can have different kind of lens if you want + flashes , etc. ","etc_FW_N_0(want_VB_N_0(flashes_NNS_N_0),you_PRP_N_0,have_VB_N_0(kind_NN_N_0),you_PRP_N_0)",[],[],[],
17,17,"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) . ","CC(recording_VB_N_0(movies_NNS_N_0,record_VB_N_0(minutes_NNS_N_0,you_PRP_N_0)),need_VB_N_0(store_VB_N_0(seq(quality_NN_N_0,images_NNS_N_0),storage_NN_N_0),you_PRP_N_0))",[],[],[],
18,18,i am using kingston 512mb cf which works great and is very fast . ,"am_VB_N_0(using_VB_N_0(kingston+512mb+cf_NN_P_1),i_FW_N_0)",['kingston+512mb+cf_NN_P_1'],[1],['kingston 512mb cf'],
19,19,"a good choice could be cf type ii , microdrives that can store around 1 gb of images . ","be_VB_N_0(store_VB_N_0(gb_NN_N_0,type_NN_N_0(ii_LS_N_0(microdrives_NNS_N_0))),choice_NN_P_1)",['choice_NN_P_1'],[1],['choice'],
20,20,some things that i did n't like ( but hey . nothing is perfect ). ,"CC(hey_VB_N_0(nothing_NN_P_1),like_VB_P_1(things_NNS_N_0,i_FW_N_0))",['nothing_NN_P_1'],[1],['nothing'],
21,21,* main dial is not backlit . ,dial_NN_N_0,[],[],[],dial[-1]
22,22,* lens visible in optical viewfinder . ,lens_NN_N_0,[],[],[],viewfinder[-2]
23,23,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . ,"CC(twist_VB_Ne_2(you_PRP_N_0),use_VB_N_0(brilliant_JJ_P_1(\X.X),\X.thats_VB_N_0(X)))",[],[],[],
24,24,overall i 'm happy with my toy . ,toy_NN_N_0(i_FW_N_0),[],[],[],camera[+2][p]
25,25,i did extensive research comparing different 4 and 5 megapixel cameras . ,"did_VB_N_0(comparing_VB_N_0(CC(seq(megapixel_NN_N_0,cameras_NNS_N_0),\X.X),research_NN_N_0),i_LS_N_0)",[],[],[],
26,26,"a couple of online camera review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution sample images to compare amongst the models . ","CC(provided_VB_N_0(compare_VB_N_0(models_NNS_N_0,number_NN_P_1)),provided_VB_N_0(reviews_NNS_N_0),they_PRP_N_0,couple_NN_P_2)","['number_NN_P_1', 'couple_NN_P_2']","[1, 1]","['number', 'couple']",
27,27,"following my research , i decided on the g3 . ","g3_NN_N_0(\X.decided_VB_N_0(X),following_VB_N_0(research_NN_N_0),i_FW_N_0)",[],[],[],
28,28,"in a word , "" awesome "" is how i would describe this camera . ","word_NN_N_0(is_VB_N_0(describe_VB_N_0(camera_NN_N_0,i_FW_N_0),awesome_JJ_P_1))",[],[],[],camera[+3]
29,29,"i won't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers . ","CC(offers_VB_N_0(features_NNS_P_1,flexibility_NN_P_1(CC(seq(conveniences_NNS_N_0,camera_NN_N_0),automation_NN_N_0),quality_NN_N_0,speed_NN_N_0,picture_NN_N_0),i_FW_N_0),wonot_FW_N_0(seq(reviews_NNS_N_0,depth_NN_P_1,\X.go_VB_N_0(X),sites_NNS_N_0(seq(stevesdigicams_NNS_N_0,dpreviews_NNS_N_0)),details_NNS_N_0(\X.go_VB_N_0(X))),i_FW_N_0))","['flexibility_NN_P_1', 'depth_NN_P_1']","[1, 1]","['flexibility', 'depth']","speed[+2],picture quality[+2],function[+2]"
30,30,"with the automatic settings , i really have n't taken a bad picture yet . ","settings_NNS_N_0(taken_VB_N_0(picture_NN_Ne_1,i_FW_N_0))",['picture_NN_Ne_1'],[0],['picture'],auto setting[+2]
31,31,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . ","CC(stitch+mode_NN_P_1(stitching_VB_N_0(build_VB_N_0(image_NN_P_1,pictures_NNS_N_0),guides_NNS_N_0(you_PRP_N_0),it_PRP_N_0)))","['stitch+mode_NN_P_1', 'image_NN_P_1']","[1, 1]","['stitch mode', 'image']",
32,32,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ","am_VB_N_0(\X.X,i_FW_N_0)",[],[],[],camera[+3]
33,33,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ","have_VB_N_0(budget_NN_N_0,you_PRP_N_0,CC(buy_VB_N_0(camera_NN_N_0),walk_VB_N_0(run_NN_N_0)),guarantee_VB_P_1(be_VB_N_0(\X.disappointed_VB_Ne_1(X),you_PRP_N_0),i_FW_N_0))",[],[],[],
34,34,i bought my canon g3 about a month ago and i have to say i am very satisfied . ,"CC(have_VB_N_0(say_VB_N_0(canon+g3_NN_P_2(i_FW_N_0)),i_FW_N_0))",['canon+g3_NN_P_2'],[1],['canon g3'],canon g3[+3]
35,35,i have taken hundreds of photos with it and i continue to be amazed by their quality . ,"CC(continue_VB_N_0(be_VB_N_0(quality_NN_N_0(\X.amazed_VB_P_1(X))),i_FW_N_0),have_VB_N_0(taken_VB_N_0(hundreds_NNS_N_0),i_LS_N_0))",[],[],[],photo quality[+2]
36,36,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds . ","CC(cameras_NNS_N_0(using_VB_N_0(seq(shutter_NN_P_1,speeds_NNS_N_0),hold_VB_N_0(g3_NN_P_1),it_PRP_N_0)))","['shutter_NN_P_1', 'g3_NN_P_1']","[1, 1]","['shutter', 'g3']",feature[+2]
37,37,flaws ? ,flaws_NNS_Ne_1,[],[],[],
38,38,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . ","CC(use_VB_N_0(lcd_NN_N_0,lens_NN_N_0,i_FW_N_0,is_VB_N_0(lens_NN_N_0,\X.X)))",[],[],[],viewfinder[-1]
39,39,still i am a little suprised that canon did not correct this design flaw before releasing the camera . ,"releasing_VB_N_0(camera_NN_N_0,correct_VB_P_1(design+flaw_NN_N_0),canon_NN_N_0,i_FW_N_0)",[],[],[],
40,40,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ","disappointment_NN_N_0(recommend_VB_P_1(seq(photography_NN_N_0,canon+g3+anyone_NN_N_0),i_FW_N_0))",[],[],[],camera[+2]
41,41,i have only had this camera for one full day and i have to say that it is wonderful . ,"CC(have_VB_N_0(say_VB_N_0(camera_NN_P_1(it_PRP_N_0)),i_FW_N_0))",['camera_NN_P_1'],[1],['camera'],camera[+2]
42,42,the photo quality is amazing and i know i 'm going to have fun with all the features . ,"CC(know_VB_N_0(am_VB_N_0(going_VB_N_0(features_NNS_N_0(have_VB_N_0(fun_NN_P_1))),i_FW_N_0),i_FW_N_0),quality_NN_P_1)","['fun_NN_P_1', 'quality_NN_P_1']","[1, 1]","['fun', 'quality']",photo quality[+3]
43,43,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) . ","ve_FW_N_0(have_VB_N_0(know_VB_N_0(seq(symbols_NNS_N_0,things_NNS_N_0),i_FW_N_0,used_VB_N_0(cameras_NNS_N_0)),i_FW_N_0,figured_VB_N_0(most_JJ_N_0)),i_LS_N_0)",[],[],[],
44,44,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display panel on top , but that does n't stop me from loving this camera . ","CC(stop_VB_N_0(me_PRP_N_0,loving_VB_P_1(camera_NN_N_0),\X.X),am_VB_N_0(\X.X,i_LS_N_0))",[],[],[],
45,45,"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . ) ","is_VB_N_0(\X.X,rated_VB_N_0(it_PRP_N_0,reason_NN_N_0,i_FW_N_0))",[],[],[],darn diopter adjustment dial[-1]
46,46,i am going to have so much fun with this camera and when i learn more i will post a more accurate review . ,"CC(post_VB_N_0(review_NN_N_0,i_FW_N_0),am_VB_N_0(going_VB_N_0(camera_NN_N_0(have_VB_N_0(fun_NN_N_0))),i_FW_N_0))",[],[],[],
47,47,positives ,positives_NNS_P_1,[],[],[],
48,48,"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings . ","want_VB_N_0(bother_VB_Ne_1(settings_NNS_N_0),you_PRP_N_0,provide_VB_N_0(photos_NNS_P_1),CC(auto_NN_N_0,progam_NN_N_0,seq(exposure_NN_N_0,settings_NNS_N_0)),gives_VB_N_0(you_PRP_N_0,latitude_NN_P_1,CC(exposure+control_NN_N_0,programming_NN_N_0,slr_NN_N_0)))",['latitude_NN_P_1'],[1],['latitude'],"exposure control[+2],auto setting[+2]"
49,49,excellent range of metering options as well . ,\X.X,[],[],[],metering option[+2]
50,50,it 's great to switch to spot metering and actually see it working on the lcd screen . ,"switch_VB_N_0(CC(see_VB_N_0(it_PRP_N_0,working_VB_N_0(lcd+screen_NN_P_1)),spot_VB_N_0(metering_NN_N_0)),it_PRP_N_0)",['lcd+screen_NN_P_1'],[1],['lcd screen'],spot metering[+1]
51,51,2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ) ,\X.X,[],[],[],4mp[+1]
52,52,3 ) 4x zoom is nice ,"seq(4x_NN_P_1,zoom_NN_N_0)",['4x_NN_P_1'],[1],['4x'],zoom[+1]
53,53,"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd screen before you take the picture , not two weeks later when you get the film developed . ","4_LS_N_0(is_VB_N_0(get_VB_N_0(developed_VB_N_0(film_NN_N_0),you_PRP_N_0,take_VB_N_0(picture_NN_N_0),you_PRP_N_0,see_VB_N_0(results_NNS_N_0),you_PRP_N_0),thing_NN_N_0))",[],[],[],
54,54,5 ) its focusing system is also very flexible . ,focusing_VB_N_0(system_NN_P_2),['system_NN_P_2'],[1],['system'],focus[+2]
55,55,"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus . ","CC(has_VB_N_0(manual+focus+mode_NN_P_2,it_PRP_N_0),push_NN_N_0(scene_NN_N_0(move_VB_N_0(focus+range_NN_N_0)),you_PRP_N_0))",['manual+focus+mode_NN_P_2'],[1],['manual focus mode'],focus[+2]
56,56,negatives ,negatives_NNS_Ne_1,[],[],[],
57,57,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line ) ","CC(is_VB_N_0(canon+elph+line_NN_N_0(\X.contructed_VB_N_0(X)),it_PRP_N_0,uses_VB_N_0(battery_NN_P_2)),seq(aps_NNS_N_0,slr_NN_N_0,minolta_NN_N_0(s1_NN_N_0(\X.vectis_VB_N_0(X))),size_NN_Ne_1),\X.X)","['battery_NN_P_2', 'size_NN_Ne_1']","[1, 0]","['battery', 'size']","size[-2][u],weight[-2][u]"
58,58,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ) ,"ergonomical_JJ_P_2(ll_VB_N_0(\X.find_VB_N_0(X),you_PRP_N_0))",[],[],[],design[-2][u]
59,59,4 ) the viewfinder is borderuer lcd scoying . ,"4_LS_N_0(is_VB_N_0(borderuer_NN_N_0(lcd_NN_N_0(\X.scoying_VB_N_0(X))),viewfinder_NN_N_0))",[],[],[],viewfinder[-2]
60,60,the camera has a wonderful set of features . ,"has_VB_N_0(set_NN_P_1,camera_NN_N_0)",['set_NN_P_1'],[1],['set'],"feature[+2], "
61,61,the lcd screen pulls out and rotates in any direction for easy pictures . ,"CC(seq(pictures_NNS_P_1,direction_NN_N_0,\X.rotates_VB_N_0(X)),\X.pulls_VB_N_0(X),lcd+screen_NN_N_0)",[],[],[],lcd[+2]
62,62,you can even take a picture of yourself while looking at the lcd . ,"looking_VB_N_0(lcd_NN_N_0,take_VB_N_0(picture_NN_N_0),you_PRP_N_0)",[],[],[],
63,63,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,"CC(seq(zoom_NN_N_0,pictures_NNS_N_0,is_VB_N_0(addition_NN_P_2),seq(14x_NN_N_0,zoom_NN_N_0)),zoom_NN_P_1)","['addition_NN_P_2', 'zoom_NN_P_1']","[1, 1]","['addition', 'zoom']","optical zoom[+2],digital zoom[+1]"
64,64,the highest optical zoom pictures are perfect . ,"seq(zoom_NN_P_1,pictures_NNS_N_0)",['zoom_NN_P_1'],[1],['zoom'],picture[+3]
65,65,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased . ","pleased_JJ_P_2(i_FW_N_0,seen_VB_N_0(\X.X),i_LS_N_0)",[],[],[],picture[+3]
66,66,"the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use . ","CC(canon+computer+software_NN_P_1(\X.use_VB_N_0(X)),canon+computer+software_NN_P_2)","['canon+computer+software_NN_P_1', 'canon+computer+software_NN_P_2']","[1, 1]","['canon computer software', 'canon computer software']",software[+2]
67,67,the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,"are_VB_N_0(CC(CC(\X.X,viewfinder_NN_N_0(obstructs_VB_Ne_1(view_NN_N_0)),itself_PRP_N_0(lens_NN_N_0),it_PRP_N_0),it_PRP_N_0(CC(\X.come_VB_N_0(X),lens+cap_NN_N_0))),camera_NN_N_0(\X.have_VB_N_0(X),issues_NNS_N_0,i_FW_N_0))",[],[],[],"lens cap[-1],viewfinder[-1]"
68,68,the menus are easy to navigate and the buttons are easy to use . ,"CC(buttons_NNS_P_1,menus_NNS_P_1)",[],[],[],"menu[+1],button[+1]"
69,69,it is a fantastic camera and well worth the price . ,"is_VB_N_0(CC(\X.X,camera_NN_P_1),it_PRP_N_0)",['camera_NN_P_1'],[1],['camera'],camera[+3]
70,70,recent price drops have made the g3 the best bargain in digital cameras currently available . ,"have_VB_N_0(made_VB_N_0(g3_NN_N_0,seq(cameras_NNS_P_1,bargain_NN_P_1)),seq(price_NN_N_0,drops_NNS_N_0))",['bargain_NN_P_1'],[1],['bargain'],camera[+3]
71,71,advanced photobugs will find more creative control than imaginable . ,"find_VB_N_0(control_NN_N_0,photobugs_NNS_P_1)",[],[],[],control[+2]
72,72,newbies will find the full auto setting will give them perfect pictures right out of the box . ,"find_VB_N_0(give_VB_N_0(them_PRP_N_0,\X.X,auto+setting_NN_N_0),newbies_NNS_N_0)",[],[],[],auto setting[+2]
73,73,4 megapixels is enough for anybody and the photo quality is awesome . ,"CC(quality_NN_P_1,megapixels_NNS_N_0)",['quality_NN_P_1'],[1],['quality'],photo quality[+3]
74,74,do n't get fooled by the 5 megapixel marketing hype . ,get_VB_N_0(megapixel+marketing+hype_NN_N_0(\X.fooled_VB_Ne_1(X))),[],[],[],
75,75,"unless you want to print murals , you do n't need it . ","want_VB_N_0(print_VB_N_0(murals_NNS_N_0),you_PRP_N_0,need_VB_N_0(it_PRP_N_0,you_PRP_N_0))",[],[],[],
76,76,those used to 35mm cameras will find the g3 very comfortable and friendly to use . ,"will_NNS_N_0(the_VB_N_0(\X.X,CC(cameras_NN_N_0,cameras_NN_N_0(\X.X))))",[],[],[],use[+2][u]
77,77,"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference . ","make_VB_N_0(seq(price+difference_NN_N_0,step_NN_N_0),looking_VB_N_0(CC(shoot_NN_N_0,point_NN_N_0),anyone_NN_N_0))",[],[],[],
78,78,the extended zoom range and faster lense put it at the top of it 's class . ,"put_VB_N_0(it_PRP_N_0,top_NN_P_1,CC(lense_NN_P_1,zoom+range_NN_N_0))","['top_NN_P_1', 'lense_NN_P_1']","[1, 1]","['top', 'lense']","zoom[+2],lense[+2]"
79,79,i expect the g3 will please me for years to come . ,"expect_VB_N_0(come_VB_N_0(years_NNS_N_0,please_VB_N_0(me_PRP_N_0),g3_NN_N_0),i_LS_N_0)",[],[],[],
80,80,i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! ,"price_NN_P_1(is_VB_N_0(\X.X,\X.X),looking_VB_N_0(camera_NN_N_0),buyer_NN_N_0,recommend_VB_P_1(powershot+g3_NN_N_0),i_LS_N_0)",['price_NN_P_1'],[1],['price'],camera[+3]
81,81,"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing . ","gives_VB_N_0(pictures_NNS_P_1,charge_NN_N_0(CC(casing_NN_N_0(it_PRP_N_0,battery_NN_P_1,it_PRP_N_0),\X.X),controls_NNS_N_0),it_PRP_N_0)",['battery_NN_P_1'],[1],['battery'],"picture[+3], control[+2], battery[+2], software[+2]"
82,82,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode . ,"CC(am_VB_N_0(amazed_VB_P_1(have_VB_N_0(using_VB_N_0(auto+mode_NN_N_0,\X.took_VB_N_0(X)),quality_NN_N_0,i_FW_N_0))),began_VB_N_0(taking_VB_N_0(pics_NNS_N_0)),i_LS_N_0)",[],[],[],"photo quality[+2], auto mode[+2]"
83,83,absolutely breathtaking . ,breathtaking_JJ_P_1(absolutely_RB_I),[],[],[],
84,84,i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out . ,"CC(was_VB_N_0(convinced_VB_N_0(CC(CC(trying_VB_N_0(it_PRP_N_0),hands_NNS_N_0(holding_VB_N_0(it_PRP_N_0))),visiting_VB_N_0(store_NN_N_0),buy_VB_N_0(g3_NN_N_0)))),was_VB_N_0(considering_VB_N_0(olympus+camedia+c5050_NN_N_0)),i_LS_N_0)",[],[],[],
85,85,"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 . ","CC(was_VB_N_0(battery+life_NN_N_0,\X.X,\X.X),is_VB_N_0(CC(userinterface_NN_N_0,bit+clumsylooking_NN_N_0),olympus_NN_N_0))",[],[],[],
86,86,"i would recommend a larger compact-flash card , at least 128 mb . ","recommend_VB_P_1(card_NN_N_0,i_LS_N_0,mb_NN_N_0)",[],[],[],
87,87,i bought a 512 mb card by simpletech and it works great with my canon . ,"CC(canon_NN_N_0(mb+card_NN_P_1,it_PRP_N_0))",['mb+card_NN_P_1'],[1],['mb card'],
88,88,what else can you say about a camera that works for both of you ? ,"you_PRP_N_0(works_VB_P_1(camera_NN_N_0,\X.say_VB_N_0(X)))",[],[],[],
89,89,"i make photographs at work , and so wanted a camera good enough to compare with what i use professionally . ","CC(wanted_VB_N_0(compare_VB_N_0(\X.X(i_FW_N_0),camera_NN_N_0)),work_NN_P_1(make_VB_N_0(photographs_NNS_N_0)),i_LS_N_0)",['work_NN_P_1'],[1],['work'],
90,90,"at the same time , i wanted my wife to not be intimidated by knobs and buttons . ","time_NN_N_0(wanted_VB_N_0(wife_NN_N_0,be_VB_N_0(CC(buttons_NNS_N_0,knobs_NNS_N_0,\X.intimidated_VB_N_0(X))),i_FW_N_0))",[],[],[],
91,91,"i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife . ","CC(handed_VB_N_0(it_PRP_N_0,wife_NN_N_0),recieved_VB_N_0(inserted_VB_N_0(charged_VB_N_0(battery_NN_N_0,cf+card_NN_N_0),camera_NN_N_0)),i_LS_N_0)",[],[],[],
92,92,"i showed her how to turn it on , where the lens zoom lever is , and she loves it ! ","CC(loves_VB_P_1(it_PRP_N_0,she_PRP_N_0),showed_VB_N_0(\X.X,is_VB_N_0(seq(lens_NN_N_0,zoom+lever_NN_N_0),turn_VB_N_0(it_PRP_N_0)),i_LS_N_0))",[],[],[],
93,93,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . ","CC(is_VB_N_0(\X.get_VB_N_0(X,you_PRP_N_0),\X.lcd_NN_N_0(\X.see_VB_N_0(X),X,you_PRP_N_0)),has_VB_N_0(canon_VB_N_0(colorimetry_NN_P_1),camera_NN_N_0))",['colorimetry_NN_P_1'],[1],['colorimetry'],canera[+2]
94,94,the prints are beautiful ! ,prints_NNS_P_1,[],[],[],print[+2]
95,95,and you get about 120 images on a 256mb card at highest quality . ,"CC(quality_NN_N_0(card_NN_N_0(get_VB_N_0(\X.X)),you_PRP_N_0))",[],[],[],
96,96,"i tried out some other brands in the stores , and was disappointed by the battery life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected . ","CC(disappointed_VB_Ne_1(CC(\X.lcd_NN_N_0(is_VB_N_0(\X.get_VB_N_0(X,you_PRP_N_0),finder_NN_N_0),\X.see_VB_N_0(X),X,you_PRP_N_0),battery+life_NN_N_0)),stores_NNS_N_0(tried_VB_N_0(brands_NNS_N_0)),i_LS_N_0)",[],[],[],
97,97,"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon . ","CC(want_VB_N_0(power_NN_N_0,you_PRP_N_0,amazon_NN_N_0(find_VB_N_0(knockoff_NN_N_0(CC(batteries_NNS_N_0,charger_NN_N_0))),you_PRP_N_0)),seq(canon_NN_Ne_1,batteries_NNS_N_0,camera_NN_N_0(\X.X,last_VB_N_0(time_NN_N_0,they_PRP_N_0))))",['canon_NN_Ne_1'],[0],['canon'],battery[+1]
98,98,this is a great camera for you ! ,"is_VB_N_0(you_PRP_N_0(camera_NN_P_1),\X.X)",['camera_NN_P_1'],[1],['camera'],camera[+2]
99,99,"the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use . ","CC(has_VB_N_0(novice_NN_P_2(\X.use_VB_N_0(X),auto+mode_NN_N_0)),gives_VB_N_0(tons_NNS_N_0),canon+g3_NN_N_0)",['novice_NN_P_2'],[1],['novice'],"control[+2],auto mode[+2]"
100,100,i can hand this to anyone and know they will take some great photos ! ,"CC(know_VB_N_0(take_VB_N_0(photos_NNS_P_1,they_PRP_N_0)),hand_VB_N_0(\X.X,anyone_NN_N_0),i_LS_N_0)",[],[],[],
101,101,"i love having the option to manually control the f-stop , shutter speed and even focus . ","love_NN_P_1(having_VB_N_0(CC(\X.focus_VB_N_0(X),control_VB_N_0(shutter+speed_NN_N_0),option_NN_N_0)),i_LS_N_0)",['love_NN_P_1'],[1],['love'],control[+2]
102,102,"i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers . ","CC(got_VB_N_0(shots_NNS_P_1),take_VB_N_0(photos_NNS_N_0),i_LS_N_0)",[],[],[],photo[+3]
